id,a_avg
01003,1.2877
01073,2.1372
01081,2.1221
01089,2.2701
01097,0.6604
01101,1.7002
01117,1.0033
01125,1.5742
02020,-0.9439
02090,0.1221
02110,-0.1083
02130,-0.5338
02150,-0.5186
02170,-0.1204
04003,0.3310
04005,0.7196
04013,1.6170
04015,0.8900
04019,1.2908
04021,0.5150
04025,0.8022
04027,0.7785
05007,1.8079
05085,1.0758
05119,2.1177
05125,1.9032
05131,0.5246
05143,-1.3497
06001,1.9413
06007,-1.3146
06013,1.8634
06015,-1.7740
06017,2.1259
06019,-0.2215
06021,-1.8308
06023,-0.7972
06025,1.5105
06029,0.4046
06031,0.4780
06037,1.8625
06039,0.2654
06041,2.0264
06047,-0.6518
06053,0.4457
06055,0.9102
06059,2.3672
06061,1.5992
06065,1.1743
06067,0.2449
06069,0.6081
06071,1.4717
06073,1.8560
06075,0.7023
06077,-0.3573
06079,1.0235
06081,1.1764
06083,1.0637
06085,2.5913
06087,1.0743
06089,-0.1400
06095,0.3847
06097,0.7005
06099,0.0220
06101,-0.0490
06107,-0.3369
06111,2.0500
06113,1.1373
06115,-1.3717
08001,1.1059
08005,1.5869
08013,2.3832
08031,0.3816
08035,2.4398
08041,1.4247
08059,1.6239
08069,2.4602
08101,2.0021
08123,-1.4703
09001,2.5769
09003,2.0583
09005,1.6421
09007,1.8506
09009,2.1093
09011,1.7551
09013,2.0914
09015,0.6628
10001,1.8497
10003,2.5155
10005,1.7407
11001,1.3932
12001,2.8482
12005,1.3648
12009,1.7921
12011,2.2349
12015,1.5569
12017,2.4010
12019,1.8828
12021,2.2799
12031,1.6299
12033,1.2123
12035,1.5727
12053,1.5665
12055,2.3139
12057,2.3035
12061,0.7602
12069,1.1640
12071,1.7130
12073,3.1776
12081,1.5687
12083,1.7262
12085,2.1337
12086,2.2448
12095,1.9476
12097,1.2363
12099,2.3230
12101,1.8302
12103,1.1558
12105,1.6137
12109,2.8757
12111,1.4406
12113,1.7865
12115,2.2405
12117,2.7451
12127,1.6338
13013,-0.1157
13021,1.1754
13051,1.1900
13057,1.6921
13059,2.4075
13063,0.5872
13067,2.6620
13073,2.4047
13077,1.5836
13089,-0.4202
13097,1.3037
13113,2.1420
13115,1.1636
13117,4.0020
13121,3.7459
13127,1.4680
13135,2.4088
13139,1.1493
13151,1.4248
13153,1.6478
13157,0.8776
13179,0.6332
13185,1.2033
13215,1.9572
13219,2.7616
13223,1.3597
13245,-0.0814
13247,1.2248
13285,1.4904
13297,0.8413
13313,0.9837
15003,-0.4841
16001,0.9184
16005,0.9798
16027,0.6063
16055,1.2865
16083,-1.1105
17019,2.7031
