id,a_coh
01073,0.1157
01081,0.1421
01089,0.1523
01097,0.0518
01101,0.0563
01117,0.0796
02020,0.0157
02090,-0.0356
02110,0.0156
02150,-0.0673
02170,0.0361
04003,0.1202
04013,0.1342
04015,0.0437
04019,0.1416
04021,0.0692
04025,0.1096
04027,0.1795
05007,0.0695
05119,0.1468
05131,0.0757
05143,-0.0383
06001,0.1185
06007,0.1207
06013,0.0572
06017,-0.0259
06019,0.0876
06023,-0.0843
06025,-0.0502
06029,0.0183
06031,0.0910
06037,0.0345
06039,-0.1609
06041,-0.0050
06047,0.0681
06053,-0.0272
06055,0.0756
06059,0.0884
06061,0.0849
06065,0.0428
06067,0.0489
06071,0.0537
06073,0.0381
06075,0.1645
06077,0.0832
06079,0.1218
06081,0.1650
06083,-0.0640
06085,0.0865
06087,0.0600
06089,-0.0049
06095,-0.0051
06097,-0.0332
06099,0.0432
06101,0.0330
06107,0.0705
06111,-0.0389
06113,0.0133
06115,0.0416
08001,0.0333
08005,0.0139
09001,0.0795
09003,0.0719
09005,0.0475
09007,0.0947
09009,0.0351
09011,0.0237
09013,0.0783
09015,0.0776
10001,0.1068
10003,0.0685
10005,0.0041
11001,0.1034
12005,0.0755
12011,0.0621
12019,0.0681
12021,0.1276
12031,0.1075
12033,0.0091
12053,0.0362
12057,0.1109
12069,0.0452
12071,0.1096
12073,0.1834
12081,0.1403
12086,0.0675
12095,0.0957
12097,0.0779
12099,0.1016
12101,0.1046
12103,0.1040
12105,0.1121
12109,0.2141
12111,0.1094
12113,0.0855
12115,0.1806
12117,0.0647
12127,0.0707
13013,0.0870
13021,0.0676
13051,0.1165
13057,0.0371
13063,0.0475
13067,0.1531
13073,0.0610
13077,0.1240
13089,-0.0222
13097,0.0646
13113,0.1117
13117,0.2072
13121,0.0828
13135,0.0806
13139,0.1014
13151,0.0939
13153,0.0095
13157,0.0793
13215,0.1859
13245,-0.0352
13247,-0.0538
15003,0.0469
16001,0.0479
16027,-0.0249
17019,0.0525
17031,0.1364
17043,0.0796
17089,0.1322
17093,0.2208
17097,0.1534
17111,0.1242
17113,-0.0281
17119,0.0452
17143,0.0365
17161,-0.2222
17163,0.0569
17167,0.0615
17197,0.1612
17201,0.0688
18003,0.2036
18005,0.1675
18057,0.0803
18063,0.1441
18081,0.2026
18089,0.1595
18097,0.1053
18157,0.0543
19013,-0.2627
19049,0.1666
19103,0.1401
19113,0.0212
19153,0.0073
19163,0.1392
19169,0.1838
19193,0.1329
20045,0.1492
20091,0.0865
20173,0.1007
20177,0.0652
20209,-0.1378
21015,0.0939
21067,-0.0870
21093,0.0324
21111,0.1378
21227,0.0679
22015,0.0942
22017,0.1230
22019,0.0189
22033,0.1844
22045,0.0839
22051,0.2003
22055,0.0999
22071,0.0604
22079,0.0954
22103,0.0662
23005,0.1112
23031,0.0250
24003,-0.0106
24005,-0.0398
24009,-0.0631
24013,0.0945
24017,0.0192
24021,0.1461
24025,0.2190
24027,0.0095
24031,0.0462
24033,-0.0077
24037,0.0441
24043,-0.0380
24045,0.0441
24510,-0.0838
25001,-0.0210
25005,0.0762
25009,0.1024
25013,0.0271
25015,0.0121
25017,0.0982
25021,0.0777
25023,-0.0012
25025,0.1335
25027,0.1303
26021,0.0652
26025,-0.0203
26045,0.1624
26049,0.0860
26065,0.0254
26077,0.0633
26081,0.0306
26093,0.0279
26099,0.0633
26111,0.0235
26125,0.0358
26139,0.1700
26145,0.0905
26161,0.0339
26163,0.0838
27003,0.0426
27019,0.0325
27037,0.0796
27053,0.1126
27105,0.0660
27109,-0.0638
27123,-0.0049
27139,0.1129
27141,0.1667
27145,0.0604
27163,0.0827
27171,0.1090
28033,0.1179
28047,0.0810
28059,0.1441
28089,0.0893
29019,-0.0767
29047,0.1446
29077,-0.0962
29095,0.0028
29097,-0.0802
29099,0.1282
29145,0.0175
29165,-0.0112
29169,-0.0195
29183,0.1544
29189,0.1055
29510,0.1164
30111,-0.1009
31055,-0.0348
31109,0.0439
31153,0.1332
32003,0.0905
32031,0.0610
33011,0.0892
33015,0.1079
34001,0.0906
34003,0.1277
34005,0.1374
34007,0.0246
34011,0.1410
34013,0.1245
34015,0.0882
34017,0.1418
34019,0.0220
34021,0.0719
34023,0.0821
34025,0.0914
34027,0.0985
