id,a_grd
01073,1.2296
01081,1.1065
01089,1.1943
01097,0.9635
01101,1.0611
01117,1.0597
02020,1.0842
02090,0.9937
02110,1.2142
02150,1.0825
02170,1.1316
04003,1.1043
04005,1.0340
04013,1.2144
04015,1.0377
04019,1.1490
04021,1.0556
04027,1.1976
05007,1.0903
05119,1.1058
05131,1.0819
05143,0.9272
06001,1.1831
06007,1.1878
06013,1.0358
06017,0.9556
06019,1.0758
06023,0.9724
06029,1.0373
06031,1.0916
06037,1.0391
06039,0.9159
06041,1.0061
06047,0.9997
06053,1.0188
06055,0.9897
06059,1.1671
06061,1.1191
06065,1.0067
06067,1.0913
06071,1.0322
06073,1.0650
06075,1.1616
06077,1.1473
06079,1.1263
06081,1.1280
06083,1.0169
06085,1.1384
06087,1.0319
06089,1.0663
06095,1.0343
06097,1.0125
06099,1.0485
06101,0.9829
06107,1.0883
06111,1.0356
06113,1.1001
06115,0.9721
08001,1.0331
08005,1.0693
08031,1.1076
08041,1.0536
08059,1.1405
09001,1.1094
09003,1.1388
09005,1.0857
09007,1.0572
09009,1.1506
09011,1.1306
09013,1.1114
10001,0.9558
10003,1.1642
10005,1.1381
11001,1.0637
12011,1.0020
12019,0.9767
12021,1.1652
12031,0.9187
12033,0.9353
12053,1.0013
12057,1.0703
12069,0.9004
12071,1.0119
12073,1.1524
12081,1.0735
12086,0.9522
12095,0.9669
12097,0.9479
12099,1.0851
12101,1.0345
12103,1.0608
12105,0.9612
12109,1.1855
12111,1.0235
12115,1.2158
12117,1.0191
12127,0.9914
13013,1.0720
13021,0.9112
13051,1.0289
13057,1.0979
13063,1.0678
13067,1.2290
13073,1.1021
13077,1.1470
13089,0.5979
13097,1.0315
13113,1.1089
13117,1.2215
13121,1.0893
13135,1.1507
13139,1.1784
13151,1.0816
13153,1.0258
13215,1.2256
13245,0.7505
15003,0.9463
16001,1.1230
16027,1.0363
17019,0.9527
17031,1.1813
17043,1.1501
17089,1.1796
17093,1.1295
17097,1.1903
17111,1.2378
17113,1.0351
17119,1.0218
17143,1.1214
17161,0.7105
17163,1.0853
17167,1.0307
17197,1.1989
17201,1.0399
18003,1.0696
18005,1.2006
18057,1.2101
18063,1.1107
18081,1.2284
18089,1.1929
18097,1.0116
18141,1.2454
18157,1.2867
19013,0.8007
19049,1.1944
19103,1.2266
19113,1.0082
19153,1.0169
19163,1.2159
19169,1.3307
19193,1.0450
20045,1.0840
20091,1.2190
20173,1.0867
20177,1.1712
20209,0.8022
21015,1.0584
21067,1.0323
21093,1.0070
21111,1.0830
21227,0.9762
22015,1.0444
22017,1.1158
22019,0.9696
22033,1.2307
22045,1.0936
22051,1.1977
22055,1.1820
22071,1.2437
22079,1.0512
22103,1.0465
23005,1.1979
23031,1.0595
24003,0.9357
24005,0.9225
24013,1.1763
24017,1.1325
24021,1.2028
24025,1.3072
24027,1.0920
24031,1.1561
