id,all_avg
01001,0.1471
01003,-0.0413
01005,-1.6908
01007,-1.1771
01009,-0.7457
01011,-2.4859
01013,-1.3517
01015,-0.4939
01017,-1.6700
01019,-0.7859
01021,-0.8915
01023,-1.6868
01025,-1.3128
01027,-1.0391
01029,-0.2859
01031,0.0370
01033,-0.2978
01035,-1.1637
01037,-1.4344
01039,-0.3862
01041,-0.9504
01043,0.0901
01045,-0.7344
01047,-1.9606
01049,-1.1164
01051,-0.6499
01053,-0.6970
01055,-0.7066
01057,-0.6585
01059,-0.6008
01061,-0.8736
01063,-2.3843
01065,-1.1596
01067,-1.3162
01069,-0.3689
01071,-0.4493
01073,-0.4607
01075,-1.0936
01077,-0.1667
01079,-0.6984
01081,-0.1353
01083,-0.6914
01085,-2.3628
01087,-2.2260
01089,0.1885
01091,-1.0986
01093,-0.0708
01095,-0.1968
01097,-0.7092
01099,-1.5313
01101,-1.6824
01103,-0.4232
01105,-2.1957
01107,-1.2808
01109,-0.6814
01111,-1.4231
01113,-1.2134
01115,-0.5306
01117,0.0354
01119,-2.5669
01121,-0.9641
01123,-0.9207
01125,-0.9122
01127,-0.5633
01129,-1.3379
01131,-2.3838
01133,-0.7388
02013,-0.5594
02016,0.8464
02020,-0.0898
02050,-3.7205
02060,-0.6537
02068,0.2684
02070,-2.5049
02090,-0.0529
02100,0.4864
02105,-1.1802
02110,0.0093
02122,0.4660
02130,-0.1157
02150,-0.0814
02170,0.1542
02180,-2.2613
02185,-2.3945
02188,-2.9064
02195,0.6719
02198,-0.4336
02220,0.1781
02240,-0.5238
02261,0.3799
02270,-3.8600
02275,0.9887
02290,-1.9250
04001,-1.9618
04003,-0.6877
04005,-0.8315
04007,-1.6034
04009,-0.2549
04011,-0.2405
04012,-1.4993
04013,-0.1491
04015,-0.4110
04017,-1.0471
04019,-0.4947
04021,-0.8564
04023,-0.4877
04025,-0.1788
04027,-1.0666
05001,-0.7462
05003,-0.6527
05005,0.3571
05007,0.6692
05009,0.6185
05011,-1.0934
05013,-1.2976
05015,-0.1015
05017,-1.5805
05019,-0.3133
05021,-0.3840
05023,-0.0864
05025,-0.3565
05027,-0.7314
05029,-0.0865
05031,-0.0861
05033,-0.5388
05035,-0.7373
05037,-0.2127
05039,-1.4082
05041,-1.2836
05043,-0.3105
05045,0.5211
05047,0.2637
05049,0.6905
05051,-0.0279
05053,0.0719
05055,-0.5066
05057,-1.3087
05059,-0.1531
05061,-0.4585
05063,-0.1350
05065,-0.0783
05067,-0.1026
05069,-1.5354
05071,-0.3211
05073,-1.0381
05075,-0.5484
05077,-2.5823
05079,-0.8256
05081,-0.7882
05083,-0.1761
05085,0.1674
05087,-0.1507
05089,-0.3508
05091,-0.8159
05093,-1.2103
05095,-1.2621
05097,-0.3779
05099,-0.4818
05101,-0.3519
05103,-1.1221
05105,-0.3478
05107,-1.5105
05109,-0.7508
05111,-0.7124
05113,-0.0236
05115,0.3676
05117,-0.3320
05119,-1.0418
05121,-0.1804
05123,-2.1057
05125,0.5181
05127,-0.6474
05129,-0.0806
05131,-0.1998
05133,0.0002
05135,-0.0035
05137,0.2345
05139,-0.4883
05141,-0.1509
05143,0.0719
05145,0.0574
05147,-0.8262
05149,-0.2807
06001,-0.0530
06005,-0.8935
06007,-1.0173
06009,-0.7354
06011,-1.5042
06013,-0.1229
06015,-1.4246
06017,0.3223
06019,-1.0163
06021,-1.6372
06023,-0.8619
06025,-1.3804
06027,-1.1504
06029,-1.5063
06031,-1.2845
06033,-1.6415
06035,-1.1799
06037,-0.8649
06039,-1.4429
06041,0.9389
06043,-0.5683
06045,-1.6445
06047,-1.4381
06049,-1.2001
06051,-0.6457
06053,-1.5235
06055,-0.7427
06057,-0.2822
06059,0.0995
06061,0.4567
06063,-0.3758
06065,-0.8581
06067,-0.7296
06069,-1.1022
06071,-1.0639
06073,-0.1505
06075,-0.2406
06077,-1.3385
06079,-0.1538
06081,0.2328
06083,-0.8918
06085,0.5648
06087,-0.8461
06089,-0.5880
06091,-0.7151
06093,-0.8759
06095,-0.8856
06097,-0.5092
06099,-1.1666
06101,-0.8217
06103,-0.8764
06105,-0.5368
06107,-1.4904
06109,-0.5626
06111,-0.5631
06113,-0.4948
06115,-1.1361
08001,-0.1472
08003,-0.0198
08005,0.4689
08007,0.1559
08009,0.6219
08011,0.4440
08013,1.3524
08015,0.9209
08017,0.1815
08019,0.9703
08021,0.6291
08023,-0.7132
08025,0.2565
08027,0.9711
08029,0.5809
08031,-0.5119
08033,-0.7026
08035,1.7018
08037,0.6268
08039,0.5977
08041,0.8497
08043,0.1736
08045,0.1418
08047,0.2970
08049,0.8321
08051,1.0605
08055,-0.6373
08059,1.1207
08061,0.1185
08063,-0.1644
08065,-1.2853
08067,0.6435
08069,1.2887
08071,-0.0966
08073,0.8775
08075,0.5892
08077,0.3299
08081,-0.3112
08083,-0.3675
08085,0.1906
08087,-0.1060
08089,-0.1562
08091,1.4148
08093,1.1377
08095,0.3594
08097,1.6385
08099,-0.0630
08101,0.0350
08103,0.5206
08105,-0.3020
08107,1.6572
08109,-0.6551
08113,1.3968
08115,0.6446
08117,1.0553
08119,0.7221
08121,0.4104
08123,-0.0431
08125,0.1443
09001,0.8992
09003,0.3608
09005,0.6796
09007,1.0959
09009,0.0382
09011,0.4997
09013,1.2607
09015,-0.0619
10001,0.2370
10003,-0.0501
10005,0.3491
11001,-1.4340
12001,0.2999
12003,0.2616
12005,0.2295
12007,-0.7087
12009,0.7680
12011,0.3233
12013,0.5090
12015,0.2752
12017,0.5346
12019,0.6488
12021,0.1847
12023,0.0457
12027,-0.7635
12029,0.0234
12031,-0.1228
12033,-0.3018
12035,0.3932
12037,-0.2777
12039,-0.7937
12041,0.5582
12043,0.0581
12045,0.2185
12047,-1.0284
12049,-0.4442
12051,-0.5946
12053,0.1747
12055,-0.1909
12057,0.0625
12059,-0.1992
12061,0.0995
12063,0.2219
12065,-1.3317
12067,0.0811
12069,0.0222
12071,0.2145
12073,0.5177
12075,-0.3259
12077,-0.2327
12079,-1.2309
12081,-0.1616
12083,-0.1840
12085,0.6526
12086,0.0373
12087,0.4789
12089,0.7765
12091,0.9288
12093,-0.5332
12095,0.1004
12097,-0.3017
12099,0.3312
12101,0.0797
12103,0.0443
12105,-0.3826
12107,-0.5353
12109,1.4046
12111,-0.3448
12113,1.0537
12115,1.0257
12117,0.9437
12119,0.5794
12121,-0.3905
12123,-0.2675
12125,0.4326
12127,0.0099
12129,0.5818
12131,0.5440
12133,-0.0653
13001,-0.4519
13003,-0.5387
13005,-0.2084
13007,-2.0035
13009,-1.2468
13011,0.1623
13013,-0.2645
13015,-0.0891
13017,-0.8243
13019,0.1402
13021,-1.5420
13023,0.4630
13025,-0.1246
13027,-1.0308
13029,0.5311
13031,-0.2355
13033,-0.9883
13035,-0.7636
13037,-1.0218
13039,0.3196
13043,-0.4813
13045,-0.2495
13047,0.0201
13049,-0.9307
13051,-0.9609
13053,-1.2104
13055,-0.6575
13057,0.7921
13059,-0.9395
13061,-1.4256
13063,-1.2047
13065,-1.0003
13067,0.4681
13069,-0.3581
13071,-0.8510
13073,0.6938
13075,-0.7436
13077,-0.0623
13079,-0.6032
13081,-0.5750
13083,-0.4843
13085,0.0567
13087,-0.7217
13089,-0.9484
13091,-0.5440
13093,-2.0545
13095,-1.2977
13097,-0.3635
13099,-0.5391
13101,-0.5123
13103,0.4448
13105,-0.8203
13107,-1.1334
13109,-0.5828
13111,0.0113
13113,1.2640
13115,-0.2978
13117,2.0249
13119,-0.2196
13121,-0.0187
13123,-0.4011
13125,-0.5771
13127,0.0820
13129,-0.0404
13131,-0.8072
13133,-0.9358
13135,0.6937
13137,-0.0161
13139,-0.5277
13141,-2.1217
13143,0.0028
13145,0.3334
13147,-0.3515
13149,0.0841
13151,-0.1617
13153,0.2300
13155,-0.6075
13157,0.6216
13159,-0.8037
13161,-0.3119
13163,-1.1442
13165,-1.3314
13167,-0.7395
13169,-0.1575
13171,-0.9017
13173,-0.3677
13175,-0.5032
13177,0.1970
13179,-0.5767
13181,-0.0831
13183,-0.6280
13185,-0.0467
13187,0.3494
13189,-0.8347
13191,-0.9176
13193,-1.8088
13195,0.0312
13197,-0.5063
13199,-1.6580
13201,-0.8780
13205,-0.9123
13207,0.2082
13209,-1.1219
13211,0.2213
13213,-0.2271
13215,-0.9736
13217,-0.7153
13219,1.5902
13221,0.1514
13223,-0.0401
13225,-1.3607
13227,0.0037
13229,0.4712
13231,-0.1053
13233,-0.7322
13235,-0.8996
13237,-0.3462
13239,-2.1104
13241,0.1401
13243,-2.1181
13245,-1.6108
13247,-0.1332
13249,0.5183
13251,-1.1373
13253,-0.7141
13255,-0.9868
13257,0.3575
13259,-1.2505
13261,-1.7338
13263,-2.3152
13265,-1.8694
13267,-0.8559
13269,-1.0315
13271,-0.9362
13273,-1.5990
13275,-0.8006
13277,-0.4975
13279,-0.8199
13281,0.2068
13283,-0.9248
13285,-0.3338
13287,-1.1340
13289,-1.7812
13291,0.6866
13293,-0.5895
13295,-0.2027
13297,0.1687
13299,0.0227
13301,-1.5568
13303,-0.9929
13305,-0.7630
13307,-0.5948
13309,-0.9390
13311,0.2069
13313,-0.5987
13315,-0.9457
13317,-0.7736
13319,-0.8499
13321,-0.8598
15003,-0.3349
16001,0.4787
16003,-0.1660
16005,0.5176
16007,0.0424
16009,-0.6473
16011,-0.3361
16013,0.6313
16015,0.1641
16017,0.5350
16019,0.2358
16021,-0.1793
16023,0.1358
16027,-0.2520
16029,0.1666
16031,-0.2015
16035,-0.3288
16037,-0.3580
16039,-0.4723
16041,0.1021
16043,-0.2372
16045,0.0164
16047,-0.8178
16049,-0.0804
16051,0.3428
16053,-0.6429
16055,0.7155
16057,0.7069
16059,0.1329
16061,-0.2964
16063,-0.6681
16065,1.0521
16067,-0.4480
16069,0.0086
16071,0.0609
16073,-0.6451
16075,0.0917
16077,-0.5202
16079,-0.4119
16081,-0.7240
16083,0.0279
16085,0.8265
16087,0.1929
17001,-0.3933
17003,-1.6383
17005,0.1436
17007,-0.2191
17009,-0.3023
17011,-0.3825
17013,0.4714
17015,0.0515
17017,-1.2723
17019,-0.0243
17021,-0.1613
17023,0.0585
17025,-0.3097
17027,0.7549
17029,0.0535
17031,-0.2722
17033,-0.3669
17035,-0.0835
17037,0.1806
17039,-0.3166
17041,-0.1332
17043,1.2496
17045,0.0062
17047,-0.1406
17049,0.4948
17051,-0.6814
17053,0.3478
17055,-0.8032
17057,-0.4013
17059,-0.5207
17061,-0.3910
17063,0.5403
17065,-0.2202
17067,-0.2506
17069,-0.9133
17071,-0.2321
17073,0.0748
17075,0.3508
17077,-0.5698
17079,0.2773
17081,-0.7030
17083,0.1698
17085,0.3542
17087,-0.0243
17089,0.1033
17091,-0.3938
17093,0.7618
17095,-0.2160
17097,0.6758
17099,-0.2330
17101,-0.1355
17103,-0.1840
17105,0.2349
17107,-0.1103
17109,0.2188
17111,0.6382
17113,0.6463
17115,-0.4626
17117,0.0352
17119,-0.1586
17121,-0.5534
17123,0.3967
17125,-0.1668
17127,0.4191
17129,-0.0930
