id,all_coh
01001,-0.0853
01003,-0.0462
01005,0.1184
01007,0.0198
01009,0.0846
01011,-0.0403
01013,-0.0673
01015,0.0375
01017,0.0862
01019,0.0690
01021,0.0204
01023,-0.1226
01025,0.0272
01027,0.1339
01029,0.0128
01031,0.0307
01033,0.0017
01035,-0.0287
01037,0.0746
01039,-0.0278
01041,0.1015
01043,-0.0162
01045,0.0654
01047,-0.0144
01049,0.0498
01051,0.0521
01053,-0.0141
01055,0.0208
01057,-0.0294
01059,-0.1420
01061,0.0893
01063,-0.0288
01065,0.0712
01067,0.1016
01069,0.0395
01071,-0.0353
01073,0.0013
01075,0.0136
01077,0.0224
01079,-0.0262
01081,0.1196
01083,0.0452
01085,0.0358
01087,-0.0034
01089,0.0590
01091,0.1113
01093,0.0145
01095,-0.0733
01097,-0.0388
01099,-0.0210
01101,-0.0645
01103,-0.0146
01105,-0.1574
01107,0.0474
01109,0.0191
01111,0.0592
01113,0.0988
01115,0.0413
01117,0.0498
01119,0.0701
01121,-0.0158
01123,-0.0242
01125,0.0946
01127,-0.0031
01129,-0.0201
01131,-0.0739
01133,0.0146
02016,0.0377
02020,0.0490
02050,-0.0588
02060,0.0577
02068,0.1185
02070,-0.0045
02090,0.0101
02110,0.0455
02122,0.0179
02130,0.0343
02150,-0.0507
02170,-0.0357
02180,-0.0312
02185,-0.1246
02188,-0.1326
02195,0.0381
02198,-0.0271
02220,0.0771
02240,0.0409
02261,-0.0442
02270,-0.1522
02290,-0.0877
04001,0.0682
04003,0.1027
04005,0.0541
04007,-0.0085
04009,0.0650
04011,0.0609
04012,0.0024
04013,0.0706
04015,0.0892
04017,0.0649
04019,0.0747
04021,0.0746
04023,0.0262
04025,0.0346
04027,0.1074
05001,0.0259
05003,0.0065
05005,-0.0507
05007,-0.0163
05009,-0.0149
05011,-0.1060
05013,-0.0824
05015,-0.0709
05017,0.0129
05019,-0.0461
05021,-0.0787
05023,-0.0419
05025,-0.0660
05027,0.0704
05029,-0.0460
05031,-0.0260
05033,0.0078
05035,-0.0922
05037,-0.0319
05039,0.0008
05041,0.0014
05043,-0.0994
05045,-0.0377
05047,-0.0988
05049,0.0300
05051,-0.0443
05053,-0.0662
05055,-0.0798
05057,-0.0374
05059,-0.0321
05061,0.0060
05063,-0.0563
05065,-0.0521
05067,0.0130
05069,0.0040
05071,-0.1276
05073,0.0338
05075,-0.0458
05077,0.0249
05079,-0.2263
05081,0.0082
05083,-0.0655
05085,-0.0370
05087,-0.0328
05089,-0.0586
05091,0.0400
05093,0.0369
05095,0.0455
05097,-0.0193
05099,-0.0394
05101,-0.0819
05103,-0.0171
05105,0.0049
05107,-0.0127
05109,0.0291
05111,-0.0508
05113,-0.0214
05115,-0.0335
05117,0.1055
05119,0.0336
05121,-0.0375
05123,0.0313
05125,-0.0029
05127,0.0267
05129,-0.0526
05131,0.0417
05133,0.0199
05135,-0.0563
05137,-0.0632
05139,-0.0807
05141,0.0594
05143,0.0156
05145,-0.0631
05147,0.2475
05149,-0.0811
06001,0.0777
06005,-0.0331
06007,0.0456
06009,0.0116
06011,0.0650
06013,0.0600
06015,-0.0165
06017,0.0289
06019,0.0004
06021,-0.0080
06023,-0.0144
06025,0.0150
06027,0.0040
06029,0.0280
06031,0.0660
06033,-0.0399
06035,0.0274
06037,0.0534
06039,-0.0659
06041,0.0620
06043,-0.0620
06045,0.0180
06047,-0.0113
06049,-0.0261
06051,0.1222
06053,0.0254
06055,0.0038
06057,0.0375
06059,0.0681
06061,0.0532
06063,-0.0056
06065,0.0072
06067,0.0078
06069,0.0663
06071,-0.0031
06073,0.0644
06075,0.1045
06077,0.0249
06079,0.0449
06081,0.1159
06083,0.0325
06085,0.1139
06087,0.0390
06089,0.0305
06091,-0.0041
06093,0.0070
06095,0.0068
06097,0.0113
06099,-0.0124
06101,0.0080
06103,-0.0302
06105,0.1204
06107,0.0161
06109,-0.0570
06111,-0.0001
06113,0.0360
06115,0.0043
08001,-0.0422
08005,-0.0671
08031,0.0495
08037,-0.1471
08043,-0.0805
08059,-0.0467
08069,-0.0591
08085,-0.0632
08087,-0.0530
08101,-0.0991
08123,-0.0216
09001,-0.0312
09003,-0.0136
09005,-0.0240
09007,0.0106
09009,-0.0290
09011,0.0024
09013,0.0231
09015,0.0299
10001,0.0492
10003,-0.0245
10005,-0.0387
11001,0.1706
12001,0.0643
12003,-0.0112
12005,-0.0212
12007,0.0021
12009,-0.0337
12011,-0.0029
12013,0.0023
12015,-0.0450
12017,0.0215
12019,-0.0059
12021,0.0868
12023,0.0559
12027,-0.1379
12029,0.0325
12031,0.0355
12033,0.0003
12035,0.0834
12037,0.0017
12039,0.0759
12041,-0.0203
12043,-0.0267
12045,-0.0095
12047,0.0861
12049,0.0190
12051,-0.0181
12053,0.0306
12055,0.0340
12057,0.0254
12059,-0.0193
12061,-0.0086
12063,0.0172
12065,0.0761
12067,0.0332
12069,0.0007
12071,0.0188
12073,0.0567
12075,-0.0133
12077,0.0496
12079,0.0736
12081,0.0528
12083,-0.0509
12085,-0.0451
12086,0.0685
12087,-0.0172
12089,0.0492
12091,-0.0042
12093,0.0005
12095,0.0345
12097,0.0501
12099,0.0156
12101,0.0380
12103,0.0286
12105,0.0285
12107,-0.0260
12109,0.0935
12111,0.0216
12113,0.0036
12115,0.0653
12117,-0.0116
12119,0.0493
12121,-0.0025
12123,0.0077
12125,0.0793
12127,0.0166
12129,-0.0181
12131,0.0162
12133,0.0449
13001,-0.0977
13003,0.1219
13005,0.0473
13007,0.0776
13009,-0.0724
13011,0.0209
13013,0.0717
13015,0.0398
13017,0.1027
13019,0.1851
13021,-0.0136
13023,0.0253
13025,0.0694
13027,0.0172
13029,0.0489
13031,0.0376
13033,-0.0007
13035,-0.0045
13037,-0.0054
13039,0.0348
13043,0.0235
13045,0.0750
13047,0.0647
13049,0.1134
13051,0.0332
13053,0.0153
13055,0.0491
13057,0.0052
13059,0.0152
13061,-0.0894
13063,-0.0430
13065,-0.0484
13067,0.0501
13069,0.0451
13071,-0.0581
13073,0.0702
13075,0.0094
13077,0.0725
13079,-0.0324
13081,-0.0898
13083,0.0917
13085,0.0776
13087,-0.0122
13089,0.0111
13091,-0.0021
13093,-0.0191
13095,-0.0266
13097,0.0704
13099,0.0013
13101,0.0474
13103,0.0736
13105,0.0246
13107,-0.0099
13109,-0.0466
13111,0.0748
13113,0.0231
13115,-0.0364
13117,0.1098
13119,0.0271
13121,0.0013
13123,0.0289
13125,0.1072
13127,0.0333
13129,0.0298
13131,-0.0229
13133,0.1534
13135,0.0283
13137,0.0539
13139,0.0276
13141,-0.0701
13143,0.0892
13145,0.0965
13147,-0.0021
13149,0.1592
13151,0.0234
13153,-0.0242
13155,-0.0454
13157,0.0269
13159,-0.0154
13161,-0.0717
13163,-0.0976
13165,-0.0592
13167,-0.0208
13169,0.0744
13171,0.0069
13173,-0.0312
13175,-0.0079
13177,0.0899
13179,0.0022
13181,-0.0105
13183,0.0088
13185,0.0329
13187,0.1070
13189,0.0195
13191,0.0490
13193,-0.0692
13195,0.1155
13197,0.0420
13199,-0.0517
13201,-0.0170
13205,-0.0188
13207,0.0404
13209,-0.0837
13211,-0.0333
13213,-0.0008
13215,0.0103
13217,0.0681
13219,0.0365
13221,0.0521
13223,0.0875
13225,0.0113
13227,-0.0580
13229,0.0305
13231,0.0124
13233,-0.0130
13235,0.0407
13237,0.0554
13239,-0.0582
13241,0.0619
13243,-0.0796
13245,-0.0194
13247,0.0016
13249,0.0786
13251,-0.0493
13253,0.0579
13255,0.0232
13257,-0.0611
13259,0.0093
13261,-0.0761
13263,0.0450
13267,0.0657
13269,0.0284
13271,0.0768
13273,-0.0898
13275,0.0064
13277,-0.0298
13279,-0.0249
13281,0.0361
13283,-0.0079
13285,0.0097
13287,-0.0005
13289,0.0835
13291,0.1041
13293,0.0303
13295,0.0181
13297,0.0806
13299,0.0906
13301,0.0238
13303,-0.0515
13305,0.0755
13307,0.0790
13309,0.0853
13311,0.0066
13313,0.0083
13315,0.0242
13317,0.0767
13319,-0.0037
13321,-0.0340
15003,0.0462
16001,0.0374
16003,-0.1002
16005,0.0234
16007,0.0076
16009,-0.0525
16011,-0.0572
16013,-0.0342
16015,0.0147
16017,-0.0217
16019,-0.0265
16021,-0.0071
16023,0.0761
16027,-0.0206
16029,-0.0063
16031,-0.0407
16035,0.0298
16037,-0.0840
16039,0.0003
16041,0.0467
16043,-0.0051
16045,-0.0777
16047,-0.1037
16049,0.0319
16051,-0.0489
16053,-0.0840
16055,0.0513
16057,0.0416
16059,-0.0586
16061,0.0030
16063,0.1652
16065,0.0009
16067,0.0562
16069,-0.0051
16071,-0.0677
16073,-0.0654
16075,-0.0575
16077,-0.0428
16079,0.0270
16081,0.0363
16083,-0.0223
16085,0.0461
16087,0.0046
17001,-0.0558
17003,-0.0765
17005,-0.0096
17007,-0.0401
17009,-0.0248
17011,-0.0469
17013,-0.0254
17015,-0.0035
17017,-0.0911
17019,-0.0919
17021,-0.0769
