id,b_avg
01001,-1.4065
01003,-1.9254
01005,-2.3347
01007,-2.3331
01011,-2.5247
01013,-2.0085
01015,-1.7151
01017,-2.2763
01019,-1.2705
01021,-2.1137
01023,-1.9713
01025,-2.0724
01027,-2.1998
01031,-1.3983
01033,-1.6015
01035,-1.2468
01037,-2.0116
01039,-1.8082
01041,-1.8629
01045,-1.8691
01047,-2.1140
01049,-2.3211
01051,-1.9967
01053,-1.7967
01055,-1.9425
01057,-2.1256
01059,-1.5267
01061,-2.4056
01063,-2.3940
01065,-1.6519
01067,-2.4076
01069,-1.4455
01071,-2.1633
01073,-1.7963
01075,-2.2832
01077,-1.4425
01079,-1.7754
01081,-1.5177
01083,-1.7104
01085,-2.3815
01087,-2.2297
01089,-1.4694
01091,-2.0398
01093,-2.0396
01095,-1.3534
01097,-1.5431
01099,-2.0619
01101,-2.1117
01103,-1.7139
01105,-2.2002
01107,-1.8815
01109,-1.4808
01111,-2.4469
01113,-1.7481
01115,-1.7355
01117,-1.3077
01119,-2.5807
01121,-1.7996
01123,-1.9230
01125,-1.9457
01127,-1.7651
01129,-2.4094
01131,-2.3829
02020,-1.4857
02090,-1.1195
02170,-0.7255
04003,-0.7830
04013,-1.3195
04015,-1.1171
04019,-1.4536
04021,-1.7418
04025,-0.6778
04027,-0.8845
05001,-2.0180
05003,-1.8528
05007,0.0289
05011,-2.0737
05017,-1.7980
05019,-1.4344
05025,-1.6736
05027,-2.0439
05029,-0.8985
05031,-1.7182
05033,-1.1449
05035,-1.3651
05037,-1.3325
05039,-2.3320
05041,-1.8556
05043,-1.4758
05045,-0.7166
05051,-1.6488
05057,-2.2103
05059,-1.7123
05061,-1.8406
05067,-1.5373
05069,-2.1592
05073,-1.6687
05077,-2.6268
05079,-1.8609
05081,-2.2588
05085,-1.5179
05091,-2.1662
05093,-2.1883
05095,-1.6686
05099,-1.0597
05103,-1.8950
05107,-1.6989
05111,-1.5547
05115,-1.4479
05117,-2.2962
05119,-1.9243
05123,-2.5093
05125,-0.8332
05131,-1.6320
05139,-1.6769
05143,-1.2075
05145,-1.0367
05147,-1.9652
06001,-2.0191
06007,-2.1381
06013,-2.1960
06017,-0.5933
06019,-2.2298
06023,-1.6737
06025,-1.5217
06029,-2.5073
06031,-1.6403
06037,-1.9506
06039,-2.2425
06041,-1.6493
06047,-2.1979
06053,-1.6068
06055,-1.5056
06059,-0.7632
06061,-0.6458
06065,-1.5677
06067,-2.0955
06071,-1.9769
06073,-1.2523
06075,-2.4851
06077,-2.3125
06079,-0.8338
06081,-1.6266
06083,-1.4675
06085,-0.9959
06087,-1.0814
06089,-1.4627
06095,-2.0383
06097,-1.1446
06099,-1.8882
06101,-1.8096
06107,-1.8276
06111,-1.0980
06113,-1.5725
06115,-1.8892
