id,b_coh
01001,-0.0428
01003,-0.0130
01005,0.1178
01007,0.0990
01011,-0.0347
01013,-0.0299
01015,0.0736
01017,0.1076
01021,0.0412
01023,-0.0843
01025,0.0556
01027,0.1296
01031,0.0755
01033,0.0080
01035,-0.0236
01037,0.1155
01039,0.0165
01041,0.0909
01045,0.0494
01047,-0.0210
01051,0.1001
01053,-0.0441
01055,0.0869
01057,-0.0543
01061,0.1806
01063,-0.0337
01065,0.0552
01067,0.1706
01069,0.0112
01071,0.0363
01073,-0.0303
01075,0.0852
01077,0.0192
01079,-0.0577
01081,0.1171
01083,0.0658
01085,0.0335
01087,-0.0106
01089,0.0803
01091,0.1097
01095,-0.1386
01097,-0.0372
01099,-0.0406
01101,-0.0592
01103,0.0729
01105,-0.1586
01107,0.0593
01109,0.0381
01111,0.1100
01113,0.0800
01115,0.0670
01117,0.0955
01119,0.0641
01121,-0.0076
01123,0.0133
01125,0.0967
01127,-0.0075
01129,0.0417
01131,-0.0759
02020,0.0836
02090,-0.0134
04003,0.0116
04013,0.0479
04015,0.0875
04019,0.0768
04021,0.0880
04027,0.1076
05001,0.0565
05003,0.0408
05007,-0.0464
05011,-0.1343
05017,0.0032
05019,-0.0464
05027,0.1010
05029,-0.0853
05031,-0.0219
05035,-0.0740
05037,-0.0307
05039,0.0813
05041,0.0012
05043,-0.0623
05045,-0.0727
05051,0.0105
05057,-0.0478
05059,-0.1506
05061,-0.0021
05067,0.0262
05069,0.0224
05073,0.0407
05077,0.0333
05079,-0.1908
05081,0.0353
05085,-0.0326
05091,0.0335
05093,0.0227
05095,0.0820
05099,0.0234
05103,-0.0071
05107,-0.0141
05111,-0.0089
05115,-0.0869
05119,0.0443
05123,0.0285
05125,0.0337
05131,0.0406
05139,-0.0761
05143,-0.0109
05145,-0.0940
05147,0.1730
06001,-0.1159
06007,0.0583
06013,-0.0118
06019,-0.0478
06025,0.0164
06029,-0.0258
06031,-0.0006
06037,-0.0044
06039,-0.0854
06041,0.0126
06047,-0.0280
06053,0.0047
06059,0.0433
06061,0.0414
06065,-0.0446
06067,-0.0484
06071,-0.0602
06073,0.0038
06075,-0.0871
06077,-0.0559
06079,-0.0337
06081,-0.0198
06083,0.0375
06085,0.0443
06087,0.1144
06089,-0.0586
06095,-0.0938
06097,0.0262
06099,-0.0379
06101,-0.1684
06107,-0.0269
06111,-0.0079
06113,0.0084
06115,-0.0676
08005,-0.0660
08031,-0.0008
09001,-0.0265
09003,-0.0133
09005,-0.0285
09007,-0.0253
09009,-0.0324
09011,-0.0243
09013,-0.0143
09015,0.0787
10001,0.0451
10003,-0.0406
10005,-0.0770
11001,0.1314
12003,0.0089
12005,-0.0121
12007,-0.0049
12011,0.0048
12015,-0.0313
12017,0.0746
12019,0.0368
12021,0.1461
12023,0.0779
12027,-0.1047
12031,0.0664
12033,0.0152
12035,0.1248
12039,0.0936
12047,0.1273
12049,0.0549
12051,0.0425
12053,0.0624
12055,0.0340
12057,0.0633
12061,0.0059
12063,0.0469
12065,0.0875
12069,0.0277
12071,0.0596
12073,0.0637
12075,0.0264
12079,0.0875
12081,0.0713
12083,-0.0160
12085,0.0373
12086,0.0696
12087,0.0958
12089,0.0628
12093,0.0287
12095,0.0677
12097,0.0714
12099,0.0685
12101,0.0640
12103,0.0963
12105,0.0339
12107,-0.0096
12109,0.0962
12111,0.0369
12113,-0.0020
12115,0.1393
12117,0.0060
12119,0.0433
12121,0.0498
12123,0.0526
12127,0.0730
12129,0.0076
12131,0.0332
12133,0.1289
13001,-0.1144
13003,0.0784
13005,0.0145
13009,-0.0913
13013,0.0439
13015,0.0332
13017,0.0945
13019,0.0793
13021,-0.0297
13023,0.0175
13027,0.0105
13029,0.0115
13031,-0.0120
13033,-0.0117
13035,-0.0388
13037,-0.1026
13039,0.0193
13043,-0.0229
13045,0.0419
13047,0.0553
13049,0.0845
13051,-0.0196
13057,0.0056
13059,-0.0031
13061,-0.1154
13063,-0.0549
13065,-0.0284
13067,0.0377
13069,0.0273
13071,-0.0803
13073,0.0440
13075,-0.0387
13077,0.0355
13079,-0.0759
13081,-0.0839
13087,-0.0396
13089,-0.0221
13091,-0.0263
13093,-0.0123
13095,-0.0263
13097,0.0564
13099,0.0136
13103,0.0577
13105,0.0201
13107,-0.0246
13109,-0.0879
13113,0.0257
13115,-0.1084
13117,0.0965
13119,0.0033
13121,-0.0495
13127,-0.0074
13129,-0.0057
13131,-0.0167
13133,-0.0143
13135,0.0403
13139,-0.0017
13141,-0.0756
13145,0.0587
13147,-0.0138
13151,0.0092
13153,-0.0372
13155,-0.0138
13157,0.0025
13159,-0.0465
13161,-0.0988
13163,-0.0902
13165,-0.0372
13167,-0.0314
13169,0.0418
13171,-0.0283
13173,-0.0694
13175,-0.0202
13177,0.0798
13179,-0.0280
13181,-0.0616
13183,0.0214
13185,0.0117
13189,-0.0032
13191,0.0007
13193,-0.0531
13195,0.1220
13197,0.0328
13199,-0.0661
13201,-0.0678
13205,-0.0184
13207,-0.0307
13209,-0.0346
13211,-0.0724
13215,-0.0239
13217,0.0596
13219,-0.0010
13221,0.1104
13223,0.0505
13225,-0.0189
13229,0.0425
13231,-0.0022
13233,-0.0513
13235,0.0694
13237,0.0424
13243,-0.0738
13245,-0.0378
13247,0.0106
13251,-0.0682
13253,0.0431
13255,0.0064
13257,-0.0922
13259,0.0131
13261,-0.0698
13263,0.0390
13267,0.0161
13269,0.0245
13271,0.0493
13273,-0.0886
13275,0.0118
13277,-0.0521
