id,b_grd
01001,0.9391
01003,0.7913
01005,0.8615
01007,0.9975
01011,0.6852
01013,0.8132
01015,0.8561
01017,0.9070
01021,0.7972
01023,0.6323
01025,0.7615
01027,0.8365
01031,0.9088
01033,0.8516
01035,0.7881
01037,0.9032
01039,0.8309
01041,0.9504
01045,0.8795
01047,0.6182
01051,0.8431
01053,0.7628
01055,0.8044
01057,0.8531
01061,0.9410
01063,0.6314
01065,0.8154
01067,0.9198
01069,0.7846
01071,0.8215
01073,0.7990
01075,0.7604
01077,0.7616
01079,0.7913
01081,0.9009
01083,0.8758
01085,0.8405
01087,0.6481
01089,0.8999
01091,0.9160
01095,0.8066
01097,0.6892
01099,0.7164
01101,0.5912
01103,0.9006
01105,0.4731
01107,0.9080
01109,0.8696
01111,0.8321
01113,0.8487
01115,0.9680
01117,0.9869
01119,0.8478
01121,0.8250
01123,0.8535
01125,0.8827
01127,0.8109
01129,0.7527
01131,0.5994
02020,0.9622
02090,0.9585
04003,0.9544
04013,1.0311
04015,0.9910
04019,0.9744
04021,0.9927
04027,0.9581
05001,0.8685
05003,0.7135
05007,0.9723
05011,0.8797
05017,0.8133
05019,0.8722
05027,0.9623
05029,0.6895
05031,0.7933
05035,0.7305
05037,0.8354
05039,0.7330
05041,0.7912
05043,0.9119
05045,0.8288
05051,0.7423
05057,0.8326
05059,0.7776
05061,0.8091
05067,0.9142
05069,0.8704
05073,0.8460
05077,1.0015
05079,0.8261
05081,0.8000
05085,0.8627
05091,0.6620
05093,0.8493
05095,0.7897
05099,0.6442
05103,0.7872
05107,0.8199
05111,0.8310
05115,0.8015
05119,0.8392
05123,0.7519
05125,0.8902
05131,0.9079
05139,0.8289
05143,0.9505
05145,0.8568
05147,0.8079
06001,0.8045
06007,0.9937
06013,0.8690
06019,0.8437
06025,0.9363
06029,0.9047
06031,0.9751
06037,0.8398
06039,0.8604
06041,0.8841
06047,0.8455
06053,0.9699
06059,0.9926
06061,0.9455
06065,0.8668
06067,0.8863
06071,0.8725
06073,0.9542
06077,0.9989
06079,0.9762
06081,0.8706
06083,1.0261
06085,0.9573
06087,0.9823
06089,0.9364
06095,0.7905
06097,0.9253
06099,0.8834
06101,0.8335
06107,0.9705
06111,0.9407
06113,0.9602
06115,0.7482
08005,0.8708
08031,0.8960
08041,0.8555
09001,0.8968
09003,0.8767
09005,0.8568
09007,0.8475
09009,0.8545
09011,0.9038
09013,0.8683
09015,0.8046
10001,0.8503
10003,0.8355
10005,0.7641
11001,0.9832
12003,0.7169
12005,0.8068
12007,0.7169
12011,0.8073
12015,0.7267
12017,0.8596
12019,0.7992
12021,0.9295
12023,0.6312
12027,0.5897
12031,0.8256
12033,0.6541
12035,0.8739
12039,0.6870
12047,0.7277
12049,0.6643
12051,0.7316
12053,0.8788
12055,0.7115
12057,0.8132
12061,0.7618
12063,0.7979
12065,0.6937
12069,0.7708
12071,0.7882
12073,0.7656
12075,0.7722
12079,0.6604
12081,0.8315
12085,0.8753
12086,0.7978
12087,0.8736
12089,0.8252
12093,0.6830
12095,0.8226
12097,0.8192
12099,0.8920
12101,0.8676
12103,0.8013
12105,0.7345
12107,0.6472
12109,0.8387
12111,0.8305
12115,0.8809
12117,0.8194
12119,0.7638
12121,0.7486
12123,0.7735
12127,0.7500
12129,0.8026
12131,0.7204
12133,0.8098
13001,0.7910
13003,0.8086
13005,0.8183
13009,0.7908
13013,0.8987
13015,0.8378
13017,0.8579
13019,0.7804
13021,0.8173
13023,0.7833
13027,0.7861
13029,0.8846
13031,0.9131
13033,0.8408
13035,0.9484
13037,0.7807
13039,0.8949
13043,0.8399
13045,0.8098
13047,0.9935
13049,0.9438
13051,0.8146
13057,0.9892
13059,0.8377
13061,0.8028
13063,0.8562
13065,0.8370
13067,0.9423
13069,0.8121
13071,0.7738
13073,0.9262
13075,0.8021
13077,0.9751
13079,0.7704
13081,0.7221
13087,0.6567
13089,0.8702
13091,0.7848
13093,0.8932
13095,0.8403
13097,0.8855
13099,0.9154
13103,0.8966
13105,0.8919
13107,0.8119
13109,0.9283
13113,0.9496
13115,0.9152
13117,1.0313
13119,0.7817
13121,0.8228
13127,0.9279
13129,0.8875
13131,0.7531
13133,0.8099
13135,0.9588
13139,0.9368
13141,0.8941
13145,0.9503
13147,0.9138
13151,0.8963
13153,0.8364
13155,0.6672
13157,0.9072
13159,0.8928
13161,0.8371
13163,0.9518
13165,0.7124
13167,0.8260
13169,0.9597
13171,0.7271
13173,0.7771
13175,0.8219
13177,0.8675
13179,0.8260
13181,0.8364
13183,0.7775
13185,0.8302
13189,0.8139
13191,0.8059
13193,0.8861
13195,0.8546
13197,0.8053
13199,0.7714
13201,0.9146
13205,0.9924
13207,0.8346
13209,0.7043
13211,0.7332
13215,0.8780
13217,0.9114
13219,0.8788
13221,1.0532
13223,0.8963
13225,0.9119
13229,0.9422
13231,0.9427
13233,0.8277
13235,0.8623
13237,0.8385
13239,0.7826
13243,0.7000
13245,0.8008
13247,0.8410
13251,0.8274
13253,0.9242
13255,0.7789
13257,0.8636
13259,0.8996
13261,0.8325
13263,0.9358
13267,0.9343
13269,0.6935
13271,0.9268
13273,0.6725
13275,0.7857
13277,0.7768
13279,0.8730
13283,0.6434
13285,0.8537
13287,0.7858
13289,0.9477
13293,0.8231
13295,0.8536
13297,0.9102
13299,0.9382
13301,0.9804
13303,0.8047
13305,0.8672
13309,0.6953
13313,0.7575
13315,0.8358
13317,0.8682
13319,1.0971
13321,0.8640
15003,1.0206
16001,0.9111
16027,0.9065
17001,0.7993
17003,0.7700
17019,0.7566
17031,1.0345
17037,0.9050
17043,0.9843
17063,0.9517
17077,0.8439
17081,0.9389
17089,0.9959
17091,0.7723
17093,0.9014
17095,0.7783
17097,0.9024
17099,0.8893
17111,1.0579
17113,0.8148
17115,0.8064
17119,0.8598
17121,0.7484
17137,0.8007
17143,0.7962
17153,0.8067
17161,0.9688
17163,0.7548
17167,0.9861
17177,0.6661
17183,0.9018
