id,b_ses
01001,-1.9614
01003,-2.4680
01005,-4.1035
01007,-3.3116
01009,-6.0235
01011,-3.8075
01013,-4.9568
01015,-4.8688
01017,-4.4271
01019,-2.5095
01021,-3.5132
01023,-4.1007
01025,-4.0447
01027,-2.7110
01029,-2.2633
01031,-4.0144
01033,-2.9958
01035,-6.9058
01037,-1.9399
01039,-5.7340
01041,-4.2452
01043,-6.6218
01045,-3.1663
01047,-5.0079
01049,-2.8877
01051,-2.8463
01053,-3.9147
01055,-4.2777
01057,-1.7490
01059,-4.5015
01061,-5.3319
01063,-3.7853
01065,-3.6918
01067,-3.7806
01069,-3.7107
01071,-2.3377
01073,-2.8480
01075,-3.6413
01077,-3.8458
01079,-1.0360
01081,-2.4728
01083,-1.5604
01085,-4.0098
01087,-3.9240
01089,-2.3292
01091,-3.3609
01093,-3.9021
01095,-3.6269
01097,-3.6706
01099,-5.7146
01101,-2.8715
01103,-4.3289
01105,-4.6211
01107,-6.4264
01109,-4.2835
01111,-3.8729
01113,-3.8665
01115,-2.5968
01117,-1.0340
01119,-6.1663
01121,-3.1212
01123,-4.7838
01125,-2.7886
01127,-4.3661
01129,-4.0039
01131,-4.7422
02013,1.9319
02020,-0.4782
02050,1.0558
02060,1.9214
02090,-0.1120
02110,-4.1118
02122,-2.8856
02170,-0.8947
02180,2.8955
02188,0.1964
02240,2.7058
02261,1.1783
04001,-5.7621
04003,0.2782
04005,0.3968
04007,-8.8133
04009,-5.4836
04011,-7.6324
04012,-2.0683
04013,-1.8014
04015,-3.0735
04017,-1.5323
04019,-0.9419
04021,-1.6215
04025,1.4815
04027,-1.3294
05001,-3.9466
05003,-3.5197
05007,-0.8975
05009,-8.1468
05011,-5.5010
05013,-3.2179
05017,-5.4111
05019,-3.0723
05025,-4.7503
05027,-5.5207
05029,-3.1317
05031,-5.6110
05033,-5.2481
05035,-5.1796
05037,-2.1903
05039,-1.7850
05041,-6.1340
05043,-6.2717
05045,-1.9792
05051,-4.2383
05053,-4.5181
05055,-9.7829
05057,-4.1969
05059,-2.0819
05061,-3.1824
05063,0.2772
05065,-9.8790
05067,-4.5538
05069,-3.6811
05071,-2.9202
05073,-4.0203
05077,-5.5807
05079,-5.9403
05081,-2.0562
05085,-2.6947
05087,1.9214
05091,-3.9765
05093,-5.8578
05095,-2.7325
05099,-3.6166
05103,-3.5023
05105,1.4296
05107,-5.9502
05109,-7.2194
05111,-8.0697
05113,1.9214
05115,-5.5166
05117,-5.5408
05119,-3.1399
05121,-9.0590
05123,-4.6530
05125,-2.6840
05131,-3.6360
05133,1.5161
05135,-6.7473
05139,-4.3397
05141,-4.9059
05143,-1.2919
05145,-2.4131
05147,-4.6825
05149,-9.6007
06001,-2.8871
06007,-4.5073
06009,-0.2033
06011,-3.5446
06013,-1.6221
06015,-5.5142
06017,-0.2087
06019,-4.2580
06023,-1.8185
06025,-4.0064
06027,1.9214
06029,-2.9164
06031,0.9941
06033,-5.8312
06035,1.0006
06037,-2.0887
06039,-1.7479
06041,-3.2038
06043,0.8216
06045,-0.6692
06047,-1.8580
06049,-9.0590
06053,-1.2841
06055,-0.7783
06057,-0.3670
06059,-0.1261
06061,0.7437
06065,-1.1572
06067,-2.7451
06069,-7.6344
06071,-1.9158
06073,-1.1009
06075,-3.4314
06077,-2.0980
06079,0.9379
06081,-1.1832
06083,-1.1196
06085,-0.6254
06087,1.4520
06089,-1.3487
06093,-2.0761
06095,-1.5590
06097,-1.9220
06099,-2.1538
06101,0.0200
06103,1.2264
06107,-2.3407
06109,-0.1244
06111,-0.1595
06113,-1.7731
06115,-2.0231
08001,-0.5386
08005,-2.0195
08013,-0.8431
08015,2.0490
08025,-9.1307
08029,1.9214
08031,-2.6408
08035,1.1140
08037,1.7882
08041,-0.2673
08043,2.0017
08045,-3.2130
08059,-3.8934
08063,2.0956
08067,-1.9051
08069,-0.5640
08071,-11.7913
08075,-5.3891
08077,-1.8762
08085,1.9214
08087,-8.0935
08089,-2.0175
08095,1.4097
08101,-3.0472
08107,1.9214
08117,2.4139
08119,-15.3062
08123,-3.6264
09001,-1.8805
09003,-2.1057
09005,0.3342
09007,0.0485
09009,-1.9356
09011,-1.0694
09013,-0.7553
09015,-3.4080
10001,-2.3918
10003,-1.8213
10005,-4.2387
11001,-4.0792
12001,-2.8315
12003,-1.8511
12005,-2.6765
12007,-1.7030
12009,-1.7117
12011,-1.8234
12013,-3.5932
12015,-1.7025
12017,-3.6645
12019,-0.7560
12021,-2.0990
12023,-2.8562
12027,-3.7204
12029,-2.8196
12031,-2.4159
12033,-3.9844
12035,-1.1384
12037,-6.9545
12039,-2.9394
12041,-1.0067
12043,-2.0492
12045,-4.6215
12047,-3.3807
12049,-3.9760
12051,-4.8229
12053,-2.6739
12055,-2.8765
12057,-2.8124
12059,-5.1878
12061,-3.8209
12063,-3.1551
12065,-3.2650
12067,-7.6290
12069,-2.5788
12071,-3.1212
12073,-2.8025
12075,-5.3727
12077,-5.7336
12079,-4.0154
12081,-2.8025
12083,-3.3871
12085,-2.4259
12086,-2.6847
12087,-0.6982
12089,-2.3072
12091,-1.7865
12093,-3.0995
12095,-1.8174
12097,-1.2907
12099,-2.1394
12101,-0.7319
12103,-2.6737
12105,-2.6733
12107,-4.0466
12109,-2.4312
12111,-2.3647
12113,-2.3635
12115,-3.8988
12117,-1.7577
12119,-2.8458
12121,-3.8627
12123,-5.0378
12125,-5.9701
12127,-2.8427
12129,-0.9173
12131,-4.5939
12133,-3.8674
13001,-3.1490
13003,-5.0977
13005,-3.0070
13007,-3.3607
13009,-2.9843
13011,-4.1184
13013,-2.9040
13015,-1.0036
13017,-4.1705
13019,-7.3401
13021,-3.7967
13023,-4.6494
13025,-5.9146
13027,-3.0226
13029,-0.8591
13031,-2.9034
13033,-3.6553
13035,-3.2974
13037,-4.0121
13039,-2.7186
13043,-2.6045
13045,-2.7176
13047,-1.5426
13049,-2.8862
13051,-2.2450
13053,-5.0529
13055,-0.4909
13057,-0.7986
13059,-4.2116
13061,-5.3938
13063,-1.7339
13065,-2.3624
13067,-1.0216
13069,-2.0896
13071,-4.4951
13073,-0.0504
13075,-5.6258
13077,-2.1526
13079,-4.2712
13081,-4.4972
13083,2.6452
13087,-2.9988
13089,-2.0954
13091,-3.0238
13093,-5.7052
13095,-4.1778
13097,-0.8527
13099,-5.0400
13101,-10.3966
13103,-2.2378
13105,-4.1152
13107,-5.1555
13109,-3.5411
13111,-1.2951
13113,1.1679
13115,-3.7998
13117,0.8535
13119,-5.1273
13121,-3.1593
13125,-2.3410
13127,-3.1672
13129,-3.3138
13131,-6.2582
13133,-5.4248
13135,-0.6350
13137,-0.8951
13139,-2.2017
13141,-3.9022
13143,-8.7588
13145,-0.8183
13147,-4.6473
13149,-2.4436
13151,-0.3357
13153,-2.1856
13155,-2.8479
13157,-4.1935
13159,-4.0708
13161,-2.4345
13163,-4.3236
13165,-4.5925
13167,-4.8741
13169,-1.3193
13171,-3.0739
13173,-3.6233
13175,-3.6318
13177,-2.1294
13179,-1.5723
13181,-4.6646
13183,-2.5533
13185,-3.6686
13187,-4.2216
13189,-3.6228
13191,-3.0906
13193,-3.1415
13195,-1.3959
13197,-4.3432
13199,-4.5665
13201,-4.2860
13205,-4.1524
13207,-1.9811
13209,-2.4737
13211,-2.8226
13213,-1.5657
13215,-3.1493
13217,-1.7051
13219,-0.1045
13221,0.3061
13223,-0.6074
13225,-4.8504
13227,-1.9738
13229,-2.5428
13231,-3.6646
13233,-4.1494
13235,-1.6960
13237,-2.5571
13239,-2.9032
13241,1.9214
13243,-5.3831
13245,-3.2154
13247,-1.2400
13249,-2.5273
13251,-2.7628
13253,-5.2667
13255,-3.5534
13257,-3.0988
13259,-3.9948
13261,-4.4453
13263,-2.7572
13267,-2.3027
13269,-4.1540
