id,f_avg
01001,0.3179
01003,0.1691
01005,-1.3867
01007,-0.8856
01009,-0.5318
01011,-2.0724
01013,-1.0665
01015,-0.2859
01017,-1.4070
01019,-0.4320
01021,-0.6525
01023,-1.4154
01025,-0.9357
01027,-0.8439
01029,-0.0705
01031,0.2070
01033,-0.0274
01035,-0.9220
01037,-1.0788
01039,-0.0727
01041,-0.5788
01043,0.2239
01045,-0.4493
01047,-1.6308
01049,-0.9180
01051,-0.4696
01053,-0.4303
01055,-0.4618
01057,-0.4343
01059,-0.4189
01061,-0.6491
01063,-2.0064
01065,-0.8639
01067,-1.0210
01069,-0.1138
01071,-0.1883
01073,-0.1715
01075,-0.9279
01077,0.0450
01079,-0.4413
01081,0.0847
01083,-0.4228
01085,-1.8620
01087,-1.9271
01089,0.4326
01091,-0.5494
01093,0.1908
01095,0.0185
01097,-0.3959
01099,-1.1754
01101,-1.3332
01103,-0.2272
01105,-1.7884
01107,-1.0028
01109,-0.4901
01111,-1.1689
01113,-0.9408
01115,-0.2735
01117,0.2562
01119,-2.1168
01121,-0.6900
01123,-0.6290
01125,-0.5825
01127,-0.2740
01129,-1.0468
01131,-1.8950
01133,-0.4821
02016,0.9561
02020,0.1486
02050,-3.5570
02060,-0.3786
02068,0.2632
02070,-2.4459
02090,0.1555
02110,0.1789
02122,0.6772
02130,0.0969
02150,0.2504
02170,0.3842
02180,-2.1036
02185,-2.0840
02188,-2.5289
02195,0.7173
02198,0.0542
02220,0.5597
02240,0.1043
02261,0.6970
02270,-3.5917
02290,-1.5375
04001,-1.6403
04003,-0.4490
04005,-0.5149
04007,-1.3401
04009,0.0254
04011,0.3169
04012,-1.2368
04013,0.0847
04015,-0.1549
04017,-0.7948
04019,-0.2530
04021,-0.5882
04023,-0.2879
04025,0.0531
04027,-0.7916
05001,-0.1896
05003,-0.2216
05005,0.7932
05007,0.9952
05009,1.0263
05011,-0.5581
05013,-0.7509
05015,0.1638
05017,-0.7907
05019,0.0049
05021,0.0315
05023,0.3253
05025,0.2739
05027,-0.2731
05029,0.2890
05031,0.2634
05033,-0.2125
05035,-0.3446
05037,0.2287
05039,-1.0144
05041,-0.8800
05043,0.0265
05045,0.8272
05047,0.5474
05049,1.0952
05051,0.3646
05053,0.5029
05055,-0.0853
05057,-0.9653
05059,0.2383
05061,-0.0674
05063,0.2723
05065,0.3350
05067,0.3403
05069,-1.0913
05071,0.0264
05073,-0.5759
05075,-0.0738
05077,-2.2332
05079,-0.4792
05081,-0.4690
05083,0.1526
05085,0.4898
05087,0.1392
05089,0.0893
05091,-0.4201
05093,-0.9105
05095,-0.7173
05097,0.1237
05099,-0.1091
05101,0.3730
05103,-0.6206
05105,0.2738
05107,-1.1072
05109,-0.2284
05111,-0.3270
05113,0.4631
05115,0.7325
05117,-0.0115
05119,-0.6161
05121,0.2962
05123,-1.6194
05125,0.8315
05127,-0.2251
05129,0.2806
05131,0.1275
05133,0.3537
05135,0.2525
05137,0.6264
05139,0.0123
05141,0.2691
05143,0.4241
05145,0.4635
05147,-0.1704
05149,0.1578
06001,0.1577
06005,-0.6544
06007,-0.8484
06009,-0.5120
06011,-1.3040
06013,0.0903
06015,-1.1920
06017,0.4749
06019,-0.7876
06021,-1.3671
06023,-0.6513
06025,-1.1891
06027,-0.9938
06029,-1.2615
06031,-1.0346
06033,-1.4037
06035,-1.0116
06037,-0.6507
06039,-1.2088
06041,1.0390
06043,-0.3302
06045,-1.3616
06047,-1.2113
06049,-1.0014
06051,-0.5668
06053,-1.2939
06055,-0.5478
06057,-0.0761
06059,0.2583
06061,0.5970
06063,-0.1800
06065,-0.6556
06067,-0.5058
06069,-0.8843
06071,-0.8554
06073,0.0273
06075,-0.0145
06077,-1.0836
06079,0.0243
06081,0.4607
06083,-0.6685
06085,0.7775
06087,-0.6685
06089,-0.4200
06093,-0.6515
06095,-0.6343
06097,-0.3358
06099,-0.9727
06101,-0.6268
06103,-0.7344
06105,-0.2901
06107,-1.2239
06109,-0.3790
06111,-0.3792
06113,-0.2619
06115,-0.9022
08001,0.0381
08003,0.1315
08005,0.6827
08007,0.3313
08009,0.7070
08011,0.4155
08013,1.5092
08015,1.1938
08019,1.1247
08021,0.6833
08023,-0.3721
08025,1.4475
08029,0.7901
08031,-0.2514
08035,1.8750
08037,0.8103
08039,0.7882
08041,1.0407
08043,0.4455
08045,0.2871
08047,0.5858
08049,1.0153
08051,1.2393
08055,-0.2613
08059,1.3159
08063,0.0880
08065,-1.1388
08067,0.8838
08069,1.4867
08071,0.1576
08073,0.8870
08075,0.8502
08077,0.5136
08081,-0.1519
08083,-0.2177
08085,0.3318
08087,0.0589
08089,0.0573
08091,2.2520
08093,1.3990
08095,0.4077
08097,1.8177
08099,0.2263
08101,0.1803
08103,1.0294
08105,-0.2002
08107,1.8487
08109,-0.6257
08113,1.5725
08117,1.1903
08119,1.0155
08121,0.6704
08123,0.1374
08125,0.6784
09001,1.0096
09003,0.5051
09005,0.8561
09007,1.2395
09009,0.2073
09011,0.6721
09013,1.3912
09015,0.0879
10001,0.3964
10003,0.1336
10005,0.4964
11001,-1.0686
12001,0.4525
12003,0.3809
12005,0.3200
12007,-0.6013
12009,0.8553
12011,0.5081
12013,0.5622
12015,0.4017
12017,0.6885
12019,0.7444
12021,0.3200
12023,0.1229
12027,-0.6456
12029,0.2275
12031,-0.0028
12033,-0.1991
12035,0.5489
12037,-0.1655
12039,-0.6700
12041,0.6612
12043,0.1601
12045,0.3880
12047,-0.8815
12049,-0.2746
12051,-0.5053
12053,0.2977
12055,-0.0921
12057,0.1960
12059,-0.0214
12061,0.2089
12063,0.3464
12065,-1.3710
12067,0.1345
12069,0.1443
12071,0.3080
12073,0.6536
12075,-0.2368
12077,0.0378
12079,-1.0204
12081,-0.0807
12083,-0.0328
12085,0.7812
12086,0.1775
12087,0.6453
12089,0.9302
12091,1.0083
12093,-0.4267
12095,0.2414
12097,-0.1622
12099,0.4724
12101,0.2137
12103,0.1703
12105,-0.2637
12107,-0.4468
12109,1.5650
12111,-0.1823
12113,1.1237
12115,1.1210
12117,1.0461
12119,0.6993
12121,-0.3016
12123,-0.1727
12125,0.4984
12127,0.1310
12129,0.6869
12131,0.6797
12133,0.1097
13001,-0.1790
13003,-0.3775
13005,0.0033
13007,-1.8341
13009,-1.0575
13011,0.4166
13013,-0.0136
13015,0.1279
13017,-0.5551
13019,0.4128
13021,-1.2609
13023,0.6906
13025,-0.0672
13027,-0.7291
13029,0.7224
13031,0.0024
13033,-0.7147
13035,-0.4061
13037,-0.7151
13039,0.5475
13043,-0.1967
13045,-0.0020
13047,0.1565
13049,-0.7136
13051,-0.7132
13053,-1.0880
13055,-0.4262
13057,0.9975
13059,-0.7416
13063,-0.8640
13065,-0.7154
13067,0.7135
13069,-0.1810
13071,-0.6183
13073,0.8850
13075,-0.4947
13077,0.2056
13079,-0.3666
13081,-0.3681
13083,-0.2191
13085,0.3755
13087,-0.4933
13089,-0.6243
13091,-0.2479
13093,-1.7205
13095,-1.0264
13097,-0.0549
13099,-0.3963
13101,-0.1843
13103,0.6109
13105,-0.6133
13107,-0.8480
13109,-0.3678
13111,0.3627
13113,1.4626
13115,-0.0901
13117,2.1986
13119,0.0266
13121,0.2309
13123,-0.0976
13125,-0.4165
13127,0.3242
13129,0.1865
13131,-0.5536
13133,-0.4979
13135,0.9355
13137,0.2069
13139,-0.3031
13141,-1.7335
13143,0.3257
13145,0.5349
13147,-0.1382
13149,0.3619
13151,0.1003
13153,0.4439
13155,-0.5010
13157,0.8378
13159,-0.5450
13161,-0.0978
13163,-0.7997
13165,-1.1420
13167,-0.5515
13169,0.0692
13171,-0.7197
13173,-0.0822
13175,-0.2364
13177,0.3883
13179,-0.3252
13181,0.1157
13183,-0.3571
