id,f_coh
01001,-0.0816
01003,-0.0243
01005,0.1165
01007,0.0165
01009,0.0719
01011,-0.0171
01013,-0.0695
01015,0.0504
01017,0.1080
01019,0.0627
01021,0.0234
01023,-0.1439
01025,0.0199
01027,0.1079
01029,0.0396
01031,0.0421
01033,0.0018
01035,-0.0342
01037,0.0851
01039,-0.0140
01041,0.0690
01043,-0.0038
01045,0.0616
01047,-0.0206
01049,0.0487
01051,0.0629
01053,-0.0151
01055,0.0361
01057,-0.0175
01059,-0.1281
01061,0.0927
01063,-0.0378
01065,0.0559
01067,0.0879
01069,0.0307
01071,-0.0238
01073,-0.0053
01075,0.0730
01077,0.0482
01079,-0.0003
01081,0.1171
01083,0.0438
01085,0.0201
01087,-0.0028
01089,0.0550
01091,0.1251
01093,0.0159
01095,-0.0755
01097,-0.0348
01099,-0.0362
01101,-0.0360
01103,-0.0155
01105,-0.1188
01107,0.0780
01109,0.0397
01111,0.0653
01113,0.0962
01115,0.0257
01117,0.0479
01119,0.0351
01121,-0.0137
01123,-0.0422
01125,0.1035
01127,-0.0070
01129,0.0138
01131,-0.0811
01133,0.0097
02020,0.0408
02050,-0.0420
02070,0.0552
02090,0.0040
02110,0.0586
02122,0.0397
02130,0.0100
02150,-0.0635
02170,-0.0324
02180,-0.0510
02185,-0.1239
02188,-0.1319
02198,0.0330
02220,0.0917
02240,0.1745
02261,-0.0368
02270,-0.1261
02290,-0.1253
04001,0.0697
04003,0.1027
04005,0.0421
04007,-0.0181
04009,0.0616
04011,0.1104
04012,0.0234
04013,0.0706
04015,0.1059
04017,0.0680
04019,0.0769
04021,0.0753
04023,0.0318
04025,0.0279
04027,0.1126
05001,0.0166
05003,0.0113
05005,-0.0773
05007,-0.0255
05009,-0.0302
05011,-0.0648
05013,-0.0294
05015,-0.0815
05017,-0.0111
05019,-0.0559
05021,-0.0769
05023,-0.0546
05025,-0.0659
05027,0.0630
05029,-0.0303
05031,-0.0353
05033,-0.0063
05035,-0.0981
05037,-0.0550
05039,0.0083
05041,0.0011
05043,-0.0957
05045,-0.0423
05047,-0.1024
05049,0.0572
05051,-0.0600
05053,-0.0662
05055,-0.0951
