id,f_grd
01001,1.0180
01003,0.8265
01005,0.9250
01007,1.0104
01009,0.8476
01011,0.7444
01013,0.7892
01015,0.8855
01017,0.9023
01019,0.9871
01021,0.7887
01023,0.6036
01025,0.8275
01027,0.9531
01029,0.8360
01031,0.9252
01033,0.9072
01035,0.7919
01037,0.9738
01039,0.8760
01041,0.9143
01043,0.9005
01045,1.0054
01047,0.6845
01049,0.9550
01051,0.8799
01053,0.8531
01055,0.8108
01057,0.8705
01059,0.6884
01061,0.9779
01063,0.5837
01065,0.8273
01067,0.9452
01069,0.8711
01071,0.8692
01073,0.9086
01075,0.7949
01077,0.9348
01079,0.8331
01081,0.9468
01083,0.8799
01085,0.8721
01087,0.7070
01089,0.9857
01091,0.9909
01093,0.8258
01095,0.8693
01097,0.7686
01099,0.8116
01101,0.6539
01103,0.8858
01105,0.5364
01107,0.9556
01109,0.9138
01111,0.8896
01113,0.8518
01115,0.9441
01117,0.9879
01119,0.8321
01121,0.8382
01123,0.9269
01125,0.9063
01127,0.8853
01129,0.7765
01131,0.6467
01133,0.8269
02020,1.0363
02050,1.1448
02070,1.0369
02090,0.9946
02110,1.1975
02122,1.0471
02130,1.0511
02150,0.9659
02170,1.0344
02180,0.9859
02185,1.0076
02188,0.9742
02198,1.0212
02220,0.9951
02240,1.0830
02261,0.9947
02270,0.8823
02290,0.9409
04001,1.0272
04003,1.0907
04005,1.0743
04007,0.9677
04009,1.0915
04011,0.9057
04012,1.0412
04013,1.0930
04015,1.0433
04017,1.0688
04019,1.0312
04021,1.0107
04023,1.1313
04025,1.0321
04027,1.0765
05001,0.8924
05003,0.7909
05005,0.9345
05007,0.9998
05009,0.8738
05011,0.9732
05015,0.8924
05017,0.9202
05019,0.9341
05021,0.7296
05023,0.9447
05025,0.8763
05027,0.9918
05029,0.7471
05031,0.8580
05033,0.9772
05035,0.7709
05037,0.8566
05039,0.7905
05041,0.8175
05043,0.8937
05045,0.9163
05047,0.8834
05049,0.8541
05051,0.7881
05053,0.8894
05055,0.9167
05057,0.8669
05059,0.9117
05061,0.9194
05063,0.9033
05065,0.8214
05067,0.9245
05069,0.8868
05071,0.8835
05073,0.9053
05075,0.8441
05077,0.9800
05079,0.8136
05081,0.8743
05083,0.9327
05085,0.8773
05087,1.1294
05089,0.8994
05091,0.8038
05093,0.9136
05095,0.8350
05097,0.9063
05099,0.6926
05101,0.8667
05103,0.8501
05105,0.9081
05107,0.8744
05109,0.8070
05111,0.8246
05113,0.7711
05115,0.8312
05117,1.0731
05119,0.8330
05121,1.0625
05123,0.8272
05125,0.9146
05127,0.9200
05129,0.9122
05131,0.9939
05133,0.8903
05135,0.8581
05137,0.9786
05139,0.8989
05141,0.8831
05143,0.9750
05145,0.9133
05147,1.0084
05149,0.8142
06001,1.0707
06005,0.9851
06007,1.1066
06009,1.1020
06011,1.0528
06013,1.0169
06015,1.0120
06017,1.0621
06019,0.9590
06021,0.9867
06023,1.0994
06025,1.0476
06027,1.1079
06029,1.0061
06031,1.0650
06033,0.9684
06035,1.0584
06037,0.9810
06039,0.9393
06041,1.0389
06043,1.0393
06045,1.0885
06047,0.9479
06049,0.9678
06051,1.1782
06053,1.0731
06055,1.0377
06057,1.0840
06059,1.0978
06061,1.0778
06063,0.8980
06065,0.9711
06067,1.0292
06069,1.0960
06071,0.9732
06073,1.0429
06075,1.0954
06077,1.0727
06079,1.0825
06081,1.0938
06083,1.1037
06085,1.1062
06087,1.1395
06089,1.0613
06093,1.0984
06095,1.0026
06097,1.0481
06099,0.9933
06101,1.0316
06103,0.9489
06105,1.2235
06107,1.0166
06109,0.9882
06111,1.0389
06113,1.1123
06115,0.8963
08001,0.9080
08005,0.9563
08013,1.0230
08031,1.0262
08035,1.0114
08037,0.9527
08041,0.9263
08043,0.8681
08045,0.9026
08059,0.9931
08067,0.9965
08069,0.9597
08077,0.9848
08085,0.9974
08087,0.9428
08101,0.7625
08123,0.8636
09001,0.9805
09003,0.9792
09005,0.9705
09007,1.0039
09009,0.9593
09011,0.9966
09013,1.0842
09015,0.9915
10001,0.9116
10003,0.9142
10005,0.9385
11001,1.0219
12001,0.9169
12003,0.7943
12005,0.8422
12007,0.7431
12009,0.8818
12011,0.8717
12013,0.8495
12015,0.7985
12017,0.8331
12019,0.8308
12021,1.0190
12023,0.7441
12027,0.6407
12029,0.8033
12031,0.8154
12033,0.7335
12035,0.9137
12037,0.8233
12039,0.7008
12041,0.9127
12043,0.8313
12045,0.8583
12047,0.8306
