id,frpl_seg
01001,0.0450
01003,0.0907
01005,0.0810
01007,0.0069
01009,0.0337
01011,0.0066
01013,0.0200
01015,0.0704
01017,0.1017
01019,0.0147
01021,0.0073
01023,0.0214
01025,0.0210
01027,0.0020
01029,0.0088
01031,0.0491
01033,0.0938
01035,0.0355
01037,0.0000
01039,0.0271
01041,0.0013
01043,0.0495
01045,0.0366
01047,0.0776
01049,0.0422
01051,0.0122
01053,0.1100
01055,0.1253
01057,0.0016
01059,0.0172
01061,0.0085
01063,0.0199
01065,0.1532
01067,0.0734
01069,0.1204
01071,0.0253
01073,0.2952
01075,0.0135
01077,0.0753
01079,0.0445
01081,0.0882
01083,0.0507
01085,0.0075
01087,0.0044
01089,0.1840
01091,0.1062
01093,0.0212
01095,0.0629
01097,0.1333
01099,0.0836
01101,0.2461
01103,0.1038
01105,0.0137
01107,0.1387
01109,0.0337
01111,0.0164
01113,0.0935
01115,0.0420
01117,0.0939
01119,0.0612
01121,0.0602
01123,0.0191
01125,0.1305
01127,0.0458
01129,0.0626
01131,0.0065
01133,0.0036
02013,0.0494
02016,0.1185
02020,0.1826
02050,0.1274
02060,0.1151
02068,0.0528
02070,0.0651
02090,0.0702
02100,0.0148
02105,0.1336
02110,0.0243
02122,0.0701
02130,0.0236
02150,0.0555
02170,0.0576
02180,0.1175
02185,0.0815
02188,0.1206
02195,0.0097
02198,0.2962
02220,0.0012
02230,0.0000
02240,0.1290
02261,0.0333
02270,0.0367
02275,0.0000
02282,0.0026
02290,0.1465
04001,0.1614
04003,0.1656
04005,0.1592
04007,0.1092
04009,0.0685
04011,0.0432
04012,0.0780
04013,0.2922
04015,0.1101
04017,0.1728
04019,0.2444
04021,0.1162
04023,0.1073
04025,0.1108
04027,0.1673
05001,0.0042
05003,0.1012
05005,0.0179
05007,0.1030
05009,0.0309
05011,0.0024
05013,0.0000
05015,0.0194
05017,0.0040
05019,0.0141
05021,0.0104
05023,0.0039
05025,0.0441
05027,0.0346
05029,0.0091
05031,0.1244
05033,0.0701
05035,0.2643
05037,0.0428
05039,0.0000
05041,0.0076
05043,0.0185
05045,0.0385
05047,0.0119
05049,0.0055
05051,0.0791
05053,0.0050
05055,0.0183
05057,0.0662
05059,0.0359
05061,0.0328
05063,0.0149
05065,0.0262
05067,0.0217
05069,0.1411
05071,0.0660
05073,0.0045
05075,0.0144
05077,0.0000
05079,0.0000
05081,0.0019
05083,0.0147
05085,0.0529
05087,0.0081
05089,0.0034
05091,0.0507
05093,0.1923
05095,0.0763
05097,0.0216
05099,0.0033
05101,0.0149
05103,0.0488
05105,0.0049
05107,0.1341
05109,0.0073
05111,0.0650
05113,0.1070
05115,0.0302
05117,0.0089
05119,0.1720
05121,0.0901
05123,0.0381
05125,0.0224
05127,0.0159
05129,0.0126
05131,0.1853
05133,0.0152
05135,0.0065
05137,0.0116
05139,0.0500
05141,0.0124
05143,0.1128
05145,0.0283
05147,0.1009
05149,0.0144
06001,0.2672
06003,0.0259
06005,0.0210
06007,0.1331
06009,0.0390
06011,0.0240
06013,0.3139
06015,0.0631
06017,0.1594
06019,0.2109
06021,0.0793
06023,0.1100
06025,0.1628
06027,0.0376
06029,0.2273
06031,0.1920
06033,0.0998
06035,0.0803
06037,0.2337
06039,0.1543
06041,0.2701
06043,0.0396
06045,0.0660
06047,0.0931
06049,0.0208
