id,h_avg
01001,-0.0998
01003,-1.1880
01005,-1.9304
01009,-1.6214
01015,-0.9689
01021,-1.4253
01031,-0.3831
01033,-1.2720
01043,-1.0700
01045,-1.2168
01049,-2.2149
01051,-1.0591
01055,-1.8669
01059,-1.3365
01061,-1.3346
01069,-0.2753
01071,-1.0382
01073,-1.4190
01077,-0.8426
01081,-0.7817
01083,-1.5412
01089,-1.1614
01095,-1.4930
01097,-0.5713
01101,-2.0533
01103,-1.6960
01113,-0.6233
01115,-1.0832
01117,-1.4232
01121,-1.0577
01123,-1.2131
01125,-1.5408
02020,-0.7894
02090,-0.4541
02110,-0.4869
02122,0.1074
02170,-0.2927
04001,-1.2793
04003,-1.4215
04005,-1.5893
04007,-1.5577
04009,-0.9001
04011,-0.0856
04012,-1.8583
04013,-1.1773
04015,-1.0562
04017,-1.1802
04019,-1.2097
04021,-1.3429
04023,-0.5352
04025,-1.1015
04027,-1.3335
05003,-0.4943
05007,-0.2373
05011,-1.2588
05015,-0.5467
05019,-0.7961
05031,-1.0183
05033,-1.1697
05035,-0.7778
05045,-0.4309
05051,-0.5403
05055,-1.5804
05057,-1.9195
05059,-0.4171
05061,-0.7179
05063,-1.1922
05069,-0.4277
05071,-0.6441
05085,-0.2236
05087,-0.9837
05093,-1.2505
05109,-0.7110
05113,-0.6618
05115,-0.6051
05119,-1.3705
05125,-0.4988
05127,-0.8685
05131,-1.2613
05133,-0.0815
05139,-0.7960
05143,-0.8156
05145,-0.4826
05149,-0.6002
06001,-1.5837
06005,-1.4794
06007,-1.7199
06009,-1.4977
06011,-1.8997
06013,-1.5351
06015,-1.7152
06017,-1.0866
06019,-1.5545
06021,-2.2219
06023,-1.7401
06025,-1.5119
06027,-2.0203
06029,-1.8718
06031,-1.7609
06033,-2.2278
06035,-1.5840
06037,-1.5006
06039,-1.8071
06041,-1.3291
06043,-1.1917
06045,-2.3139
06047,-1.7463
06049,-1.8348
06051,-1.9726
06053,-2.0452
06055,-1.6835
06057,-1.5981
06059,-1.3245
06061,-0.7352
06063,-1.1563
06065,-1.3890
06067,-1.5528
06069,-1.6101
06071,-1.4473
06073,-1.1749
06075,-1.8968
06077,-1.8853
06079,-1.3735
06081,-1.4177
06083,-1.7161
06085,-1.4891
06087,-2.0744
06089,-1.1783
06093,-1.5291
06095,-1.5112
06097,-1.6186
06099,-1.6945
06101,-1.4373
06103,-1.6025
06107,-1.8191
06109,-1.0843
06111,-1.7553
06113,-1.7432
06115,-1.6230
08001,-1.0775
08003,-0.5551
08005,-0.9006
08007,-0.8802
08011,0.2018
08013,-0.8248
08015,0.1715
08021,-0.2157
08023,-0.9169
08029,-0.2195
08031,-1.2248
08035,0.8048
08037,-0.7431
08039,-0.6616
08041,-0.0548
08043,-0.2879
08045,-0.9621
08049,-0.6272
08051,-1.1038
08055,-0.7879
08059,-0.2295
08063,-1.0832
08065,-1.9052
08067,-0.6938
08069,-0.5820
08071,-0.4505
08075,-0.2170
08077,-0.6254
08081,-1.3267
08083,-0.8350
08085,-0.8814
08087,-0.7673
08089,-0.8651
08095,-0.6632
08097,-0.2705
08099,-0.6492
08101,-0.4766
08105,-1.0806
08107,-0.1576
08109,-0.9691
08117,-1.0580
08119,0.1828
08123,-1.0681
08125,-0.8095
09001,-0.9355
09003,-1.6927
09005,-0.5842
09007,-0.5399
09009,-1.3981
09011,-1.2378
09013,-0.3387
09015,-2.0151
10001,-0.2237
10003,-1.0330
10005,-0.1202
11001,-1.2013
12001,0.3707
12005,-0.2676
12009,0.1294
12011,0.5238
12015,-0.2105
12017,0.3191
12019,0.3678
12021,-0.5324
12023,-0.0942
12027,-0.8434
12031,-0.2646
12033,-0.2303
12035,0.2711
12039,-0.4584
12043,-0.4491
12047,-1.0064
12049,-0.6955
12051,-0.6756
12053,-0.3892
12055,-0.5737
12057,-0.5233
12061,-0.5782
12063,-0.6227
12067,-0.2530
12069,-0.4901
12071,-0.2974
12073,0.5595
12075,-0.8101
12081,-1.2127
12083,-0.5233
12085,-0.3324
12086,0.1962
12087,-0.1796
12089,0.4675
12093,-0.8759
12095,-0.4030
12097,-0.7403
12099,-0.0424
12101,-0.4354
12103,-0.5864
12105,-0.8276
12107,-0.9175
12109,1.0166
12111,-0.4098
12113,0.7184
12115,0.1880
12117,0.2029
12119,-0.0226
12121,-0.9991
12127,-0.6505
12131,-0.3359
13001,-0.6901
13003,-0.7471
13005,-1.3552
13011,-0.6049
13013,-0.4888
13015,-0.5296
13017,-0.5071
13019,-0.1007
13021,-1.2883
13027,-0.8662
13029,0.2243
13031,-0.6751
13039,0.2191
13043,-0.8810
13045,-0.6493
13047,-0.3858
13051,-0.6690
13055,-0.8225
13057,-0.4112
13059,-0.9363
13063,-1.1164
13067,-0.7289
13069,-0.5313
13071,-1.1347
13073,0.0996
13075,-1.1746
13077,-0.3589
13085,-0.6878
13087,-0.7666
13089,-1.3365
13093,-1.8598
13095,-0.5342
13097,-0.6918
13101,-1.1789
13103,0.4382
13105,-0.9692
13107,-0.7130
13109,-0.5028
13113,0.2549
13115,-0.6402
13117,0.3741
13119,-0.5754
13121,-0.8325
13123,-1.4454
13127,-0.3095
13129,-0.5816
13131,-1.0457
13135,-0.3578
13137,-1.1298
13139,-1.3225
13145,-0.0040
13147,-0.6607
13151,-0.4320
13153,-0.1179
13157,0.0245
13161,-0.7651
13175,-0.6756
13179,-0.2617
13183,-0.8683
13185,0.1430
13187,-0.2932
13195,-0.5247
13205,-0.6791
13213,-0.4169
13215,-0.8078
13217,-0.8196
13219,0.0317
13223,-0.2379
13225,-0.9502
13227,-1.0510
13229,0.0679
13233,-1.0681
13237,-0.0247
13241,-0.6446
13245,-0.9930
13247,-0.4526
13255,-0.6568
13261,-1.2660
13267,-1.2759
13275,-1.1128
13277,-0.8504
13279,-1.1165
13285,-0.1697
13295,-0.7805
13297,-0.1361
13299,-0.1840
13305,-1.2628
13313,-0.9959
15003,-0.6501
16001,-1.0153
16005,-0.7689
16011,-1.7462
16013,-0.9310
16019,-1.5720
16027,-1.3605
16031,-1.5429
16039,-1.5456
16041,-1.5888
16043,-1.8507
16045,-1.2464
16047,-1.6703
16051,-1.5389
16053,-1.4901
16055,-0.0116
16063,-1.7142
16065,-0.9619
16067,-1.2341
16069,-0.3095
16073,-1.3588
16075,-1.1757
