id,h_coh
01003,-0.0687
01009,0.1070
01015,0.0849
01021,0.0333
01031,-0.0199
01043,-0.0106
01049,0.0452
01051,0.0348
01055,0.0207
01059,-0.1051
01069,-0.0570
01071,0.0021
01073,0.0088
01077,0.0007
01081,0.0962
01083,0.0672
01089,0.0548
01095,-0.0124
01097,-0.0353
01101,-0.0492
01103,0.0142
01113,0.0185
01115,-0.0118
01117,0.0749
01125,-0.0075
02020,0.0687
02090,-0.0033
02122,0.0609
02170,0.0201
04001,0.1504
04003,0.1264
04005,0.0747
04007,0.0126
04009,0.0792
04011,0.0809
04012,0.0263
04013,0.0805
04015,0.1415
04017,0.0766
04019,0.0918
04021,0.0645
04023,0.0240
04025,0.0699
04027,0.1166
05003,-0.0267
05007,0.0192
05011,-0.1926
05015,-0.0310
05019,0.0052
05031,0.0032
05033,0.0286
05045,-0.0558
05051,0.0105
05057,-0.0099
05061,-0.0170
05063,0.0329
05085,-0.0154
05093,0.0063
05113,0.0352
05115,-0.0227
05119,0.0393
05125,0.0352
05131,0.1048
05133,0.0725
05139,-0.0269
05143,0.0906
05145,-0.0798
05149,-0.0500
06001,-0.0082
06005,-0.0116
06007,0.0520
06009,0.0601
06011,0.0697
06013,0.0153
06015,0.0047
06017,0.0733
06019,0.0065
06021,0.0023
06023,0.0414
06025,0.0196
06027,0.0411
06029,0.0436
06031,0.0818
06033,-0.0168
06035,0.0022
06037,0.0534
06039,-0.0604
06041,0.0718
06045,0.0523
06047,0.0054
06051,0.1327
06053,0.0483
06055,0.0164
06057,0.0974
06059,0.0408
06061,0.0661
06065,0.0135
06067,-0.0060
06069,0.0980
06071,0.0042
06073,0.0307
06075,0.0185
06077,0.0274
06079,0.0735
06081,0.0220
06083,0.0506
06085,0.0390
06087,0.0370
06089,0.0179
06093,0.0720
06095,-0.0257
06097,0.0360
06099,0.0082
06101,0.0306
06103,-0.0098
06107,0.0273
06109,-0.0232
06111,0.0063
06113,0.0520
06115,0.0059
08001,-0.0332
08005,-0.0901
08031,0.0365
08037,-0.1583
08041,-0.0376
08059,-0.1080
08069,-0.0483
08087,0.0101
08101,-0.0953
08123,0.0109
09001,0.0038
09003,0.0411
09005,0.0202
09007,-0.0025
09009,0.0019
09011,0.0352
09013,0.0839
09015,0.1161
10001,0.0318
10003,-0.0401
10005,-0.0556
11001,0.1115
12005,-0.0178
12011,-0.0016
12015,0.0921
12017,0.0587
12019,0.0302
12021,0.0971
12023,0.0554
12027,-0.1037
12031,0.0082
12033,-0.0250
12035,0.0743
12039,0.0604
12043,0.0030
12049,0.0335
12051,-0.0095
12053,0.0879
12055,0.0419
12057,0.0310
12061,0.0317
12069,0.0254
12071,0.0350
12073,0.0162
12075,0.0501
12081,0.1010
12083,-0.0389
12085,-0.0103
12086,0.0659
12087,0.0088
12089,0.0465
12093,0.0386
12095,0.0401
12097,0.0665
12099,-0.0004
12101,0.0654
12103,0.0712
12105,0.0655
12107,0.0177
12109,0.1402
12111,0.0300
12113,0.0183
12115,0.0808
12117,-0.0044
12119,0.1001
12121,0.0853
12127,0.0475
12131,0.1041
13001,-0.0834
13003,0.1798
13013,0.0581
13015,0.0236
13017,0.0898
13021,0.0323
13029,0.0907
13031,0.0595
13039,-0.0143
13043,0.0236
13045,0.0603
13047,-0.0052
13051,0.0092
13055,0.0485
13057,-0.0361
13059,0.0322
13063,-0.0107
13067,0.0440
13069,0.0433
13071,-0.0198
13073,0.0679
13077,0.0468
13087,-0.0008
13089,-0.0351
13095,-0.0365
13097,0.0941
13103,0.1301
13109,-0.0985
13113,-0.0011
13115,-0.0401
13117,0.0545
13121,0.0130
13123,0.0135
13127,0.0216
13129,0.0277
13131,-0.0168
13135,0.0508
13137,0.0506
13139,0.0314
13151,0.0537
13153,-0.0113
13157,0.0327
13161,-0.0949
13179,-0.0050
13183,-0.0095
13185,0.0098
13187,0.0948
13195,0.0748
13213,-0.0197
13215,0.0021
13217,0.0538
13219,0.0787
13223,0.0916
13225,0.0539
13233,-0.0659
13241,0.0746
13245,0.0227
13247,0.0409
13255,0.0404
13261,-0.1339
13267,0.0767
13277,-0.0086
13279,0.0480
13285,-0.0443
13297,0.0814
13299,0.1221
13305,0.1220
13313,-0.0013
15003,0.0675
16001,0.0606
16005,0.0002
16011,-0.0450
16013,0.0663
16019,-0.0029
16027,-0.0119
16031,-0.0136
16039,0.0180
16043,0.0127
16045,-0.1048
16047,-0.1274
16051,0.0032
16053,-0.0458
16055,0.1157
16063,0.1812
16067,0.0753
16073,-0.0173
16075,-0.0356
16077,0.0229
16081,0.0224
16083,-0.0334
16087,0.0129
17007,0.0085
17011,0.0119
17017,-0.0170
17019,-0.1340
17031,0.0872
17037,0.0248
17041,0.1080
17043,0.0334
17063,0.0139
17073,0.0568
17075,0.0745
17077,-0.0713
17089,0.0355
17091,-0.0439
17093,0.0733
17095,-0.1032
17097,0.0362
17099,0.0115
17111,0.0675
17113,-0.0176
17115,-0.0544
17119,-0.0029
17141,-0.0143
17143,-0.0303
17161,-0.0678
17163,0.0031
17167,0.0502
17177,-0.0827
17179,0.0300
17183,0.0321
17187,-0.0909
17195,-0.0781
17197,0.0531
17201,0.0631
18001,-0.0999
18003,0.0911
18005,0.2047
18011,0.0431
18017,0.1588
18019,0.0340
18023,0.0839
18037,0.1170
18039,0.1751
18053,0.2026
18057,0.0457
18063,0.1352
18071,0.0036
18073,0.0240
18081,0.1210
18085,0.1168
18087,0.0613
18089,0.0871
18091,0.0873
18095,0.2309
18097,0.0647
18099,0.0584
18105,0.0739
18107,0.0654
18113,0.1545
18127,0.0678
18141,0.0430
18145,0.1668
18157,0.1593
18163,0.1504
18167,0.0915
18181,0.1517
19005,-0.0300
19013,0.1276
19021,0.0852
19033,0.0180
19045,0.1270
19047,0.1297
19049,0.0759
19057,-0.0814
19061,0.0540
19069,0.0433
19103,0.0890
19113,0.0154
19115,0.0254
19127,0.0893
19139,-0.0454
19153,0.0472
19155,-0.0217
19163,0.0152
19167,-0.0291
19169,0.0959
19171,0.0923
19179,0.0245
19181,0.0333
19183,0.0147
19187,-0.1255
19193,0.0905
19197,0.0240
20009,-0.1213
20015,-0.0207
20035,-0.0959
20037,0.0336
20045,0.0287
20055,-0.0664
20057,-0.0561
20061,-0.0921
20067,-0.0783
20069,-0.0716
20079,-0.1120
20081,-0.0454
20091,-0.0081
20093,-0.0318
20103,0.0727
20111,0.0245
20125,0.0343
20155,-0.0167
20159,-0.1071
20161,0.0122
20169,-0.0488
20173,0.0184
20175,0.0253
20177,0.0160
20189,-0.1537
20209,-0.0712
21015,-0.0242
21017,-0.0828
21047,-0.0457
21059,-0.0541
21067,-0.1044
21083,-0.0996
21093,0.1084
21111,0.0321
21117,0.0763
21151,-0.0744
21185,0.0405
21209,-0.0378
21211,-0.0152
21227,-0.0333
21239,-0.0087
22005,0.1357
22015,0.0978
22017,-0.0030
22019,0.0251
22033,0.0257
22045,0.1165
22051,0.0057
22055,-0.0558
22057,0.0769
22063,0.0728
22071,-0.0493
22073,0.0055
22075,0.0597
22079,-0.0702
22087,0.0008
22089,0.0547
22101,0.0473
22103,0.0033
22105,-0.0010
22109,-0.0010
22115,0.0950
