id,h_grd
01003,0.7858
01009,0.8813
01015,0.9830
01021,0.7013
01031,0.8980
01043,0.8241
01045,0.8366
01049,0.9735
01051,0.8826
01055,0.7796
01059,0.7189
01069,0.8161
01071,0.8987
01073,0.9455
01077,0.7503
01081,0.9664
01083,0.9254
01089,0.9791
01095,0.8324
01097,0.8047
01101,0.7281
01103,0.8207
01113,0.9100
01115,0.9592
01117,0.9861
01125,0.8338
02020,1.0136
02090,1.0010
02122,1.0047
02170,0.9717
04001,1.1732
04003,1.0970
04005,1.0292
04007,0.9835
04009,1.1063
04011,0.8559
04012,1.0760
04013,1.0824
04015,1.0611
04017,0.9919
04019,1.0036
04021,1.0393
04023,1.1119
04025,1.0123
04027,1.0824
05003,0.7878
05007,0.9511
05011,0.9245
05015,0.8939
05019,0.9079
05031,0.8671
05033,1.0451
05045,0.8185
05051,0.8072
05057,0.9003
05061,0.8118
05063,0.9719
05071,0.9848
05085,0.8774
05093,0.8900
05113,0.7293
05115,0.8339
05119,0.9117
05125,0.9195
05131,0.9777
05133,0.8613
05139,0.9801
05143,0.9967
05145,0.9322
05149,0.7498
06001,0.9741
06005,1.0000
06007,1.0317
06009,1.1200
06011,1.0163
06013,0.9393
06015,0.9971
06017,1.0254
06019,0.9168
06021,1.0182
06023,1.0551
06025,1.0263
06027,1.1729
06029,0.9697
06031,1.0525
06033,0.9510
06035,0.9793
06037,0.9232
06039,0.8851
06041,0.9870
06045,1.0645
06047,0.9183
06051,1.0989
06053,1.0452
06055,0.9803
06057,1.0840
06059,0.9969
06061,1.0427
06065,0.9309
06067,0.9668
06069,1.0851
06071,0.9346
06073,0.9889
06075,0.9270
06077,1.0761
06079,1.0488
06081,0.9916
06083,1.0795
06085,0.9704
06087,1.1001
06089,1.0005
06093,1.0804
06095,0.9073
06097,1.0021
06099,0.9707
06101,1.0002
06103,0.9067
06107,0.9855
06109,0.9667
06111,0.9812
06113,1.0364
06115,0.8444
08001,0.8778
08005,0.9036
08013,0.9061
08031,1.0000
08035,0.9928
08037,0.8773
08041,0.8672
08045,0.8316
08059,0.8487
08069,0.8745
08077,0.9435
08085,0.9646
