id,h_ses
01001,-1.0665
01003,-4.3914
01005,0.7319
01007,0.3190
01009,-1.8878
01011,-12.9999
01013,1.4097
01015,-0.7705
01017,0.2433
01019,-1.6764
01021,-2.6376
01023,1.9214
01027,-1.8543
01029,-1.2273
01031,-2.8739
01033,-0.1351
01037,-3.6538
01039,0.9597
01041,-6.8701
01043,-3.3409
01045,-0.7497
01047,-3.0495
01049,-2.3638
01051,-1.9340
01053,-4.4621
01055,-2.6466
01057,2.2141
01059,-2.1781
01061,-0.2756
01063,0.7621
01065,1.8239
01067,-1.4733
01069,-2.4854
01071,0.6846
01073,-0.6385
01075,-0.5508
01077,-0.4894
01079,-1.8669
01081,-2.8097
01083,-1.0119
01089,-0.4364
01091,2.2248
01093,1.7264
01095,-2.0908
01097,-1.3091
01101,-1.9859
01103,-2.5748
01107,1.5268
01109,-4.5403
01111,-2.8057
01113,0.2782
01115,-3.6594
01117,-2.1620
01119,1.9214
01121,-1.3011
01123,-2.1133
01125,-0.4925
01127,-1.0585
01133,-4.4434
02013,-1.8290
02016,0.5118
02020,-0.2389
02050,1.4180
02060,1.6106
02070,-3.7360
02090,0.5223
02105,0.3141
02110,-0.3142
02122,0.3527
02130,-4.2655
02150,-0.2103
02170,-0.8196
02180,-5.2540
02185,0.7111
02188,-8.4861
02198,-3.5056
02220,-0.0616
02240,1.4867
02270,-13.4902
02290,-8.9361
04001,-0.6194
04003,-2.1410
04005,-0.7291
04007,-1.2618
04009,-1.0206
04011,-1.6533
04012,-2.0726
04013,-1.3963
04015,-2.7052
04017,-0.8487
04019,-1.8129
04021,-1.0482
04023,-2.4821
04025,-1.2978
04027,-2.5638
05001,-0.1414
05003,-3.3247
05005,-0.6202
05007,-0.4770
05009,-0.0540
05011,-1.5705
05015,-0.5567
05017,-4.0252
05019,-4.1392
05021,-2.4825
05023,-4.0209
05025,-9.0590
05027,-0.6257
05029,-0.7494
05031,-2.9850
05033,-1.1027
05035,1.1178
05037,-0.4868
05039,-14.2690
05041,-1.4032
05043,-0.5180
05045,-1.4230
05047,-2.1081
05049,-8.9737
05051,-0.5751
05053,0.1498
05055,-2.3588
05057,-1.2203
05059,-3.4102
05061,-1.9539
05063,-2.2037
05067,-3.7947
05069,-2.1538
05071,0.0504
05073,0.6182
05075,-2.1302
05077,-3.6975
05079,-5.2626
05081,-1.4944
05083,-1.3575
05085,-0.4093
