id,m_avg
01001,-0.0722
01003,-0.2756
01005,-2.0115
01007,-1.4761
01009,-0.9327
01011,-2.8539
01013,-1.5655
01015,-0.7135
01017,-1.9056
01019,-1.1511
01021,-1.1359
01023,-2.0118
01025,-1.7332
01027,-1.1902
01029,-0.6142
01031,-0.1740
01033,-0.6101
01035,-1.4351
01037,-1.7319
01039,-0.7472
01041,-1.2095
01043,-0.0867
01045,-1.0375
01047,-2.2621
01049,-1.3012
01051,-0.8335
01053,-0.9621
01055,-0.9804
01057,-0.9581
01059,-0.8400
01061,-1.1525
01063,-2.8427
01065,-1.4362
01067,-1.6397
01069,-0.5965
01071,-0.7522
01073,-0.7472
01075,-1.3275
01077,-0.4130
01079,-1.0072
01081,-0.3479
01083,-0.9828
01085,-2.8487
01087,-2.5780
01089,-0.0419
01091,-1.3880
01093,-0.2923
01095,-0.4205
01097,-1.0236
01099,-1.8457
01101,-2.0883
01103,-0.6134
01105,-2.6745
01107,-1.5947
01109,-0.9603
01111,-1.7020
01113,-1.4553
01115,-0.7783
01117,-0.1922
01119,-2.9389
01121,-1.2680
01123,-1.2020
01125,-1.2306
01127,-0.8397
01129,-1.6566
01131,-2.8566
01133,-1.0423
02016,0.5503
02020,-0.3141
02050,-3.8124
02060,-1.0085
02068,0.1902
02070,-3.0327
02090,-0.2639
02110,-0.1624
02122,0.2578
02130,-0.3493
02150,-0.3967
02170,-0.0604
02180,-2.4832
02185,-2.6675
02188,-3.2370
02195,0.1509
02198,-0.7140
02220,-0.2120
02240,-0.1966
02261,0.1649
02270,-4.0017
02290,-2.2668
04001,-2.3057
04003,-0.9167
04005,-1.1280
04007,-1.8619
04009,-0.5372
04011,-0.3693
04012,-1.7248
04013,-0.3763
04015,-0.6417
04017,-1.3113
04019,-0.7232
04021,-1.1094
04023,-0.6858
04025,-0.3959
04027,-1.3355
05001,-1.2731
05003,-1.0989
05005,-0.1407
05007,0.3530
05009,0.2294
05011,-1.5752
05013,-1.6896
05015,-0.3661
05017,-1.9614
05019,-0.6523
05021,-0.6995
05023,-0.5321
05025,-1.0481
05027,-1.2335
05029,-0.4973
05031,-0.4378
05033,-0.8361
05035,-1.1175
05037,-0.6473
05039,-1.8045
05041,-1.6837
05043,-0.6663
05045,0.2091
05047,-0.1018
05049,0.4176
05051,-0.3920
05053,-0.3747
05055,-0.9204
05057,-1.8186
05059,-0.5668
05061,-0.7784
05063,-0.5262
05065,-0.4278
05067,-0.5698
05069,-1.9409
05071,-0.6533
05073,-1.7996
05075,-0.9552
05077,-2.9243
05079,-1.2163
05081,-1.2337
05083,-0.5445
05085,-0.1626
05087,-0.4782
05089,-0.7810
05091,-1.1667
05093,-1.6600
05095,-1.7272
05097,-0.8067
05099,-0.8367
05101,-0.7549
05103,-1.5480
05105,-0.7956
05107,-1.8572
05109,-1.2101
05111,-1.1633
05113,-0.4882
05115,-0.0036
05117,-0.8842
05119,-1.4494
05121,-0.4284
05123,-2.5614
05125,0.1973
05127,-1.0730
05129,-0.2765
05131,-0.5146
05133,-0.3706
05135,-0.2953
05137,-0.2325
05139,-0.9399
05141,-0.5426
05143,-0.2880
05145,-0.3179
05147,-1.0378
05149,-0.7069
06001,-0.2658
06005,-1.0559
06007,-1.1779
06009,-0.9299
06011,-1.7501
06013,-0.3351
06015,-1.6362
06017,0.1654
06019,-1.2489
06021,-1.9171
06023,-1.0587
06025,-1.5792
06027,-1.2796
06029,-1.7592
06031,-1.5408
06033,-1.9087
06035,-1.3364
06037,-1.0792
06039,-1.6715
06041,0.8213
06043,-0.7959
06045,-1.9106
06047,-1.6652
06049,-1.4501
06051,-0.7917
06053,-1.7543
06055,-0.9218
06057,-0.4918
06059,-0.0566
06061,0.3238
06063,-0.5836
06065,-1.0600
06067,-0.9542
06069,-1.3183
06071,-1.2733
06073,-0.3246
06075,-0.4627
06077,-1.5944
06079,-0.3321
06081,0.0180
06083,-1.1079
06085,0.3625
06087,-1.0182
06089,-0.7438
06093,-1.0851
06095,-1.1290
06097,-0.6838
06099,-1.3596
06101,-1.0104
06103,-1.0427
06105,-0.7965
06107,-1.7774
06109,-0.7184
06111,-0.7442
06113,-0.7244
06115,-1.3682
08001,-0.3238
08003,-0.2404
08005,0.2643
08007,-0.0591
08009,-0.0202
08011,0.4264
08013,1.2038
08015,0.6519
08019,0.8629
08021,0.3690
08023,-1.8715
08025,0.0531
08029,0.3724
08031,-0.7847
08035,1.5401
08037,0.4507
08039,0.3903
08041,0.6707
08043,-0.0978
08045,0.0019
08049,0.7553
08051,0.8005
08055,-0.5237
08059,0.9378
08063,-0.4418
08065,-1.4425
08067,0.4360
08069,1.1010
08071,-0.3401
08073,0.6420
08075,0.3267
08077,0.1601
08081,-0.4980
08083,-0.6850
08085,0.0313
08087,-0.2471
08089,-0.4094
08091,0.7570
08093,0.9193
08095,0.0856
08097,1.3877
08099,-0.3631
08101,-0.1026
08103,0.1907
08105,-0.6026
08107,1.4876
08109,-0.9171
08113,1.3517
08117,0.8837
08119,0.5986
08121,0.0906
08123,-0.2372
08125,-0.2652
09001,0.7934
09003,0.2178
09005,0.5182
09007,0.9461
09009,-0.1309
09011,0.3353
09013,1.1290
09015,-0.1994
10001,0.0843
10003,-0.2273
10005,0.2086
11001,-1.8028
12001,0.1486
12003,0.1318
12005,0.1374
12007,-0.7599
12009,0.6937
12011,0.1497
12013,0.4177
12015,0.1551
12017,0.4031
12019,0.5622
12021,0.0513
12023,-0.0208
12027,-0.8169
12029,-0.1708
12031,-0.2192
12033,-0.3472
12035,0.2604
12037,-0.4032
12039,-0.8270
12041,0.4751
12043,-0.0294
12045,0.0750
12047,-1.0708
12049,-0.5678
12051,-0.6535
12053,0.0660
12055,-0.2956
12057,-0.0523
12059,-0.3286
12061,0.0047
12063,0.1560
12065,-1.7202
12067,0.0151
12069,-0.0676
12071,0.1368
12073,0.4141
12075,-0.3491
12077,-0.4571
12079,-1.3379
12081,-0.2303
12083,-0.3213
12085,0.5255
12086,-0.0803
12087,0.3241
12089,0.6515
12091,0.8440
12093,-0.5829
12095,-0.0126
12097,-0.4335
12099,0.2105
12101,-0.0482
12103,-0.0713
12105,-0.4973
12107,-0.5913
12109,1.3277
12111,-0.4992
12113,0.9831
12115,0.9210
12117,0.8591
12119,0.4748
12121,-0.4709
12123,-0.4197
12125,0.3708
12127,-0.1024
12129,0.4852
12131,0.4156
12133,-0.2205
13001,-0.6677
13003,-0.6596
13005,-0.4340
13009,-1.4189
13011,-0.0963
13013,-0.5052
13015,-0.3027
13017,-1.0852
13019,-0.1339
13021,-1.8009
13023,0.2013
13025,-0.1714
13027,-1.3114
13029,0.3637
13031,-0.4745
13033,-1.2328
13035,-1.0871
13037,-1.2343
13039,0.0850
13043,-0.7245
13045,-0.4878
13047,-0.1101
13049,-1.1529
13051,-1.1967
13053,-1.3867
13055,-0.8190
13057,0.5812
13059,-1.1586
13063,-1.5278
13065,-1.2860
13067,0.2660
13069,-0.5690
13071,-1.0774
13073,0.5046
13075,-0.9738
13077,-0.3121
13079,-0.8099
13081,-0.7583
13083,-0.7175
13085,-0.2496
13087,-0.9049
13089,-1.2510
13091,-0.8056
13093,-2.4561
13095,-1.5705
13097,-0.6403
13099,-0.7054
13101,-0.8144
13103,0.2609
13105,-1.0593
13107,-1.3981
13109,-0.7823
13111,-0.3440
13113,1.0610
13115,-0.4966
13117,1.8082
13119,-0.4530
13121,-0.2452
13123,-0.6947
13125,-0.7783
13127,-0.1369
13129,-0.2311
13131,-1.0414
13133,-1.3532
13135,0.4685
13137,-0.2248
13139,-0.7527
13141,-2.4916
13143,-0.3295
13145,0.1107
13147,-0.5691
13149,-0.1838
13151,-0.3855
13153,0.0580
13155,-0.7908
13157,0.4145
13159,-1.0515
13161,-0.5543
13163,-1.4650
13165,-1.5175
13167,-0.9521
13169,-0.3778
13171,-1.0774
13173,-0.6399
13175,-0.7728
13177,0.0257
13179,-0.7824
13181,-0.3032
13183,-0.8771
13185,-0.1976
13187,0.1652
13189,-1.0551
13191,-1.3661
13193,-2.0989
13195,-0.1896
13197,-0.7810
13199,-1.9576
13201,-1.3061
13205,-1.1623
13207,-0.0893
13209,-1.3600
13211,0.0596
13213,-0.3673
13215,-1.2673
13217,-0.9691
13219,1.3906
13221,-0.1301
13223,-0.3017
13225,-1.6312
13227,-0.2693
13229,0.2737
13231,-0.3470
13233,-0.9625
13235,-1.1571
13237,-0.5280
13239,-2.3006
13241,-0.1152
13243,-2.5001
13245,-1.8952
13247,-0.3945
13249,0.3373
13251,-1.4160
13253,-0.9623
13255,-1.2161
13257,0.1746
13259,-1.6688
13261,-2.0219
13263,-2.6442
13267,-1.1153
13269,-1.3604
13271,-1.1443
13273,-1.9269
13275,-1.0575
13277,-0.6549
13279,-1.1578
13281,-0.0979
13283,-1.1371
13285,-0.5849
13287,-1.3501
13289,-2.0951
13291,0.4629
13293,-0.8039
13295,-0.4021
13297,-0.0662
13299,-0.1993
13301,-1.9608
13303,-1.2923
13305,-1.0047
13307,-0.5471
