id,m_coh
01001,-0.0790
01003,-0.0621
01005,0.1045
01007,0.0393
01009,0.0825
01011,-0.0375
01013,-0.0768
01015,0.0289
01017,0.0642
01019,0.0663
01021,0.0166
01023,-0.0649
01025,0.0516
01027,0.1297
01029,0.0366
01031,0.0299
01033,0.0237
01035,0.0002
01037,0.0643
01039,-0.0301
01041,0.0889
01043,-0.0256
01045,0.0735
01047,-0.0113
01049,0.0454
01051,0.0469
01053,-0.0228
01055,0.0174
01057,-0.0030
01059,-0.1298
01061,0.1038
01063,-0.0562
01065,0.0704
01067,0.1067
01069,0.0410
01071,-0.0336
01073,0.0012
01075,-0.0071
01077,0.0067
01079,-0.0354
01081,0.1118
01083,0.0637
01085,0.0688
01087,0.0363
01089,0.0542
01091,0.1114
01093,-0.0032
01095,-0.0728
01097,-0.0449
01099,-0.0071
01101,-0.0637
01103,-0.0169
01105,-0.1509
01107,0.0445
01109,0.0239
01111,0.0568
01113,0.0904
01115,0.0543
01117,0.0561
01119,0.0817
01121,-0.0055
01123,-0.0070
01125,0.0810
01127,-0.0059
01129,-0.0320
01131,-0.0325
01133,0.0349
02020,0.0582
02050,-0.0628
02070,-0.0486
02090,0.0093
02110,0.0283
02122,-0.0011
02130,0.0686
02150,-0.0346
02170,-0.0339
02180,-0.0118
02185,-0.1220
02188,-0.0984
02198,-0.0482
02220,0.0509
02240,0.0167
02261,-0.0650
02270,-0.1111
02290,-0.0538
04001,0.0525
04003,0.1055
04005,0.0696
04007,-0.0034
04009,0.0628
04011,0.1274
04012,-0.0033
04013,0.0699
04015,0.0784
04017,0.0601
04019,0.0732
04021,0.0772
04023,0.0228
04025,0.0413
04027,0.1054
05001,0.0374
05003,0.0070
05005,-0.0488
05007,-0.0065
05009,-0.0117
05011,-0.1362
05013,-0.0416
05015,-0.0461
05017,0.0436
05019,-0.0388
05021,-0.0845
05023,-0.0294
05025,-0.0229
05027,0.0887
05029,-0.0606
05031,-0.0165
05033,0.0121
05035,-0.0930
05037,-0.0034
05039,-0.0124
05041,0.0054
05043,-0.0805
05045,-0.0325
05047,-0.0716
05049,0.0393
05051,-0.0284
05053,-0.0553
05055,-0.0642
05057,-0.0069
05059,-0.0415
05061,-0.0117
05063,-0.0572
05065,-0.0108
05067,0.0440
05069,-0.0022
05071,-0.1221
05073,0.0414
05075,-0.0782
05077,0.0062
05079,-0.1860
05081,-0.0061
05083,-0.0578
05085,-0.0253
05087,-0.0534
05089,-0.0724
05091,0.0449
05093,0.0293
05095,0.0648
05097,-0.0477
05099,-0.0113
05101,-0.0918
05103,-0.0328
05105,-0.0527
05107,-0.0040
05109,0.0220
05111,-0.0505
05113,-0.0053
05115,-0.0106
05117,0.0586
05119,0.0475
05121,-0.0083
05123,0.0410
05125,-0.0001
05127,0.0640
05129,-0.0127
05131,0.0416
05133,0.0317
05135,-0.0425
05137,-0.0759
05139,-0.0642
05141,0.0289
05143,0.0254
05145,-0.0558
05147,0.3362
05149,-0.0771
06001,0.0660
06005,-0.0573
06007,0.0336
06009,0.0054
06011,0.0280
06013,0.0488
06015,-0.0093
06017,0.0006
06019,-0.0162
06021,-0.0158
06023,-0.0426
06025,0.0098
06027,0.0195
06029,0.0150
06031,0.0583
06033,-0.0455
06035,0.0054
06037,0.0369
06039,-0.0824
06041,0.0602
06043,-0.0469
06045,-0.0048
06047,-0.0300
06049,-0.0466
06051,0.0953
06053,0.0123
06055,-0.0142
06057,0.0251
06059,0.0533
06061,0.0369
06063,-0.0031
06065,-0.0137
06067,-0.0065
06069,0.0484
06071,-0.0218
06073,0.0512
06075,0.0843
06077,0.0178
06079,0.0232
06081,0.1061
06083,0.0198
06085,0.1029
06087,0.0222
06089,0.0098
06093,-0.0053
06095,-0.0093
06097,0.0004
06099,-0.0260
06101,-0.0208
06103,-0.0457
06105,0.0964
06107,0.0021
06109,-0.0715
06111,-0.0141
06113,0.0193
