id,m_grd
01001,0.9582
01003,0.7689
01005,0.8547
01007,0.9390
01009,0.8027
01011,0.6479
01013,0.7409
01015,0.8148
01017,0.8241
01019,0.9214
01021,0.7029
01023,0.5878
01025,0.7192
01027,0.8859
01029,0.7759
01031,0.8571
01033,0.8645
01035,0.7779
01037,0.9128
01039,0.7615
01041,0.8648
01043,0.8373
01045,0.9369
01047,0.6304
01049,0.9201
01051,0.8014
01053,0.7714
01055,0.7369
01057,0.8163
01059,0.6215
01061,0.9370
01063,0.5895
01065,0.7631
01067,0.8791
01069,0.8341
01071,0.8009
01073,0.8645
01075,0.7119
01077,0.8702
01079,0.7405
01081,0.9023
01083,0.8178
01085,0.8767
01087,0.7330
01089,0.9406
01091,0.9149
01093,0.7287
01095,0.7924
01097,0.6982
01099,0.7484
01101,0.5428
01103,0.8383
01105,0.5462
01107,0.8334
01109,0.8478
01111,0.8336
01113,0.8116
01115,0.8903
01117,0.9483
01119,0.8580
01121,0.8002
01123,0.8403
01125,0.8346
01127,0.8383
01129,0.6718
01131,0.6498
01133,0.7513
02020,1.0468
02050,1.1783
02070,0.9029
02090,0.9776
02110,1.2099
02122,1.0281
02130,1.0358
02150,1.0179
02170,1.0012
02180,0.9910
02185,0.9530
02188,0.9417
02198,0.9974
02220,1.0139
02240,0.9921
02261,0.9677
02270,0.9098
02290,0.9335
04001,0.9947
04003,1.0711
04005,1.0158
04007,0.9479
04009,1.0509
04011,0.8849
04012,1.0731
04013,1.0604
04015,0.9915
04017,1.0142
04019,1.0018
04021,1.0063
04023,1.1013
04025,0.9865
04027,1.0472
05001,0.7649
05003,0.6895
05005,0.8798
05007,0.9763
05009,0.8170
05011,0.8673
05013,0.7901
05015,0.8895
05017,0.7650
05019,0.8950
05021,0.7102
05023,0.8706
05025,0.8395
05027,0.9881
05029,0.6481
05031,0.7990
05033,0.9641
05035,0.6975
05037,0.7771
05039,0.7418
05041,0.7713
05043,0.8488
05045,0.8802
05047,0.8125
05049,0.7377
05051,0.7680
05053,0.8331
05055,0.8530
05057,0.8489
05059,0.8056
05061,0.8260
05063,0.8403
05065,0.7843
05067,0.8729
05069,0.8689
05071,0.8341
05073,0.8216
05075,0.7456
05077,1.0105
05079,0.8029
05081,0.7899
05083,0.8644
05085,0.8234
05087,0.9612
05089,0.8389
05091,0.7566
05093,0.8728
05095,0.6781
05097,0.7510
05099,0.6967
05101,0.7676
05103,0.7989
05105,0.8638
05107,0.7655
05109,0.8113
05111,0.7216
05113,0.7233
05115,0.7479
05117,0.9186
05119,0.8217
05121,0.9267
05123,0.7682
05125,0.8673
05127,0.9535
05129,0.8511
05131,0.9636
05133,0.8453
05135,0.7821
05137,0.8668
05139,0.8547
05141,0.8477
05143,0.9376
05145,0.8452
05147,0.9822
05149,0.6905
06001,0.9977
06005,0.8396
06007,0.9963
06009,1.0238
06011,0.9268
06013,0.9467
06015,0.9506
06017,0.9603
06019,0.8909
06021,0.9363
06023,0.9482
06025,0.9799
06027,0.9877
06029,0.9118
06031,0.9903
06033,0.8727
06035,0.9379
06037,0.9005
06039,0.8570
06041,0.9770
06043,0.9856
06045,0.9695
06047,0.8575
06049,0.9060
06051,1.0707
06053,0.9796
06055,0.9312
06057,1.0087
06059,1.0198
06061,1.0034
06063,0.9057
06065,0.8807
06067,0.9451
06069,1.0153
06071,0.8894
06073,0.9646
06075,0.9981
06077,1.0102
06079,0.9973
06081,1.0292
06083,1.0185
06085,1.0523
06087,1.0665
06089,0.9649
06093,0.9627
06095,0.9043
06097,0.9583
06099,0.9206
06101,0.9392
06103,0.8254
06105,1.1273
06107,0.9426
06109,0.9034
06111,0.9640
06113,1.0257
06115,0.8199
08001,0.8440
08005,0.8819
08013,0.9683
08031,0.9434
08035,0.9334
08037,0.8707
08041,0.8657
08043,0.7440
08045,0.8132
08059,0.9407
08067,0.9270
08069,0.8777
08077,0.9240
08085,0.8679
08087,0.7972
08101,0.6862
08123,0.8548
09001,0.9102
09003,0.8925
09005,0.8647
09007,0.9036
09009,0.8599
09011,0.9130
09013,1.0093
09015,0.8838
10001,0.8314
10003,0.8578
10005,0.8401
11001,0.9358
12001,0.8537
12003,0.7260
12005,0.7900
12007,0.7394
12009,0.8575
12011,0.8309
12013,0.7416
12015,0.7138
12017,0.7809
12019,0.7919
12021,0.9371
12023,0.7232
12027,0.6123
12029,0.7961
12031,0.8132
12033,0.7379
12035,0.8439
12037,0.7871
12039,0.7431
12041,0.8648
12043,0.7801
12045,0.7764
12047,0.7570
12049,0.5806
12051,0.6590
12053,0.8070
12055,0.7867
12057,0.8244
12059,0.8113
12061,0.7808
12063,0.7542
12065,0.7233
12067,0.9059
12069,0.7668
12071,0.7983
12073,0.8534
12075,0.8562
12077,0.9144
12079,0.6404
12081,0.8837
12083,0.6949
12085,0.8479
12086,0.8163
12087,0.7913
12089,0.7694
12091,0.8542
12093,0.7652
12095,0.8252
12097,0.7906
12099,0.8810
12101,0.8550
12103,0.8034
12105,0.7582
12107,0.6433
12109,0.9055
12111,0.8138
12113,0.7620
12115,0.8859
12117,0.8101
12119,0.7784
12121,0.6944
12123,0.8087
12125,0.7635
12127,0.7558
12129,0.7776
12131,0.8077
12133,0.7297
13001,0.8104
13003,0.8450
13005,0.8588
13009,0.7439
13011,0.8497
13013,0.8904
13015,0.8210
13017,0.8781
13019,0.8450
13021,0.7708
13023,0.8448
13025,0.9084
13027,0.7228
13029,0.8888
13031,0.9401
13033,0.8229
13035,0.9133
13037,0.8806
13039,0.8944
13043,0.8541
13045,0.8142
13047,0.9637
13049,0.9871
13051,0.8260
13053,0.6381
13055,0.8849
13057,0.9632
13059,0.8132
13063,0.8499
13065,0.8682
13067,0.9652
13069,0.8436
13071,0.7523
13073,0.9382
13075,0.8236
13077,0.9451
13079,0.7658
13081,0.7422
13083,0.9120
13085,0.9401
13087,0.6798
13089,0.8257
13091,0.7555
13093,0.8619
13095,0.8227
13097,0.8380
13099,0.9188
13101,0.8593
13103,0.9347
13105,0.8912
13107,0.7494
13109,0.9314
13111,0.9302
13113,0.9485
13115,0.9043
13117,1.0757
13119,0.7140
13121,0.8680
13123,1.1833
13125,0.9254
13127,0.9443
13129,0.9443
13131,0.7180
13133,0.8143
13135,0.9682
13137,0.9766
13139,0.9497
13141,0.8791
13143,0.9572
13145,0.9106
13147,0.9177
13149,1.1925
13151,0.8864
13153,0.8425
13155,0.6740
13157,0.8868
13159,0.7969
13161,0.8651
13163,0.9556
13165,0.6515
13167,0.8172
13169,0.9077
13171,0.7318
13173,0.8650
13175,0.8038
13177,0.8747
