id,mf_avg
01001,-5.8764
01003,-5.9435
01005,-6.1044
01007,-6.0568
01009,-5.8952
01011,-6.2441
01013,-6.0254
01015,-5.9368
01017,-5.9957
01019,-6.2030
01021,-5.9836
01023,-6.0650
01025,-6.2722
01027,-5.8458
01029,-6.0528
01031,-5.8881
01033,-6.0800
01035,-5.9922
01037,-6.1579
01039,-6.1508
01041,-6.0934
01043,-5.8126
01045,-6.0716
01047,-6.1325
01049,-5.8790
01051,-5.8607
01053,-6.0218
01055,-6.0141
01057,-6.0123
01059,-5.9286
01061,-5.9940
01063,-6.3403
01065,-6.0597
01067,-6.1280
01069,-5.9763
01071,-6.0586
01073,-6.0666
01075,-5.9237
01077,-5.9525
01079,-6.0491
01081,-5.9308
01083,-6.0506
01085,-6.4506
01087,-6.1671
01089,-5.9650
01091,-6.3130
01093,-5.9767
01095,-5.9426
01097,-6.1224
01099,-6.1549
01101,-6.2300
01103,-5.8859
01105,-6.3776
01107,-6.0915
01109,-5.9875
01111,-6.0329
01113,-6.0085
01115,-5.9976
01117,-5.9386
01119,-6.3083
01121,-6.0680
01123,-6.0699
01125,-6.1419
01127,-6.0601
01129,-6.0991
01131,-6.4263
01133,-6.0700
02016,-5.8780
02020,-5.9642
02050,-5.7597
02068,-5.7341
02070,-5.9984
02090,-5.9209
02110,-5.8531
02122,-5.9078
02130,-5.9273
02150,-6.1407
02170,-5.9270
02180,-5.8834
02185,-6.0560
02188,-6.1879
02195,-5.9363
02198,-6.1619
02220,-6.1858
02240,-5.7803
02261,-6.0154
02270,-5.9311
02290,-6.2286
04001,-6.1664
04003,-5.9704
04005,-6.1159
04007,-6.0318
04009,-6.0528
04011,-6.0905
04012,-6.0061
04013,-5.9647
04015,-5.9934
04017,-6.0186
04019,-5.9728
04021,-6.0270
04023,-5.9066
04025,-5.9514
04027,-6.0424
05001,-6.5558
05003,-6.3640
05005,-6.4293
05007,-6.1436
05009,-6.2913
05011,-6.4841
05013,-6.3531
05015,-6.0300
05017,-6.5609
05019,-6.1468
05021,-6.2308
05023,-6.3015
05025,-6.7252
05027,-6.4307
05029,-6.2586
05031,-6.2013
05033,-6.1227
05035,-6.2746
05037,-6.3556
05039,-6.2401
05041,-6.2993
05043,-6.1562
05045,-6.1138
05047,-6.1516
05049,-6.1962
05051,-6.2517
05053,-6.3672
05055,-6.3250
05057,-6.3396
05059,-6.2968
05061,-6.1745
05063,-6.2870
05065,-6.2402
05067,-6.3858
05069,-6.3327
05071,-6.1707
05073,-6.6161
05075,-6.3672
05077,-6.1658
05079,-6.2606
05081,-6.2782
05083,-6.1872
05085,-6.1551
05087,-6.1462
05089,-6.3202
05091,-6.2398
05093,-6.2375
05095,-6.4378
05097,-6.3293
05099,-6.1906
05101,-6.5143
05103,-6.4095
05105,-6.4960
05107,-6.2475
05109,-6.4627
05111,-6.3304
05113,-6.4168
05115,-6.2488
05117,-6.3164
05119,-6.3392
05121,-6.2179
05123,-6.4257
05125,-6.1324
05127,-6.3310
05129,-6.0851
05131,-6.1380
05133,-6.2330
05135,-6.0604
05137,-6.3233
05139,-6.4453
05141,-6.2621
05143,-6.2145
05145,-6.2784
05147,-6.3170
05149,-6.3602
06001,-5.9223
06005,-5.8419
06007,-5.8324
06009,-5.9019
06011,-5.9315
06013,-5.9215
06015,-5.9377
06017,-5.8134
06019,-5.9572
06021,-6.0350
06023,-5.8967
06025,-5.8847
06027,-5.7739
06029,-5.9939
06031,-6.0020
06033,-6.0001
06035,-5.8370
06037,-5.9262
06039,-5.9595
06041,-5.7235
06043,-5.9453
06045,-6.0409
06047,-5.9511
06049,-5.9716
06051,-5.7147
06053,-5.9569
06055,-5.8740
06057,-5.9029
06059,-5.8149
06061,-5.7729
06063,-5.9621
06065,-5.9003
06067,-5.9440
06069,-5.9296
06071,-5.9124
06073,-5.8501
06075,-5.9412
06077,-6.0061
06079,-5.8530
06081,-5.9416
06083,-5.9358
06085,-5.9141
06087,-5.8498
06089,-5.8262
06093,-5.9263
06095,-5.9889
06097,-5.8456
06099,-5.8868
06101,-5.8766
06103,-5.8094
06105,-5.9955
06107,-6.0503
06109,-5.8413
06111,-5.8633
06113,-5.9551
06115,-5.9638
08001,-5.8644
08003,-5.9122
08005,-5.9166
08007,-5.9272
08011,-5.6735
08013,-5.8129
08015,-6.0420
08019,-5.8027
08021,-5.7895
08029,-5.9419
08031,-6.0316
08035,-5.8378
08037,-5.8983
08039,-5.8875
08041,-5.8703
08043,-6.0485
08045,-5.7919
08049,-5.7648
08051,-5.9536
08055,-5.7896
08059,-5.8838
08063,-5.9984
08065,-5.8222
08067,-5.9490
08069,-5.8927
08071,-5.9841
08073,-5.7383
08075,-5.9963
08077,-5.8507
08081,-5.9040
08083,-5.9692
08085,-5.8173
08087,-5.8408
08089,-5.9536
08091,-6.2160
08093,-5.9629
08095,-5.8668
08097,-5.9296
08099,-6.0849
08101,-5.7934
08103,-6.1837
08105,-5.9441
08107,-5.8934
08109,-5.8212
08113,-5.7776
08117,-5.8488
08119,-5.9086
08121,-6.0535
08123,-5.8667
08125,-6.3410
09001,-5.7095
09003,-5.7778
09005,-5.8178
09007,-5.7923
09009,-5.8286
09011,-5.8318
09013,-5.7572
09015,-5.7846
10001,-5.8195
10003,-5.8671
10005,-5.7911
11001,-6.2298
12001,-5.8048
12003,-5.7401
12005,-5.6754
12007,-5.7015
12009,-5.6599
12011,-5.8562
12013,-5.6391
12015,-5.7416
12017,-5.7988
12019,-5.6813
12021,-5.7506
12023,-5.6597
12027,-5.7117
12029,-5.8912
12031,-5.7397
12033,-5.6765
12035,-5.7975
12037,-5.8322
12039,-5.7345
12041,-5.7403
12043,-5.7247
12045,-5.8116
12047,-5.7429
12049,-5.8138
12051,-5.6734
12053,-5.7426
