id,mf_coh
01001,-0.0043
01003,-0.0390
01005,-0.0109
01007,0.0131
01009,0.0052
01011,-0.0237
01013,-0.0103
01015,-0.0208
01017,-0.0395
01019,-0.0009
01021,-0.0077
01023,0.0381
01025,0.0250
01027,0.0102
01029,-0.0041
01031,-0.0117
01033,0.0105
01035,0.0101
01037,-0.0223
01039,-0.0130
01041,0.0122
01043,-0.0222
01045,0.0068
01047,0.0026
01049,-0.0086
01051,-0.0181
01053,-0.0106
01055,-0.0205
01057,0.0033
01059,-0.0060
01061,0.0005
01063,-0.0282
01065,0.0070
01067,0.0019
01069,0.0046
01071,-0.0140
01073,0.0022
01075,-0.0634
01077,-0.0428
01079,-0.0303
01081,-0.0092
01083,0.0150
01085,0.0134
01087,0.0018
01089,-0.0037
01091,-0.0145
01093,-0.0173
01095,-0.0029
01097,-0.0134
01099,0.0126
01101,-0.0228
01103,-0.0047
01105,-0.0441
01107,-0.0216
01109,-0.0138
01111,-0.0080
01113,-0.0124
01115,0.0227
01117,0.0052
01119,0.0144
01121,0.0030
01123,0.0287
01125,-0.0232
01127,-0.0056
01129,-0.0404
01131,0.0245
01133,0.0177
02020,0.0106
02050,-0.0332
02090,-0.0023
02110,-0.0392
02122,-0.0411
02130,0.0259
02150,-0.0005
02170,0.0004
02180,0.0131
02185,-0.0078
02188,0.0138
02261,-0.0268
02270,-0.0152
04001,-0.0222
04003,-0.0032
04005,0.0236
04007,0.0049
04009,-0.0076
04011,0.0079
04012,-0.0432
04013,-0.0021
04015,-0.0297
04017,-0.0121
04019,-0.0063
04021,-0.0061
04023,-0.0150
04025,0.0089
04027,-0.0109
05001,0.0205
05003,-0.0044
05005,0.0186
05007,0.0152
05009,0.0089
05011,-0.0524
05015,0.0144
05017,0.0424
05019,0.0077
05021,-0.0173
05023,0.0238
05025,0.0216
05027,0.0069
05029,-0.0236
05031,0.0142
05033,0.0111
05035,0.0021
05037,0.0360
05039,-0.0177
05041,-0.0027
05043,0.0045
05045,0.0064
05047,0.0231
05049,-0.0181
05051,0.0232
05053,0.0048
05055,0.0229
05057,0.0127
05059,-0.0105
05061,-0.0410
05063,-0.0077
05065,0.0458
05067,0.0355
05069,-0.0209
05071,0.0026
05073,-0.0270
05075,-0.0292
05077,-0.0493
05079,0.0283
05081,-0.0110
05083,0.0036
05085,0.0181
05087,-0.0237
05089,-0.0166
05091,0.0064
05093,0.0024
05095,0.0201
05097,-0.0482
05099,-0.0070
05101,-0.0205
05103,-0.0274
05105,-0.0592
05107,0.0081
05109,-0.0173
05111,-0.0066
05113,0.0394
05115,0.0347
05117,-0.0119
05119,0.0152
05121,0.0102
05123,0.0045
05125,-0.0015
05127,0.0381
05129,0.0392
05131,0.0046
05133,0.0070
05135,0.0059
05137,-0.0125
05139,0.0234
05141,-0.0620
05143,0.0162
05145,0.0059
05149,-0.0135
06001,-0.0265
06005,-0.0366
06007,-0.0246
06009,-0.0165
06011,-0.0359
06013,-0.0250
06015,-0.0019
06017,-0.0558
06019,-0.0333
06021,-0.0126
06023,-0.0463
06025,-0.0056
06027,0.0148
06029,-0.0247
06031,-0.0175
06033,-0.0122
06035,-0.0512
06037,-0.0353
06039,-0.0322
06041,-0.0045
06043,0.0090
06045,-0.0385
06047,-0.0332
06051,-0.0368
06053,-0.0274
06055,-0.0297
06057,-0.0096
06059,-0.0313
06061,-0.0337
06063,-0.0172
06065,-0.0421
06067,-0.0283
06069,-0.0315
06071,-0.0375
06073,-0.0286
06075,-0.0326
06077,-0.0172
06079,-0.0433
06081,-0.0190
06083,-0.0235
06085,-0.0271
06087,-0.0316
06089,-0.0373
06093,-0.0242
06095,-0.0318
06097,-0.0207
06099,-0.0246
06101,-0.0553
06103,-0.0205
06105,-0.0283
06107,-0.0252
06109,-0.0265
06111,-0.0260
06113,-0.0305
06115,-0.0130
08001,-0.0456
08005,-0.0447
08013,-0.0176
08031,-0.0192
08035,-0.0191
08037,-0.0798
08041,-0.0254
08059,-0.0330
08069,-0.0328
08077,-0.0269
08101,-0.0339
08123,-0.0365
09001,-0.0294
09003,-0.0450
09005,-0.0234
09007,-0.0362
09009,-0.0366
09011,-0.0130
09013,-0.0263
09015,-0.0301
10001,-0.0053
10003,-0.0183
10005,-0.0309
11001,-0.0186
12001,-0.0317
12003,-0.0270
12005,-0.0360
12007,-0.0396
12009,-0.0279
12011,-0.0226
12013,-0.0221
12015,-0.0378
12017,-0.0112
12019,-0.0145
12021,-0.0471
12023,-0.0259
12027,-0.0123
12029,-0.0560
12031,-0.0142
12033,-0.0249
12035,-0.0476
12039,-0.0370
12041,-0.0524
12043,-0.0431
12045,-0.0446
12047,-0.0590
12049,0.0102
12051,-0.0039
12053,-0.0142
12055,-0.0172
12057,-0.0246
12059,0.0193
12061,-0.0097
12063,-0.0201
12065,-0.0110
12067,-0.0086
12069,-0.0462
12071,-0.0419
12073,-0.0305
12075,-0.0220
12077,0.0020
12079,-0.0278
12081,-0.0538
12083,-0.0333
12085,0.0026
12086,-0.0299
12087,-0.0432
12089,-0.0425
12091,-0.0363
12093,-0.0106
12095,-0.0275
12097,-0.0297
12099,-0.0330
12101,-0.0383
12103,-0.0304
12105,-0.0293
12107,-0.0590
12109,-0.0316
12111,-0.0446
12113,-0.0463
12115,-0.0056
12117,-0.0421
12119,-0.0187
12121,-0.0358
12123,-0.0269
12125,0.0037
12127,-0.0287
12129,-0.0249
12131,-0.0295
12133,-0.0040
13001,-0.0141
13003,-0.0161
13005,0.0005
13009,0.0183
13011,0.0087
13013,-0.0248
13015,-0.0027
13017,-0.0002
13019,0.0055
13021,-0.0024
13023,-0.0238
13025,0.0132
13027,-0.0153
13029,0.0241
13031,-0.0060
13033,-0.0327
13035,-0.0242
13037,0.0314
13039,-0.0493
13043,0.0321
13045,-0.0274
13047,0.0084
13049,-0.0039
13051,-0.0057
13055,-0.0104
13057,-0.0252
13059,-0.0215
13063,-0.0073
13065,0.0144
13067,-0.0249
13069,0.0207
13071,-0.0058
13073,-0.0211
13075,0.0327
13077,-0.0173
13079,-0.0226
13081,-0.0185
13083,-0.0631
13085,-0.0005
13087,0.0153
13089,-0.0300
13091,0.0029
13093,0.0265
13095,-0.0005
13097,-0.0016
13099,0.0160
13103,-0.0216
13105,-0.0003
13107,-0.0145
13109,-0.0378
13111,0.0121
13113,-0.0484
13115,-0.0374
13117,-0.0320
13119,-0.0094
13121,-0.0311
