id,np_avg
01001,1.1721
01003,0.8876
01005,0.0516
01007,-0.1732
01009,0.0613
01013,0.1500
01015,0.6710
01017,-0.3496
01019,0.1895
01021,0.0852
01023,-1.0195
01025,0.0716
01027,-0.1783
01029,0.5630
01031,1.0294
01033,0.8716
01037,-0.3909
01039,0.6784
01041,0.0645
01043,0.9896
01045,0.3121
01047,-0.8241
01049,0.2689
01051,0.2901
01053,0.6819
01055,0.4031
01057,0.2025
01059,0.3750
01061,0.2973
01065,0.4381
01067,-0.1529
01069,0.9342
01071,0.4717
01073,1.0861
01075,-0.1630
01077,0.8307
01079,0.1589
01081,1.0268
01083,0.1859
01089,1.3327
01091,0.8621
01093,0.6982
01095,0.9196
01097,0.7025
01099,-0.3823
01101,0.1597
01103,0.7158
01107,-0.0355
01109,0.6636
01111,-0.3281
01113,-0.2758
01115,0.2124
01117,0.7116
01119,-1.9192
01121,0.2778
01123,0.3760
01125,0.4857
01127,0.4239
01129,-0.4513
01133,0.2325
02016,0.9991
02020,1.0334
02050,-1.9431
02068,0.3444
02070,-1.6352
02090,0.5624
02110,0.6500
02122,1.0389
02130,0.5705
02150,0.6383
02170,0.7145
02180,-0.9994
02185,-1.7518
02188,-1.4986
02195,1.3959
02198,-0.0151
02220,0.7698
02240,0.3508
02261,1.0068
02270,-2.9538
02290,-0.4646
04001,-1.4286
04003,0.3139
04005,0.2520
04007,-0.9411
04009,0.2205
04011,0.2923
04012,-0.3155
04013,0.9090
04015,0.3688
04017,0.0152
04019,0.5988
04021,-0.0688
04023,0.3030
04025,0.6031
04027,-0.1117
05001,0.6928
05003,0.0897
05005,1.0758
05007,1.6251
05009,1.4319
05011,0.5247
05015,0.9311
05019,1.0233
05021,0.6160
05023,0.6941
05025,0.6125
05027,0.9436
05029,0.8546
05031,1.2361
05033,0.4330
05035,0.5592
05037,0.9917
05039,-0.1237
05041,0.2498
05043,0.7807
05045,1.4178
05047,1.1452
05049,1.6611
05051,1.1739
05053,0.7913
05055,0.5075
05057,0.2234
05059,0.9156
05061,0.9431
05063,0.8812
05065,1.1788
05067,1.2999
05069,0.1749
05071,0.8493
05075,0.3328
05079,0.2429
05081,0.1377
05083,0.8727
05085,0.9286
05087,0.5958
05089,0.6465
05091,0.5033
05093,0.7694
05097,0.3556
05099,1.0340
05101,0.3654
05103,0.3363
05105,0.4974
05107,-0.1412
05109,0.1551
05111,0.6054
05113,0.9669
05115,1.4129
05117,0.8108
05119,0.6871
05121,1.1188
05125,1.2000
05127,0.3204
05129,1.1976
05131,1.2406
05133,1.1206
05135,0.9882
05137,1.1144
05139,0.8803
05141,0.9801
05143,1.5258
05145,0.9638
05147,1.2464
05149,0.8959
06001,1.3401
06005,-0.2514
06007,0.0742
06009,-0.0264
06011,-0.1217
06013,1.1244
06015,-0.6195
06017,0.9497
06019,0.9246
06021,-0.3359
06023,0.1079
06025,-0.1353
06027,-0.0162
06029,-0.1955
06031,0.0566
06033,-0.3419
06035,-0.5176
06037,0.8332
06039,-0.1574
06041,1.8462
06043,0.1410
06045,-0.2950
06047,-0.1041
06049,-0.3441
06051,1.0537
06053,0.2235
06055,0.4050
06057,0.4122
06059,1.4397
06061,0.9689
06063,0.2708
06065,0.3825
06067,0.6515
06069,-0.0586
06071,0.2115
06073,1.1822
06075,0.9993
06077,-0.1184
06079,0.7625
06081,1.4098
06083,0.8912
06085,2.0149
06087,0.6512
06089,0.2233
06091,-0.6603
06093,0.1377
06095,0.1215
06097,0.5151
06099,0.0873
06101,0.1199
06103,0.2450
06105,0.3851
06107,0.1140
06109,0.1800
06111,0.8840
06113,1.0756
06115,-0.0844
08001,0.9142
08003,1.8007
08005,1.7554
08007,1.0212
08013,2.2088
08015,1.6905
08019,1.2868
08021,1.1735
08029,1.0975
08031,1.8374
08035,1.8569
08037,1.5662
08039,0.8660
08041,1.5265
