id,np_grd
01001,1.0498
01003,0.7991
01005,1.0102
01007,0.9592
01009,0.8139
01013,0.8014
01015,0.8687
01017,0.8049
01019,1.0490
01021,0.7472
01023,0.5401
01025,0.7657
01027,0.8697
01029,0.8415
01031,0.9056
01033,0.9041
01037,0.9620
01039,0.8263
01041,0.9043
01043,0.8670
01045,0.9799
01047,0.6347
01049,0.9134
01051,0.8835
01053,0.8578
01055,0.7510
01057,0.7691
01059,0.5631
01061,0.9542
01065,0.7070
01067,0.8880
01069,0.8852
01071,0.8281
01073,0.9161
01075,0.8301
01077,0.9198
01079,0.7735
01081,0.9559
01083,0.8583
01089,1.0031
01091,0.9999
01093,0.7844
01095,0.7874
01097,0.6662
01099,0.7784
01101,0.6361
01103,0.9097
01107,0.8183
01109,0.8107
01111,0.7793
01113,0.8247
01115,0.9410
01117,0.9739
01121,0.8037
01123,0.8561
01125,0.8687
01127,0.8181
01129,0.6599
01133,0.7610
02016,1.1827
02020,1.0140
02050,1.2899
02068,1.1335
02090,0.9965
02110,1.2004
02122,1.0244
02130,1.0306
02150,0.9590
02170,1.0400
02185,0.9869
02188,0.8772
02220,1.0139
02240,1.0554
02261,1.0192
02270,1.1196
04001,0.9671
04003,1.1081
04005,1.0670
04007,0.7365
04009,1.0162
04011,0.8176
04012,0.8221
04013,1.0586
04015,1.0013
04017,1.0107
04019,1.0311
04021,0.9649
04023,0.9279
04025,1.0250
04027,0.9018
05001,0.8642
05003,0.8601
05005,0.9513
05007,0.9902
05009,0.8768
05011,0.9819
05015,0.8955
05019,1.0032
05021,0.6756
05023,0.9235
05025,0.7708
05027,0.8883
05029,0.7139
05031,0.8584
05033,0.9592
05035,0.7970
05037,0.7610
05041,0.6997
05043,0.9242
05045,0.9217
05047,0.8119
05049,0.7304
05051,0.7780
05053,0.8723
05055,0.8867
05057,0.7979
05059,0.8071
05061,0.8224
05063,0.8755
05065,0.7499
05067,0.8625
05069,0.8984
05071,0.8906
05075,0.6930
05079,0.8118
05081,0.7378
05083,0.9058
05085,0.8469
05087,1.0254
05089,0.9314
05091,0.7991
05093,0.9766
05097,1.0018
05101,0.8398
05103,0.8445
05105,0.8851
05109,0.8292
05111,0.8371
05113,0.8417
05115,0.7791
05117,0.9846
05119,0.7590
05121,1.0084
05125,0.8980
05127,0.8840
05129,0.8408
05131,1.0136
05133,0.8414
05135,0.8128
05137,0.8513
05139,0.8946
05141,0.8558
05143,0.9298
05145,0.9090
05149,0.7715
06001,1.0939
06005,0.8626
06007,1.0940
06009,1.1143
06011,0.9483
06013,1.0310
06015,0.9948
06017,1.0117
06019,0.8947
06021,0.9397
06023,1.0710
06025,1.0310
06027,1.0813
06029,0.9882
06031,1.0042
06033,0.8437
06035,1.0002
06037,0.9465
06039,0.9923
06041,1.0397
06043,1.0659
06045,1.0158
06047,0.8734
06049,0.9604
06051,1.1382
06053,0.9576
06055,0.9793
06057,1.0555
06059,1.0996
06061,1.0507
06063,0.9276
06065,0.9541
06067,0.9961
06069,0.9751
06071,0.9522
06073,1.0181
06075,1.0206
06077,0.9855
06079,1.0399
06081,1.0615
06083,1.0208
06085,1.1002
06087,1.0768
06089,1.0274
06093,1.0737
06095,0.9657
06097,1.0078
06099,0.9651
06101,0.9791
06103,0.8924
06105,1.1751
06107,0.9653
06109,0.9561
06111,1.0317
06113,1.1257
06115,0.9289
08001,0.8880
08005,0.9275
08013,1.0282
08031,0.9865
08035,0.9895
08041,0.8969
08059,1.0134
08067,0.9765
08069,0.9403
08077,0.9643
08101,0.8275
08123,0.8813
09001,0.9813
09003,0.9601
09005,0.9452
09007,0.9704
09009,0.9299
09011,0.9900
09013,1.0656
09015,0.9787
10001,0.8869
10003,0.9045
10005,0.9035
11001,1.1339
12001,0.8978
12003,0.8182
12005,0.8215
12007,0.7230
12009,0.8482
12011,0.9141
12013,0.8191
12015,0.8134
12017,0.8180
12019,0.8384
12021,0.9929
12023,0.7851
12027,0.5183
12031,0.7710
12033,0.7030
12035,0.9014
12039,0.7312
12041,0.8091
12043,0.7934
12045,0.7976
12049,0.5455
12051,0.5891
12053,0.8490
12055,0.9073
12057,0.8718
12059,0.7667
12061,0.8722
12063,0.7469
12067,0.9238
12069,0.8061
12071,0.8068
12073,0.8374
12075,0.7102
12077,0.8007
12079,0.5691
12081,0.8929
12083,0.7589
12085,0.8692
12086,0.8615
12087,0.8820
12089,0.8374
12091,0.8912
12093,0.8354
12095,0.8415
12097,0.8211
12099,0.8957
12101,0.9186
12103,0.8184
12105,0.7273
12107,0.6496
12109,0.9357
12111,0.8125
12113,0.8182
12115,0.9506
12117,0.8753
12119,0.8058
12121,0.6540
12123,0.7316
12125,0.8740
12127,0.8183
12129,0.8132
12131,0.8801
12133,0.8144
13001,0.9186
13005,0.8808
13009,0.8805
13011,0.9472
13013,0.9921
13015,0.8763
13017,0.9799
13019,0.9431
13021,0.8459
13023,0.8982
13025,0.9188
13029,0.9717
13031,1.0121
13035,0.8060
13039,0.9927
13043,0.9388
13045,0.9105
13047,1.0355
13049,1.1490
13051,0.9380
13055,1.0355
13057,1.0041
13059,1.0775
13063,0.9316
13065,0.9731
13067,1.0688
13069,0.9329
13071,0.9021
13073,0.9942
13075,0.9115
13077,1.0324
13079,0.7265
13081,0.9883
13083,0.9272
13085,1.0471
13087,0.8819
13089,0.9575
13091,0.8825
13095,0.8186
13097,0.8966
13103,0.9803
13105,0.8164
13107,0.8675
13111,1.0642
13113,1.0041
13115,0.9562
13117,1.1019
13119,0.7914
13121,1.0319
13123,1.2472
13125,1.0269
13127,1.0076
13129,0.9561
13131,0.8532
13135,1.0546
13137,1.0320
13139,1.0549
13143,1.0769
13145,0.9414
13147,0.9812
13149,1.1444
13151,1.0040
13153,0.9124
13155,0.7935
13157,0.9597
13159,0.8239
13161,1.0382
13163,1.1175
13169,0.9604
13171,0.8530
13173,0.8756
13175,1.2596
13177,0.9588
13179,0.8540
13181,0.9154
13183,0.8153
13185,0.9819
13187,0.9596
13189,0.9323
13195,0.9700
13197,0.8848
13205,0.9045
13207,1.0069
13211,0.8301
13213,0.9280
13215,1.0810
13217,0.9491
13219,0.9170
13221,1.0431
13223,0.9328
13225,1.0592
13227,0.9035
13229,0.9619
13231,0.9152
13233,1.0577
13235,0.9459
13237,0.9144
13241,0.9917
13245,0.8124
13247,0.8733
13249,0.9524
13255,0.9481
13257,0.9513
13267,1.0606
13269,0.7795
13275,0.8493
13277,1.0095
13279,0.8855
13281,1.1063
13285,0.9482
13287,0.7832
13291,1.0289
13293,0.9140
13295,0.9683
13297,0.9482
13299,0.8095
13305,0.8765
13311,0.8440
13313,0.9207
13319,0.9731
13321,0.8926
15003,0.9483
16001,1.0669
16005,1.0972
16007,0.9964
