id,p_avg
01001,-0.9746
01003,-1.0584
01005,-2.0975
01007,-1.6730
01009,-1.3797
01011,-2.4383
01013,-1.5984
01015,-1.1670
01017,-2.0093
01019,-1.3056
01021,-1.3917
01023,-1.8747
01025,-1.8806
01027,-1.4194
01029,-0.8495
01031,-0.9838
01033,-1.1902
01035,-1.2090
01037,-1.7067
01039,-1.0769
01041,-1.4162
01043,-0.6514
01045,-1.3503
01047,-2.0920
01049,-1.6641
01051,-1.4458
01053,-1.1729
01055,-1.3198
01057,-1.2316
01059,-1.0262
01061,-1.5183
01063,-2.3716
01065,-1.5172
01067,-1.9731
01069,-1.0284
01071,-0.9666
01073,-1.7713
01075,-1.6934
01077,-1.0500
01079,-1.2301
01081,-1.2841
01083,-1.5016
01085,-2.3177
01087,-2.2065
01089,-1.3154
01091,-1.7900
01093,-0.5980
01095,-0.9011
01097,-1.2268
01099,-1.9551
01101,-2.2555
01103,-1.3136
01105,-2.1268
01107,-1.6603
01109,-1.1880
01111,-1.9486
01113,-1.5790
01115,-1.2056
01117,-1.2624
01119,-2.5471
01121,-1.4151
01123,-1.5610
01125,-1.7828
01127,-1.1706
01129,-1.8809
01131,-2.3774
01133,-1.3130
02020,-1.3103
02050,-3.9616
02060,-1.2441
02070,-2.8634
02090,-1.0829
02110,-1.7219
02122,-0.2891
02130,-1.1354
02150,-0.7452
02170,-0.6441
02180,-2.5069
02185,-3.0665
02188,-3.3054
02195,-0.2112
02198,-0.7396
02220,-0.9158
02240,-1.0669
02261,-0.4769
02270,-3.9268
02290,-2.5240
04001,-2.2064
04003,-1.3714
04005,-1.9501
04007,-1.8124
04009,-0.8381
04011,-0.6338
04012,-1.7497
04013,-1.1892
04015,-0.8798
04017,-1.5830
04019,-1.4233
04021,-1.4162
04023,-0.7385
04025,-0.8151
04027,-1.3562
05001,-1.4279
05003,-0.9729
05005,-0.1858
05007,-0.3142
05009,-0.0473
05011,-1.6026
05013,-1.6956
05015,-0.5321
05017,-1.5771
05019,-1.0800
05021,-0.8615
05023,-0.7222
05025,-1.1650
05027,-1.6129
05029,-0.5596
05031,-1.0232
05033,-1.0769
05035,-1.0160
05037,-0.8193
05039,-1.9791
05041,-1.6535
05043,-0.9917
05045,-0.4627
05047,-0.4896
05049,0.2547
05051,-0.7054
05053,-0.6562
05055,-1.1492
05057,-1.7040
05059,-0.7496
05061,-1.0752
05063,-0.7782
05065,-0.6786
05067,-0.6211
05069,-2.0721
05071,-0.7447
05073,-1.3159
05075,-0.9474
05077,-2.5842
05079,-1.4767
05081,-1.4231
05083,-0.6445
05085,-0.7372
05087,-0.6190
05089,-0.7579
05091,-1.4303
05093,-1.6669
05095,-1.3111
05097,-0.6543
05099,-0.8717
05101,-0.6081
05103,-1.6080
05105,-0.8888
05107,-1.6366
05109,-1.1188
05111,-1.0142
05113,-0.2942
05115,-0.3547
05117,-0.8246
05119,-1.8393
05121,-0.6938
05123,-2.1312
05125,-0.4814
05127,-1.1312
05129,-0.4172
05131,-0.9701
05133,-0.2843
05135,-0.4246
05137,-0.2274
05139,-1.3517
05141,-0.4726
05143,-0.9149
05145,-0.5770
05147,-1.2051
05149,-0.6592
06001,-1.7266
06005,-1.5509
06007,-1.7474
06009,-1.4042
06011,-1.9198
06013,-1.9297
06015,-1.8513
06017,-1.1770
06019,-1.6202
06021,-2.1505
06023,-1.6355
06025,-1.7484
06027,-2.0065
06029,-2.0060
