id,p_coh
01001,-0.0003
01003,-0.0225
01005,0.1614
01007,0.0577
01009,0.1364
01011,-0.0031
01013,0.0359
01015,0.0644
01017,0.1453
01019,0.0809
01021,0.0701
01023,-0.1161
01025,0.0660
01027,0.1990
01029,0.0170
01031,0.1041
01033,0.0174
01035,0.0107
01037,0.1339
01039,0.0100
01041,0.1589
01043,0.0222
01045,0.0962
01047,0.0226
01049,0.0835
01051,0.1144
01053,0.0078
01055,0.0731
01057,0.0263
01059,-0.0904
01061,0.1591
01063,0.0121
01065,0.1076
01067,0.1500
01069,0.0667
01071,0.0124
01073,0.0218
01075,0.0662
01077,0.0218
01079,0.0086
01081,0.1585
01083,0.0989
01085,0.0787
01087,0.0085
01089,0.1161
01091,0.1698
01093,0.0724
01095,-0.0012
01097,-0.0603
01099,0.0404
01101,-0.0457
01103,0.0763
01105,-0.1035
01107,0.0587
01109,0.0564
01111,0.1039
01113,0.1279
01115,0.0900
01117,0.0904
01119,0.1027
01121,0.0067
01123,0.0495
01125,0.1243
01127,0.0606
01129,0.0582
01131,-0.0692
01133,0.0378
02020,0.0727
02050,-0.0341
02070,0.0270
02090,-0.0126
02110,0.0402
02122,0.0182
02130,0.1024
02150,-0.0084
02170,-0.0438
02180,-0.0363
02185,-0.1017
02188,-0.0766
02198,-0.0175
02220,0.0437
02240,0.0264
02261,-0.0650
02270,-0.1278
02290,-0.0393
04001,0.0592
04003,0.1180
04005,0.0423
04007,0.0666
04009,0.0992
04011,0.0820
04012,0.0042
04013,0.0706
04015,0.1035
04017,0.0991
04019,0.0891
04021,0.0894
04023,0.0539
04025,0.0417
04027,0.1068
05001,0.0570
05003,-0.0766
05005,-0.0290
05007,-0.0137
05009,-0.0016
05011,-0.1037
05013,-0.0414
05015,-0.0681
05017,0.0138
05019,-0.0627
05021,-0.0594
05023,-0.0379
05025,-0.0246
05027,0.1055
05029,-0.0583
05031,-0.0191
05033,0.0295
05035,-0.0716
05037,-0.0076
05039,0.0592
05041,0.0247
05043,-0.0698
05045,-0.0350
05047,-0.0671
05049,0.0838
05051,-0.0058
05053,-0.0731
05055,-0.0756
05057,-0.0084
05059,-0.0074
05061,0.0439
05063,-0.0290
05065,-0.0226
05067,0.0305
05069,0.0305
05071,-0.1161
05073,0.0173
05075,-0.0253
05077,0.0336
05079,-0.2102
05081,0.0556
05083,-0.0562
05085,-0.0194
05087,-0.0130
05089,-0.0444
05091,0.0612
05093,0.0265
05095,0.0510
05097,-0.0187
05099,0.0062
05101,-0.0467
05103,-0.0109
05105,-0.0221
05107,-0.0026
05109,0.0311
05111,-0.0300
05113,-0.0144
05115,-0.0243
05117,0.1473
05119,0.0543
05121,-0.0677
05123,0.0375
05125,0.0216
05127,0.0634
05129,-0.0328
05131,0.0695
05133,0.0426
05135,-0.0317
05137,-0.0346
05139,-0.0405
05141,0.0990
05143,0.0449
05145,-0.0536
05147,0.2115
05149,-0.0433
06001,0.0132
06005,0.0361
06007,0.0429
06009,0.0361
06011,0.0781
06013,0.0363
06015,-0.0144
06017,0.0043
06019,0.0062
06021,-0.0073
06023,-0.0205
06025,0.0096
06027,0.0311
06029,0.0334
06031,0.0654
06033,0.0156
06035,0.0626
06037,0.0459
06039,-0.0588
06041,0.0681
06043,-0.0973
06045,0.0372
06047,0.0005
06049,-0.0379
06051,0.1092
06053,0.0405
06055,0.0080
06057,0.0725
06059,0.0393
06061,0.0331
06063,0.0105
06065,0.0061
06067,0.0018
06069,0.0814
06071,-0.0049
06073,0.0564
06075,0.0142
06077,0.0324
06079,0.0559
06081,0.0587
06083,0.0427
06085,0.0742
06087,0.0396
06089,0.0087
06093,0.0262
06095,0.0179
06097,0.0241
06099,-0.0026
06101,0.0191
06103,-0.0160
06105,0.1239
06107,0.0175
06109,-0.0573
06111,0.0051
06113,0.0397
06115,0.0056
08001,-0.0465
08005,-0.0944
08031,0.0305
08059,-0.1083
08069,-0.0749
08101,-0.1078
08123,-0.0140
09001,-0.0063
09003,0.0227
09005,0.0078
09007,0.0421
09009,-0.0123
09011,0.0310
09013,0.0415
09015,0.0760
10001,0.0334
10003,-0.0479
10005,-0.0456
11001,0.1384
12001,0.0654
12003,0.0129
12005,-0.0096
12007,0.0133
12009,0.0034
12011,0.0133
12013,0.0029
12015,-0.0228
12017,0.0556
12019,0.0388
12021,0.1024
12023,0.0656
12027,-0.1344
12029,0.0997
12031,0.0678
12033,0.0264
12035,0.1105
12037,0.0162
12039,0.0682
12041,-0.0064
12043,-0.0376
12045,-0.0021
12047,0.1006
12049,0.0245
12051,-0.0014
12053,0.0629
12055,0.0391
12057,0.0388
12059,-0.0233
12061,0.0103
12063,0.0610
12065,0.0891
12067,0.0918
12069,0.0294
12071,0.0345
12073,0.0726
12075,0.0070
12077,0.0520
12079,0.0868
12081,0.0668
12083,-0.0569
12085,-0.0076
12086,0.0820
12087,0.0134
12089,0.0657
12091,0.0172
12093,0.0272
12095,0.0652
12097,0.0650
12099,0.0399
12101,0.0394
12103,0.0440
12105,0.0337
12107,-0.0130
12109,0.1278
12111,0.0408
12113,0.0176
12115,0.0716
12117,0.0054
12119,0.0532
12121,0.0068
12123,0.0263
12125,0.1184
12127,0.0439
12129,-0.0023
12131,0.0212
12133,0.0569
13001,-0.0945
13003,0.1191
13005,0.0676
13007,0.0863
13009,-0.0136
13011,0.0482
13013,0.0588
13015,0.0494
13017,0.1400
13019,0.2588
13021,0.0612
13023,0.0755
13025,0.1326
13027,0.0319
13029,0.0232
13031,0.0116
13033,-0.0008
13035,0.0806
13037,-0.0546
13039,0.0359
13043,0.0184
13045,0.0848
13047,0.0487
13049,0.1185
13051,0.0075
13053,0.0092
13055,0.0701
13057,-0.0182
13059,0.0705
13061,-0.0896
13063,-0.0110
13065,0.0035
13067,0.0383
13069,0.1082
13071,0.0454
13073,0.0823
13075,0.0843
13077,0.0682
13079,0.0015
13081,-0.0007
13083,0.1233
13085,0.0745
13087,0.0782
13089,-0.0112
13091,0.0069
13093,-0.0152
13095,0.0231
13097,0.0948
13099,0.0752
13101,0.1182
13103,0.0768
13105,0.0873
13107,0.0706
13109,-0.0011
13111,0.0620
13113,0.0317
13115,0.0007
13117,0.0303
13119,0.0384
13121,-0.0410
13123,0.0317
