id,p_grd
01001,0.9809
01003,0.7616
01005,0.9174
01007,0.9397
01009,0.8415
01011,0.7244
01013,0.8715
01015,0.8390
01017,0.9021
01019,0.9206
01021,0.7532
01023,0.6075
01025,0.7664
01027,0.9307
01029,0.7559
01031,0.8937
01033,0.8595
01035,0.8152
01037,0.9460
01039,0.8262
01041,0.9572
01043,0.8118
01045,0.9462
01047,0.6522
01049,0.9378
01051,0.8779
01053,0.7931
01055,0.8108
01057,0.8620
01059,0.6562
01061,0.9803
01063,0.6817
01065,0.8270
01067,0.9139
01069,0.8659
01071,0.8594
01073,0.8370
01075,0.7254
01077,0.8433
01079,0.8033
01081,0.9299
01083,0.8761
01085,0.8805
01087,0.6339
01089,0.9255
01091,0.9835
01093,0.8030
01095,0.8659
01097,0.6645
01099,0.8192
01101,0.5825
01103,0.8835
01105,0.5175
01107,0.8939
01109,0.8923
01111,0.8738
01113,0.8597
01115,0.9453
01117,0.9552
01119,0.8463
01121,0.8147
01123,0.8997
01125,0.8883
01127,0.9273
01129,0.7932
01131,0.5996
01133,0.7507
02020,1.0126
02050,1.1613
02070,0.9937
02090,0.9507
02110,1.1556
02122,1.0333
02130,1.0774
02150,1.0480
02170,0.9904
02180,0.9788
02185,0.9926
02188,1.0008
02198,1.0144
02220,1.0127
02240,1.0029
02261,0.9229
02270,0.8963
02290,0.9767
04001,1.0141
04003,1.0591
04005,0.9738
04007,1.0621
04009,1.0543
04011,0.8709
04012,1.0704
04013,1.0562
04015,1.0135
04017,1.0500
04019,0.9851
04021,1.0478
04023,1.1559
04025,0.9766
04027,1.0604
05001,0.7818
05003,0.6216
05005,0.8743
05007,0.9465
05009,0.8057
05011,0.8666
05013,0.7481
05015,0.8582
05017,0.8405
05019,0.8692
05021,0.7102
05023,0.8623
05025,0.8505
05027,0.9919
05029,0.6524
05031,0.7837
05033,0.9858
05035,0.7158
05037,0.8247
05039,0.7400
05041,0.7834
05043,0.8475
05045,0.8492
05047,0.8321
05049,0.7999
05051,0.7718
05053,0.8456
05055,0.8437
05057,0.8805
05059,0.8811
05061,0.8602
05063,0.8460
05065,0.7930
05067,0.8962
05069,0.8680
05071,0.8506
05073,0.7910
05075,0.8126
05077,1.0034
05079,0.7834
05081,0.8380
05083,0.8826
05085,0.8276
05087,1.0326
05089,0.8615
05091,0.7509
05093,0.8654
05095,0.7405
05097,0.7514
05099,0.6993
05101,0.8040
05103,0.8029
05105,0.8728
05107,0.7887
05109,0.8081
05111,0.7616
05113,0.7212
05115,0.7597
05117,1.0121
05119,0.8265
05121,0.8729
05123,0.8041
05125,0.8771
05127,0.9715
05129,0.8937
05131,0.9407
05133,0.8591
05135,0.8008
05137,0.9182
05139,0.8505
05141,0.8694
05143,0.9419
05145,0.8390
05147,0.8744
05149,0.7325
06001,0.9615
06005,1.0011
06007,1.0086
06009,1.0274
06011,1.0063
06013,0.9329
06015,0.9491
06017,0.9481
06019,0.9193
06021,0.9715
06023,0.9874
06025,1.0083
06027,1.0413
06029,0.9499
06031,1.0267
06033,0.9620
06035,1.0173
06037,0.9203
06039,0.8776
06041,0.9648
06043,0.9743
06045,1.0266
06047,0.9135
06049,0.9164
06051,1.1121
06053,1.0260
06055,0.9811
06057,1.0438
06059,1.0122
06061,1.0158
06063,0.8955
06065,0.9190
06067,0.9676
06069,1.0717
06071,0.9200
06073,0.9874
06075,0.9837
06077,1.0448
06079,1.0132
06081,0.9939
06083,1.0652
06085,0.9853
06087,1.0855
06089,0.9682
06093,1.0043
06095,0.9083
06097,0.9776
06099,0.9460
06101,0.9848
06103,0.8883
06105,1.1911
06107,0.9709
06109,0.9212
06111,0.9792
06113,1.0077
06115,0.8426
08001,0.8639
08005,0.8868
08013,0.9174
08031,0.9704
08037,0.8478
08041,0.8400
08043,0.7888
08059,0.8645
08069,0.8420
08077,0.9133
08085,0.9077
08087,0.8312
08089,0.7369
08101,0.6678
08123,0.8166
09001,0.9088
09003,0.9001
09005,0.8760
09007,0.9104
09009,0.8570
09011,0.9176
09013,0.9682
09015,0.9105
10001,0.8190
10003,0.8221
10005,0.8270
11001,0.9816
12001,0.7359
12003,0.7378
12005,0.7792
12007,0.7288
12009,0.8667
12011,0.8283
12013,0.7532
12015,0.7294
12017,0.8129
12019,0.8001
12021,0.9340
12023,0.6897
12027,0.6254
12029,0.8296
12031,0.8089
12033,0.7006
12035,0.8729
12037,0.8318
12039,0.6826
12041,0.8919
12043,0.7720
12045,0.8265
12047,0.7716
12049,0.5813
12051,0.6701
12053,0.8114
12055,0.7777
12057,0.7942
12059,0.7853
12061,0.7626
12063,0.7363
12065,0.7214
12067,0.9334
12069,0.7746
12071,0.7987
12073,0.7608
12075,0.8534
12077,0.9103
12079,0.6535
12081,0.8559
12083,0.6931
12085,0.8429
12086,0.8315
12087,0.8110
12089,0.7605
12091,0.8394
12093,0.7733
12095,0.8306
12097,0.8133
12099,0.8781
12101,0.8685
12103,0.7719
12105,0.7512
12107,0.6798
12109,0.8476
12111,0.8383
12113,0.7553
12115,0.8615
12117,0.7961
12119,0.7642
12121,0.7291
12123,0.8160
12125,0.7717
12127,0.7488
12129,0.7845
12131,0.7923
12133,0.7363
13001,0.8408
13003,0.8502
13005,0.8700
13007,0.9628
13009,0.8448
13011,0.9745
13013,0.9133
13015,0.8304
13017,0.9122
13019,0.9186
13021,0.8818
13023,0.8514
13025,1.0263
13027,0.8055
13029,0.8401
13031,0.9371
13033,0.8429
13035,1.0287
13037,0.8270
13039,0.8899
13043,0.8647
13045,0.8426
13047,0.9551
13049,1.0241
13051,0.8169
13053,0.6356
13055,0.9158
13057,0.9470
13059,0.8971
13061,0.8227
13063,0.9065
13065,0.8927
13067,0.9448
13069,0.9117
13071,0.8688
13073,0.9282
13075,0.9177
13077,0.9737
13079,0.8779
13081,0.8253
13083,0.9446
13085,0.9568
13087,0.7977
13089,0.8555
13091,0.7798
13093,0.9037
13095,0.8819
13097,0.9131
13099,0.9989
13101,0.9418
13103,0.9087
13105,0.9448
13107,0.8859
13109,0.9926
13111,0.9185
13113,0.9479
13115,0.9557
13117,1.0233
13119,0.7403
13121,0.8181
13123,1.1939
13125,0.9754
13127,0.9664
13129,0.9957
13131,0.8732
13133,0.9120
13135,0.9778
13137,1.0229
13139,0.9577
13141,0.9084
13143,1.0153
13145,0.9237
13147,0.9232
13149,1.1767
13151,0.8850
13153,0.8620
13155,0.7160
13157,0.8697
13159,0.8557
13161,0.9508
13163,0.9715
13165,0.7207
13167,0.8689
13169,0.9681
13171,0.7543
13173,0.9243
13175,0.7002
13177,0.8789
13179,0.8510
13181,0.8619
13183,0.8140
13185,0.8732
13187,0.8768
13189,0.8280
13191,0.8655
13193,0.8864
13195,0.8681
13197,0.8228
13199,0.7676
13201,1.0696
13205,1.0478
13207,0.8552
13209,0.8139
13211,0.7328
13213,0.8147
13215,0.8930
13217,0.9161
13219,0.8482
13221,1.0501
13223,0.8916
13225,0.9811
13227,0.8620
13229,0.9073
13231,0.8976
13233,0.9482
13235,0.9002
13237,0.8326
13239,0.8006
13241,0.8651
13243,0.6928
13245,0.8958
13247,0.8555
13249,0.8968
13251,0.8933
13253,1.0164
13255,0.8194
13257,0.9981
13259,0.8899
13261,0.8114
13263,0.9707
13267,1.0672
13269,0.7997
13271,0.9739
13273,0.6916
13275,0.9273
13277,0.9322
13279,0.8713
13281,1.0428
13283,0.6945
13285,0.8482
13287,0.8239
13289,0.9690
13291,0.9085
13293,0.8875
13295,0.9026
13297,0.9232
13299,1.0456
13301,0.9894
13303,0.8303
13305,0.8697
13307,1.1679
13309,0.8102
13311,0.8649
13313,0.8918
13315,0.9228
13317,0.9521
13319,1.0869
13321,0.9345
15003,0.9526
16001,1.0105
16005,0.9873
16007,1.0007
16009,1.0263
16011,0.8256
16013,1.1231
16015,0.8850
16017,0.9941
16019,0.9763
16021,0.9255
16027,0.9252
16029,1.0878
16031,0.8716
16035,0.9557
16039,1.0203
16041,1.0869
16043,0.9370
16045,1.0134
16047,0.9705
16049,1.0103
16051,0.9206
16053,0.8916
16055,0.9696
16057,0.9434
16059,0.8838
16061,1.1101
16063,1.1987
16065,0.8272
16067,1.0098
16069,0.9750
16071,1.0070
16073,0.9223
16075,0.8212
16077,0.8896
16079,0.9787
16081,0.9660
16083,0.9316
16085,1.0662
16087,0.8681
17001,0.8424
17003,0.8436
17005,0.9617
17007,0.9854
17009,1.0309
17011,0.8696
17015,0.8083
17017,0.8712
17019,0.8390
17021,0.8543
17023,0.9384
17025,0.7547
17027,0.8993
17029,0.8477
17031,1.1000
17033,1.0651
17035,0.6645
17037,0.9407
17039,0.6751
