id,pn_avg
01001,-3.3117
01003,-3.5833
01005,-3.2926
01007,-3.9937
01009,-4.0437
01013,-3.6573
01015,-3.6755
01017,-3.8642
01019,-4.0147
01021,-3.9894
01023,-4.6010
01025,-3.5350
01027,-4.1412
01029,-4.0779
01031,-3.4263
01033,-3.4069
01037,-4.1003
01039,-3.7025
01041,-3.8723
01043,-3.7646
01045,-3.8087
01047,-4.1401
01049,-3.5789
01051,-3.7757
01053,-3.5659
01055,-3.7609
01057,-4.0471
01059,-3.9657
01061,-3.6641
01065,-3.4835
01067,-3.6947
01069,-3.4670
01071,-4.0393
01073,-2.6444
01075,-3.8853
01077,-3.6886
01079,-4.1324
01081,-3.1612
01083,-3.8296
01089,-2.8646
01091,-2.7340
01093,-4.1931
01095,-3.6321
01097,-3.5636
01099,-3.8897
01101,-3.1047
01103,-3.4606
01107,-3.8744
01109,-3.5786
01111,-3.8946
01113,-4.1646
01115,-4.0635
01117,-3.5420
01121,-3.8144
01123,-3.5699
01125,-3.2310
01127,-3.8725
01129,-4.0376
01133,-3.9148
02020,-3.1590
02050,-3.5099
02070,-4.4467
02090,-3.8587
02110,-3.1528
02122,-4.1804
02130,-3.7673
02150,-4.0837
02170,-4.1635
02180,-4.0782
02185,-4.1560
02188,-3.7210
02195,-4.0364
02198,-4.6756
02220,-3.7583
02240,-4.1230
02261,-4.0252
02270,-4.6737
02290,-3.9081
04001,-4.6971
04003,-3.8231
04005,-3.2926
04007,-4.6635
04009,-4.3928
04011,-4.4572
04012,-4.1015
04013,-3.4057
04015,-4.2435
04017,-3.8900
04019,-3.4830
04021,-4.1519
04023,-4.3862
04025,-4.0809
04027,-4.2382
05001,-3.3609
05003,-4.4136
05005,-4.2187
05007,-3.5567
05009,-4.0088
05011,-3.3514
05015,-4.0231
05019,-3.3532
05021,-3.9892
05023,-4.0758
05025,-3.6954
05027,-2.9198
05029,-4.0587
05031,-3.2210
05033,-3.9968
05035,-3.8992
05037,-3.6852
05039,-3.5216
05041,-3.6200
05043,-3.6816
05045,-3.6151
05047,-3.8545
05049,-4.1328
05051,-3.6142
05053,-4.0405
05055,-3.8443
05057,-3.5802
05059,-3.8301
05061,-3.4899
05063,-3.8301
05065,-3.6396
05067,-3.5695
05069,-3.2546
05071,-3.8859
05075,-4.2230
05079,-3.7936
05081,-3.9374
05083,-4.0103
05085,-3.8375
05087,-4.2697
05089,-4.0667
05091,-3.5600
05093,-3.0640
05097,-4.5677
05099,-3.6015
05101,-4.5470
05103,-3.5781
05105,-4.1162
05107,-3.9029
05109,-4.2005
05111,-3.8872
05113,-4.2127
05115,-3.7183
05117,-3.7808
05119,-2.9830
05121,-3.6729
05125,-3.8014
05127,-4.0469
05129,-3.8890
05131,-3.2845
05133,-4.0880
05135,-4.0867
05137,-4.1439
05139,-3.2534
05141,-3.9855
05143,-3.0591
05145,-3.9440
05147,-3.2258
05149,-3.9497
06001,-2.4387
06005,-4.1043
06007,-3.6852
06009,-4.1444
06011,-3.6940
06013,-2.4437
06015,-4.2822
06017,-3.3773
06019,-2.9504
06021,-3.6884
06023,-3.7541
06025,-3.8936
06027,-3.5148
06029,-3.6867
06031,-3.6230
06033,-3.7290
06035,-4.0862
06037,-3.1077
06039,-3.8430
06041,-2.1642
06043,-4.2093
06045,-3.6064
06047,-3.8446
06049,-3.9245
06051,-2.6621
06053,-3.1780
06055,-3.3299
06057,-3.7183
06059,-2.8282
06061,-3.6377
06063,-4.2904
06065,-3.5987
06067,-3.2513
06069,-3.7663
06071,-3.6758
06073,-2.9970
06075,-3.4142
