id,pn_coh
01001,-0.0528
01003,-0.0491
01005,0.0402
01007,-0.0667
01009,-0.0633
01013,-0.0788
01015,-0.0415
01017,-0.0822
01019,0.0397
01021,-0.0335
01023,-0.0072
01025,-0.0879
01027,-0.0623
01029,-0.0274
01031,-0.0532
01033,0.0012
01039,-0.0235
01041,0.0103
01043,-0.0197
01045,-0.0076
01047,-0.0849
01049,-0.0341
01051,-0.0647
01053,0.0019
01055,-0.0561
01057,-0.0757
01059,-0.0730
01061,-0.0863
01065,0.0137
01067,-0.1013
01069,0.0343
01071,-0.0609
01073,-0.0121
01075,-0.0178
01077,-0.0367
01079,-0.0304
01081,-0.0197
01083,-0.0621
01089,-0.0576
01091,-0.0071
01093,-0.0645
01095,-0.0886
01097,-0.0467
01099,-0.0583
01101,-0.0477
01103,-0.0992
01107,-0.0298
01109,-0.0308
01111,-0.1053
01113,-0.0717
01115,-0.0284
01117,-0.0576
01121,-0.0379
01123,-0.1086
01125,-0.0466
01127,-0.0694
01129,-0.1146
01133,-0.0455
02020,-0.0326
02050,0.0992
02090,0.0566
02110,0.0326
02122,0.0079
02130,-0.0372
02150,-0.0497
02170,0.0308
02185,0.0013
02188,-0.0622
02261,0.0340
02270,0.1144
04001,-0.0260
04003,0.0113
04005,0.0403
04007,-0.1938
04009,-0.0434
04011,0.0325
04012,-0.0121
04013,-0.0008
04015,-0.0089
04017,-0.0668
04019,-0.0081
04021,-0.0186
04023,-0.1528
04025,0.0181
04027,-0.1192
05001,-0.0044
05003,0.1844
05005,-0.0283
05007,-0.0063
05009,-0.0083
05011,0.0127
05015,0.0489
05019,0.0935
05021,-0.0246
05023,0.0179
05025,-0.0550
05027,-0.0532
05029,0.0273
05031,0.0205
05033,0.0023
05035,-0.0690
05037,-0.0538
05041,-0.0974
05043,-0.0026
05045,0.0246
05047,-0.0159
05049,-0.0609
05051,-0.0360
05053,0.0365
05055,0.0159
05057,0.0192
05059,-0.0253
05061,-0.0468
05063,-0.0312
05065,0.0046
05067,-0.0120
05069,0.0206
05071,0.0124
05075,-0.0591
05079,0.0150
05081,-0.0798
05083,0.0669
05085,-0.0027
05087,-0.0227
