id,pn_grd
01001,0.1001
01003,0.0090
01005,0.1347
01007,-0.0111
01009,-0.0360
01013,-0.0128
01015,0.0076
01017,-0.0935
01019,0.1100
01021,-0.0177
01025,0.0028
01027,-0.0250
01029,0.0620
01031,0.0103
01033,0.0459
01039,0.0121
01041,0.0130
01043,0.0407
01045,0.0484
01047,0.0236
01049,-0.0212
01051,0.0272
01053,0.0808
01055,-0.0321
01057,-0.0560
01059,-0.0562
01061,-0.0127
01065,-0.0387
01067,-0.0470
01069,0.0473
01071,-0.0116
01073,0.0860
01075,0.0791
01077,0.0364
01079,-0.0317
01081,0.0570
01083,-0.0115
01089,0.0746
01091,0.0640
01093,-0.0129
01095,-0.0717
01097,-0.0145
01099,0.0137
01101,0.0469
01103,0.0256
01107,-0.0468
01109,-0.0359
01111,-0.0875
01113,-0.0041
01115,0.0152
01117,0.0196
01121,-0.0110
01123,-0.0045
01125,-0.0116
01127,-0.0620
01129,-0.0889
01133,-0.0174
02020,0.0096
02050,0.1386
02090,0.0596
02110,0.0418
02122,-0.0014
02130,-0.0112
02150,-0.0692
02170,0.0401
02185,0.0229
02188,-0.0648
02240,0.0346
02261,0.0646
02270,0.1472
04001,-0.0111
04003,0.0479
04005,0.0948
04007,-0.2916
04009,-0.0360
04011,0.0235
04012,-0.1227
04013,0.0076
04015,-0.0037
04017,-0.0258
04019,0.0450
04021,-0.0675
04023,-0.1673
04025,0.0523
04027,-0.1359
05001,0.0963
05003,0.2064
05005,0.0633
05007,0.0446
05009,0.0620
05011,0.0839
05015,0.0357
05019,0.1349
05021,-0.0063
05023,0.0441
05025,-0.0455
05027,-0.0638
05029,0.0463
05031,0.0621
05033,-0.0108
05035,0.0602
05037,-0.0465
05041,-0.0525
05043,0.0871
05045,0.0730
05047,-0.0260
05049,-0.0550
05051,0.0110
05053,0.0169
05055,0.0505
05057,-0.0370
05059,-0.0605
05061,-0.0288
05063,0.0299
05065,0.0097
05067,-0.0081
05069,0.0398
05071,0.0432
05075,-0.0932
05079,0.0289
05081,-0.0622
05083,0.0265
05085,0.0269
05087,0.0105
05089,0.0457
05091,0.0301
05093,0.1112
05101,0.0306
05103,0.0346
05105,0.0379
05109,0.0372
05111,0.0661
05113,0.0720
05115,0.0154
05117,0.0327
05119,-0.0618
05121,0.0971
05125,0.0200
05127,-0.0639
05129,-0.0257
05131,0.0678
05133,-0.0149
05135,0.0194
05137,-0.0205
05139,0.0470
05141,0.0375
05143,-0.0019
05145,0.0728
05149,0.0203
06001,0.1340
06005,-0.0454
06007,0.0765
06009,0.0591
06011,-0.0200
06013,0.1033
06015,0.0456
06017,0.0677
06019,-0.0148
06021,-0.0119
06023,0.0848
06025,0.0212
06027,0.0450
06029,0.0425
06031,-0.0141
06033,-0.1066
06035,-0.0121
06037,0.0296
06039,0.1131
06041,0.0793
06043,0.1005
06045,0.0057
06047,-0.0331
06051,0.0585
06053,-0.0546
06055,0.0074
06057,0.0079
06059,0.0919
06061,0.0398
06063,0.0479
06065,0.0389
06067,0.0339
