id,w_avg
01001,0.6367
01003,0.3785
01005,-0.2191
01007,-0.8190
01009,-0.5777
01013,-0.2221
01015,0.0292
01017,-0.8249
01019,-0.7583
01021,-0.6095
01023,-1.1664
01025,-0.1791
01027,-0.7381
01029,-0.1847
01031,0.4821
01033,0.0638
01035,-0.4987
01037,-0.9438
01039,-0.0428
01041,-0.4895
01043,0.1689
01045,-0.1362
01047,-0.9148
01049,-0.7321
01051,-0.1206
01053,0.1644
01055,-0.2914
01057,-0.4089
01059,-0.2972
01061,-0.5898
01065,0.1042
01067,-0.6668
01069,0.4706
01071,-0.3830
01073,1.1247
01075,-0.8567
01077,0.1165
01079,-0.5785
01081,0.5132
01083,-0.3730
01089,1.1339
01091,0.5271
01093,-0.0026
01095,0.1435
01097,0.2066
01099,-0.9181
01101,0.7610
01103,0.1318
01107,-0.3091
01109,0.4103
01111,-1.0066
01113,-0.5315
01115,-0.3691
01117,0.5145
01121,-0.3574
01123,-0.2517
01125,0.1357
01127,-0.4026
01129,-0.7483
01133,-0.7024
02020,1.0271
02068,0.5223
02090,0.4609
02100,1.0411
02110,0.8204
02122,0.6961
02130,0.5034
02150,0.8038
02170,0.3711
02195,1.0815
02198,0.5152
02220,0.9426
02240,0.0185
02261,1.0524
04001,0.1209
04003,0.2083
04005,0.4924
04007,-0.5214
04009,0.5352
04011,-0.1299
04012,-0.5110
04013,0.9623
04015,-0.1154
04017,0.1741
04019,0.7494
04021,-0.1461
04023,0.7458
04025,0.1898
04027,0.2433
05001,-0.1028
05003,-0.1091
05005,0.3777
05007,1.0009
05009,0.6242
05011,-0.3076
05013,-0.7683
05015,0.1363
05019,0.3258
05021,-0.3705
05023,-0.0616
05025,-0.0325
05027,0.4783
05029,0.1000
05031,0.5041
05033,-0.4712
05035,0.6309
05037,0.1844
05039,-0.1948
05041,-0.4134
05043,0.2257
05045,0.8397
05047,0.2843
05049,0.7220
05051,0.3274
05053,0.1243
05055,-0.4337
05057,-0.2603
05059,0.1278
05061,0.3294
05063,0.0105
05065,-0.0510
05067,0.3767
05069,0.0195
05071,-0.1794
05073,-0.2111
05075,-0.5376
05079,-0.4624
05081,-0.2678
05083,-0.1357
05085,0.3257
05087,-0.0923
05089,-0.3582
05091,-0.0516
05093,-0.2231
05095,-0.4237
05097,-0.3343
05099,-0.0274
05101,-0.3504
05103,-0.1558
