id,w_coh
01001,-0.0939
01003,-0.0537
01005,0.1462
01007,-0.0103
01009,0.0836
01013,-0.0849
01015,0.0219
01017,0.0503
01019,0.0647
01021,0.0193
01023,-0.1780
01025,-0.0291
01027,0.1116
01029,0.0162
01031,0.0177
01033,0.0038
01037,0.0341
01039,-0.0470
01041,0.1131
01043,-0.0109
01045,0.0712
01047,0.0875
01049,0.0555
01051,0.0385
01053,-0.0061
01055,0.0098
01057,-0.0249
01059,-0.1450
01061,0.0876
01065,0.1083
01067,0.0461
01069,0.0621
01071,-0.0401
01073,0.0126
01075,-0.0061
01077,0.0252
01079,-0.0224
01081,0.1165
01083,0.0378
01089,0.0280
01091,0.0833
01093,0.0105
01095,-0.0522
01097,-0.0642
01099,0.0059
01101,-0.0117
01103,-0.0223
01107,0.0338
01109,-0.0137
01111,0.0444
01113,0.1164
01115,0.0391
01117,0.0548
01121,-0.0325
01123,-0.0726
01125,0.0964
01127,-0.0057
01129,-0.0795
01133,0.0201
02020,0.0509
02090,0.0290
02110,0.0645
02122,0.0320
02130,-0.0005
02150,-0.0640
02170,-0.0187
02220,0.0842
02240,0.0895
02261,-0.0261
04001,0.1102
04003,0.1083
04005,0.0707
04007,0.0003
04009,0.0523
04011,0.0371
04012,0.0201
04013,0.0803
04015,0.0953
04017,0.0490
04019,0.0855
04021,0.0906
04023,0.1013
04025,0.0338
04027,0.1155
05001,0.0104
05003,-0.0099
05005,-0.0528
05007,-0.0288
05009,-0.0084
05011,-0.0780
05013,-0.0795
05015,-0.0699
05019,0.0105
05021,-0.0774
05023,-0.0430
05025,-0.0666
05027,0.0101
05029,-0.0418
05031,-0.0059
05033,0.0078
05035,-0.1371
05037,-0.0349
05039,-0.0632
05041,-0.0130
05043,-0.0945
05045,-0.0235
05047,-0.1001
05049,0.0281
05051,-0.0650
05053,-0.0549
05055,-0.0648
05057,-0.0406
05059,-0.0219
05061,0.0172
05063,-0.0542
05065,-0.0482
05067,0.0358
05069,-0.0066
05071,-0.1326
05073,0.0836
05075,-0.0441
05079,-0.2249
05081,-0.0391
05083,-0.0704
05085,-0.0304
05087,-0.0302
05089,-0.0646
05091,0.0544
05093,0.0449
05095,-0.0321
05097,-0.0222
05099,-0.0297
05101,-0.0754
05103,-0.0272
05105,0.0059
05107,-0.0630
05109,0.0463
