id,wa_avg
01003,-6.4360
01073,-6.5336
01081,-7.1020
01089,-6.6730
01097,-5.9814
01101,-6.4700
01117,-5.9886
01125,-6.8848
02020,-3.5309
02090,-5.1761
02110,-4.5843
02130,-4.2665
02150,-4.1682
02170,-4.9905
04003,-5.6142
04005,-5.7262
04013,-6.1495
04015,-6.5009
04019,-6.0280
04021,-6.1585
04025,-6.1145
04027,-6.0469
05007,-6.3071
05085,-6.1965
05119,-6.9899
05125,-6.6708
05131,-5.6380
05143,-3.3928
06001,-6.2065
06007,-4.8385
06013,-6.3403
06015,-4.8324
06017,-7.0520
06019,-4.6581
06023,-5.0570
06025,-6.7571
06029,-6.5494
06031,-6.0403
06037,-6.4686
06039,-6.0945
06041,-5.6488
06047,-5.2609
06053,-5.5493
06055,-5.9287
06059,-6.6857
06061,-6.4406
06065,-6.4456
06067,-5.6805
06069,-6.0513
06071,-7.0472
06073,-6.3086
06075,-4.7110
06077,-5.4902
06079,-5.9473
06081,-5.0405
06083,-5.5868
06085,-6.4387
06087,-5.8099
06089,-5.7623
06095,-5.7424
06097,-5.8013
06099,-5.8529
06101,-5.9432
06107,-5.4357
06111,-6.7085
06113,-5.9858
06115,-4.8199
08001,-5.7793
08005,-5.3978
08013,-5.8665
08031,-3.6311
08035,-6.1476
08041,-5.5825
08059,-5.5015
08069,-6.2708
08101,-6.5998
08123,-3.0792
09001,-6.1270
09003,-6.0277
09005,-6.3329
09007,-5.9531
09009,-6.5693
09011,-6.1903
09013,-6.1937
09015,-5.7821
10001,-6.5093
10003,-6.9867
10005,-6.2535
11001,-4.0335
12001,-7.0336
12005,-6.3265
12009,-6.1401
12011,-6.2828
12015,-6.6349
12017,-7.3753
12019,-6.5541
12021,-6.4151
12031,-6.2708
12033,-6.1894
12035,-6.2703
12053,-6.6964
12055,-7.3711
12057,-6.7226
12061,-5.5144
12069,-6.1925
12071,-6.2783
12073,-6.9699
12081,-6.2882
12083,-6.9424
12085,-6.4827
12086,-6.1847
12095,-6.0914
12097,-6.0958
12099,-6.2733
12101,-7.0839
12103,-5.9608
12105,-6.8360
12109,-6.7691
12111,-6.6173
12113,-6.0811
12115,-6.3447
12117,-6.6921
12127,-6.6292
13013,-5.3985
13015,-6.7910
13021,-6.5136
13051,-6.2933
13057,-6.0967
13059,-6.2604
13063,-7.0527
13067,-6.4151
13073,-6.9224
13077,-6.6745
13089,-2.8096
13097,-6.3991
13113,-5.8579
13115,-6.5702
13117,-7.4191
13121,-6.8296
13127,-5.8874
13135,-6.0177
13139,-6.2609
13151,-6.6254
13153,-6.1921
13157,-5.6684
13179,-5.9252
13185,-5.6959
13215,-7.0478
13219,-6.5378
13223,-6.5286
13245,-5.9153
13247,-6.1540
13285,-6.4424
13297,-5.7942
13313,-6.5558
15003,-4.2868
16001,-5.7150
16005,-5.6817
16027,-5.7018
16055,-6.0223
16083,-3.9514
17019,-7.3633
17031,-6.0750
17037,-6.3677
17043,-6.5474
17077,-7.6569
17089,-5.9928
17093,-6.5740
17097,-7.0164
17111,-6.4441
17113,-7.3963
17115,-7.0869
17119,-7.1165
17143,-7.9434
17161,-4.6157
17163,-6.0715
17167,-7.2087
17179,-6.5642
17197,-6.1983
17201,-5.7480
18003,-4.3542
18005,-8.0207
18011,-6.6432
18039,-5.7522
18043,-6.4725
18057,-6.9125
18063,-5.9585
18081,-6.3330
18089,-6.7078
18097,-4.7946
18105,-7.5547
18127,-6.6908
18141,-6.9389
18157,-7.8807
18163,-6.4606
18167,-7.4495
18173,-7.5565
19013,-4.7419
19021,-3.5763
19049,-6.2400
19061,-4.0801
19103,-6.8180
19113,-6.0981
19153,-4.7127
19163,-6.3990
19169,-7.2855
19193,-4.9834
20015,-6.7094
20045,-5.8617
20055,-3.6326
20061,-5.8268
20091,-6.1173
20103,-5.9390
20161,-7.0972
20169,-5.5326
20173,-5.7684
20177,-6.4915
20209,-3.8165
21015,-6.2249
21059,-4.5199
21067,-6.9196
21093,-5.4778
21111,-6.6765
21117,-6.0551
21185,-6.8308
21227,-4.3782
22005,-6.2584
22015,-5.9412
22017,-7.2739
22019,-6.3891
22033,-6.2185
22045,-5.6723
22051,-6.7822
22055,-6.6352
22071,-4.0217
22073,-6.2961
22075,-6.3011
22079,-6.1313
22103,-6.6152
22113,-6.2753
23005,-5.1370
23019,-6.4841
23031,-5.8864
24003,-5.9436
24005,-6.2884
24009,-6.5422
24013,-6.4971
24017,-6.2362
24021,-6.6471
24025,-6.5830
24027,-6.3098
24031,-5.8937
24033,-5.7581
24037,-6.8643
24043,-7.0100
24045,-6.9871
24510,-6.1029
25001,-5.6679
25003,-6.5318
25005,-5.9420
25009,-6.0270
25013,-5.9976
25015,-5.6280
25017,-6.4853
25021,-6.3571
25023,-5.8275
25025,-6.1373
25027,-6.7887
26021,-6.9487
26025,-5.7423
26045,-6.0271
26049,-6.3885
26065,-6.0033
26075,-6.6688
26077,-6.8578
26081,-5.7894
26093,-6.1415
26099,-5.7047
26111,-7.6126
26121,-6.0761
26125,-7.2572
26139,-5.0096
26145,-7.1453
26147,-6.2838
26161,-7.3845
26163,-7.0706
27003,-4.8485
27013,-6.1696
27019,-5.5785
27033,-3.9227
27037,-5.3715
27053,-4.2659
27083,-4.1487
27105,-3.1516
27109,-5.2751
27123,-3.1026
27137,-5.8164
27139,-5.5611
27141,-5.1655
27145,-5.0912
27163,-5.5213
27171,-4.8606
28033,-6.4472
28047,-6.7626
28049,-6.0272
28059,-6.4091
28081,-7.1394
28089,-6.2390
28121,-6.7509
29019,-6.5653
29037,-6.5243
29047,-5.3638
29077,-6.0870
29095,-5.3039
29097,-5.6050
29099,-6.4073
29145,-4.4141
29165,-5.4202
29169,-5.8893
29183,-6.4545
29189,-6.6957
29510,-5.0580
30013,-5.5119
30031,-6.1928
30063,-5.5081
30111,-5.7553
31055,-5.0355
31109,-5.4481
31153,-5.8146
32003,-5.8054
32031,-5.4223
33009,-6.8077
33011,-6.4735
33013,-5.0129
33015,-6.0663
33017,-6.0614
34001,-5.9200
34003,-6.7251
34005,-6.6197
34007,-6.2726
34011,-6.5540
34013,-6.5981
34015,-6.6039
34017,-6.4232
34019,-6.8409
34021,-7.5006
34023,-7.4940
34025,-7.1564
34027,-6.6758
34029,-6.4115
34031,-5.9573
34035,-7.3551
34037,-6.3127
34039,-6.4434
34041,-6.6870
35001,-5.8387
35013,-6.3154
35028,-7.3127
35035,-5.4996
35043,-6.1043
35049,-5.8489
36001,-6.3904
36007,-6.1842
36015,-7.8044
36021,-5.4493
36027,-7.3267
36029,-4.6491
36045,-6.1212
36055,-5.5863
36059,-6.4698
36061,-5.8244
36063,-6.6400
36065,-3.9077
36067,-4.7038
36069,-6.0944
36071,-6.6539
36079,-6.3389
36083,-5.7932
36087,-6.0979
36091,-7.0560
36093,-5.2042
36101,-7.9439
36103,-6.4128
36109,-7.4640
36111,-6.5201
36119,-6.2783
37001,-6.2512
37021,-6.2791
37023,-4.8279
37025,-6.8360
37035,-4.5013
37049,-4.2179
37051,-6.1153
37057,-5.9033
37063,-5.1654
37067,-5.9992
37071,-6.5854
37081,-4.6734
37089,-4.9440
37097,-5.7067
37101,-6.2861
37119,-5.1855
37129,-5.8572
