id,wa_grd
01073,-0.2773
01081,-0.1827
01089,-0.2167
01097,-0.2020
01101,-0.1769
01117,-0.0937
02020,-0.0382
02090,-0.0005
02110,-0.0226
02150,-0.0902
02170,-0.1127
04003,-0.0494
04005,0.0038
04013,-0.1388
04015,-0.0532
04019,-0.0903
04021,-0.0477
04027,-0.1618
05007,-0.1162
05119,-0.2616
05131,-0.0969
05143,0.0016
06001,-0.1630
06007,-0.1456
06013,-0.0487
06017,0.0228
06019,-0.1434
06023,0.0415
06029,-0.0754
06031,-0.0870
06037,-0.0841
06039,0.0247
06041,0.0328
06047,-0.1410
06053,-0.0452
06055,-0.0399
06059,-0.1092
06061,-0.0797
06065,-0.0787
06067,-0.0985
06071,-0.0922
06073,-0.0397
06075,0.0106
06077,-0.1260
06079,-0.0988
06081,-0.0140
06083,0.0322
06085,-0.0597
06087,0.0321
06089,-0.0637
06095,-0.0567
06097,-0.0015
06099,-0.0906
06101,-0.0112
06107,-0.0912
06111,-0.0132
06113,-0.0135
06115,-0.0878
08001,-0.1021
08005,-0.0886
08041,-0.1151
08059,-0.1102
09001,-0.1280
09003,-0.1775
09005,-0.1567
09007,-0.0988
09009,-0.2082
09011,-0.1513
09013,-0.0790
10001,-0.0628
10003,-0.2326
10005,-0.2049
11001,0.1002
12011,-0.1117
12019,-0.1532
12021,-0.1597
12031,-0.0904
12033,-0.1360
12053,-0.1488
12057,-0.2072
12069,-0.1238
12071,-0.1751
12073,-0.2519
12081,-0.1640
12086,-0.0705
12095,-0.1086
12097,-0.0840
12099,-0.1765
12101,-0.1527
12103,-0.1632
12105,-0.1588
12109,-0.2347
12111,-0.1889
12115,-0.2523
12117,-0.1974
12127,-0.1817
13013,-0.1229
13021,-0.0940
13051,-0.1206
13057,-0.0902
13063,-0.2296
13067,-0.1642
13073,-0.1246
13077,-0.1809
13089,0.3736
13097,-0.1272
13113,-0.0859
13117,-0.1530
13121,-0.1163
13135,-0.0903
13139,-0.1525
13151,-0.1227
13153,-0.1134
13215,-0.2348
13245,0.1051
15003,0.0071
16001,-0.0748
16027,-0.0769
17019,-0.0848
17031,-0.1553
17043,-0.1666
17089,-0.1848
17093,-0.2238
17097,-0.2290
17111,-0.1954
17113,-0.1934
17119,-0.1430
17143,-0.2007
17161,0.0952
17163,-0.1267
17167,-0.1440
17197,-0.1743
17201,-0.0888
18003,-0.1057
18005,-0.1763
18057,-0.1851
18063,-0.0644
18081,-0.2109
18089,-0.2299
18097,-0.0374
18141,-0.2294
18157,-0.2880
19013,0.2063
19049,-0.1606
19103,-0.1389
19113,-0.0325
19153,0.0292
19163,-0.2635
19169,-0.2788
19193,-0.0860
20045,-0.1210
20091,-0.1911
20173,-0.1602
20177,-0.1695
20209,0.0435
21015,-0.1209
21067,-0.1221
21093,-0.0464
21111,-0.1316
21227,0.0553
22015,-0.0935
22017,-0.1714
22019,-0.1218
22033,-0.2245
22045,-0.1645
22051,-0.2223
22055,-0.2046
22071,-0.0458
22079,-0.1568
22103,-0.1109
23005,-0.1405
23031,-0.1295
24003,-0.0999
24005,-0.1114
24013,-0.1631
24017,-0.1221
24021,-0.1974
24025,-0.2193
24027,-0.1241
24031,-0.1282
24033,-0.1243
24037,-0.1752
24043,-0.1675
24045,-0.1811
24510,-0.0883
25001,-0.0734
25005,-0.1726
25009,-0.1671
25013,-0.1079
25015,-0.1819
25017,-0.2529
25021,-0.2394
25023,-0.1348
25025,-0.1991
25027,-0.1986
26021,-0.1833
26025,-0.0564
26045,-0.1488
26049,-0.1744
26065,-0.0413
26077,-0.2455
26081,-0.1029
26093,-0.0874
26099,-0.1181
26111,-0.3024
26125,-0.2674
26139,-0.1314
26145,-0.2864
26161,-0.1779
26163,-0.2170
27003,-0.1194
27019,-0.0715
27037,-0.0822
27053,-0.1447
27105,-0.0255
27109,-0.0985
27123,-0.1075
27137,-0.0155
27139,-0.0354
27141,-0.0784
27145,-0.0741
27163,-0.1099
27171,-0.0749
