id,wb_avg
01001,-3.4598
01003,-3.1921
01005,-3.3784
01007,-3.9683
01013,-3.6624
01015,-3.7474
01017,-4.0456
01019,-4.9157
01021,-3.9923
01023,-4.6591
01025,-3.6070
01027,-4.0267
01031,-3.5851
01033,-3.8286
01035,-4.8362
01037,-4.3476
01039,-3.6860
01041,-4.0963
01045,-3.7654
01047,-4.2628
01049,-3.7864
01051,-3.6286
01053,-3.5267
01055,-3.8640
01057,-3.7171
01059,-4.2385
01061,-3.6639
01065,-3.7134
01067,-3.7565
01069,-3.5407
01071,-3.6783
01073,-2.5841
01075,-4.0372
01077,-3.9381
01079,-4.2882
01081,-3.4595
01083,-4.1715
01089,-2.8940
01091,-2.8785
01093,-3.2409
01095,-3.9989
01097,-3.7436
01099,-4.3666
01101,-2.6464
01103,-3.6531
01107,-3.9338
01109,-3.5852
01111,-4.0342
01113,-4.2869
01115,-4.1328
01117,-3.6802
01121,-4.0534
01123,-3.8299
01125,-3.4183
01127,-4.1222
01129,-3.8239
02020,-2.9907
02090,-3.9347
02170,-4.4205
04003,-4.5044
04013,-3.2234
04015,-4.4636
04019,-3.3068
04021,-3.8994
04025,-4.5934
04027,-4.3518
05001,-3.5824
05003,-3.7487
05007,-4.5346
05011,-3.6544
05019,-3.7005
05025,-3.5979
05027,-2.9806
05029,-4.4610
05031,-3.2747
05033,-4.7390
05035,-3.4583
05037,-3.9810
05039,-3.3597
05041,-4.0439
05043,-3.7524
05045,-3.9439
05051,-3.5241
05057,-3.5261
05059,-3.6412
05061,-3.2568
05067,-3.6088
05069,-3.3229
05073,-4.0477
05079,-4.0115
05081,-3.5011
05085,-3.6616
05091,-3.3810
05093,-3.5318
05095,-4.2446
05099,-4.4503
05103,-3.7467
05107,-4.4559
05111,-4.4922
05115,-3.4363
05117,-2.8106
05119,-2.9450
05123,-3.9821
05125,-3.9357
05131,-3.4865
05139,-3.2856
05143,-3.5360
05145,-4.3026
05147,-3.3066
06001,-2.2469
06007,-4.0035
06013,-2.3076
06017,-4.3077
06019,-2.6530
06023,-4.1859
06025,-3.7666
06029,-3.6493
06031,-3.9269
06037,-2.6578
06039,-3.5904
06041,-1.9684
06047,-3.7046
06053,-3.5120
06055,-3.5315
06059,-3.5617
06061,-4.2084
06065,-3.7062
06067,-3.3413
06071,-3.6030
06073,-3.2295
06075,-1.4616
06077,-3.5380
06079,-4.1067
06081,-2.2448
06083,-3.0669
06085,-2.8798
06087,-3.6651
06089,-4.4512
06095,-3.3111
06097,-3.9685
06099,-3.9405
06101,-4.1616
06107,-3.9408
06111,-3.5847
06113,-3.3001
06115,-4.3013
08001,-3.8710
08005,-2.8042
08013,-3.4316
08031,-1.7259
08035,-3.6852
08041,-3.7201
08059,-3.1368
08069,-4.0658
08101,-3.6630
08123,-2.0750
09001,-2.0698
09003,-2.7287
09005,-4.0437
09007,-3.1292
09009,-2.9391
09011,-3.0887
09013,-3.1878
09015,-4.1250
10001,-3.9138
10003,-3.2073
10005,-3.4490
11001,-0.6732
12001,-2.2547
12003,-3.7113
12005,-3.6015
12007,-4.0164
12009,-3.3396
12011,-3.2727
12015,-3.9319
12017,-3.9782
12019,-4.3049
12021,-3.0140
12023,-3.7069
12027,-3.8527
12031,-3.5529
12033,-3.2466
12035,-3.8139
12039,-4.7890
12045,-3.8175
12047,-3.6407
12049,-4.2017
12051,-3.7766
12053,-4.0367
12055,-3.5329
12057,-3.0925
12061,-3.2307
12063,-3.7064
12065,-4.5063
12069,-3.6983
12071,-3.4609
12073,-2.8516
12075,-3.9642
12079,-2.9709
12081,-3.0063
12083,-3.7151
12085,-3.1311
12086,-2.8623
12087,-3.5646
12089,-3.9544
12093,-3.8418
12095,-3.1417
12097,-3.9973
12099,-2.9289
12101,-4.2309
12103,-2.7971
12105,-3.7894
12107,-3.9334
12109,-2.9797
12111,-3.8943
12113,-3.8977
12115,-2.9911
12117,-3.1493
12119,-3.6659
12121,-3.7021
12123,-4.1138
12125,-3.8412
12127,-3.6225
12129,-4.0785
12131,-3.2620
12133,-3.9000
13001,-3.8706
13003,-4.2394
13005,-3.8938
13009,-4.1684
13013,-4.2167
13015,-4.1921
13017,-4.0427
13019,-4.1730
13021,-3.3045
13023,-3.3261
13027,-4.0778
13029,-4.0416
13031,-3.4525
13033,-4.0192
13035,-4.1674
13037,-4.0023
13039,-3.9262
13043,-4.0399
13045,-3.9117
13047,-4.3365
13049,-3.7988
13051,-3.3769
13053,-4.1308
13055,-3.8887
13057,-4.1591
13059,-2.0367
13063,-5.0812
13065,-3.8106
13067,-3.0732
13069,-4.0257
13071,-3.5252
13073,-4.0754
13075,-3.9643
13077,-3.7493
13079,-4.5863
13081,-3.6385
13087,-3.6739
13089,-1.6659
13091,-3.8698
13095,-3.4622
13097,-4.3012
13099,-3.5989
13103,-4.0062
13105,-3.7554
13107,-3.8171
13109,-4.1577
13113,-3.9488
13115,-4.1048
13117,-4.0824
13119,-3.8351
13121,-1.7158
13127,-3.1158
13129,-3.8801
13131,-4.0785
13133,-3.6124
13135,-3.5577
13139,-3.4411
13143,-4.3355
13145,-3.8673
13147,-3.8751
13149,-3.7145
13151,-4.6026
13153,-3.7369
13155,-3.9393
13157,-3.8680
13159,-4.1063
13161,-3.9106
13163,-3.8493
13165,-4.0565
13167,-3.5765
13169,-4.2236
13171,-4.3221
13173,-4.2250
13175,-3.5821
13177,-4.1428
13179,-4.3862
13181,-3.6424
13183,-4.4276
13185,-3.3504
13189,-3.9107
13191,-4.4818
13195,-3.9244
13197,-3.9472
13199,-4.2670
13201,-3.8762
13205,-4.3022
13207,-3.8200
13209,-4.5358
13211,-3.2968
13215,-3.3346
13217,-4.3968
13219,-3.2984
13221,-3.4351
13223,-4.5341
13225,-3.6241
13229,-3.9824
13231,-3.9296
13233,-4.1187
13235,-3.5054
13237,-4.3335
13245,-4.0884
13247,-4.5961
13249,-3.7269
13251,-3.6256
13253,-3.6165
13255,-4.1610
13257,-3.7989
13261,-4.1772
13267,-3.8181
13269,-3.9010
13271,-3.5066
13275,-3.4004
13277,-3.3111
13279,-3.6141
13283,-3.9509
13285,-3.5145
13287,-4.0576
13289,-4.6044
13293,-4.2784
13295,-4.0639
13297,-3.8994
13299,-4.1065
13303,-3.8710
13305,-3.7169
13309,-3.9444
13313,-4.1877
13315,-3.4646
13317,-4.2588
13319,-4.3476
13321,-3.9957
15003,-4.1741
16001,-2.8016
16027,-4.3609
17001,-3.6788
17003,-4.3508
17007,-3.8853
17019,-2.5440
17029,-3.5805
17031,-2.4882
17037,-3.0805
17043,-2.6042
17063,-4.2076
17073,-3.6356
17077,-3.4811
17081,-3.3363
17089,-2.3368
17091,-3.4749
17093,-3.7080
17095,-3.7405
17097,-2.0216
17099,-3.6627
17111,-3.8401
