id,wb_coh
01001,-0.0469
01003,-0.0373
01005,0.0322
01007,-0.0977
01013,-0.0586
01015,-0.0471
01017,-0.0542
01021,-0.0203
01023,-0.0835
01025,-0.0825
01027,-0.0290
01031,-0.0520
01033,-0.0081
01037,-0.0681
01039,-0.0583
01041,0.0327
01045,0.0163
01047,0.0897
01051,-0.0584
01053,0.0342
01055,-0.0754
01057,0.0338
01061,-0.0839
01065,0.0602
01067,-0.1216
01069,0.0504
01071,-0.0464
01073,0.0475
01075,-0.0696
01077,0.0108
01079,0.0332
01081,-0.0018
01083,-0.0294
01089,-0.0484
01091,-0.0209
01095,0.0915
01097,-0.0285
01099,0.0450
01101,0.0408
01103,-0.0902
01107,-0.0235
01109,-0.0428
01111,-0.0653
01113,0.0338
01115,-0.0268
01117,-0.0389
01121,-0.0234
01123,-0.0790
01125,0.0037
01127,0.0067
01129,-0.1099
02020,-0.0285
02090,0.0297
04003,0.0865
04013,0.0333
04015,0.0183
04019,0.0048
04021,0.0072
04027,0.0142
05001,-0.0385
05003,-0.0569
05007,0.0171
05011,0.0537
05019,0.0348
05027,-0.0772
05029,0.0402
05031,0.0137
05035,-0.0607
05037,-0.0073
05041,-0.0057
05043,-0.0209
05045,0.0471
05051,-0.0708
05057,0.0199
05059,0.1275
05061,0.0222
05067,0.0149
05069,-0.0281
05079,-0.0089
05081,-0.0593
05085,0.0014
05091,0.0177
05093,0.0223
05095,-0.0901
05099,-0.0426
05103,-0.0147
05107,-0.0414
05111,-0.0191
05115,0.0703
05119,-0.0127
05123,0.0367
05125,-0.0220
05131,-0.0152
05139,-0.0321
05143,0.0231
05145,0.0359
06001,0.1720
06007,-0.0124
06013,0.0746
06019,0.0668
06029,0.0547
06031,0.0827
06037,0.0613
06039,0.0761
06041,0.0684
06047,0.0001
06053,0.0255
06059,0.0509
06061,0.0113
06065,0.0698
06067,0.0615
06071,0.0690
06073,0.0563
06077,0.0754
06079,0.0772
06081,0.1313
06083,0.0257
06085,0.0579
06087,-0.0497
06089,0.0815
06095,0.0822
06097,-0.0013
06099,0.0310
06101,0.1554
06107,0.0546
06111,0.0567
06113,0.0388
06115,0.0674
09001,0.0230
09003,-0.0017
09005,0.0163
09007,0.0426
09009,0.0227
09011,0.0475
09013,0.0370
09015,-0.0578
10001,0.0241
10003,0.0447
10005,0.0679
11001,-0.0090
12003,-0.0072
12005,0.0158
12007,0.0109
12011,0.0108
12015,-0.0080
12017,-0.0200
12019,-0.0396
12021,-0.0498
12023,-0.0060
12027,-0.0418
12031,-0.0240
12033,0.0182
12035,-0.0530
12047,-0.0749
12049,-0.0043
12051,-0.0367
12053,-0.0098
12055,0.0027
12057,-0.0362
12061,0.0079
12063,-0.0119
12069,-0.0047
12071,-0.0172
12073,0.0096
12075,-0.0535
12079,-0.0267
12081,0.0086
12083,-0.0080
12085,-0.0475
12086,0.0197
12087,-0.0910
12089,0.0069
12093,0.0051
12095,-0.0172
12097,-0.0234
12099,-0.0270
12101,-0.0119
12103,-0.0447
12105,0.0102
12107,-0.0166
12109,-0.0001
12111,-0.0156
12113,0.0146
12115,-0.0543
12117,-0.0009
12119,0.0279
12121,-0.0444
12123,-0.0309
12127,-0.0525
12129,0.0026
12131,0.0083
12133,-0.0917
13001,0.0301
13005,0.0614
13009,0.0715
13013,0.0398
13015,0.0149
13017,0.0125
13019,0.0881
13021,0.0844
13023,0.0149
13027,0.0272
13029,0.0332
13031,0.1003
13033,0.0184
13035,0.0606
13039,0.0277
13043,0.0625
13045,0.0366
13047,0.0092
13049,0.0355
13051,0.1118
13057,0.0241
13059,0.0742
13063,-0.0262
13065,-0.0436
13067,0.0445
13069,0.0352
13071,0.0481
13073,0.0408
13075,0.0731
13077,0.0501
13079,0.0485
13081,-0.0009
13087,0.0382
13089,0.0643
13091,0.0313
13095,0.0524
13097,0.0481
13099,0.0091
13103,0.0121
13105,0.0153
13107,0.0311
13109,0.0707
13113,0.0169
13115,0.1057
13117,-0.0244
13119,0.0276
13121,0.1080
13127,0.0734
13129,0.0207
13131,-0.0069
13133,0.3638
13135,0.0104
13139,0.0698
13145,0.0415
13147,0.0230
13151,0.0323
13153,0.0362
13155,-0.0064
13157,0.0268
13159,0.0436
13161,0.0574
13163,-0.0384
13165,-0.0034
13167,0.0035
13169,0.0258
13171,0.0420
13173,0.0412
13175,0.0236
13177,0.0133
13179,0.0549
13181,0.0877
13183,-0.0059
13185,0.0501
13189,0.0672
13191,0.0774
13195,0.0084
13197,0.0283
13199,0.0479
13201,0.0369
13205,0.0015
13207,0.0753
13209,-0.0580
13211,0.0533
13215,0.1237
13217,0.0237
13219,0.0405
13221,-0.0477
13223,0.0461
13225,0.0841
13229,-0.0092
13231,0.0313
13233,0.0712
13235,-0.0319
13237,0.0149
13245,0.0927
13247,-0.0093
13251,0.0193
13253,0.0062
13255,0.0313
13257,0.0383
13261,0.0128
13267,0.0759
13269,-0.0339
13271,0.0336
13275,-0.0082
13277,0.0528
13279,0.0230
13283,-0.0089
13285,0.0269
13287,0.0467
13289,0.0522
13293,0.0554
13295,0.0928
13297,0.0561
13299,0.0067
13303,0.0252
13305,0.0040
13309,0.0726
13313,0.1332
13315,0.0656
13317,0.0642
13319,0.0275
13321,0.0107
15003,0.0153
16001,0.0394
17001,-0.0130
17003,-0.0219
17019,0.1403
17031,0.0009
17037,0.0108
17043,-0.0156
17063,-0.0102
17077,0.0369
17081,-0.0174
17089,0.0075
17091,0.0680
17093,-0.0057
17095,0.0070
17097,0.0450
17099,-0.0163
17111,0.0262
17113,0.0157
17115,0.0498
17119,0.0133
17121,0.0696
17137,-0.0228
17143,0.1009
17161,-0.0370
17163,0.1215
17167,-0.0823
17177,0.0672
17183,0.0135
