id,wb_grd
01001,0.0804
01003,0.0110
01005,0.1408
01007,-0.0619
01013,-0.0595
01015,-0.0302
01017,-0.0833
01021,-0.0653
01023,-0.0819
01025,0.0235
01027,0.0484
01031,-0.0102
01033,0.0401
01037,0.0391
01039,-0.0444
01041,-0.0414
01045,0.1085
01047,0.2469
01051,0.0179
01053,0.0854
01055,-0.0348
01057,-0.0089
01061,0.0044
01065,0.0092
01067,-0.0271
01069,0.1042
01071,0.0359
01073,0.1526
01075,-0.0159
01077,0.1604
01079,-0.0096
01081,0.0427
01083,-0.0217
01089,0.0863
01091,0.0787
01095,0.0383
01097,0.0402
01099,0.1387
01101,0.2575
01103,-0.0272
01107,-0.0350
01109,-0.0351
01111,0.0029
01113,-0.0089
01115,-0.0379
01117,-0.0086
01121,-0.0162
01123,0.0202
01125,-0.0036
01127,0.0580
01129,-0.0521
02020,0.0759
02090,0.0316
04003,0.1179
04013,0.0484
04015,0.0155
04019,0.0823
04021,0.0273
04027,0.0866
05001,-0.0301
05003,-0.0255
05007,0.0164
05011,0.0557
05019,0.0934
05027,-0.0022
05029,0.0055
05031,0.0364
05035,0.0113
05037,-0.0266
05041,-0.0396
05043,0.0004
05045,0.0832
05051,0.0413
05057,-0.0692
05059,0.0643
05061,0.0419
05067,0.0098
05069,0.0472
05079,-0.0145
05081,-0.0050
05085,0.0027
05091,0.1528
05093,0.0677
05095,-0.0141
05099,0.0702
05103,0.0596
05107,-0.1421
05111,-0.0400
05115,0.0074
05119,-0.0122
05123,0.1567
05125,0.0151
05131,0.0699
05139,0.0356
05143,-0.0103
05145,0.0160
06001,0.2163
06007,0.0288
06013,0.1169
06019,0.0851
06025,0.0676
06029,0.0535
06031,0.0428
06037,0.1159
06039,0.0982
06041,0.1667
06047,0.0223
06053,0.0073
06059,0.0634
06061,0.0769
06065,0.0636
06067,0.1070
06071,0.0700
06073,0.0640
06077,0.0342
06079,0.0424
06081,0.2255
06083,0.0306
06085,0.1249
06087,0.0525
06089,0.0470
06095,0.1704
06097,0.0707
06099,0.0705
06101,0.1147
06107,0.0308
06111,0.0729
06113,0.1212
06115,0.0991
08005,0.0969
08031,0.1790
08041,0.0798
09001,0.0905
09003,0.0839
09005,0.0675
09007,0.1105
09009,0.0893
09011,0.0762
09013,0.1684
09015,0.1263
10001,0.0444
10003,0.1052
10005,0.1353
11001,0.1910
12003,0.0670
12005,0.0450
12007,0.0513
12011,0.0957
12015,0.0733
12017,0.0117
12019,0.0288
12021,0.0603
12023,0.1397
12027,0.0663
12031,0.0106
12033,0.1715
12035,0.0403
12051,-0.0001
12053,-0.0259
12055,0.1235
12057,0.0485
12061,0.0873
12063,-0.0095
12069,0.0470
12071,0.0557
12073,0.1637
12075,0.0525
12079,0.0891
12081,0.0901
12083,0.0510
12085,0.0382
12086,0.1180
12087,0.0259
12089,0.0247
12093,0.1244
12095,0.0815
12097,0.0477
12099,0.0423
12101,0.0308
12103,0.0886
12105,0.0603
12107,0.0361
12109,0.1122
12111,-0.0078
12115,0.0755
12117,0.0452
12119,0.0676
12121,0.0264
12123,0.0794
12127,0.0483
12129,0.0492
12131,0.1425
12133,-0.0046
13001,0.0813
13003,0.0308
13005,0.0726
13009,-0.0128
13013,0.0330
13015,-0.0008
13017,0.0537
13019,0.0860
13021,0.0196
13023,0.1128
13027,0.0045
13029,0.0245
13031,0.0954
13033,0.0085
13035,0.0053
13039,0.0570
13043,0.0833
13045,0.0585
13047,0.0280
13049,0.1217
13051,0.0999
13057,0.0201
13059,0.1598
13063,-0.0155
13065,0.0438
13067,0.1265
13069,0.0718
13071,0.0127
13073,0.0549
13075,0.0700
13077,0.0083
13079,0.0370
13081,0.0693
13087,0.1129
13089,0.1488
13091,0.0404
13095,0.1120
13097,0.0002
13099,0.0296
13103,0.0787
13105,0.0686
13107,-0.0084
13109,0.0512
13113,0.0670
13115,0.0267
13117,0.0464
13119,0.0001
13121,0.1747
13127,0.0537
13129,0.0762
13131,0.0621
13133,0.2013
13135,0.1107
13139,0.0978
13145,-0.0016
13147,0.0329
13151,0.0623
13153,0.0628
13155,0.0922
13157,0.0203
13159,-0.0511
13161,0.0612
13163,-0.0207
13165,0.0204
13167,0.0742
13169,-0.0244
13171,0.0582
13173,0.0817
13175,0.0572
13177,0.0578
13179,0.0336
13181,0.0577
13183,0.0248
13185,0.0872
13189,0.0923
13191,0.0404
13195,0.0519
13197,0.0065
13199,0.0230
13201,0.0392
13205,-0.0123
13207,0.0979
13211,0.0760
13215,0.1287
13217,-0.0128
13219,0.0484
13221,0.0078
13223,-0.0042
13225,0.1111
13229,0.0013
13231,0.0101
13233,0.0556
13235,0.0220
13237,0.0161
13245,0.1035
13247,0.0060
13251,0.1010
13253,0.0485
13255,0.0646
13257,0.0551
13261,-0.0462
13267,0.1175
13269,0.0591
13271,0.0495
13275,0.0182
13277,0.1143
13279,-0.0429
13283,0.0180
13285,0.0493
13287,0.0037
13293,0.0041
13295,0.0683
13297,0.0303
13299,0.0406
13303,0.0574
13305,0.0166
13309,0.0848
13313,0.1322
13315,0.0589
13317,0.0784
13319,-0.0566
13321,-0.0093
15003,-0.0657
16001,0.1258
16027,0.0505
17001,0.0886
17019,0.1405
17031,-0.0026
17037,0.0332
17043,0.0029
17063,-0.0163
17077,0.0863
17081,0.0150
17089,0.0062
17091,0.1352
17093,0.0087
17095,0.0269
17097,0.0647
17099,0.0210
17111,-0.0024
17113,0.0403
17115,0.0059
17119,0.0282
17121,0.1116
17137,0.0642
17143,0.1373
17161,-0.1296
17163,0.1977
17167,-0.0767
17177,0.1268
17183,-0.0111
17197,0.0251
17199,0.0795
17201,0.0345
18003,0.0839
18019,0.1654
18035,0.1454
18039,0.0833
18043,0.0798
18053,-0.0089
18057,0.0550
18059,0.0843
18063,-0.0313
18067,0.1630
18081,0.0846
18089,0.2085
18091,0.0170
18095,0.0110
18097,0.0604
18105,0.0756
18127,0.0829
18141,0.0937
18157,0.1548
18163,0.1008
18167,0.0870
18177,0.0072
19013,0.0645
19045,0.1042
19049,0.1650
19057,0.2045
19061,0.1733
19103,0.2128
19113,0.1821
19153,0.1443
19155,0.0548
19163,0.1652
19169,0.0847
19187,0.1031
19193,0.0647
20045,0.1064
20061,0.0112
20091,0.0853
20103,0.0347
20125,0.0213
20155,0.0749
20161,0.1133
20169,0.1068
20173,0.1226
20177,0.1121
20209,0.0405
21009,0.0234
21015,0.1330
21017,0.1374
21021,0.2628
21037,0.0900
21047,0.0537
21049,0.0279
21059,0.1101
21067,0.1745
21073,0.0207
21083,0.0276
21093,0.0527
21101,0.0846
21107,0.1328
21111,0.1045
21113,0.0502
21117,0.1894
21141,0.1131
21145,0.2392
21151,-0.0419
21179,0.0581
21185,0.0787
21209,0.0984
21211,0.0730
21213,0.0172
21225,-0.0237
21227,0.1269
22001,0.2383
22003,0.0972
22005,0.0363
22007,-0.0046
22009,0.0646
22011,0.0467
22013,-0.0364
22015,0.0589
22017,0.1222
22019,0.0266
22021,0.0209
22025,0.1387
22027,0.0399
22029,0.0145
22031,0.1397
22033,0.0428
22037,0.0516
22039,0.0083
22041,0.1084
22043,0.0465
22045,0.0317
22047,0.1317
22049,0.0478
22051,0.0374
22053,0.0724
22055,0.0363
22057,0.1338
22061,0.1294
22063,-0.0085
22067,0.1302
22069,0.0220
22071,0.1397
22073,0.1896
22075,-0.1082
22077,-0.0842
22079,0.0410
22081,0.0072
22083,-0.0742
22085,0.0042
22087,-0.0169
22089,0.0525
22093,0.1698
22095,-0.0023
22097,-0.0141
22099,0.0096
22101,0.1194
22103,0.0221
22105,0.0948
22109,0.0638
22111,0.0488
22113,0.0484
22115,0.0644
22117,0.0978
22119,0.0723
22121,0.0649
22123,0.0527
22125,0.0853
22127,0.0341
23001,0.1375
23005,0.0489
23031,0.0604
24001,-0.0195
24003,0.0735
24005,0.0743
24009,-0.0414
24011,-0.0174
24013,-0.0140
24015,0.0963
24017,0.0874
24019,0.1131
24021,0.0840
24025,0.0769
24027,0.0794
24029,0.1521
24031,0.1018
24033,0.0468
24035,0.0764
24037,0.0250
24039,0.0227
24041,0.0412
24043,0.0789
24045,0.1148
24047,0.0725
24510,0.1678
25001,0.1312
25003,0.0813
25005,0.1618
25009,0.0094
25013,0.1493
25015,0.0768
25017,0.0607
25021,0.0757
25023,-0.0033
25025,0.0732
25027,0.0472
26017,0.0703
26021,0.1636
26025,0.1874
26027,0.1183
26045,0.0437
26049,0.0191
26065,0.2700
26075,0.0758
26077,0.0793
26081,0.1275
26091,0.0085
26099,0.1021
26107,0.0715
26115,0.0474
26121,0.0922
26125,0.1132
26139,0.1303
26145,0.1557
26147,0.0455
26149,0.0571
26159,0.0260
26161,0.0861
26163,0.1073
27003,0.0405
27013,0.0871
27019,0.1353
27037,0.0722
27053,0.1272
27067,0.2114
27099,0.0165
27109,0.0482
27123,0.1190
27131,0.3181
27137,0.1617
27139,0.0919
27141,0.0721
27145,0.3855
27147,0.0340
27163,0.0445
27171,0.0386
28003,0.0819
28007,-0.0524
28009,0.0851
28011,-0.0597
28013,0.0934
28017,-0.0619
28019,0.0211
28023,0.1261
28025,-0.0494
28029,0.0336
28031,0.0232
28033,0.0208
28035,0.0822
28037,0.0174
28039,0.0054
28041,0.0496
28043,0.0494
28045,0.0593
28047,0.0501
28049,0.2483
28059,0.0282
28061,0.0536
28067,0.0762
28071,0.0445
28073,0.0074
28075,0.0674
28077,0.0172
28079,-0.0653
28081,0.0877
28085,0.0225
28087,0.1454
28089,0.1154
28091,0.0485
28093,0.0371
28095,0.1308
28097,0.0182
28099,0.0232
28101,0.0987
28105,0.0555
28107,-0.0408
28109,-0.0572
28111,-0.0394
28113,-0.1090
28115,0.0250
28117,0.0873
28121,0.0202
28123,-0.0261
28127,0.0179
28129,0.0093
28131,0.0593
28135,-0.1505
28137,-0.0049
28139,0.0651
28145,0.1140
28147,-0.0757
28149,-0.0523
28151,-0.1132
28153,0.1064
28155,0.0383
28159,0.0867
28161,0.0136
28163,-0.2000
29019,0.1293
29021,0.0823
29023,0.0511
29031,0.1895
29037,0.0494
29047,0.0797
29051,0.1474
29069,0.1059
29077,0.0552
29095,0.0429
29097,0.0465
29099,0.0619
29101,-0.0389
29127,0.1202
29133,-0.0218
29143,0.0311
29155,0.1429
29165,0.1492
29169,0.0219
29183,0.0754
29189,0.1188
29201,0.1211
29510,0.1377
30013,0.0013
30111,0.0959
31055,0.1074
31109,0.0739
31153,0.0263
32003,0.1498
32031,0.0760
33011,0.0173
34001,0.1659
34003,0.1619
34005,0.0888
34007,0.0787
34009,0.1153
34011,0.0754
34013,0.1694
34015,0.0328
34017,0.0662
34019,0.1306
34021,0.1347
34023,0.0657
34025,0.1259
34027,0.0832
34029,0.1491
34031,0.0528
34033,0.1312
34035,0.0951
34037,0.0088
34039,0.1512
34041,0.0539
35001,0.0250
35009,-0.0031
35013,0.0199
35025,0.0632
35035,0.0291
35043,0.0717
36001,0.2101
36007,0.1718
36011,0.1163
36013,0.1209
