id,wh_avg
01001,-4.9219
01003,-3.9351
01005,-3.4357
01009,-4.4454
01015,-4.5060
01021,-4.6782
01031,-4.5963
01033,-4.2696
01043,-4.2186
01045,-4.3546
01049,-4.0098
01051,-4.5745
01055,-3.9432
01059,-4.4357
01061,-4.4700
01069,-4.7183
01071,-4.8029
01073,-2.9234
01077,-4.5491
01081,-4.1627
01083,-4.3327
01089,-3.2076
01095,-3.8422
01097,-4.7071
01101,-2.6961
01103,-3.6672
01113,-5.3383
01115,-4.7601
01117,-3.5659
01121,-4.5441
01123,-4.6081
01125,-3.8037
02020,-3.6855
02090,-4.6164
02110,-4.1389
02122,-4.9120
02170,-4.8444
04001,-4.0836
04003,-3.8794
04005,-3.4338
04007,-4.4796
04009,-4.0644
04011,-5.5386
04012,-4.1079
04013,-3.3659
04015,-4.5646
04017,-4.1486
04019,-3.5469
04021,-4.3071
04023,-4.2135
04025,-4.2111
04027,-3.9376
05003,-5.1240
05007,-4.2589
05011,-4.4685
05015,-4.8108
05019,-4.3793
05031,-3.9625
05033,-4.8079
05035,-4.2229
05045,-4.2187
05051,-4.6343
05055,-4.3855
05057,-3.8034
05059,-4.7935
05061,-4.2740
05063,-4.3015
05069,-5.1118
05071,-4.8000
05085,-4.9483
05087,-4.6354
05093,-4.4330
05109,-5.1629
05113,-4.7280
05115,-4.2878
05119,-3.4832
05125,-4.2712
05127,-4.9714
05131,-3.8509
05133,-5.1627
05139,-4.1710
05143,-3.9150
05145,-4.8551
05149,-5.0145
06001,-2.6896
06005,-4.6692
06007,-4.4281
06009,-4.5639
06011,-3.6347
06013,-2.9538
06015,-4.8066
06017,-3.8582
06019,-3.3269
06021,-3.9729
06023,-4.1144
06025,-3.7363
06027,-3.4244
06029,-4.2824
06031,-3.8122
06033,-4.4017
06035,-4.8865
06037,-3.1071
06039,-4.0289
06041,-2.3047
06043,-4.7130
06045,-4.1026
06047,-4.1694
06049,-4.6257
06051,-2.3417
06053,-3.0773
06055,-3.3694
06057,-3.8976
06059,-2.9967
06061,-4.1221
06063,-4.4358
06065,-3.8837
06067,-3.8864
06069,-3.8731
06071,-4.1336
06073,-3.2939
06075,-2.0049
06077,-3.9741
06079,-3.5515
06081,-2.4539
06083,-2.8042
06085,-2.3773
06087,-2.6899
06089,-4.7277
06093,-4.5180
06095,-3.8466
06097,-3.4853
06099,-4.1341
06101,-4.5464
06103,-4.3539
06107,-3.9566
06109,-4.8526
06111,-2.9161
06113,-3.1370
06115,-4.5692
08001,-3.5800
08003,-3.9491
08005,-2.9102
08007,-4.0987
08011,-4.7932
08013,-2.6512
08015,-4.4553
08021,-3.5631
08029,-4.4368
08031,-2.0251
08035,-4.5119
08037,-2.7822
08039,-4.1698
08041,-4.1019
08043,-4.9774
08045,-3.3982
08049,-3.9144
08051,-2.9930
08055,-4.3134
08059,-3.6404
08063,-4.1773
08065,-2.9853
08067,-3.5686
08069,-3.2130
08071,-4.5167
08075,-4.4229
08077,-4.2445
08081,-4.1581
08083,-4.3024
08085,-3.7705
08087,-3.9229
08089,-3.9867
08095,-4.0598
08097,-3.7122
08099,-4.2490
08101,-4.2210
08105,-3.6639
08107,-3.5530
08109,-4.3702
08117,-2.3835
08123,-3.4602
08125,-3.7673
09001,-2.6175
09003,-2.2789
09005,-4.0992
09007,-3.5807
09009,-3.0607
09011,-3.1982
09013,-3.7492
09015,-3.1031
10001,-4.4205
10003,-3.4113
10005,-4.3838
11001,-1.3904
12001,-4.3821
12005,-4.7025
12009,-4.4880
12011,-4.5758
12015,-4.7650
12017,-5.2377
12019,-5.0516
12021,-3.5904
12023,-4.9212
12027,-4.9945
12031,-4.3852
12033,-4.7117
12035,-4.9470
12043,-4.3397
12047,-4.1662
12049,-4.6342
12051,-4.6063
12053,-4.7174
12055,-4.4904
12057,-3.8874
12061,-4.1503
12063,-4.1392
12067,-5.1030
12069,-4.5483
12071,-4.2747
12073,-4.3526
12075,-4.7563
12081,-3.5142
12083,-4.6708
12085,-3.9778
12086,-4.1401
12087,-4.2604
12089,-5.1063
12093,-4.7323
12095,-3.7372
12097,-4.1194
12099,-3.9126
12101,-4.8265
12103,-4.2220
12105,-4.3968
12107,-4.5518
12109,-4.9159
12111,-4.7720
12113,-5.0127
12115,-4.2593
12117,-4.1299
12119,-4.5730
12121,-4.4662
12127,-4.3674
12131,-4.3032
13001,-4.7861
13003,-4.7753
13005,-3.9814
13011,-4.5067
13013,-5.0162
13015,-4.7999
13017,-5.0676
13019,-4.9285
13021,-4.0732
13027,-4.7238
13029,-4.9204
13031,-4.2231
13039,-4.9691
13043,-4.3844
13045,-4.6336
13047,-5.0155
13051,-4.3998
13055,-5.1506
13057,-3.9838
13059,-2.9498
13063,-5.3382
13067,-2.9868
13069,-4.7356
13071,-4.4020
13073,-4.6040
13075,-4.3519
13077,-4.7380
13085,-4.5540
13087,-4.3563
13089,-1.7976
13095,-4.3301
13097,-4.4020
13101,-4.3449
13103,-5.2660
13105,-4.5087
13107,-5.0385
13109,-5.0312
13113,-3.9308
13115,-4.7689
13117,-3.7756
13119,-4.7742
13121,-2.2038
13123,-4.1625
13127,-4.0573
13129,-4.7310
13131,-4.5682
13135,-3.2283
13137,-3.9198
13139,-3.7955
13145,-4.8320
13147,-4.6363
13151,-4.7533
13153,-4.4103
13157,-4.6844
13161,-4.6357
13175,-4.5465
13179,-5.1532
13183,-4.8577
13185,-4.6410
13187,-4.7528
13195,-4.6750
13205,-5.1361
13213,-5.2500
13215,-4.2836
13217,-4.7477
13219,-3.7520
13223,-5.0504
13225,-4.9419
13227,-4.4450
13229,-4.8688
13233,-4.8267
13237,-5.1850
13241,-4.5699
13245,-5.0241
13247,-4.4868
13255,-5.1686
13261,-4.8446
13267,-4.4705
13275,-4.1063
13277,-4.1347
13279,-4.3895
13285,-4.7951
13295,-4.7377
13297,-4.8019
13299,-4.7368
13305,-4.5276
13313,-4.5852
15003,-4.1150
16001,-3.7977
16005,-3.9553
16011,-3.4012
16013,-3.0585
16019,-3.2971
16027,-3.7542
16031,-3.4051
16039,-4.0212
16041,-3.7465
16043,-3.4967
16045,-4.0032
16047,-4.0542
16051,-3.2549
16053,-3.7934
16055,-4.7307
16063,-3.7941
16065,-3.3368
16067,-3.9588
16069,-4.8828
16073,-4.1618
16075,-3.8051
16077,-3.7429
16081,-3.1067
16083,-3.9400
16087,-4.0130
17007,-4.0535
17011,-3.9191
17017,-4.1287
17019,-3.2525
17027,-3.9065
17031,-3.0598
17037,-3.7405
17041,-3.8655
17043,-2.9934
17063,-4.6746
17073,-4.4989
17075,-4.5226
17077,-4.1713
17089,-2.9308
17091,-4.2240
17093,-3.8196
17095,-4.8871
17097,-2.6755
17099,-4.5643
17103,-4.1615
17105,-4.4838
17111,-3.4666
17113,-3.5344
17115,-4.6156
17119,-4.2444
17141,-3.8688
17143,-3.8389
17161,-4.0929
17163,-4.8173
17167,-4.5967
17177,-3.7071
17179,-4.7003
17181,-4.5689
17183,-4.9176
17187,-4.5173
17195,-4.5805
17197,-4.1802
17199,-4.8729
17201,-3.9534
17203,-4.3092
18001,-4.5181
18003,-4.0213
18005,-3.6742
18011,-4.9147
18017,-4.2852
18019,-4.4607
18023,-3.9995
18027,-4.0670
18035,-4.8410
18037,-3.4878
18039,-3.8551
18043,-4.3482
18053,-4.1313
18057,-3.8924
18059,-4.7910
18063,-4.4763
18067,-4.6296
18071,-4.2520
18073,-4.7813
18081,-4.3369
18085,-4.2191
18087,-3.8927
18089,-4.2524
18091,-4.8362
18095,-4.0744
18097,-3.9112
18099,-4.4737
18105,-4.7906
18107,-4.3880
18109,-4.7416
18113,-4.4847
18127,-4.7203
18135,-4.6542
18141,-3.6493
18145,-4.5706
18149,-4.2634
18151,-4.0448
18157,-4.0274
18163,-4.1713
