id,wh_coh
01003,0.0154
01009,-0.0258
01015,-0.0619
01021,-0.0259
01031,0.0299
01043,-0.0252
01049,0.0076
01051,-0.0038
01055,-0.0202
01059,-0.0431
01069,0.0817
01071,-0.0382
01073,0.0114
01077,-0.0027
01081,0.0081
01083,-0.0223
01089,-0.0204
01095,-0.0365
01097,-0.0196
01101,0.0239
01103,-0.0366
01113,0.0668
01115,0.0375
01117,-0.0174
01125,0.0906
02020,-0.0157
02090,0.0112
02122,-0.0307
02170,-0.0453
04001,-0.0308
04003,-0.0188
04005,-0.0066
04007,-0.0139
04009,-0.0266
04011,-0.0523
04012,-0.0049
04013,0.0015
04015,-0.0472
04017,-0.0288
04019,-0.0064
04021,0.0267
04023,0.0496
04025,-0.0348
04027,-0.0038
05003,0.0059
05007,-0.0485
05011,0.0689
05015,-0.0440
05019,-0.0075
05031,-0.0167
05033,-0.0211
05045,0.0237
05051,-0.0697
05057,-0.0239
05061,-0.0089
05063,-0.0680
05085,-0.0154
05093,0.0185
05113,-0.0672
05115,-0.0006
05119,-0.0081
05125,-0.0286
05131,-0.0731
05133,-0.0747
05139,-0.0741
05143,-0.0748
05145,0.0142
05149,-0.0327
06001,0.0668
06005,-0.0222
06007,-0.0057
06009,-0.0262
06011,0.0395
06013,0.0481
06015,-0.0026
06017,-0.0385
06019,0.0146
06021,-0.0044
06023,-0.0350
06025,0.0396
06027,0.0380
06029,-0.0113
06031,0.0068
06033,-0.0049
06035,0.0107
06037,0.0040
06039,0.0476
06041,0.0066
06045,-0.0224
06047,-0.0398
06051,0.0198
06053,-0.0163
06055,-0.0061
06057,-0.0554
06059,0.0540
06061,-0.0079
06065,0.0126
06067,0.0205
06069,-0.0576
06071,0.0051
06073,0.0406
06075,0.1485
06077,-0.0018
06079,-0.0070
06081,0.0963
06083,0.0196
06085,0.0571
06087,0.0174
06089,0.0163
06093,-0.0520
06095,0.0162
06097,-0.0057
06099,-0.0135
06101,-0.0238
06103,-0.0161
06107,0.0012
06109,-0.0369
06111,0.0458
06113,-0.0025
06115,-0.0000
08001,-0.0118
08005,0.0417
08013,-0.0014
08031,0.0465
08041,-0.0044
08059,0.0261
08123,-0.0437
09001,-0.0091
09003,-0.0559
09005,-0.0308
09007,0.0193
09009,-0.0128
09011,-0.0089
09013,-0.0624
09015,-0.0965
10001,0.0333
10003,0.0411
10005,0.0446
11001,0.0317
12005,0.0208
12011,0.0119
12015,-0.0949
12017,-0.0392
12019,-0.0280
12021,0.0052
12023,0.0038
12027,-0.0696
12031,0.0287
12033,0.0234
12035,-0.0168
12043,-0.0427
12049,-0.0052
12051,-0.0252
12053,-0.0435
12055,-0.0065
12057,-0.0012
12061,-0.0253
12069,-0.0255
12071,0.0014
12073,0.0438
12075,-0.0683
12081,-0.0260
12083,-0.0004
12085,-0.0184
12086,0.0052
12087,-0.0327
12089,0.0215
12093,-0.0138
12095,-0.0083
12097,-0.0238
12099,0.0289
12101,-0.0139
12103,-0.0242
12105,-0.0205
12107,-0.0426
12109,-0.0512
12111,-0.0113
12113,-0.0164
12115,-0.0026
12117,-0.0079
12119,-0.0340
12121,-0.0667
12127,-0.0302
12131,-0.0506
13001,0.0092
13003,-0.0904
13013,0.0225
13015,0.0202
13017,-0.0293
13021,0.0099
13029,-0.0552
13031,0.0145
13039,0.0557
13043,-0.0009
13045,0.0140
13047,0.0429
13051,0.0644
13055,-0.0244
13057,0.0650
13059,0.0319
13063,-0.0669
13067,0.0369
13069,0.0098
13071,-0.0109
13073,0.0020
13077,0.0313
13087,-0.0028
13089,0.0667
13095,0.0190
13097,0.0049
13103,-0.0565
13109,0.0794
13113,0.0379
13115,0.0346
13117,0.0190
13121,0.0427
13123,0.0288
13127,0.0355
13129,-0.0071
13131,-0.0121
13135,0.0004
13137,0.0184
13139,0.0380
13151,-0.0160
13153,0.0052
13157,-0.0115
13161,0.0494
13179,0.0187
13183,0.0157
13185,0.0305
13187,-0.0236
13195,0.0167
13213,0.0200
13215,0.0878
13217,0.0198
13219,-0.0418
13223,0.0020
13225,0.0161
13233,0.0786
13241,-0.0124
13245,0.0243
13247,-0.0370
13255,-0.0129
13261,0.0430
13267,0.0227
13277,0.0040
13279,-0.0584
13285,0.0500
13297,0.0031
13299,-0.0378
13305,-0.0269
13313,0.0430
15003,-0.0013
16001,-0.0145
16005,0.0292
16011,-0.0077
16013,-0.0754
16019,-0.0134
16027,0.0019
16031,-0.0060
16039,-0.0151
16043,-0.0159
16045,0.0258
16047,0.0630
16051,-0.0566
16053,-0.0437
16055,-0.0562
16063,-0.0441
16067,-0.0168
16073,-0.0408
16075,-0.0035
16077,-0.0482
16081,0.0372
16083,0.0244
16087,0.0039
17007,-0.0436
17011,-0.0555
17017,-0.0335
17019,0.0950
17031,-0.0299
17037,-0.0054
17041,-0.1509
17043,-0.0058
17063,-0.0193
