id,wh_grd
01003,0.0229
01009,-0.0689
01015,-0.1365
01021,0.0267
01031,-0.0063
01043,0.0011
01049,-0.0750
01051,-0.0498
01055,-0.0153
01059,-0.0970
01069,0.0424
01071,-0.0741
01073,0.0167
01077,0.0997
01081,-0.0298
01083,-0.0737
01089,0.0182
01095,0.0078
01097,-0.0579
01101,0.1297
01103,0.0373
01113,-0.0447
01115,-0.0496
01117,-0.0056
01125,0.0370
02020,0.0224
02090,-0.0240
02122,0.0097
02170,0.0185
04001,-0.0035
04003,0.0052
04005,0.0432
04007,-0.0216
04009,-0.0155
04011,-0.0330
04012,0.0049
04013,-0.0052
04015,-0.0554
04017,0.0480
04019,0.0597
04021,-0.0187
04023,0.0619
04025,-0.0032
04027,-0.0219
05003,-0.0585
05007,0.0420
05011,0.0011
05015,-0.0144
05019,0.0181
05031,-0.0269
05033,-0.0729
05045,0.0818
05051,-0.0290
05057,-0.1337
05061,0.0257
05063,-0.0890
05071,0.0157
05085,-0.0210
05093,0.0191
05113,0.0370
05115,-0.0457
05119,-0.0738
05125,-0.0198
05131,0.0117
05133,-0.0043
05139,-0.0976
05143,-0.0604
05145,-0.0539
05149,-0.0114
06001,0.0587
06005,-0.0984
06007,0.0174
06009,-0.0421
06011,0.0406
06013,0.0596
06015,-0.0121
06017,-0.0206
06019,0.0191
06021,-0.0877
06023,-0.0116
06025,0.0077
06027,-0.0389
06029,-0.0009
06031,-0.0235
06033,-0.0215
06035,0.0031
06037,0.0362
06039,0.0865
06041,0.0584
06045,-0.0285
06047,-0.0524
06051,0.0851
06053,-0.0700
06055,0.0116
06057,-0.0307
06059,0.0671
06061,0.0089
06065,0.0033
06067,0.0315
06069,-0.0670
06071,0.0110
06073,0.0436
06075,0.2371
06077,-0.0342
06079,0.0011
06081,0.1300
06083,-0.0150
06085,0.1217
06087,-0.0014
06089,0.0084
06093,-0.0357
06095,0.0578
06097,0.0200
06099,-0.0056
06101,-0.0177
06103,-0.0172
06107,0.0216
06109,-0.0419
06111,0.0500
06113,0.0655
06115,0.0275
08001,0.0178
08005,0.0412
08013,0.1126
08031,0.0942
08035,-0.0244
08041,0.0408
08045,0.0455
08059,0.1073
08069,0.0491
08077,0.0117
08101,0.0353
08123,0.0326
09001,0.0690
09003,0.0609
09005,0.0492
