id,wh_ses
01001,2.0525
01003,5.0453
01005,-0.9269
01007,-0.1944
01009,1.7105
01011,15.1213
01013,-1.8132
01015,0.5383
01017,0.1542
01019,0.6947
01021,1.8164
01023,-1.9438
01027,2.0545
01029,-0.2068
01031,3.3035
01033,0.1233
01037,2.7141
01039,-1.7755
01041,6.4534
01043,3.1237
01045,0.6620
01047,3.1049
01049,1.4882
01051,2.4800
01053,3.0651
01055,2.5376
01057,-2.4464
01059,1.9183
01061,-0.1091
01063,1.1942
01065,-1.0300
01067,0.3344
01069,2.8086
01071,-1.3842
01073,2.0675
01075,-0.4134
01077,0.1819
01079,1.4545
01081,3.5667
01083,1.5360
01089,1.7770
01091,-0.8401
01093,-2.9287
01095,1.5507
01097,0.9664
01101,3.0374
01103,2.9929
01107,-1.1898
01109,4.5840
01111,2.4404
01113,-1.1884
01115,3.8286
01117,3.5255
01119,-2.1099
01121,0.7301
01123,2.3183
01125,1.6694
01127,-0.0856
01133,3.5612
02013,1.9022
02016,1.2376
02020,1.6821
02050,0.4995
02060,-0.3482
02070,5.6179
02090,0.6842
02105,1.5252
02110,2.2557
02122,0.3001
02130,5.1873
02150,1.2508
02170,1.2036
02180,8.2074
02185,2.1709
02188,10.5261
02198,3.8433
02220,1.5080
02240,-0.7843
02270,14.6346
02290,9.5572
04001,0.6717
04003,2.5497
04005,2.0443
04007,1.0319
04009,1.2015
04011,2.2365
04012,0.0228
04013,2.3980
04015,1.8019
04017,1.1793
04019,2.3660
04021,1.4841
04023,2.9869
04025,1.3394
04027,2.9213
05001,0.0576
05003,3.1703
05005,-0.8117
05007,1.1890
05009,-0.4905
05011,1.8562
05015,-0.4598
05017,2.4364
05019,4.3974
05021,1.2183
05023,3.0433
05025,8.2617
05027,0.9342
05029,0.6003
05031,2.9513
05033,0.5095
05035,-1.2163
05037,0.5712
05039,13.9256
05041,1.5278
05043,-0.3874
05045,1.9090
05047,1.6363
05049,8.8377
05051,-0.2460
05053,0.2015
05055,1.6357
05057,0.9869
05059,3.0105
05061,1.0821
05063,1.5734
05067,1.7644
05069,2.4684
05071,-1.0509
05073,-1.5072
05075,0.2809
05077,-0.2294
05079,3.8204
05081,0.0145
05083,1.1679
05085,0.6004
05087,0.8099
05089,-2.8362
05091,1.6462
05093,2.6100
05095,3.8734
05097,4.5797
05099,-2.4183
05101,7.5595
05103,0.2482
05105,4.0098
05107,-1.8541
05109,3.3027
05111,1.2361
05113,1.4564
05115,2.2670
05117,7.0641
05119,2.7730
05121,-2.3575
05123,-0.4593
05125,0.7195
05127,0.2330
05129,6.0669
05131,1.9374
05133,1.3849
05135,-3.1199
05137,0.8487
05139,3.8780
05141,3.9186
05143,1.6829
05145,1.6822
05149,0.0360
06001,2.1494
06005,-0.0065
06007,1.6818
06009,0.2496
06011,2.3927
06013,1.8085
06015,-0.6386
06017,1.3036
06019,3.1128
06021,0.7604
06023,1.5347
06025,3.1129
06027,1.3507
06029,2.0932
06031,1.8353
06033,0.4023
06035,0.3173
06037,2.3564
06039,2.0618
06041,2.3638
06043,0.4176
06045,2.2875
06047,1.7730
06049,0.0877
06051,1.7981
06053,2.5555
06055,1.1780
06057,1.1929
06059,2.2482
06061,1.2260
06063,0.6695
06065,1.6967
06067,1.7189
06069,1.7087
06071,1.2448
06073,2.2584
06075,2.2682
06077,1.8265
06079,1.8148
06081,2.4194
06083,1.8875
06085,2.6342
06087,2.4885
06089,0.8521
06091,1.5989
06093,1.0772
06095,1.2344
06097,1.3755
06099,1.6423
06101,2.1569
06103,1.8993
06105,7.7815
06107,2.5531
06109,-0.5593
06111,2.1216
06113,2.5288
06115,0.7872
08001,1.9290
08003,2.2527
08005,2.6728
08007,0.5839
08009,1.6958
08011,2.5563
08013,2.6916
08015,3.4697
08017,-0.0890
08019,-1.1729
08021,3.4940
08023,3.6096
08025,1.8436
08027,0.1324
08029,2.3672
08031,3.2203
08035,0.5200
08037,2.9004
08039,0.0031
08041,2.4210
08043,1.0155
08045,1.8266
08047,2.2651
08049,2.0874
08051,0.9588
08055,2.1696
08057,0.4720
08059,2.8380
08061,-2.0732
08063,-0.0973
08065,4.2853
08067,2.2972
08069,2.6647
08071,2.2919
08073,0.0297
08075,3.4855
08077,2.4778
08081,1.8370
08083,2.2488
08085,2.0159
08087,2.2058
08089,2.5882
08091,1.8984
08093,-0.6388
08095,1.7341
08097,1.3904
08099,4.5337
08101,1.6047
08103,3.0138
08105,1.8168
08107,1.2408
08109,3.4270
08113,6.5719
08115,0.1903
08117,1.2798
08119,1.4952
08121,4.9982
08123,2.4939
08125,2.1431
09001,3.3193
09003,4.9466
09005,2.4364
09007,2.6018
09009,4.3174
09011,3.2004
09013,1.9346
09015,4.6299
10001,1.9883
10003,2.5141
10005,1.8460
11001,3.5417
12001,2.0215
12003,2.8390
12005,0.6782
12007,1.7356
12009,1.2509
12011,1.1560
12013,-0.4028
12015,1.4504
12017,-0.3010
12019,0.3543
12021,2.4920
12023,0.9748
12027,2.2634
12031,1.0450
12033,1.5892
12035,0.7319
12037,9.6103
12039,2.7021
12041,2.5114
12043,2.8023
12045,2.8257
12047,-0.0166
12049,3.0796
12051,2.2902
12053,1.2213
12055,1.9554
12057,1.8977
12059,1.0552
12061,1.2921
12063,0.1658
12065,0.8005
12067,4.3847
12069,0.7417
12071,1.8724
12073,1.3830
12075,1.0905
12077,5.5146
12079,-0.7700
12081,2.1128
12083,2.0370
12085,2.3212
12086,1.8808
12087,1.9885
12089,0.0611
12091,1.6444
12093,1.9522
12095,2.2878
12097,1.3605
12099,1.9751
12101,0.7032
12103,1.3187
12105,1.4889
12107,2.7067
12109,0.5285
12111,1.5093
12113,0.2302
12115,1.7760
12117,1.6685
12119,-0.0944
12121,0.2473
12123,-0.9556
12125,2.5094
12127,1.2868
12129,-1.3841
12131,-0.6230
12133,3.3603
13001,4.7591
13003,3.6470
13005,0.8717
13009,0.9931
13011,1.1049
13013,0.7627
13015,1.7165
13017,5.3094
13019,1.4848
13021,2.2625
13025,7.4986
13027,2.8467
13029,1.3399
13031,3.6812
13033,1.4212
13035,-0.0097
13037,1.8584
13039,0.4941
13043,-1.7934
13045,2.3083
13047,-0.0744
13049,5.6106
13051,1.8995
13053,5.4542
13055,2.8996
13057,1.7594
13059,2.4486
13063,1.3700
13067,2.9791
13069,1.3898
13071,2.3129
13073,-0.2010
13075,0.0518
13077,1.2643
13079,3.7097
13081,4.7947
13083,-1.0845
13085,1.9384
13087,2.6709
13089,3.4122
13091,3.7988
13093,1.6204
13095,1.1665
13097,0.9288
13099,-1.1663
13101,4.5754
13103,-0.5404
13105,-0.1498
13107,0.0503
13109,3.8815
13111,0.8882
13113,2.4733
13115,1.5842
13117,2.1579
13119,1.8945
