id,all_coh
01001,-0.0861
01003,-0.0469
01005,0.1196
01007,0.0203
01009,0.0848
01011,-0.0385
01013,-0.0666
01015,0.0373
01017,0.0873
01019,0.0692
01021,0.0207
01023,-0.1216
01025,0.0280
01027,0.1344
01029,0.0124
01031,0.0301
01033,0.0013
01035,-0.0281
01037,0.0755
01039,-0.0281
01041,0.1019
01043,-0.0170
01045,0.0656
01047,-0.0129
01049,0.0504
01051,0.0522
01053,-0.0140
01055,0.0210
01057,-0.0294
01059,-0.1422
01061,0.0896
01063,-0.0272
01065,0.0718
01067,0.1024
01069,0.0394
01071,-0.0355
01073,0.0011
01075,0.0141
01077,0.0218
01079,-0.0262
01081,0.1192
01083,0.0453
01085,0.0376
01087,-0.0016
01089,0.0583
01091,0.1119
01093,0.0139
01095,-0.0737
01097,-0.0389
01099,-0.0201
01101,-0.0634
01103,-0.0147
01105,-0.1560
01107,0.0481
01109,0.0192
01111,0.0600
01113,0.0996
01115,0.0412
01117,0.0491
01119,0.0721
01121,-0.0155
01123,-0.0239
01125,0.0950
01127,-0.0031
01129,-0.0194
01131,-0.0722
01133,0.0147
02013,-9999.0000
02016,0.0396
02020,0.0496
02050,-0.0647
02060,0.0575
02068,-9999.0000
02070,-0.0080
02090,0.0107
02100,-9999.0000
02105,-9999.0000
02110,0.0462
02122,0.0194
02130,0.0347
02150,-0.0503
02170,-0.0349
02180,-0.0345
02185,-0.1283
02188,-0.1371
02195,0.0397
02198,-0.0273
02220,0.0779
02240,0.0406
02261,-0.0431
02270,-0.1584
02275,-9999.0000
02290,-0.0903
04001,0.0688
04003,0.1028
04005,0.0541
04007,-0.0087
04009,0.0649
04011,0.0605
04012,0.0022
04013,0.0705
04015,0.0893
04017,0.0652
04019,0.0747
04021,0.0749
04023,0.0263
04025,0.0344
04027,0.1082
05001,0.0262
05003,0.0065
05005,-0.0511
05007,-0.0162
05009,-0.0149
05011,-0.1074
05013,-0.0832
05015,-0.0717
05017,0.0128
05019,-0.0467
05021,-0.0797
05023,-0.0423
05025,-0.0668
05027,0.0711
05029,-0.0464
05031,-0.0262
05033,0.0078
05035,-0.0931
05037,-0.0323
05039,0.0012
05041,0.0012
05043,-0.1003
05045,-0.0379
05047,-0.0998
05049,0.0300
05051,-0.0447
05053,-0.0668
05055,-0.0806
05057,-0.0380
05059,-0.0323
05061,0.0061
05063,-0.0570
05065,-0.0525
05067,0.0132
05069,0.0039
05071,-0.1289
05073,0.0341
05075,-0.0463
05077,0.0250
05079,-0.2288
05081,0.0082
05083,-0.0662
05085,-0.0373
05087,-0.0331
05089,-0.0593
05091,0.0405
05093,0.0371
05095,0.0459
05097,-0.0195
05099,-0.0399
05101,-0.0828
05103,-0.0176
05105,0.0050
05107,-0.0131
05109,0.0293
05111,-0.0515
05113,-0.0214
05115,-0.0336
05117,0.1066
05119,0.0336
05121,-0.0378
05123,0.0312
05125,-0.0027
05127,0.0270
05129,-0.0532
05131,0.0423
05133,0.0202
05135,-0.0568
05137,-0.0637
05139,-0.0814
05141,0.0600
05143,0.0161
05145,-0.0638
05147,0.2495
05149,-0.0820
06001,0.0777
06005,-0.0331
06007,0.0456
06009,0.0116
06011,0.0650
06013,0.0600
06015,-0.0165
06017,0.0289
06019,0.0004
06021,-0.0079
06023,-0.0144
06025,0.0150
06027,0.0040
06029,0.0280
06031,0.0660
06033,-0.0399
06035,0.0274
06037,0.0534
06039,-0.0659
06041,0.0620
06043,-0.0620
06045,0.0180
06047,-0.0113
06049,-0.0261
06051,0.1222
06053,0.0254
06055,0.0038
06057,0.0375
06059,0.0681
06061,0.0532
06063,-0.0056
