id,all_grd
01001,0.9940
01003,0.7970
01005,0.9097
01007,0.9458
01009,0.8268
01011,0.6783
01013,0.7634
01015,0.8451
01017,0.8589
01019,0.9511
01021,0.7306
01023,0.5856
01025,0.7692
01027,0.9116
01029,0.7822
01031,0.8952
01033,0.8828
01035,0.7740
01037,0.9610
01039,0.8132
01041,0.8998
01043,0.8471
01045,0.9578
01047,0.6491
01049,0.9322
01051,0.8465
01053,0.8094
01055,0.7681
01057,0.8107
01059,0.6314
01061,0.9537
01063,0.6417
01065,0.7824
01067,0.9027
01069,0.8540
01071,0.8364
01073,0.8896
01075,0.7188
01077,0.9039
01079,0.7848
01081,0.9410
01083,0.8611
01085,0.8533
01087,0.6582
01089,0.9789
01091,0.9511
01093,0.7737
01095,0.8299
01097,0.7280
01099,0.7809
01101,0.5810
01103,0.8687
01105,0.4738
01107,0.8810
01109,0.8659
01111,0.8604
01113,0.8359
01115,0.9235
01117,0.9722
01119,0.8559
01121,0.8191
01123,0.8866
01125,0.8786
01127,0.8668
01129,0.7170
01131,0.6076
01133,0.7664
02013,-9999.0000
02016,1.2250
02020,1.0430
02050,1.1585
02060,1.0593
02068,1.1403
02070,0.9474
02090,0.9913
02100,-9999.0000
02105,-9999.0000
02110,1.2148
02122,1.0375
02130,1.0465
02150,0.9976
02170,1.0174
02180,0.9892
02185,0.9852
02188,0.9463
02195,1.0873
02198,1.0010
02220,1.0187
02240,1.0340
02261,0.9735
02270,0.8844
02275,-9999.0000
02290,0.9196
04001,1.0242
04003,1.0820
04005,1.0464
04007,0.9593
04009,1.0717
04011,0.8745
04012,1.0479
04013,1.0769
04015,1.0133
04017,1.0444
04019,1.0166
04021,1.0076
04023,1.1146
04025,1.0080
04027,1.0597
05001,0.8183
05003,0.7249
05005,0.9046
05007,0.9897
05009,0.8406
05011,0.8991
05013,0.7315
05015,0.8795
05017,0.8389
05019,0.9149
05021,0.7134
05023,0.8917
05025,0.8368
05027,0.9815
05029,0.6833
05031,0.8227
05033,0.9746
05035,0.7320
05037,0.8154
05039,0.7657
05041,0.7886
05043,0.8729
05045,0.8974
05047,0.8293
05049,0.7540
05051,0.7730
05053,0.8620
05055,0.8853
05057,0.8200
05059,0.8444
05061,0.8566
05063,0.8724
05065,0.7873
05067,0.8859
05069,0.8742
05071,0.8625
05073,0.8016
05075,0.7980
05077,0.9975
05079,0.7980
05081,0.8156
05083,0.8866
05085,0.8521
05087,1.0537
05089,0.8663
05091,0.7796
05093,0.8936
05095,0.7399
05097,0.8208
05099,0.6614
05101,0.7980
05103,0.8165
05105,0.8898
05107,0.7914
05109,0.8252
05111,0.7602
05113,0.7556
05115,0.7796
05117,1.0000
05119,0.8205
05121,0.9757
05123,0.7974
05125,0.8877
05127,0.9417
05129,0.8991
05131,0.9831
05133,0.8640
05135,0.8004
05137,0.9115
05139,0.8657
05141,0.8422
05143,0.9548
05145,0.8738
05147,0.9164
05149,0.7407
06001,1.0348
06005,0.8786
06007,1.0498
06009,1.0566
06011,1.0005
06013,0.9831
06015,0.9793
06017,1.0086
06019,0.9256
06021,0.9671
06023,1.0230
06025,1.0186
06027,1.0519
06029,0.9608
06031,1.0307
06033,0.9237
06035,1.0006
06037,0.9412
06039,0.8960
06041,1.0153
06043,1.0182
06045,1.0286
06047,0.9046
06049,0.9653
06051,1.1253
06053,1.0265
06055,0.9885
06057,1.0520
06059,1.0586
06061,1.0409
06063,0.8922
06065,0.9263
06067,0.9873
06069,1.0545
06071,0.9320
06073,1.0042
06075,1.0467
06077,1.0411
06079,1.0387
06081,1.0627
06083,1.0622
06085,1.0791
06087,1.1025
06089,1.0150
06091,0.8688
06093,1.0323
06095,0.9532
06097,1.0040
06099,0.9579
06101,0.9875
06103,0.8923
06105,1.1893
06107,0.9836
06109,0.9499
06111,1.0014
06113,1.0683
06115,0.8583
08001,0.8784
08003,0.8510
08005,0.9187
08007,-9999.0000
08009,-9999.0000
08011,-9999.0000
08013,0.9951
08015,-9999.0000
08017,-9999.0000
08019,-9999.0000
08021,-9999.0000
08023,-9999.0000
08025,-9999.0000
08027,-9999.0000
08029,-9999.0000
08031,0.9828
08033,-9999.0000
08035,0.9722
08037,0.9079
08039,-9999.0000
08041,0.8967
08043,0.7996
08045,0.8563
08047,-9999.0000
08049,-9999.0000
08051,-9999.0000
08055,-9999.0000
08057,-9999.0000
08059,0.9658
08061,-9999.0000
08063,-9999.0000
08065,-9999.0000
08067,0.9636
08069,0.9168
08071,0.7395
08073,-9999.0000
08075,0.9056
08077,0.9531
08081,-9999.0000
08083,-9999.0000
08085,0.9283
08087,0.8571
08089,0.7732
08091,-9999.0000
08093,-9999.0000
08095,-9999.0000
08097,-9999.0000
08099,-9999.0000
08101,0.7249
08103,-9999.0000
08105,0.9243
08107,1.0448
08109,-9999.0000
08113,-9999.0000
08115,-9999.0000
08117,1.0314
08119,-9999.0000
08121,-9999.0000
08123,0.8594
08125,-9999.0000
09001,0.9453
09003,0.9351
09005,0.9149
09007,0.9532
09009,0.9102
09011,0.9558
09013,1.0465
09015,0.9409
10001,0.8707
10003,0.8849
10005,0.8865
11001,0.9805
12001,0.8885
12003,0.7638
12005,0.8203
12007,0.7215
12009,0.8677
12011,0.8507
12013,0.8020
12015,0.7521
12017,0.7945
12019,0.8114
12021,0.9832
12023,0.7287
12027,0.6038
12029,0.7944
12031,0.8063
12033,0.7106
12035,0.8662
12037,0.8033
12039,0.6920
12041,0.8770
12043,0.7930
12045,0.8108
12047,0.7635
12049,0.5849
12051,0.6478
12053,0.8035
12055,0.8247
12057,0.8329
12059,0.7993
12061,0.8076
12063,0.7250
12065,0.7199
12067,0.9122
12069,0.7686
12071,0.8181
12073,0.8600
12075,0.8311
12077,0.8812
12079,0.6747
12081,0.8897
12083,0.7197
12085,0.8725
12086,0.8237
12087,0.8405
12089,0.7902
12091,0.8909
12093,0.7749
12095,0.8226
12097,0.8200
12099,0.8981
12101,0.8856
12103,0.8328
12105,0.7760
12107,0.6735
12109,0.9425
12111,0.8352
12113,0.8099
12115,0.9335
12117,0.8288
12119,0.7866
12121,0.7487
12123,0.8265
12125,0.8097
12127,0.7750
12129,0.7911
12131,0.8423
12133,0.7941
13001,0.8628
13003,0.8560
13005,0.8747
13007,0.9620
13009,0.7696
13011,0.8968
13013,0.9355
13015,0.8417
13017,0.9052
13019,0.8672
13021,0.7993
13023,0.8667
13025,0.9535
13027,0.7817
13029,0.9146
13031,0.9662
13033,0.8451
13035,0.9401
13037,0.8863
13039,0.9287
13043,0.9008
13045,0.8709
13047,1.0005
13049,1.0630
13051,0.8512
13053,0.6979
13055,0.9418
13057,0.9884
13059,0.8567
13061,0.8312
13063,0.8769
13065,0.8882
13067,1.0067
13069,0.8605
13071,0.7830
13073,0.9542
13075,0.8612
13077,0.9864
13079,0.8300
13081,0.7715
13083,0.9283
13085,0.9990
13087,0.7323
13089,0.8664
13091,0.8098
13093,0.9019
13095,0.8383
13097,0.8928
13099,0.9294
13101,0.8812
13103,0.9621
13105,0.9158
13107,0.8136
13109,0.9730
13111,0.9714
13113,0.9724
13115,0.9391
13117,1.0916
13119,0.7537
13121,0.8932
13123,1.2156
13125,0.9629
13127,0.9753
13129,0.9845
13131,0.8008
13133,0.8954
13135,1.0077
13137,1.0292
13139,0.9811
13141,0.9095
13143,0.9664
13145,0.9292
13147,0.9404
13149,1.1667
13151,0.9220
13153,0.8738
13155,0.7372
13157,0.9211
13159,0.8474
13161,0.8780
13163,0.9422
13165,0.7239
13167,0.8704
13169,0.9480
13171,0.7798
13173,0.8456
13175,0.8539
13177,0.9120
13179,0.8452
13181,0.8729
13183,0.8072
13185,0.8870
13187,0.9107
13189,0.8601
13191,0.8280
13193,0.8855
13195,0.8835
13197,0.8035
13199,0.7687
13201,1.0073
13205,0.9909
13207,0.9166
13209,0.7778
13211,0.7939
13213,0.8253
13215,0.9244
13217,0.9024
13219,0.8937
13221,1.0327
13223,0.8984
13225,0.9603
13227,0.8743
13229,0.9314
13231,0.9051
13233,0.8725
13235,0.8864
13237,0.8551
13239,0.7867
13241,0.9075
13243,0.6911
13245,0.8329
13247,0.8460
13249,0.9376
13251,0.8955
13253,0.9493
13255,0.8178
13257,0.9104
13259,0.8856
13261,0.8146
13263,0.9661
13265,-9999.0000
13267,1.0227
13269,0.7549
13271,0.9751
13273,0.6938
13275,0.8027
13277,0.8419
13279,0.8397
13281,1.0805
13283,0.6242
13285,0.8701
13287,0.7898
13289,0.9791
13291,0.9530
13293,0.8318
13295,0.9175
13297,0.9334
13299,0.9664
13301,0.9908
13303,0.8176
13305,0.8836
13307,1.1675
13309,0.7861
13311,0.8511
13313,0.9022
