id,diffexplch_blkwht
01001,0.0574
01003,0.0724
01005,0.0768
01007,0.0354
01009,-0.0326
01011,-0.0189
01013,0.0418
01015,0.1616
01017,0.1608
01019,0.0335
01021,0.0019
01023,0.0424
01025,0.0292
01027,0.0016
01029,0.0173
01031,0.0336
01033,0.0512
01035,0.0431
01037,0.0002
01039,0.0043
01041,0.0021
01043,0.1014
01045,0.0574
01047,0.1892
01049,0.0727
01051,0.0134
01053,0.1444
01055,0.2281
01057,0.0033
01059,0.0075
01061,0.0030
01063,-0.0182
01065,0.3050
01067,0.1320
01069,0.1666
01071,0.0194
01073,0.4212
01075,0.0019
01077,0.1618
01079,0.1704
01081,0.0952
01083,0.0404
01085,-0.0013
01087,0.0019
01089,0.2181
01091,0.1577
01093,-0.0184
01095,-0.0106
01097,0.2071
01099,0.2048
01101,0.3356
01103,0.1538
01105,0.0035
01107,0.2304
01109,0.0358
01111,0.0061
01113,0.0985
01115,0.0182
01117,0.0629
01119,0.0291
01121,0.0839
01123,0.0340
01125,0.2119
01127,0.0429
01129,0.1156
01131,0.0012
01133,-0.0007
02013,0.0778
02016,-0.0107
02020,0.2135
02050,-0.0283
02060,0.0215
02068,-0.0347
02070,-0.1481
02090,0.0555
02100,0.0166
02105,0.3294
02110,0.0121
02122,0.0102
02130,0.0333
02150,0.0277
02170,0.0060
02180,0.0455
02185,-0.0771
02188,-0.0516
02195,-0.0050
02198,-0.2464
02220,-0.0043
02230,0.0000
02240,0.0392
02261,-0.0140
02270,0.0870
02275,0.0150
02290,-0.0353
04001,0.0442
04003,-0.0590
04005,0.0500
04007,-0.0406
04009,0.0390
04011,0.0193
04012,0.0274
04013,0.1944
04015,0.0135
04017,-0.0828
04019,0.1625
04021,0.0539
04023,0.0657
04025,0.0331
04027,0.0164
05001,0.0107
05003,-0.0089
05005,0.0241
05007,-0.0125
05009,0.0528
05011,-0.0011
05013,-0.0042
05015,0.0212
05017,0.0031
05019,-0.0114
05021,0.0172
05023,0.0030
05025,0.1014
05027,0.0746
05029,0.0259
05031,0.2131
05033,-0.0212
05035,0.1881
05037,-0.0410
05039,0.0044
05041,0.0218
05043,-0.0138
05045,0.0680
05047,-0.0128
05049,-0.0009
05051,0.1769
05053,-0.0097
05055,0.0246
05057,0.1372
05059,0.1246
05061,0.1074
05063,0.0155
05065,0.0338
05067,0.0708
05069,0.2999
05071,-0.0633
05073,0.0098
05075,0.0162
05077,0.0009
05079,0.0012
05081,-0.0062
05083,-0.0049
05085,0.1692
05087,0.0292
05089,-0.0056
05091,0.1251
05093,0.2382
05095,-0.0008
05097,-0.0312
05099,-0.0051
05101,-0.0591
05103,0.0925
05105,-0.0037
05107,0.1736
05109,0.0124
05111,-0.0231
05113,-0.0460
05115,0.0393
05117,0.0239
05119,0.1975
05121,-0.0654
05123,0.0102
05125,0.0230
05127,0.0262
05129,0.0042
05131,0.2625
05133,0.0369
05135,0.0024
05137,-0.0283
05139,0.0879
05141,-0.0051
05143,0.0766
05145,0.0114
