id,diffexplch_flnfl
01001,0.0589
01003,0.1144
01005,0.0794
01007,0.0110
01009,0.0495
01011,0.0352
01013,0.0300
01015,0.0908
01017,0.1195
01019,0.0204
01021,0.0110
01023,0.0293
01025,0.0290
01027,0.0120
01029,0.0147
01031,0.0680
01033,0.1248
01035,0.0321
01037,0.0051
01039,0.0354
01041,0.0018
01043,0.0669
01045,0.0522
01047,0.0846
01049,0.0548
01051,0.0168
01053,0.1361
01055,0.1611
01057,0.0032
01059,0.0246
01061,0.0137
01063,0.0294
01065,0.1936
01067,0.0981
01069,0.1560
01071,0.0348
01073,0.3574
01075,0.0190
01077,0.0958
01079,0.0595
01081,0.1151
01083,0.0709
01085,0.0081
01087,0.0038
01089,0.2291
01091,0.1211
01093,0.0314
01095,0.0869
01097,0.1586
01099,0.1051
01101,0.3024
01103,0.1353
01105,0.0061
01107,0.1657
01109,0.0427
01111,0.0227
01113,0.1297
01115,0.0570
01117,0.1082
01119,0.0323
01121,0.0758
01123,0.0260
01125,0.1684
01127,0.0610
01129,0.0823
01131,0.0107
01133,0.0070
02013,0.0683
02016,0.1567
02020,0.2243
02050,0.1489
02060,0.1525
02068,0.0358
02070,0.0810
02090,0.0862
02100,0.0172
02105,0.1757
02110,0.0300
02122,0.0825
02130,0.0367
02150,0.0685
02170,0.0685
02180,0.1310
02185,0.1072
02188,0.1327
02195,0.0203
02198,0.3575
02220,0.0021
02230,0.0000
02240,0.1660
02261,0.0423
02270,0.0385
02275,0.0123
02282,0.0035
02290,0.1882
04001,0.2021
04003,0.2106
04005,0.1882
04007,0.1353
04009,0.0905
04011,0.0558
04012,0.0993
04013,0.3462
04015,0.1393
04017,0.2115
04019,0.2963
04021,0.1429
04023,0.1344
04025,0.1380
04027,0.1887
05001,0.0101
05003,0.1088
05005,0.0266
05007,0.1304
05009,0.0461
05011,0.0039
05013,0.0075
05015,0.0298
05017,0.0031
05019,0.0229
05021,0.0213
05023,0.0092
05025,0.0752
05027,0.0502
05029,0.0153
05031,0.1622
05033,0.0905
05035,0.2738
05037,0.0540
05039,0.0104
05041,0.0152
05043,0.0267
05045,0.0541
05047,0.0245
05049,0.0119
05051,0.1066
05053,0.0084
05055,0.0293
05057,0.0946
05059,0.0528
05061,0.0498
05063,0.0258
05065,0.0443
05067,0.0354
05069,0.1800
05071,0.0751
05073,0.0116
05075,0.0264
05077,0.0019
05079,0.0037
05081,0.0056
05083,0.0269
05085,0.0731
05087,0.0136
05089,0.0091
05091,0.0706
05093,0.2128
05095,0.0647
05097,0.0343
05099,0.0135
05101,0.0268
05103,0.0713
05105,0.0195
05107,0.1266
05109,0.0140
05111,0.0720
05113,0.1246
05115,0.0456
05117,0.0145
05119,0.2172
05121,0.1094
05123,0.0303
05125,0.0307
05127,0.0258
05129,0.0214
05131,0.2377
05133,0.0236
05135,0.0148
05137,0.0241
05139,0.0698
05141,0.0207
05143,0.1496
05145,0.0418
05147,0.1115
05149,0.0223
06001,0.3150
06003,0.0371
06005,0.0305
06007,0.1717
06009,0.0531
06011,0.0340
06013,0.3538
06015,0.0852
06017,0.1715
06019,0.2593
06021,0.1042
06023,0.1413
06025,0.1985
06027,0.0521
06029,0.2822
06031,0.2433
06033,0.1287
06035,0.0955
06037,0.2865
06039,0.1907
06041,0.2917
06043,0.0514
06045,0.0846
06047,0.1160
06049,0.0303
06051,0.0290
06053,0.2761
06055,0.1236
06057,0.1002
06059,0.3682
06061,0.1096
06063,0.0305
06065,0.2196
06067,0.2662
06069,0.1084
06071,0.2136
06073,0.2996
06075,0.1487
06077,0.2104
06079,0.1039
06081,0.3101
06083,0.2185
06085,0.2968
06087,0.3419
06089,0.1504
06091,0.0153
