id,diffexplch_hspwht
01001,-0.0364
01003,0.0917
01005,0.0992
01007,0.0146
01009,0.0658
01011,-0.0236
01013,0.0185
01015,0.0321
01017,0.0563
01019,-0.0113
01021,0.0094
01023,0.0456
01025,0.0382
01027,0.0104
01029,0.0261
01031,0.0095
01033,0.0251
01035,0.0484
01037,0.0161
01039,0.0103
01041,-0.0025
01043,0.0179
01045,0.0378
01047,0.1288
01049,0.0895
01051,0.0108
01053,0.0607
01055,0.2104
01057,0.0052
01059,0.0360
01061,0.0206
01063,-0.0086
01065,0.0470
01067,0.0644
01069,0.0493
01071,0.0049
01073,0.2701
01075,0.0087
01077,0.1517
01079,0.0722
01081,0.0955
01083,0.0920
01085,0.0177
01087,-0.0022
01089,0.2312
01091,0.0341
01093,-0.0110
01095,0.0985
01097,0.0647
01099,0.0275
01101,0.3025
01103,0.2245
01105,-0.0105
01107,-0.0155
01109,0.0637
01111,0.0243
01113,0.0308
01115,0.0550
01117,0.0551
01119,0.0343
01121,0.0609
01123,0.0002
01125,0.1748
01127,-0.0164
01129,0.1062
01131,0.0114
01133,0.0048
02013,-0.0483
02016,-0.0103
02020,0.1416
02050,-0.0290
02060,0.0005
02068,-0.0002
02070,0.0182
02090,0.0326
02100,0.0245
02105,0.2445
02110,0.0110
02122,-0.0002
02130,0.0224
02150,0.0476
02170,0.0047
02180,0.0913
02185,-0.0770
02188,-0.0999
02195,-0.0006
02198,-0.0450
02220,0.0046
02230,0.0000
02240,-0.0204
02261,0.0107
02275,0.0138
02282,0.0190
02290,0.1911
04001,-0.0079
04003,0.2282
04005,0.0949
04007,0.0006
04009,0.0401
04011,-0.0385
04012,0.0247
04013,0.2704
04015,0.0381
04017,-0.0435
04019,0.2276
04021,0.0915
04023,0.1468
04025,0.0665
04027,0.0121
05001,0.0134
05003,0.0434
05005,-0.0119
05007,0.1386
05009,0.0013
05011,0.0033
05013,0.0067
05015,0.0347
05017,-0.0004
05019,0.0408
05021,0.0189
05023,-0.0012
05025,-0.0414
