id,hswhthsp
01001,0.0433
01003,0.1097
01005,0.1578
01007,0.0932
01009,0.1467
01011,0.0000
01013,0.0912
01015,0.1337
01017,0.1516
01019,0.1071
01021,0.0564
01023,0.1665
01025,0.1476
01027,0.0235
01029,0.1567
01031,0.1055
01033,0.1114
01035,0.2908
01037,0.0000
01039,0.1340
01041,0.0723
01043,0.0659
01045,0.1432
01047,0.3715
01049,0.1982
01051,0.0601
01053,0.1466
01055,0.2611
01057,0.1041
01059,0.1905
01061,0.0663
01063,0.0747
01065,0.0778
01067,0.0413
01069,0.0858
01071,0.1226
01073,0.3241
01075,0.1164
01077,0.1804
01079,0.1270
01081,0.1292
01083,0.1213
01085,0.0000
01087,0.1356
01089,0.2469
01091,0.1067
01093,0.0879
01095,0.1613
01097,0.1308
01099,0.1133
01101,0.3569
01103,0.3474
01105,0.0000
01107,0.1231
01109,0.1563
01111,0.0990
01113,0.0844
01115,0.0862
01117,0.1131
01119,0.1181
01121,0.1392
01123,0.0795
01125,0.2450
01127,0.1660
01129,0.2775
01133,0.1312
02013,0.2274
02016,0.0194
02020,0.1055
02050,0.0795
02060,0.3829
02068,0.0893
02070,0.0637
02090,0.0577
02100,0.0512
02105,0.3430
02110,0.0285
02122,0.0477
02130,0.0649
02150,0.0823
02170,0.0445
02180,0.1360
02185,0.0798
02188,0.0758
02195,0.0209
02198,0.2461
02220,0.0160
02230,0.0000
02240,0.0686
02261,0.0965
02275,0.0000
02282,0.0457
02290,0.2580
04001,0.0608
04003,0.3305
04005,0.1636
04007,0.1418
04009,0.0998
04011,0.1300
04012,0.1560
04013,0.3581
04015,0.1085
04017,0.1034
04019,0.2797
04021,0.1412
04023,0.3618
04025,0.0772
04027,0.2265
05001,0.0435
05003,0.0584
05005,0.0242
05007,0.1609
05009,0.0590
05011,0.0072
05013,0.0000
05015,0.0709
05017,0.0371
05019,0.0540
05021,0.0879
05023,0.0599
05025,0.0720
05027,0.0754
05029,0.0508
05031,0.1283
05033,0.1493
05035,0.1123
05037,0.0355
05039,0.0000
05041,0.1076
05043,0.0197
05045,0.0857
05047,0.0139
05049,0.0978
05051,0.0626
05053,0.0327
05055,0.0334
05057,0.2203
05059,0.1014
05061,0.0882
05063,0.1270
05065,0.0989
05067,0.1439
05069,0.1466
05071,0.1370
05073,0.0674
05075,0.1342
05077,0.0000
05079,0.0001
05081,0.0212
05083,0.0721
05085,0.0472
05087,0.0199
05089,0.0505
05091,0.1184
05093,0.0478
05095,0.0930
05097,0.1304
05099,0.0452
05101,0.2248
05103,0.0833
05105,0.0806
05107,0.2529
05109,0.0816
05111,0.0576
05113,0.2490
05115,0.1507
05117,0.1129
05119,0.3041
05121,0.0350
05123,0.0995
05125,0.0573
05127,0.0863
05129,0.1358
05131,0.3472
05133,0.1386
05135,0.0458
05137,0.0906
05139,0.1164
05141,0.0571
05143,0.2693
05145,0.0793
05147,0.1079
05149,0.0983
06001,0.3618
06003,0.0254
06005,0.0230
06007,0.1222
06009,0.0315
06011,0.0896
06013,0.3468
06015,0.1187
06017,0.1033
06019,0.2881
06021,0.1612
06023,0.1135
06025,0.1896
06027,0.0571
06029,0.3305
06031,0.1986
06033,0.0689
06035,0.0522
06037,0.4584
06039,0.3634
06041,0.3259
06043,0.0752
06045,0.1184
06047,0.1489
06049,0.1368
06051,0.3049
06053,0.4090
06055,0.1475
06057,0.1715
06059,0.4092
06061,0.0769
06063,0.0782
06065,0.2043
06067,0.2285
06069,0.1225
06071,0.2387
06073,0.3232
06075,0.2791
06077,0.1756
06079,0.1203
06081,0.3662
06083,0.3010
06085,0.3530
06087,0.4712
06089,0.0501
06091,0.0246
06093,0.1576
06095,0.1675
06097,0.2335
06099,0.1554
06101,0.1603
06103,0.1385
06105,0.1090
06107,0.1942
06109,0.1589
06111,0.3732
06113,0.1836
06115,0.1117
08001,0.2271
08003,0.0460
08005,0.3072
08007,0.0000
08009,0.1626
08011,0.1077
08013,0.2207
08015,0.0206
08017,0.1246
08019,0.0553
08021,0.1228
08023,0.0858
08025,0.0000
08027,0.0000
08029,0.1132
08031,0.3815
08033,0.0052
08035,0.0227
08037,0.2291
08039,0.0375
08041,0.1279
08043,0.0242
08045,0.0437
08047,0.0000
08049,0.0540
08051,0.0888
08053,0.0000
08055,0.1388
08057,0.0000
08059,0.1876
08061,0.1086
08063,0.1061
08065,0.0094
08067,0.0672
08069,0.1080
08071,0.1250
08073,0.0768
08075,0.0643
08077,0.0702
08079,0.0000
08081,0.0161
08083,0.0599
08085,0.0663
08087,0.0703
08089,0.1471
08091,0.0424
08093,0.0224
08095,0.1104
08097,0.0302
08099,0.0781
08101,0.1504
08103,0.0207
08105,0.1401
08107,0.0227
08109,0.5550
08111,0.0000
08113,0.0333
08115,0.0652
08117,0.1006
08119,0.0165
08121,0.1193
08123,0.2171
08125,0.0881
09001,0.3758
09003,0.3992
09005,0.1190
09007,0.1265
09009,0.3760
09011,0.3002
09013,0.0899
09015,0.4439
10001,0.0460
10003,0.2456
10005,0.1278
11001,0.5559
12001,0.0445
12003,0.0049
12005,0.0498
12007,0.0223
12009,0.0599
12011,0.0998
12013,0.0590
12015,0.0352
12017,0.0183
12019,0.0597
12021,0.2710
12023,0.0184
12027,0.0319
12029,0.0017
12031,0.0719
12033,0.0735
12035,0.0160
12037,0.0373
12039,0.1990
12041,0.0076
12043,0.0318
12045,0.0363
12047,0.0838
12049,0.0212
12051,0.0109
12053,0.0185
12055,0.0343
12057,0.1498
12059,0.0616
12061,0.1240
12063,0.0203
12065,0.0133
12067,0.0000
12069,0.0643
12071,0.0945
12073,0.0958
12075,0.0503
12077,0.1003
12079,0.0363
12081,0.1317
12083,0.0835
12085,0.2438
12086,0.2103
12087,0.0855
12089,0.0459
12091,0.0605
12093,0.0180
12095,0.1596
12097,0.1846
12099,0.1993
12101,0.0629
12103,0.0875
12105,0.1138
12107,0.2129
12109,0.0309
12111,0.0528
12113,0.0441
12115,0.1211
12117,0.0429
12119,0.0354
12121,0.0242
12123,0.0186
12125,0.0040
12127,0.1641
12129,0.0119
12131,0.0375
12133,0.0358
13001,0.0360
13003,0.0050
13005,0.0000
13007,0.0000
13009,0.0357
13011,0.0000
13013,0.0068
13015,0.0507
13017,0.0000
13019,0.0000
13021,0.1415
13023,0.0021
