id,w_ses
01001,0.9860
01003,0.6539
01005,-0.1950
01007,0.1246
01009,-0.1773
01011,2.1214
01013,-0.4034
01015,-0.2322
01017,0.3975
01019,-0.9818
01021,-0.8212
01023,-0.0225
01025,0.6277
01027,0.2003
01029,-1.4342
01031,0.4296
01033,-0.0119
01035,0.3388
01037,-0.9397
01039,-0.8157
01041,-0.4167
01043,-0.2172
01045,-0.0877
01047,0.0555
01049,-0.8756
01051,0.5461
01053,-1.3970
01055,-0.1090
01057,-0.2324
01059,-0.2597
01061,-0.3847
01063,1.9563
01065,0.7939
01067,-1.1389
01069,0.3232
01071,-0.6997
01073,1.4290
01075,-0.9643
01077,-0.3075
01079,-0.4124
01081,0.7570
01083,0.5241
01085,-0.4914
01087,-0.2000
01089,1.3406
01091,1.3847
01093,-1.2024
01095,-0.5401
01097,-0.3427
01099,-0.5551
01101,1.0515
01103,0.4180
01105,-0.0623
01107,0.3370
01109,0.0437
01111,-0.3652
01113,-0.9103
01115,0.1692
01117,1.3635
01119,-0.1886
01121,-0.5711
01123,0.2050
01125,1.1769
01127,-1.1441
01129,0.2772
01131,1.1139
01133,-0.8823
02013,0.0732
02016,1.7494
02020,1.4432
02050,1.9175
02060,1.2625
02070,1.8819
02090,1.2065
02105,1.8393
02110,1.9414
02122,0.6528
02130,0.9218
02150,1.0405
02170,0.3840
02180,2.9534
02185,2.8820
02188,2.0400
02198,0.3376
02220,1.4465
02240,0.7024
02261,1.7096
02270,1.1444
02290,0.6211
04001,0.0523
04003,0.4087
04005,1.3152
04007,-0.2300
04009,0.1809
04011,0.5831
04012,-2.0497
04013,1.0017
04015,-0.9033
04017,0.3306
04019,0.5531
04021,0.4360
04023,0.5048
04025,0.0416
04027,0.3575
05001,-0.0838
05003,-0.1544
05005,-1.4319
05007,0.7120
05009,-0.5445
05011,0.2856
05013,0.0997
05015,-1.0165
05017,-1.5888
05019,0.2582
05021,-1.2642
05023,-0.9777
05025,-0.7972
05027,0.3086
05029,-0.1491
05031,-0.0337
05033,-0.5932
05035,-0.0985
05037,0.0845
05039,-0.3433
05041,0.1245
05043,-0.9054
05045,0.4860
05047,-0.4718
05049,-0.1360
05051,-0.8211
05053,0.3513
05055,-0.7232
05057,-0.2334
05059,-0.3997
05061,-0.8718
05063,-0.6303
05065,-0.8562
05067,-2.0303
05069,0.3146
05071,-1.0005
05073,-0.8890
05075,-1.8494
05077,-3.9269
05079,-1.4422
05081,-1.4800
05083,-0.1896
05085,0.1911
05087,-0.3463
05089,-0.5969
05091,-0.1327
05093,0.1490
05095,-0.9532
05097,-0.7637
05099,-0.9022
05101,-1.2575
05103,-0.7582
05105,0.0835
05107,-0.1189
05109,-0.7241
05111,-2.2739
05113,-0.9855
05115,-0.3074
05117,-0.2400
05119,0.8490
05121,-0.8641
05123,-2.0401
05125,0.3692
05127,-0.7310
05129,-0.4047
05131,-0.3587
05133,-0.8696
05135,-1.1317
05137,-0.2981
05139,0.3434
05141,-1.8218
05143,0.2284
05145,-0.4224
05147,-0.7146
05149,-0.3858
06001,1.6421
06005,0.3084
06007,-0.3710
06009,0.9261
06011,0.1641
06013,1.7102
06015,-1.6068
06017,1.1631
06019,0.6687
06021,-0.2094
06023,-0.0111
06025,1.0279
06027,0.8466
06029,0.1781
06031,0.1633
06033,-1.1055
06035,0.6350
06037,1.2209
06039,0.1473
06041,2.2338
06043,-0.6608
06045,0.2533
06047,-0.3098
06049,-1.5190
06051,1.1076
06053,1.2564
06055,1.0967
06057,0.6859
06059,1.6837
06061,1.4343
06063,-0.1559
06065,0.8008
06067,0.3237
