id,wb_ses
01001,2.9474
01003,3.1219
01005,3.9085
01007,3.4362
01009,5.8462
01011,5.9289
01013,4.5533
01015,4.6365
01017,4.8246
01019,1.5278
01021,2.6919
01023,4.0782
01025,4.6723
01027,2.9112
01029,0.8291
01031,4.4439
01033,2.9840
01035,7.2446
01037,1.0002
01039,4.9183
01041,3.8286
01043,6.4046
01045,3.0786
01047,5.0634
01049,2.0120
01051,3.3924
01053,2.5178
01055,4.1687
01057,1.5166
01059,4.2417
01061,4.9472
01063,5.7415
01065,4.4857
01067,2.6417
01069,4.0339
01071,1.6380
01073,4.2770
01075,2.6770
01077,3.5384
01079,0.6236
01081,3.2298
01083,2.0844
01085,3.5184
01087,3.7240
01089,3.6698
01091,4.7456
01093,2.6998
01095,3.0868
01097,3.3279
01099,5.1595
01101,3.9230
01103,4.7469
01105,4.5589
01107,6.7634
01109,4.3272
01111,3.5077
01113,2.9563
01115,2.7660
01117,2.3975
01119,5.9778
01121,2.5501
01123,4.9888
01125,3.9655
01127,3.2219
01129,4.2811
01131,5.8561
02013,-1.8587
02020,1.9214
02050,0.8616
02060,-0.6589
02090,1.3185
02110,6.0532
02122,3.5384
02170,1.2788
02180,0.0579
02188,1.8435
02240,-2.0034
02261,0.5313
04001,5.8144
04003,0.1305
04005,0.9184
04007,8.5833
04009,5.6645
04011,8.2155
04012,0.0185
04013,2.8031
04015,2.1702
04017,1.8629
04019,1.4950
04021,2.0575
04025,-1.4399
04027,1.6868
05001,3.8627
05003,3.3653
05007,1.6095
05009,7.6023
05011,5.7866
05013,3.3176
05017,3.8223
05019,3.3305
05025,3.9531
05027,5.8292
05029,2.9825
05031,5.5773
05033,4.6549
05035,5.0811
05037,2.2747
05039,1.4416
05041,6.2585
05043,5.3663
05045,2.4652
05051,3.4172
05053,4.8694
05055,9.0597
05057,3.9635
05059,1.6823
05061,2.3106
05063,-0.9076
05065,9.0228
05067,2.5235
05069,3.9957
05071,1.9197
05073,3.1313
05077,1.6539
05079,4.4981
05081,0.5763
05085,2.8858
05087,-2.2677
05091,3.8438
05093,6.0068
05095,1.7793
05099,2.7145
05103,2.7440
05105,-1.3461
05107,5.8314
05109,6.4953
05111,5.7957
05113,-2.9068
05115,5.2092
05117,5.3007
05119,3.9888
05121,8.1948
05123,2.6129
05125,3.0531
05131,3.2773
05133,-2.3857
05135,5.6156
05139,4.6831
05141,3.0841
05143,1.5203
05145,1.9907
05147,3.9679
05149,9.2149
06001,4.5291
06007,4.1363
06009,1.1294
06011,3.7087
06013,3.3323
06015,3.9074
06017,1.3718
06019,4.9268
06023,1.8074
06025,5.0344
06027,-1.0747
06029,3.0945
06031,-0.8308
06033,4.7257
06035,-0.3657
06037,3.3097
06039,1.8952
06041,5.4376
06043,-1.4824
06045,0.9225
06047,1.5481
06049,7.5399
06053,2.5405
06055,1.8749
06057,1.0529
06059,1.8098
06061,0.6906
06065,1.9580
06067,3.0689
06069,8.7861
06071,2.2576
06073,2.5015
06075,5.2474
06077,2.4946
06079,0.1413
06081,3.4601
06083,2.1584
06085,2.6292
06087,0.0129
06089,0.8036
06093,1.4767
06095,2.5718
06097,2.9901
06099,2.1351
06101,0.0052
06103,-2.0808
06107,2.4117
06109,-0.1406
06111,1.7644
06113,3.1294
06115,0.7806
08001,1.4454
08005,3.4334
08013,2.7312
08015,-1.8238
08025,9.2648
08029,-1.6574
08031,3.8664
08035,1.2365
08037,0.4587
08041,1.2984
08043,-2.0391
08045,4.5600
08059,5.3304
08063,-1.5594
08067,3.2492
08069,1.8131
08071,12.5851
08075,5.7851
08077,2.7113
08085,-1.4766
08087,8.8715
08089,2.4075
08095,-0.0391
08101,2.8651
08107,-0.4277
08117,-0.2184
08119,15.6999
08123,4.6733
09001,4.1305
09003,3.6488
09005,1.0014
09007,1.6132
09009,3.1746
09011,2.2686
09013,2.4605
09015,3.9365
10001,2.9614
10003,3.1199
10005,4.4947
11001,7.0823
12001,3.6441
12003,1.6674
12005,2.7709
12007,0.9079
12009,2.2007
12011,2.7790
12013,2.1003
12015,1.4272
12017,2.7472
12019,1.2286
12021,3.2136
12023,2.2252
12027,3.2093
12029,2.2829
12031,2.8612
12033,4.0031
12035,1.2825
12037,5.7244
12039,3.0024
12041,0.0089
12043,1.3099
12045,3.9475
12047,2.2643
12049,3.9814
12051,4.3921
12053,2.2111
12055,2.6209
12057,3.5694
12059,4.7177
12061,3.8510
12063,3.5719
12065,3.5305
12067,8.2254
12069,2.8201
12071,3.6287
12073,4.1270
12075,4.1676
12077,5.6213
12079,3.9771
12081,3.3832
12083,3.0686
12085,3.1428
12086,3.8008
12087,1.9323
12089,2.6156
12091,2.3323
12093,2.5357
12095,2.8002
12097,1.3897
12099,3.0435
12101,0.5170
12103,2.9987
12105,2.6765
12107,3.1189
12109,3.6679
12111,2.2399
12113,2.4369
12115,4.1669
12117,2.8921
12119,2.5008
12121,3.1196
12123,4.5075
12125,5.8896
12127,3.1716
12129,1.1952
12131,4.0379
12133,3.3962
13001,2.8579
13003,4.2633
13005,3.0574
13007,3.0863
13009,3.1972
13011,3.9332
13013,2.9674
13015,1.1913
13017,2.6976
13019,6.5674
13021,4.6782
13023,5.0419
13025,4.9555
13027,3.9259
13029,1.5807
13031,3.4781
13033,3.8696
13035,4.2344
13037,4.7196
13039,3.0997
13043,0.4861
13045,2.8680
13047,1.5579
13049,2.9146
13051,3.2387
13053,2.5820
13055,-0.1360
13057,2.1523
13059,5.3068
13061,7.0304
13063,0.9100
13065,2.7790
13067,2.8802
13069,1.5453
13071,4.2227
13073,1.2908
13075,5.5897
13077,3.3373
13079,3.3998
13081,3.6894
13083,-3.2736
13087,2.8540
13089,3.9924
13091,3.2264
13093,5.2609
13095,4.2789
13097,1.2331
13099,5.7950
13101,10.5134
13103,2.9068
13105,2.5594
13107,4.9787
13109,3.3881
13111,0.1740
13113,0.7960
13115,3.6103
13117,0.9991
13119,5.0716
13121,5.8082
13125,2.0771
13127,4.1021
13129,3.2709
13131,6.4961
13133,5.6457
13135,2.0296
13137,0.7904
13139,2.9840
13141,3.2379
13143,7.4696
13145,1.9351
13147,4.8888
13149,0.8359
13151,1.3831
13153,2.9477
13155,1.9688
13157,4.3098
13159,2.4570
13161,2.3672
13163,4.2026
13165,4.7700
13167,5.3273
13169,1.2804
13171,1.7399
13173,3.4688
13175,4.2057
13177,3.0614
13179,1.8852
13181,3.5721
13183,2.3325
13185,4.1373
13187,4.1450
13189,3.3023
13191,2.0897
13193,2.4890
13195,0.9640
13197,2.9982
13199,4.1819
13201,4.0613
13205,4.3545
13207,2.6564
13209,3.1427
13211,3.2657
13213,1.0494
13215,3.5393
13217,2.0711
13219,1.6856
13221,-0.6164
13223,1.2527
13225,3.7711
13227,1.7494
13229,2.9030
13231,4.2344
13233,3.4751
13235,1.6027
13237,2.7841
13239,2.3958
13241,-2.3033
13243,6.4186
13245,2.5394
13247,1.6932
13249,2.4152
13251,2.6933
13253,4.5623
13255,3.6713
13257,2.2888
13259,5.8390
13261,4.8429
13263,3.0734
13267,1.5243
13269,3.5780
13271,2.6527
13273,6.9910
13275,4.3784
13277,5.0316
13279,3.5153
13281,12.3718
13283,2.8475
13285,3.8360
13287,5.2595
13289,2.1535
13293,3.2038
13295,3.0788
13297,3.5696
13299,4.2503
13301,3.6926
13303,4.0384
13305,3.8723
13309,3.6298
13311,0.0883
13313,2.4163
13315,5.6069
13317,3.8380
13319,2.4615
13321,4.2773
15003,0.3315
16001,2.3175
16005,3.3851
16007,-2.7603
16009,-2.5960
16011,-1.2605
16013,9.0739
16017,1.6192
16019,7.0231
16027,2.2282
16031,1.5846
16035,-2.2517
16039,-1.2492
16041,-1.3724
16051,-2.0201
16055,-1.0763
16057,2.2091
16065,1.1288
16069,-3.2700
16077,5.4506
16083,4.3609
17001,6.2456
17003,3.2945
17005,4.8599
17007,2.1474
17011,2.1863
17017,4.0694
17019,5.6338
17021,4.7637
17023,15.3569
17025,-2.5299
17027,5.4225
17029,5.3776
17031,4.8338
17033,5.9050
17037,5.5991
17039,9.5142
17043,4.1656
17045,-1.7444
17047,1.6340
17051,-2.4572
17053,1.3141
17055,6.7917
17057,4.3980
17063,-0.7780
17065,4.6598
17067,12.4864
17073,4.1680
17075,9.4888
17077,4.2217
17081,5.2683
17083,-1.3504
17085,2.4403
17089,5.3444
17091,4.3362
17093,1.3227
17095,2.4041
17097,3.7072
17099,7.2080
17101,1.5976
17103,5.2836
17107,1.9420
17109,5.4848
17111,1.1488
17113,3.7780
17115,3.9236
17117,1.7193
17119,3.8556
17121,1.3711
17127,2.4156
17129,-0.9718
17131,1.9074
17133,-2.3122
17137,6.8694
17141,3.8501
17143,4.3285
17145,2.0016
17149,1.0592
17151,7.4934
17153,2.4037
17155,1.2961
17157,-0.1377
17159,0.6522
17161,4.1344
17163,4.3313
17165,3.3909
17167,5.2056
17169,21.4932
17173,0.3915
17177,2.5946
17179,-1.6524
17181,-2.5065
17183,5.5257
17185,-1.4675
17187,4.9305
17191,3.0692
17195,2.4120
17197,2.6912
17199,3.4927
17201,5.1590
17203,0.7841
18001,4.8289
18003,3.7780
18005,-0.7018
18007,-1.5586
18009,-3.1259
18011,8.7575
18013,-1.9536
18017,1.4459
18019,2.6268
18023,1.1182
18027,-0.8383
18029,1.0803
18031,17.2766
18033,0.3283
18035,4.8302
18037,6.7808
18039,3.9594
18041,0.1450
18043,3.3300
18049,-1.0659
18051,4.8346
18053,3.2782
18055,-3.5990
18057,1.2911
18059,3.1039
18063,1.3464
18065,0.7983
18067,3.0062
18071,3.4579
18073,2.2054
18075,-1.9703
18077,-1.6892
18079,0.1608
18081,3.4798
18083,1.3376
18085,-0.0071
18087,2.6035
18089,4.6359
18091,3.4128
18093,0.6553
18095,2.6380
18097,3.2031
18099,6.3639
18103,7.9655
18105,4.3528
18107,-1.5955
18109,-1.9328
18111,-1.9698
18115,2.7006
18117,7.2911
18119,9.0533
18125,4.4108
18127,3.2487
18129,6.8074
18133,1.9926
18135,4.4246
18137,-2.7818
18139,2.6634
18141,4.1313
18143,6.4612
18145,2.4219
18149,-1.9278
18151,1.4555
18153,8.9349
18157,4.9069
18163,4.1091
18167,4.3865
18169,2.8781
18175,12.3066
18177,3.0723
18179,-0.0800
18183,10.5547
19007,-0.2897
19011,-2.8629
19013,5.4390
19015,8.7983
19017,-0.6998
19019,2.1854
19021,-0.3648
19023,3.9351
19031,-1.9318
19033,4.5451
19041,-1.9720
19043,4.0364
19045,6.7031
19047,0.3042
19049,1.3991
19053,10.5843
19057,7.2694
19061,6.8694
19063,3.1101
19065,10.4014
19067,2.7556
19071,-3.5529
19075,-0.6855
19077,9.4155
19079,-1.2108
19083,-2.9925
19087,-3.4135
19097,4.7984
19099,2.7065
19101,-2.1312
19103,6.0320
19105,2.9051
19109,4.3537
19111,3.2372
19113,5.1668
19115,5.4304
19119,-0.8092
19121,6.5518
19123,8.7829
19125,1.0442
19127,-0.1115
19129,-1.7262
19131,-2.7268
19137,-2.6828
19139,0.1292
19141,-1.0871
19145,-1.8885
19149,-0.5491
19153,3.9949
19155,3.7533
19157,-2.4741
19161,4.4494
19163,4.7403
19169,1.9761
19171,-1.7147
19173,-2.3817
19175,7.0819
19179,4.6136
19181,4.2753
19183,-1.2694
19187,5.9693
19191,1.5002
19193,1.4823
20001,1.1527
20005,5.1473
20009,3.5023
20011,8.0678
20013,-1.5508
20015,-1.0474
20019,1.9952
20021,7.8603
20027,-1.4921
20029,8.8065
20031,9.2406
20035,2.0740
20037,4.9241
20041,5.2942
20043,5.5121
20045,2.4901
20047,-1.3648
20051,0.2224
20053,-1.2515
20055,1.6635
20057,-0.6491
20059,2.4208
20061,0.5564
20065,3.3514
20079,4.3174
20081,-1.1977
20085,2.6370
20087,1.0453
20091,2.7062
20099,9.2418
20103,1.5739
20111,2.3435
20113,0.8825
20115,9.8749
20117,-1.2952
20121,-1.5648
20125,3.7838
20127,3.6410
20129,-1.0129
20131,1.7269
20133,-1.2072
20137,0.1390
20139,5.4081
20145,-1.3134
20149,-0.2329
20151,3.8637
20153,-3.7190
20155,6.2607
20161,1.6718
20163,-2.1775
20169,4.9733
20173,3.8356
20175,0.9805
20177,3.3388
20179,9.7043
20185,9.1245
20191,10.9823
20203,-1.5897
20209,3.6549
21001,3.5791
21003,4.8024
21005,-2.2592
21007,6.4229
21009,1.8532
21011,7.8671
21013,-0.6854
21015,1.8135
21017,1.2267
21019,0.2240
21021,1.8953
21027,1.4740
21029,4.8407
21033,3.8680
21035,0.8629
21037,4.6206
21041,4.4727
21047,3.6083
21049,1.9700
21051,2.4034
21057,0.6823
21059,3.3291
21065,7.3760
21067,4.1340
21069,1.4514
21071,2.7692
21073,0.1749
21075,1.1334
21079,2.3203
21081,1.1824
21083,5.9664
21085,7.8378
21087,0.1809
21089,-3.0826
21091,-2.9780
21093,2.0637
21095,4.2542
21097,1.7858
21099,-1.0988
21101,3.3701
21103,4.6084
21105,0.2157
21107,4.0465
21111,4.0147
21113,2.2631
21117,4.9740
21119,-5.7639
21121,-1.3977
21123,1.7674
21125,2.8539
21133,1.4715
21137,0.4633
21139,8.1496
21141,3.9087
21143,-2.9167
21145,3.0375
21147,6.3385
21149,-0.9936
21151,3.3660
21155,2.6056
21157,-1.6833
21161,3.2474
21163,7.6933
21167,1.2839
21169,-1.7358
21171,0.9119
21173,-3.3530
21175,-3.1248
21177,4.0691
21179,5.2028
21181,-1.5483
21183,4.5221
21185,3.8743
21187,-1.6832
21191,-2.9300
21193,4.7712
21197,-4.3420
21199,-0.6976
21203,7.3617
21205,8.2008
21209,3.9325
21211,4.9449
21213,3.5110
21215,-0.8251
21217,3.3391
21219,0.9916
21221,1.7465
21223,3.5609
21225,1.3170
21227,3.5093
21229,2.9887
21231,-0.6785
21233,3.0992
21239,3.1950
22001,5.5730
22003,1.9850
22005,3.6524
22007,3.4853
22009,3.9875
22011,3.8108
22013,6.2947
22015,4.9447
22017,4.1879
22019,2.9622
22021,2.2681
22023,5.2380
22025,5.6681
22027,5.5366
22029,5.5885
22031,4.9342
22033,4.3296
22035,1.9809
22037,3.7453
22039,4.1218
22041,5.8308
22043,4.7223
22045,2.9344
22047,1.3298
22049,2.0351
22051,3.1037
22053,3.3360
22055,4.7677
22057,3.6604
22059,5.2552
22061,4.5319
22063,4.4069
22065,4.8460
22067,3.7803
22069,4.4135
22071,5.6246
22073,4.6310
22075,1.8227
22077,5.0439
22079,2.6108
22081,1.7054
22083,4.2585
22085,3.6686
22087,3.1927
22089,3.8907
22091,3.5171
22093,4.5955
22095,1.6112
22097,2.7688
22099,3.9474
22101,3.0747
22103,1.7286
22105,5.3844
22107,1.3694
22109,3.4483
22111,4.1490
22113,4.2932
22115,0.5271
22117,3.0860
22119,4.7497
22121,2.2933
22123,2.8264
22125,3.7552
22127,3.4481
23001,5.7436
23003,0.1071
23005,5.6688
23007,-3.9838
23009,-2.9319
23011,3.2931
23013,5.4090
23015,1.9828
23017,3.4476
23019,1.7133
23023,2.0178
23025,2.3651
23027,0.1569
23029,-4.1848
23031,-0.8339
24001,-0.2167
24003,2.0824
24005,1.8189
24009,1.5735
24011,1.9111
24013,0.1225
24015,1.9741
24017,0.9369
24019,4.0696
24021,2.4562
24025,1.4302
24027,2.0222
24029,2.9861
24031,3.1688
24033,1.3458
24035,5.8174
24037,2.8139
24039,2.8053
24041,2.7335
24043,1.8975
24045,3.4560
24047,4.5017
24510,3.1271
25001,2.8623
25003,3.2173
25005,2.4202
25009,3.1314
25011,3.0292
25013,3.2615
25015,3.3530
25017,3.1052
25019,-0.8223
25021,2.4675
25023,2.1601
25025,3.5574
25027,2.3342
26005,1.1708
26007,7.0065
26009,-2.7049
26011,-0.5930
26013,-1.8264
26015,1.9304
26017,3.8359
26019,8.6846
26021,5.6361
26023,4.9518
26025,3.7465
26027,3.5784
26029,1.8045
26031,8.8298
26033,-1.2377
26035,-1.0448
26037,-0.0930
26041,3.4837
26043,8.7540
26045,1.6031
26047,5.5051
26049,4.2442
26051,6.4831
26053,-2.9324
26055,5.0095
26057,6.5265
26059,-1.9873
26061,4.1683
26063,12.3350
26065,3.4366
26067,-2.6864
26069,5.4614
26071,5.0413
26073,2.9201
26075,3.1652
26077,4.7990
26081,5.3645
26085,-0.0518
26087,-0.7183
26091,3.0411
26093,0.4551
26095,1.5995
26097,-2.1863
26099,3.4340
26103,2.4860
26105,-1.7228
26107,7.9817
26109,3.1934
26111,4.3123
26113,10.8172
26115,1.4227
26117,0.0703
26121,3.8405
26123,4.2618
26125,2.8964
26127,-0.3803
26131,-2.9195
26133,4.1597
26139,3.3462
26143,0.8497
26145,5.4706
26147,3.0826
26149,0.5467
26151,4.4791
26153,-2.7675
26155,6.7332
26157,-0.7317
26159,4.1039
26161,3.6971
26163,4.6072
26165,2.7538
27003,3.1391
27005,3.5102
27007,1.9545
27009,12.1052
27013,7.5295
27015,3.3096
27017,-1.6974
27019,1.4739
27021,-3.0359
27023,6.2543
27025,5.0292
27027,2.6053
27029,-0.3421
27033,-1.2816
27035,2.8963
27037,3.5705
27039,4.0169
27041,5.2741
27043,4.8232
27047,4.8978
27049,5.5159
27051,2.6225
27053,5.9764
27057,-1.7271
27059,-0.6036
27061,-1.7578
27065,1.5433
27067,10.7573
27069,-0.6863
27073,-1.3261
27077,1.5177
27079,0.0265
27081,-0.9604
27083,1.0677
27085,2.1057
27087,-1.4224
27091,0.4461
27093,5.4820
27095,-1.4884
27099,5.4912
27101,-1.1890
27103,0.9624
27105,1.5131
27107,-1.0535
27109,5.4189
27111,3.9159
27113,9.9980
27115,1.3140
27119,2.5893
27121,-0.3400
27123,5.3718
27127,7.3809
27131,5.1774
27133,9.7262
27135,-1.3429
27137,6.2998
27139,4.6479
27141,0.2279
27143,-1.4344
27145,5.8260
27147,4.4721
27151,3.2032
27153,3.6221
27157,5.1492
27159,-0.4530
27161,-1.0391
27163,0.9501
27165,0.1479
27167,-1.5946
27169,5.1341
27171,2.1341
27173,11.3910
28001,4.6434
28003,3.9362
28005,1.3694
28007,3.8591
28009,2.5001
28011,7.0066
28013,2.9731
28015,6.3830
28017,3.6487
28019,7.2467
28021,3.9280
28023,4.2952
28025,3.9403
28027,3.5711
28029,3.1572
28031,1.7929
28033,2.7723
28035,5.0463
28037,6.2075
28039,3.7153
28041,4.1956
28043,5.2941
28045,4.4226
28047,2.3531
28049,4.0470
28051,3.0329
28053,6.3031
