id,a_avg
0100007,1.6943
0100008,2.9119
0100210,2.1372
0100270,1.2914
0101800,1.2757
0102220,1.6748
0102370,0.6662
0102430,1.7162
0103030,1.0283
0103430,3.6728
0200150,-0.5427
0200180,-0.9435
0200210,-0.1063
0200480,-0.5187
0200510,-0.1188
0200600,0.1228
0400600,-1.7582
0400680,1.4646
0400960,0.9004
0401460,-0.1937
0401760,2.6964
0401870,2.6420
0402320,-0.3372
0402690,1.2714
0402860,0.8373
0403400,1.6304
0403420,-0.1859
0403780,1.5534
0404230,2.8186
0404290,1.3249
0404380,1.7103
0404440,0.6945
0404500,1.7071
0404630,1.4842
0404720,0.6999
0404970,1.0620
0405930,2.1031
0406210,0.9012
0406250,1.6407
0406300,-1.1725
0406810,2.7750
0407080,0.1555
0407570,2.5376
0407750,1.9650
0408310,0.1933
0408800,0.5520
0408850,2.1510
0409060,-0.2895
0409600,0.3546
0503060,2.6107
0503750,1.0349
0506120,1.4965
0506330,0.5300
0509000,2.5584
0511850,1.1835
0511970,1.1630
0512660,-2.1272
0600013,2.0808
0600014,0.2058
0600016,1.6450
0600017,0.7985
0600019,2.5106
0600020,3.6366
0600025,3.5211
0600027,0.5697
0600028,1.3825
0600029,0.9820
0600032,2.0736
0600036,0.3932
0600047,0.3750
0600052,-1.2244
0600063,0.2581
0600064,-0.4704
0600153,1.7134
0600158,0.2588
0601332,-0.9550
0601410,1.3839
0601415,-1.1236
0601620,2.5190
0601710,-0.3337
0601770,1.0844
0601860,2.0116
0601950,0.3733
0602160,1.8924
0602310,0.5243
0602430,1.0296
0602610,0.8471
0602850,-0.0932
0602970,3.3365
0603420,-0.1726
0603630,-0.2753
0603690,1.1756
0603840,-1.3205
0604200,-0.8423
0604290,1.3111
0604440,0.9430
0604530,2.4799
0604620,1.2366
0604740,0.7005
0604800,1.0258
0604830,2.3586
0605580,-0.3503
0605610,2.2503
0605880,2.5076
0605910,1.1608
0606270,2.6627
0606360,1.7217
0606390,0.9387
0606450,1.5627
0606480,2.7401
0606570,-0.0193
0606810,0.1947
0607140,2.2690
0607200,2.1626
0607440,2.7213
0607500,3.1676
0607740,1.5217
0607800,2.2646
0607900,-0.0427
0607950,1.1174
0607970,-0.5641
0608070,1.9017
0608130,-0.1650
0608190,1.5234
0608370,-0.9990
0608460,2.6582
0608610,1.6342
0608760,1.8792
0609030,1.2392
0609390,0.4635
0609620,-1.3601
0609640,3.0392
0609850,1.7620
0609940,0.4746
0610050,1.6518
0610260,1.9320
0610290,3.9662
0610440,2.6273
0610620,2.5575
0610740,4.6504
0610770,-1.7867
0610890,-0.4589
0611110,1.5467
0611220,2.2030
0611460,1.3673
0611490,0.5858
0611520,1.0389
0611850,1.3037
0612090,1.2931
0612210,1.8929
0612330,0.3050
0612690,-0.2901
0612750,2.8670
0612810,-0.5010
0612880,0.7567
0612960,2.3636
0613080,2.8534
0613140,2.2885
0613360,0.7714
0613890,2.1935
0613920,0.2996
0614220,2.0586
0614250,0.9322
0614370,1.1283
0614400,3.5976
0614550,-1.2441
0614700,1.4647
0614730,2.7836
0614880,1.6671
0614940,1.0180
0615180,1.7738
0615240,1.8772
0615270,2.4708
0615510,2.3684
0616050,-0.8578
0616300,0.2979
0616325,2.4185
0616680,0.1558
0616740,-0.4842
0616920,0.2025
0617190,4.1179
0617850,0.1001
0618030,2.3486
0618840,0.5521
0618870,-0.0324
0618990,-0.3424
0619260,0.2162
0619490,-0.0595
0619700,-0.0662
0620130,3.3519
0620190,0.9925
0620250,0.5573
0620310,2.7630
0620460,0.2452
0620880,-0.3473
0621000,2.4303
0621210,0.7512
0621330,0.5005
0621360,0.6702
0621690,0.1483
0622050,-0.1810
0622110,1.4444
0622170,-0.4244
0622230,-0.5514
0622380,2.6708
0622410,-0.5205
0622500,0.4979
0622590,3.1541
0622650,4.4760
0622710,1.3676
0622740,-0.7005
0622830,3.1486
0623080,0.9899
0623340,0.3684
0623430,1.2127
0623610,-0.4587
0624030,0.9277
0624090,-1.4769
0624500,1.4562
0624540,0.9549
0624570,2.8029
0624600,-0.8740
0624870,2.2334
0624900,1.8663
0625130,-1.2243
0625320,1.4863
0625470,0.9700
0625530,-0.0525
0625690,2.5668
0625740,3.8030
0625770,2.9171
0625800,-0.0729
0625830,1.6611
0625860,-0.2220
0626190,1.2782
0626280,1.9994
0626370,0.8638
0626400,0.3716
0626640,0.8734
0626670,0.5159
0626910,0.2577
0627060,0.7604
0627180,3.3466
0627240,1.7332
0627450,1.5850
0627690,1.1780
0627720,1.9096
0627810,1.5371
0627850,3.4121
0628050,0.4705
0628080,0.4461
0628140,1.8975
0628250,0.5486
0628320,0.5432
0628470,0.8586
0628650,2.1769
0628680,0.3840
0628710,0.4784
0628860,3.5174
0629100,-1.8341
0629220,0.1814
0629370,1.9489
0629490,0.1349
0629550,0.4706
0629580,0.0862
0629610,4.1918
0629700,3.0366
0629850,-0.5186
0629940,1.3340
0630030,0.0674
0630330,3.3669
0630600,-0.0349
0630660,2.9617
0630990,1.7653
0631320,1.1804
0631530,2.4613
0631860,-1.8230
0632040,0.8425
0632070,1.3722
0632130,0.8340
0632160,3.4080
0632310,2.2284
0632370,-0.0301
0632550,-0.1495
0632640,1.9329
0632760,-0.2934
0633150,1.5498
0633240,-1.1797
0633480,1.1402
0633570,1.2169
0633600,1.6098
0633750,1.7376
0633840,-0.4278
0633860,2.1101
0633900,0.1023
0633930,-0.0675
0634170,-0.4309
0634230,0.4769
0634290,2.4305
0634320,0.8514
0634410,0.7084
0634425,1.3363
0634440,0.2824
0634590,2.7902
0634620,0.9711
0634680,-0.1793
0634710,0.1430
0634740,1.7499
0634800,1.2385
0634860,3.4524
0634880,2.4310
0634920,2.0622
0635090,1.2000
0635130,3.5036
