id,a_coh
0100007,0.1132
0100008,0.2420
0100210,0.1392
0100270,-0.0251
0101800,0.0358
0102220,-0.0246
0102370,0.0518
0102430,0.0526
0103030,0.0894
0103430,0.2089
0200180,0.0158
0200210,0.0186
0200480,-0.0663
0200510,0.0404
0200600,-0.0360
0400600,0.2253
0400680,0.1541
0401760,0.1142
0401870,0.1773
0402690,0.0854
0403400,0.1172
0403420,0.0944
0403780,0.1382
0404230,0.0526
0404290,0.0890
0404380,0.1667
0404630,0.0414
0404720,0.1063
0404970,0.0448
0405930,0.1403
0406210,0.0948
0406250,0.1995
0406300,0.4420
0407570,0.0579
0407750,0.1005
0408310,0.0019
0408800,0.1648
0408850,0.0232
0409060,0.1673
0503060,0.0835
0506120,0.0581
0506330,0.0760
0509000,0.1108
0511850,0.2216
0511970,-0.0650
0512660,0.0667
0600013,0.1210
0600014,-0.1148
0600016,-0.0173
0600017,-0.0333
0600019,0.2908
0600020,0.0852
0600025,0.0095
0600027,-0.0102
0600028,0.0902
0600029,0.0666
0600032,0.0805
0600036,0.0288
0600047,-0.0728
0600052,-0.0884
0600064,-0.0716
0600153,0.0832
0600158,0.0707
0601332,-0.0187
0601410,0.0854
0601620,0.1015
0601770,0.1306
0601860,0.0605
0602160,0.0930
0602310,0.0398
0602430,0.0164
0602610,-0.0487
0602850,-0.0228
0602970,-0.0035
0603420,0.0437
0603630,0.0018
0603690,0.0202
0604290,-0.0058
0604440,0.0479
0604530,0.1795
0604740,0.1279
0604800,0.1492
0604830,0.1466
0605580,0.0129
0605610,0.0367
0605880,0.0712
0605910,0.1231
0606270,-0.0490
0606360,0.0354
0606390,-0.0243
0606450,0.0437
0606480,0.1992
0606810,0.0126
0607140,0.0415
0607200,-0.0286
0607440,0.1111
0607500,0.1047
0607800,0.0125
0607900,0.0189
0607950,0.0750
0607970,0.0573
0608070,0.0680
0608130,0.0297
0608190,0.0819
0608370,0.2225
0608460,0.0515
0608610,0.1701
0608760,0.0842
0609030,0.1009
0609390,0.0141
0609640,0.0313
0609850,0.0583
0610050,0.0037
0610260,0.1884
0610290,0.0458
0610440,0.1189
0610620,0.0810
0610740,0.0676
0610890,0.1009
0611110,0.0866
0611460,0.0894
0611490,0.0485
0611850,0.1364
0612090,0.0797
0612330,0.1376
0612750,0.0871
0612810,0.0029
0612880,0.0943
0612960,0.0783
0613080,0.1311
0613140,0.0287
0613360,-0.0564
0613890,0.0927
0613920,0.0669
0614220,0.1226
0614370,0.1267
0614400,0.0379
0614550,0.0491
0614730,0.0316
0614880,0.0979
0614940,0.1861
0615180,0.0947
0615240,0.0700
0615270,0.0763
0615510,-0.0095
0616050,0.0849
0616325,-0.0017
0616680,-0.0313
0616740,0.0904
0616920,-0.0045
0617190,0.0182
0617850,0.0476
0618030,0.2009
0618840,0.0086
0618870,0.1113
0620130,0.1142
0620250,0.0862
0620310,0.0741
0620460,-0.0010
0620880,0.1788
0621000,0.0721
0621210,0.1427
0621690,0.0624
0622110,0.0437
0622170,-0.0121
0622230,0.1131
0622410,0.0948
0622500,-0.0154
0622590,0.1125
0622650,0.0703
0622710,0.0036
0622830,0.0744
0623430,0.1080
0623610,0.0886
0624090,0.0177
0624500,0.2352
0624540,0.0772
0624600,0.1039
0624900,0.0787
0625130,-0.0279
0625470,-0.0454
0625530,-0.0608
0625690,0.0435
0625740,0.0804
0625770,0.1411
0625800,-0.0348
0625830,0.1153
0626190,0.1021
0626280,0.1619
0626370,0.0322
0626400,0.0734
0626640,0.0914
0626670,0.0178
0626910,0.1075
0627060,0.1076
0627180,0.1409
0627240,0.0646
0627690,0.0234
0627720,-0.0368
0627810,0.0016
0627850,-0.0238
0628050,-0.0396
0628140,0.1122
0628250,-0.0056
0628470,0.0660
0628650,0.0601
0628680,0.0593
0628860,0.0182
0629100,0.0263
0629220,-0.0709
0629490,0.0537
0629550,0.0283
0629580,0.0338
0629610,0.1106
0629700,0.0499
0629940,0.0230
0630330,0.0641
0630600,0.0456
0630660,0.1210
0630990,0.0224
0631320,-0.0366
0631530,0.1748
0631860,-0.1410
0632070,0.1622
0632130,0.0299
0632310,0.1444
0632370,-0.0196
0632550,0.0727
0632640,-0.1297
0633150,0.0662
