id,a_grd
0100007,1.2701
0100008,1.2817
0100210,1.1030
0100270,0.9747
0101800,1.1583
0102220,1.0367
0102370,0.9635
0102430,1.0610
0103030,1.0579
0103430,1.2072
0200180,1.0851
0200210,1.2277
0200480,1.0878
0200510,1.1428
0200600,0.9942
0400600,1.1187
0400680,1.1407
0400960,1.3276
0401760,1.1150
0401870,1.3051
0402690,1.1371
0403400,1.1727
0403420,1.2244
0403780,1.1215
0404230,1.2195
0404290,1.2476
0404380,1.3249
0404630,1.0744
0404970,1.0947
0405930,1.1453
0406210,1.3120
0406250,1.3800
0406300,1.4874
0407570,1.2001
0407750,1.0669
0408310,1.0381
0408800,1.2865
0408850,1.0940
0409060,1.1605
0503060,1.1965
0506120,1.1756
0506330,1.0858
0509000,1.1694
0511850,0.8965
0511970,0.9341
0512660,0.9490
0600013,1.1742
0600014,0.8647
0600016,0.9970
0600017,0.9834
0600019,1.2637
0600020,1.2678
0600025,0.9695
0600027,0.9346
0600028,1.0957
0600029,1.0724
0600032,1.0911
0600036,1.0149
0600047,0.9885
0600052,0.9765
0600153,1.1229
0600158,1.0704
0601332,0.9245
0601410,1.1211
0601620,1.1170
0601710,0.8588
0601770,1.1512
0601860,1.1525
0602160,1.0104
0602310,0.9838
0602430,1.0780
0602610,0.8361
0602850,0.8996
0602970,1.0916
0603420,1.0029
0603630,1.0257
0603690,1.0353
0603840,0.9494
0604290,1.0160
0604440,1.0420
0604530,1.2002
0604620,1.0798
0604740,1.0639
0604800,1.1596
0604830,1.2438
0605580,0.9935
0605610,0.9393
0605880,1.1561
0605910,1.0869
0606270,1.0471
0606360,1.0372
0606390,1.0334
0606450,1.0539
0606480,1.2314
0606810,1.0721
0607140,1.0930
0607200,0.9301
0607440,1.2612
0607500,1.1421
0607800,0.9557
0607900,1.0645
0607950,0.9500
0607970,0.9844
0608070,0.8285
0608130,0.9364
0608190,0.9832
0608370,1.3555
0608460,1.0223
0608610,1.1763
0608760,1.0969
0609030,1.0882
0609390,0.9615
0609640,1.1486
0609850,1.0172
0609940,0.8696
0610050,0.9535
0610260,1.2287
0610290,1.1920
0610440,1.3095
0610620,1.2793
0610740,1.2610
0610890,1.0142
0611110,1.0319
0611460,1.0592
0611490,1.0544
0611850,1.0546
0612090,1.2429
0612330,1.1665
0612750,1.1137
0612810,1.0344
0612880,1.0935
0612960,1.1997
0613080,1.1750
0613140,1.0814
0613360,0.9882
0613890,1.0482
0613920,0.9548
0614220,1.2155
0614370,1.0798
0614400,1.1792
0614550,1.0227
0614730,1.1516
0614880,1.1836
0614940,1.2241
0615180,1.1477
0615240,1.0976
0615270,1.1932
0616050,1.0542
0616325,1.0443
0616680,0.9291
0616740,1.1935
0616920,1.0429
0617190,0.9940
0617850,1.1479
0618030,1.2122
