id,all_avg
0100005,-0.8578
0100006,-0.5411
0100007,0.7420
0100008,1.4835
0100011,-1.1194
0100012,-0.3533
0100013,0.6617
0100030,-0.4334
0100060,-0.2979
0100090,-2.1892
0100100,1.0545
0100120,-0.1306
0100180,-1.1069
0100185,0.3427
0100188,-1.7679
0100189,-0.1853
0100190,-0.4925
0100194,-0.4118
0100210,1.0274
0100240,0.1552
0100270,-0.0413
0100300,-2.7718
0100330,-1.9703
0100360,-1.1732
0100390,-1.9192
0100420,-0.8885
0100450,-0.0743
0100480,-2.4903
0100510,-1.3516
0100540,-0.4511
0100600,-1.5246
0100630,-0.7840
0100660,-0.8917
0100690,-1.6822
0100720,-1.4687
0100750,-1.0363
0100780,-0.2817
0100810,-0.4535
0100840,-0.9416
0100870,-1.1533
0100900,-1.4248
0100930,-0.4129
0100960,-0.9429
0100990,1.4372
0101020,-0.3691
0101050,-0.4741
0101080,-1.4879
0101110,-1.9263
0101140,-1.2060
0101170,-0.6045
0101200,-0.6402
0101230,-0.4314
0101260,-1.4792
0101290,-0.5846
0101320,0.3435
0101350,-0.8732
0101380,-0.3315
0101410,-1.2977
0101440,-2.1546
0101470,-0.6501
0101530,-0.2764
0101560,-0.8705
0101590,-0.5493
0101620,-1.2620
0101640,-0.3730
0101660,-1.1180
0101680,-2.3909
0101690,0.5045
0101710,-1.1561
0101720,-0.6156
0101730,0.5650
0101740,-1.3129
0101760,1.4968
0101770,-0.3019
0101800,-0.4710
0101830,-0.4097
0101860,-0.2438
0101890,0.0391
0101920,-0.8914
0101950,-1.0909
0101980,-2.2891
0102010,-0.1122
0102040,-0.6962
0102070,-0.7073
0102100,-0.8969
0102130,-2.6809
0102160,-2.3682
0102190,-2.2247
0102220,0.2802
0102250,-1.3041
0102310,-0.3344
0102350,-2.4438
0102370,-0.7666
0102400,-1.5348
0102430,-1.6844
0102480,-0.6032
0102490,2.7501
0102520,0.9268
0102550,0.1558
0102580,-0.8408
0102610,-0.6306
0102635,0.0703
0102640,-0.7632
0102650,-0.5442
0102670,-2.1878
0102700,-1.1316
0102730,-1.2786
0102760,-0.5134
0102790,-0.6635
0102820,-1.5752
0102850,-1.2420
0102880,-1.3538
0102910,-0.6938
0102940,-0.5603
0102970,-2.0114
0103000,-1.3285
0103030,0.0997
0103062,-0.5329
0103090,-2.5740
0103120,-0.5116
0103150,-1.6825
0103180,-0.9027
0103210,-1.4587
0103240,-1.0274
0103270,-2.2730
0103300,-1.0127
0103330,-0.7540
0103360,-1.1757
0103390,-0.7627
0103420,-0.8728
0103430,2.1050
0103450,-0.7812
0103480,-1.3403
0103510,-2.3850
0103540,0.5589
0103580,-0.8385
0200001,-3.6311
0200003,-3.9646
0200004,-5.0071
0200005,-3.3489
0200007,-0.5658
0200020,-2.7236
0200050,-1.6318
0200060,-0.2020
0200070,0.3643
0200090,0.1341
0200100,-0.0874
0200120,-1.3290
0200150,-0.1104
0200180,-0.0868
0200210,0.0142
0200240,0.1975
0200270,0.5039
0200390,0.4679
0200480,-0.0762
0200485,-0.8496
0200510,0.1547
0200525,-0.9507
0200570,-1.1931
0200600,0.0327
0200610,-2.4027
0200625,-2.9186
0200660,0.6842
0200710,-3.3347
0200720,0.8588
0200760,-2.8886
0200770,0.2847
0200775,-3.3425
0200780,0.6212
0200800,-0.7789
0200810,1.0163
0200862,-1.0955
0400001,1.3162
0400003,-0.4054
0400004,0.3255
0400005,-2.6965
0400021,0.3364
0400023,-2.3589
0400026,-0.0163
0400212,0.0609
0400295,-0.7250
0400480,-0.7166
0400520,-1.9835
0400600,-1.2567
0400680,0.2520
0400790,-0.6959
0400840,-0.9302
0400910,-0.9001
0400960,-1.0210
0401000,-0.9213
0401050,-1.6536
0401080,-1.4237
0401180,-1.0939
0401380,-1.0825
0401460,-0.1580
0401500,-0.7605
0401600,-1.0477
0401650,-0.8879
0401680,-1.3804
0401710,-0.6448
0401760,1.7795
0401810,-2.9618
0401870,0.9535
0401940,-2.4028
0402190,-0.8670
0402250,-0.2257
0402320,-1.0072
0402370,-0.6544
0402400,-0.4391
0402430,-1.6274
0402530,-1.6553
0402600,-1.3456
0402690,-0.0900
0402790,-1.9523
0402860,-0.4661
0402920,-0.9578
0403010,-0.3458
0403040,0.4842
0403060,-1.2135
0403080,-1.5666
0403150,0.1570
0403200,-2.3121
0403240,-1.7689
0403290,-2.0163
0403310,-2.9683
0403400,0.8148
0403420,-1.6674
0403500,-1.4328
0403550,-1.2745
0403730,-2.1903
0403780,0.9452
0403820,-0.9375
0403870,-0.0101
0403950,-3.0057
0403960,-1.9919
0403990,-0.4868
0404010,-0.4467
0404060,-2.0487
0404230,1.1056
0404280,0.4816
0404290,-0.8896
0404320,-0.3779
0404380,0.4061
0404410,-1.4784
0404440,-1.1609
0404500,0.6043
0404570,-0.7500
0404630,0.1491
0404720,-0.5960
0404770,-1.2944
0404820,-1.6589
0404970,-0.1398
0405030,-1.2944
0405190,-0.6101
0405220,-1.2757
0405320,0.0774
0405340,-1.2248
0405400,-1.7541
0405430,-2.7997
0405460,-1.0463
0405530,-0.4215
0405640,-1.0513
0405670,-1.1189
0405820,-1.7929
0405850,-0.6553
0405880,0.2833
0405930,0.5156
0405980,-1.3976
0406070,-0.4567
0406120,-3.9156
0406210,-0.8469
0406250,0.2419
0406300,-1.3024
0406360,-1.8926
0406440,-0.3980
0406580,-0.1972
0406630,-0.1595
0406730,0.5743
0406740,-2.7460
0406780,-1.7736
0406810,0.8161
0406850,-1.0344
0406870,-2.3751
0406900,-0.6171
0406960,-4.1319
0407020,-1.6869
0407080,-1.7896
0407130,-0.5329
0407170,-1.0856
0407200,-2.4938
0407240,-0.2299
0407300,0.0863
0407500,-0.1073
0407520,-0.6532
0407570,1.1376
0407700,-0.5504
0407750,0.7103
0407820,0.1214
0407860,-0.2593
0407890,-1.3454
0408020,0.1607
0408080,0.0165
0408130,-1.6866
0408170,-1.5991
0408230,-2.0686
0408280,1.4094
0408310,-0.7280
0408410,0.5043
0408490,-1.2083
0408550,-1.6692
0408600,-0.7624
0408680,-2.1412
0408800,-1.0719
0408820,-1.3291
0408850,1.4074
0409060,-0.9552
0409090,-1.4630
0409160,-2.6560
0409190,-0.4233
0409250,-1.4174
0409310,-1.3795
0409390,-1.0676
0409430,-2.4516
0409460,-1.0022
0409600,-0.9990
0409733,-0.3770
0500001,-0.5911
0500006,-1.0309
0500009,-0.3594
0500012,-0.4597
0500015,0.1053
0500016,-1.0136
0500017,-0.6628
0500019,0.0985
0500020,-0.6469
0500021,-0.8020
0500023,-0.4869
0500026,-2.1891
0500028,-0.8143
0500029,-0.1650
0500030,-0.6956
0500032,-1.1203
0500041,-0.7033
0500042,-0.4064
0500043,0.2810
0500044,-0.9930
0500045,-1.0980
0500046,-0.4627
0500047,-0.7508
0500048,-0.7625
0500049,0.1478
0500051,-1.1952
0500065,-1.2066
0500067,-0.4536
0500068,0.2558
0500070,-0.7893
0500071,-0.4429
0500072,-0.8990
0500073,-0.1476
0500076,-0.7960
0500079,-0.6528
0500082,-0.5731
0500405,-0.1722
0502250,-0.4281
0502280,-0.1289
0502430,-0.1358
0502550,0.7283
0502580,-0.9460
0502610,0.2590
0502670,-1.4047
0502700,-0.5238
0502730,-0.8804
0502790,-0.4586
0502820,-0.2910
0502880,-0.1728
0502960,0.7892
0503030,0.4410
0503060,1.1548
0503090,0.6227
0503150,-0.0139
0503240,0.2920
0503300,-1.0134
0503320,-2.0699
0503420,-0.7532
0503450,-0.4283
0503480,-0.6114
0503510,-0.4296
0503630,-0.6887
0503640,0.1130
0503690,0.6615
0503710,0.0807
0503750,0.4211
0503770,-0.3884
0503840,-0.2185
0503960,-0.4535
0504020,-0.2019
0504050,0.0032
0504080,-0.7426
0504110,0.4047
0504170,-0.6863
0504200,0.6080
0504350,-1.9034
0504370,-0.6670
0504380,-0.0503
0504410,0.2933
0504560,0.1126
0504590,0.6333
0504680,0.4981
0504740,0.2091
0504800,-0.9604
0504860,-0.0979
0504890,-0.0782
0504930,-0.2124
0504980,-1.4936
0505170,-2.1087
0505190,0.2344
0505340,-0.0120
0505410,-2.3951
0505430,0.5005
0505470,-0.5375
0505500,-1.4016
0505550,-1.6654
0505580,-0.5667
0505680,-0.3500
0505760,-0.2065
0505850,-1.0629
0505970,-0.1513
0506060,-1.2930
0506090,0.5518
0506120,0.7964
0506150,-0.4731
0506210,-1.4101
0506240,-0.3855
0506270,-2.3342
0506330,-0.4624
0506360,-0.3293
0506420,0.1372
0506540,0.1065
0506630,-0.0799
0506690,-0.4320
0506840,0.2070
0506870,-0.2561
0506900,0.6417
0506930,-0.7864
0506990,0.9966
0507110,-0.5471
0507140,-0.0770
0507170,-0.9780
0507230,-1.3010
0507290,-0.5105
0507320,-0.5219
0507350,-0.7807
0507380,0.9263
0507410,-1.3989
0507530,-0.7766
0507560,0.0170
0507620,0.0314
0507680,-1.6475
0507710,-1.4151
0507740,-1.0306
0507770,-0.0257
0507840,-1.7923
0507860,-0.4469
0507890,-0.8333
0507920,-0.2959
0507990,-0.4493
0508010,-2.1147
0508040,-0.7631
0508130,-0.1407
0508240,-0.1670
0508280,-0.8305
0508340,-1.0068
0508400,-0.5820
0508490,-0.5937
0508610,0.2695
0508640,-1.3589
0508670,0.6663
0508700,-0.4511
0508730,-0.2426
0508940,-0.2774
0509000,-1.1820
0509060,-0.5823
0509150,-0.1551
0509190,0.2251
0509240,-0.6951
0509270,0.4008
0509330,-0.2635
0509360,-2.5896
0509390,-0.5442
0509420,-0.4907
0509480,0.4308
0509510,-1.9595
0509540,-0.8662
0509570,-1.4092
0509600,0.0423
0509630,-1.1497
0509720,0.2992
0509750,0.1360
0509780,-1.8534
0509840,-0.2194
0509990,-0.4053
0510080,0.5485
0510170,-1.3353
0510200,0.2468
0510260,-0.7394
0510290,-1.2103
0510320,-1.2418
0510380,-0.3024
0510410,0.2785
0510440,-0.1308
0510560,0.7247
0510620,-1.0193
0510680,-1.1797
0510920,0.1299
0510950,-1.8348
0510980,-0.0626
0511010,0.0365
0511070,-0.0880
0511130,-0.1836
0511220,0.5016
0511340,-0.2295
0511370,-0.3401
0511610,0.2070
0511700,0.8688
0511730,-0.2064
0511760,0.2681
0511820,-0.3938
0511850,-0.7717
0511880,-0.4357
0511970,0.5079
0512000,-0.0830
0512060,0.1624
0512090,1.0206
0512180,0.0908
0512210,0.8814
0512420,-0.6694
0512450,0.1170
0512480,-0.8912
0512510,-0.7152
0512520,-0.1532
0512540,-0.1270
0512570,-0.9055
0512630,0.5986
0512660,-0.2728
0512870,-2.0489
0512930,-2.2367
0512960,-0.8789
0513080,-0.2835
0513110,-1.2821
0513230,0.3341
0513350,0.5871
0513380,1.3194
0513410,-0.5300
0513530,0.5431
0513560,0.2195
0513680,-0.8975
0513930,-1.7615
0514010,-0.3000
0514020,-1.3389
0514040,-0.2830
0514140,0.1342
0514370,-0.2120
0514400,-0.2264
0514430,-0.0353
0514490,-0.2500
0600001,-0.6243
0600006,1.6533
0600009,-1.8339
0600011,-1.8781
0600013,1.0584
0600014,-1.3565
0600015,-1.2974
0600016,-0.1594
0600017,-0.9069
0600018,-0.8402
0600019,1.4390
0600020,2.0410
0600021,1.6120
0600022,-1.6912
0600025,2.2729
0600026,-1.3478
0600027,-0.8090
0600028,0.4408
0600029,0.0908
0600032,1.0762
0600033,-2.3546
0600034,-0.7783
0600035,-2.2463
0600036,-0.7929
0600037,-0.7714
0600038,-0.9252
0600039,-1.0199
0600040,-0.9942
0600042,-1.8974
0600043,1.0513
0600044,-1.2517
0600045,-1.8354
0600046,-2.0129
0600047,-1.1184
0600048,-0.5605
0600049,-0.4800
0600051,-0.7497
0600052,-1.1382
0600060,-0.9776
0600061,-1.8718
0600062,-0.5654
0600063,-1.3506
0600064,-1.5221
0600065,-1.5293
0600067,-1.2948
0600068,0.0353
0600069,-0.6571
0600116,-1.1091
0600153,0.3714
0600158,-1.1317
0600159,-0.0630
0600160,-0.6353
0601331,-0.5299
0601332,-1.5449
0601339,-2.2743
0601409,-1.0050
0601410,0.4273
0601415,-2.0269
0601418,-1.9204
0601420,-1.4528
0601421,-1.4253
0601423,-1.2576
0601426,0.8106
0601428,0.2798
0601620,0.3643
0601680,0.4825
0601710,-2.0543
0601770,0.6371
0601860,1.5304
0601950,-2.0751
0602010,-2.6344
0602100,-0.1180
0602160,0.3409
0602220,-2.9072
0602310,-1.2733
0602360,-0.2488
0602370,-1.6713
0602430,-1.1627
0602450,-0.7884
0602550,-1.1639
0602610,-1.6668
0602730,-1.0451
0602760,-0.3412
0602850,-1.5624
0602970,2.5274
0603000,-0.0406
0603060,-1.1221
0603090,-1.6979
0603180,-2.1870
0603270,-2.2031
0603300,-0.3595
0603420,-0.9919
0603480,-0.5777
0603600,-1.7539
0603630,-1.9555
0603690,-1.2686
0603720,1.3753
0603750,-0.4985
0603840,-1.6382
0603870,-1.0701
0604020,-1.2579
0604080,-0.5046
0604110,-1.2005
0604200,-1.8180
0604230,-0.7521
0604260,-1.7889
0604290,-0.5843
0604350,-0.4992
0604380,-1.5589
0604440,-0.8975
0604530,1.6342
0604620,0.3897
0604650,0.6727
0604740,0.3569
0604800,0.1185
0604830,1.3104
0605010,-1.4286
0605040,-2.2573
0605130,-1.0120
0605220,-0.9992
0605240,-0.7871
0605280,-0.9544
0605400,-1.6971
0605580,-1.9107
0605610,0.4289
0605670,0.8170
0605700,-1.3578
0605790,-1.4627
0605880,0.8903
0605910,0.0733
0606030,-1.4475
0606060,-0.2222
0606090,-0.8925
0606100,-0.2486
0606270,0.9803
0606330,0.3715
0606360,-0.6770
0606390,-0.8911
0606420,-1.2518
0606450,0.0723
0606480,1.7158
0606570,-1.3990
0606580,-1.5659
0606690,-0.3514
0606720,-3.0311
0606750,-0.3047
0606780,-0.4936
0606810,-0.7291
0606870,-1.0274
0606900,-2.1437
0606990,-1.1721
0607020,-0.9191
0607140,0.9067
0607170,0.1269
0607200,-0.0514
0607260,-0.8751
0607410,-0.5505
0607440,0.8515
0607470,1.4977
0607500,1.2634
0607530,1.7906
0607560,-0.5752
0607680,-1.5342
0607740,-0.0654
0607800,1.0540
0607840,0.9994
0607900,-0.8023
0607950,-0.4254
0607970,-1.0856
0607980,-0.5336
0608070,-0.0010
0608130,-1.1140
0608190,-0.3077
