id,all_coh
0100005,-0.0270
0100006,-0.0681
0100007,0.0568
0100008,0.1357
0100011,0.0420
0100012,-0.0733
0100013,0.0612
0100030,-0.0635
0100060,-0.0751
0100090,0.0609
0100100,-0.0324
0100120,-0.0144
0100180,0.0334
0100185,0.1287
0100210,0.0763
0100240,-0.0846
0100270,-0.0462
0100300,0.0712
0100330,-0.1793
0100360,0.0181
0100390,-0.0623
0100420,0.1042
0100450,0.0833
0100480,-0.0483
0100510,-0.0719
0100540,0.0191
0100600,0.0810
0100630,0.0679
0100660,0.0193
0100690,-0.1297
0100720,0.0354
0100750,0.1320
0100780,0.0089
0100810,0.0046
0100840,-0.0764
0100870,-0.0321
0100900,0.0736
0100930,-0.0733
0100960,0.1000
0100990,-0.0684
0101020,-0.0007
0101050,0.1249
0101080,0.0352
0101110,0.0711
0101140,0.0438
0101170,-0.0128
0101200,0.0992
0101230,0.0004
0101260,0.1334
0101290,0.0495
0101320,0.0229
0101350,-0.0347
0101380,-0.0110
0101410,0.1229
0101440,-0.0106
0101470,-0.0319
0101530,0.0679
0101560,0.0471
0101590,-0.1425
0101620,0.0707
0101640,0.0556
0101660,0.1029
0101680,-0.0384
0101690,-0.1174
0101710,0.0681
0101720,-0.0026
0101730,0.0387
0101740,0.1018
0101760,0.0880
0101770,0.0897
0101800,0.0316
0101830,-0.0485
0101860,0.0721
0101890,-0.0555
0101920,-0.0169
0101950,0.0098
0101980,0.1076
0102010,0.0097
0102040,-0.0279
0102070,0.1131
0102100,0.0636
0102130,0.0095
0102160,0.0304
0102190,-0.0099
0102220,0.0228
0102250,0.1742
0102310,0.0452
0102350,-0.0764
0102370,-0.0511
0102400,-0.0248
0102430,-0.0666
0102480,0.0038
0102490,-0.1114
0102520,0.0362
0102550,0.0212
0102580,0.1317
0102610,0.1647
0102635,0.0756
0102640,-0.0135
0102650,0.0449
0102670,-0.1677
0102700,0.0806
0102730,0.0456
0102760,-0.0501
0102790,0.0801
0102820,0.0553
0102850,0.0594
0102880,0.1247
0102910,-0.1294
0102940,0.0036
0102970,-0.0937
0103000,0.1054
0103030,0.0780
0103062,0.0395
0103090,0.0646
0103120,0.0197
0103150,-0.0001
0103180,-0.0292
0103210,0.0298
0103240,0.0651
0103270,0.0586
0103300,0.0224
0103330,-0.0456
0103360,0.1193
0103390,0.0802
0103420,0.0017
0103430,0.0586
0103450,0.0086
0103480,-0.0216
0103510,-0.0824
0103540,-0.0296
0103580,0.0288
0200001,-0.0579
0200003,-0.1403
0200004,-0.1087
0200005,-0.1182
0200020,-0.0470
0200050,-0.0669
0200060,-0.0898
0200070,-0.0619
0200090,0.0573
0200100,0.0867
0200120,0.0780
0200150,0.0336
0200180,0.0499
0200210,0.0465
0200240,0.0838
0200390,0.0185
0200480,-0.0489
0200485,0.0450
0200510,-0.0345
0200525,-0.1022
0200570,0.0149
0200600,0.0085
0200610,-0.1279
0200625,-0.1379
0200660,0.0425
0200710,-0.0611
0200720,0.0441
0200760,0.0272
0200770,0.1276
0200780,-0.0210
0200862,-0.0004
0400001,0.1105
0400003,0.0652
0400004,-0.0349
0400021,0.1121
0400023,0.2380
0400026,0.0854
0400212,0.1630
0400295,0.0838
0400520,0.1565
0400600,-0.0334
0400680,0.0628
0400790,0.0409
0400840,0.0244
0400960,0.0958
0401000,0.0786
0401050,0.0632
0401080,-0.0311
0401180,0.0979
0401380,0.1082
0401460,0.1169
0401500,0.1867
0401600,0.0476
0401680,0.0491
0401710,0.0053
0401760,0.0464
0401870,0.1307
0401940,0.1066
0402190,0.0398
0402250,0.0265
0402320,0.0613
0402370,0.0621
0402400,0.1008
0402430,0.0247
0402530,0.1054
0402600,-0.0035
0402690,0.0650
0402790,0.0768
0402860,0.0698
0402920,0.1353
0403010,0.0723
0403040,0.0463
0403060,0.0590
0403080,-0.0881
0403150,0.0753
0403200,0.2475
0403240,0.1575
0403290,0.0097
0403310,0.1343
0403400,0.0682
0403420,0.0441
0403500,-0.0021
0403550,0.0364
0403730,-0.0522
0403780,0.1975
0403820,0.0048
0403870,0.0028
0403950,0.1865
0403960,-0.0208
0403990,0.1151
0404010,0.1463
0404060,0.0818
0404230,0.0352
0404280,-0.0077
0404290,0.0937
0404320,0.0686
0404380,0.1520
0404410,0.1450
0404440,0.1426
0404500,0.0317
0404570,0.0036
0404630,0.0549
0404720,0.1272
0404770,0.1081
0404820,0.0035
0404970,0.0172
0405030,0.0573
0405190,0.1200
0405320,0.0692
0405400,-0.0083
0405430,0.0322
0405460,0.0296
0405530,-0.0046
0405640,-0.0809
