id,b_avg
0100007,-1.0379
0100008,-0.4557
0100011,-2.1956
0100013,-0.6511
0100030,-1.5632
0100060,-1.7349
0100090,-2.2583
0100120,-1.5650
0100180,-2.0779
0100185,-1.0036
0100188,-2.0373
0100190,-1.3777
0100210,-1.1877
0100240,-1.4053
0100270,-1.9279
0100300,-2.8276
0100330,-2.0060
0100360,-2.3334
0100390,-1.9312
0100450,-1.6087
0100480,-2.5291
0100510,-2.0108
0100540,-1.6081
0100600,-2.2204
0100630,-1.2614
0100660,-2.1144
0100690,-1.9715
0100720,-2.0788
0100750,-2.2046
0100840,-1.9037
0100870,-1.2416
0100900,-2.0111
0100960,-1.8631
0101050,-1.9928
0101080,-2.1005
0101110,-2.2098
0101170,-1.6942
0101200,-1.6161
0101230,-1.4441
0101260,-2.3228
0101290,-1.8842
0101320,-1.2063
0101350,-1.8418
0101380,-1.5443
0101410,-2.0700
0101440,-2.1643
0101470,-2.1290
0101530,-1.4372
0101620,-1.9703
0101660,-2.4071
0101680,-2.3977
0101710,-1.6518
0101740,-2.4092
0101760,-0.7225
0101770,-1.4631
0101800,-1.9716
0101830,-2.0766
0101860,-1.3489
0101890,-1.6821
0101920,-1.6768
0101950,-2.2880
0101980,-2.3913
0102010,-1.6594
0102040,-1.7743
0102070,-1.6030
0102100,-1.8213
0102130,-2.7251
0102160,-2.3845
0102190,-2.2297
0102220,-0.7577
0102250,-2.1608
0102350,-2.4462
0102370,-1.5501
0102400,-2.0631
0102430,-2.1133
0102480,-2.2931
0102520,-0.8215
0102580,-1.6527
0102610,-2.0755
0102635,-0.9981
0102640,-1.7239
0102650,-1.6015
0102670,-2.1977
0102700,-1.7187
0102730,-1.8796
0102790,-1.4283
0102820,-2.7143
0102850,-2.3673
0102880,-1.8520
0102970,-2.0460
0103000,-1.9815
0103030,-1.3001
0103062,-1.8255
0103090,-2.5842
0103120,-1.6795
0103150,-2.1726
0103180,-1.6507
0103210,-2.4343
0103240,-2.5936
0103270,-2.3998
0103300,-2.0421
0103330,-1.5389
0103360,-1.9715
0103390,-1.9090
0103420,-1.8966
0103430,-0.9702
0103450,-1.8725
0103480,-2.4157
0103510,-2.3844
0200180,-1.4864
0200510,-0.7096
0200600,-1.1193
0400600,-1.7352
0400680,-1.1975
0400960,-1.7044
0401050,-2.4691
0401380,-1.5193
0401460,-0.7164
0401680,-1.8512
0401710,-1.6577
0401870,-0.3194
0402320,-2.0110
0402400,-0.7912
0402430,-2.4554
0402690,-0.8455
0402920,-1.6749
0403060,-1.7842
0403150,-0.5555
0403400,-0.5808
0403420,-2.3146
0403780,-0.2396
0403960,-2.6144
0403990,-1.4404
0404230,-0.5608
0404290,-1.7358
0404320,-1.1064
0404380,-0.7211
0404440,-1.6231
0404500,-0.4036
0404630,-0.6408
0404720,-1.7523
0404970,-1.1182
0405670,-1.4506
0405930,-0.7911
0406210,-1.4799
0406250,-0.8060
0406300,-1.7167
0406810,-0.0049
0407080,-2.2978
0407300,-0.3224
0407570,-0.6125
0407750,-0.6154
0408170,-1.6416
0408310,-1.4614
0408490,-1.6084
0408800,-1.9957
0408820,-1.9870
0408850,0.4701
0409060,-1.7844
0409600,-0.9507
0500006,-2.0761
0500023,-1.5348
0500026,-2.2261
0500028,-1.8615
0500029,-1.3639
0500032,-1.9647
0500042,-1.7202
0500044,-2.0331
0500045,-1.9044
0500065,-1.6712
0500067,-1.6825
0502430,-1.4030
0502580,-2.2636
0502670,-2.1491
0502730,-1.1379
0502960,-1.0246
0503060,-0.0041
0503320,-2.3796
0503630,-1.3117
0503690,-0.7611
0503750,-0.9080
0504350,-2.1721
0504590,-0.6996
0504800,-1.9574
0505170,-2.1495
0505410,-2.4171
0505470,-1.1680
0505500,-1.7889
0505550,-1.6725
0505680,-1.4937
0505850,-1.9325
0506060,-1.8757
0506120,-1.2670
0506210,-2.3361
0506270,-2.5057
0506330,-1.6415
0507110,-1.6703
0507290,-1.7653
0507680,-1.6842
0507840,-2.2128
0507890,-1.8524
0508010,-2.2516
0508040,-1.2758
0508280,-1.9409
0508340,-2.1646
0508640,-1.6399
0508670,-0.8539
0509000,-1.9504
0509060,-1.4446
0509240,-1.7120
0509360,-2.6306
0509390,-1.4393
0509420,-1.4768
0509510,-2.0363
0509630,-1.9879
0509780,-2.1188
0509840,-1.5123
0510380,-1.7358
0510440,-1.2516
0510680,-2.1646
0510950,-2.0905
0511820,-1.0581
0511850,-1.7010
0511970,-0.1394
0512060,-1.4468
0512210,-0.9906
0512520,-0.8962
0512660,-1.2527
0512870,-2.1959
0512930,-2.4607
0512960,-2.0200
0513110,-2.1690
0513930,-2.1144
0514140,-0.8547
0514430,-1.3289
0600014,-2.3076
0600016,-1.1073
0600017,-1.9929
0600019,-0.7706
0600020,-0.2055
0600027,-0.9509
0600028,-0.5324
0600029,-0.9225
0600032,-0.1046
0600036,-1.9618
0600047,-1.7096
0600158,-1.6327
0601332,-2.4169
0601410,-1.1772
0601415,-3.4714
0601428,0.0917
0601620,-0.6803
0601710,-2.8426
0601770,-1.4923
0601860,-0.9713
0602160,-0.7723
0602310,-1.7019
0602430,-1.2291
0602610,-1.6623
0602850,-2.5389
0603420,-0.7340
0603630,-2.8367
0603840,-1.9960
0604020,-2.3038
0604290,-1.2995
0604440,-1.6217
0604620,-1.3885
0604740,-1.9206
0604800,-1.5372
0605610,-0.6924
0605910,-1.0909
0606360,-1.4360
0606390,-1.9626
0606450,-0.6386
0606810,-1.5704
0607200,-0.7881
0607440,-0.4613
0607500,-0.7196
0607800,-0.5111
0607900,-1.3388
0607950,-1.1091
0607970,-1.9890
0608070,-0.7756
0608130,-1.6679
0608370,-1.7856
0608460,-0.2539
0608610,-0.3981
0608760,-1.0213
0609030,-0.2458
0609390,-1.8692
0609620,-2.4688
0609640,-0.4536
0609850,-0.3942
0610050,-1.5051
0610260,-0.3705
0610290,-0.7866
0610440,-0.4232
0610620,-0.6945
0611110,-0.7805
0611460,-1.5044
0611490,-1.1408
0611520,-1.0893
0611910,-3.0924
0612330,-1.9098
0612630,-1.9564
0612690,-1.8331
0612880,-1.5488
0612960,-0.2318
0613140,-0.7168
0613360,-1.6361
0613500,-0.5028
0613890,-1.9167
0613920,-1.8580
0614370,-1.9636
0614400,-1.1088
0614550,-2.6294
0614580,-3.5070
0614730,-0.9961
0614880,-0.7866
0615240,-0.3941
0616050,-2.3253
0616300,-1.6577
0616325,-1.1621
0616470,-1.5651
0616680,-1.7636
0616740,-2.3700
0616920,-2.4103
0617850,-1.4656
0618390,-1.5764
0618840,-0.9922
0618870,-2.2704
0618990,-3.0709
0619260,-1.7603
0619440,-2.8014
0620250,-1.5473
0620880,-2.9593
0621000,0.0471
0621210,-1.4468
0621330,-1.6342
0621360,-1.7649
0621420,-2.5445
0621690,-1.7379
0622110,-1.1479
0622230,-2.3660
0622410,-1.4924
0622500,-1.4711
0622590,0.2904
0622710,-2.1627
0622740,-1.8749
0623160,-2.6555
0623340,-2.2495
0623430,-0.9461
0623610,-2.1216
0624090,-2.0742
0624500,-1.3272
0624540,-0.8820
0624600,-2.5313
0625130,-2.3744
0625230,-3.5469
0625320,-1.0420
0625530,-1.7666
0625800,-2.3456
0625830,-0.8756
0625860,-1.7957
0626220,-1.5896
0626370,-1.7616
0626640,-1.5019
0626910,-2.0967
0627060,-1.9291
0627180,0.5892
0627240,-0.9161
0627690,-1.5214
0627720,-1.8543
0627780,-2.8705
0627810,-1.2033
0628050,-2.3656
0628080,-1.8759
0628250,-1.3820
0628470,-1.7466
0628650,-0.9232
0628950,-2.0714
0629220,-1.9178
0629550,-2.1983
0629580,-2.5871
0629610,-0.7702
0629640,-3.4425
0629700,0.7855
0629850,-2.0887
0629940,-1.7129
0630030,-1.7139
0630180,-2.1759
0630600,-2.0047
0630660,-0.2412
0630990,-0.9090
0631320,-2.0037
0631530,-0.3074
0631860,-2.4906
0632070,-1.2942
0632370,-2.1476
0632550,-2.4649
0633150,-1.1405
0633240,-2.5700
0633390,-0.9846
0633480,-0.8285
0633600,0.0487
0633750,-1.1949
0633840,-2.0533
0633860,-0.5012
0633930,-1.5198
0634170,-2.4170
0634320,-1.3891
0634410,-2.4923
0634440,-2.1130
0634590,-1.1131
0634620,-2.3461
0634680,-2.2702
0634710,-2.4123
0634880,0.1381
0634920,-1.6306
0635130,-0.1599
0635310,-1.0381
0635430,-1.1851
0635700,-0.8835
0635810,-1.9325
0635830,-1.3665
0635970,-0.1390
0636800,-1.7172
0636820,-1.4760
0636840,-0.5112
0636970,-1.9766
0637380,-1.5176
0637620,-3.0908
0637950,-2.1064
0638010,-2.7930
0638220,-0.7441
0638460,-1.5496
0638640,-0.9288
0638670,-1.4178
0639420,-0.7145
0639630,-0.9779
0639870,-1.8849
0640150,-0.7277
0640590,-1.6600
0640740,-2.6851
0640980,-1.5293
0641040,-2.4272
0641160,-1.7766
0641190,-1.0225
0641280,-0.3773
0641580,-1.8945
0641880,-1.9709
0642000,-0.7245
0642120,-1.3377
0642510,-0.6338
0642810,-2.6140
0642990,-0.0589
0643470,-1.8314
0684500,-0.4083
0691007,-2.8164
0691026,-2.9180
0691027,-2.4994
0691029,-2.2343
0691078,-3.0106
0691135,-1.4168
0801920,-0.0578
0802340,-1.5461
0802580,-0.5607
0802910,-0.4277
0803060,-0.9789
0803360,-1.5357
0803450,-0.0399
0803870,-0.3373
0803990,0.2051
0804080,-0.3459
0804410,-2.4979
0804530,-0.2118
0804800,-0.7741
0805310,-0.7525
0805370,0.0016
0806120,-1.0491
0806480,-0.4044
0806900,-0.4997
0900060,-1.6436
0900070,-1.3971
0900214,-0.3081
0900330,-0.5187
0900450,-1.9870
0900510,-0.7832
0900700,-0.4657
0901020,-0.8335
0901110,-1.8520
0901260,-1.6910
0901470,-0.7888
0901530,-0.2691
0901710,-0.6039
0901770,-0.9948
0901860,-1.1983
0901920,-1.6143
0902310,-1.3078
0902400,-1.5075
0902490,-1.2905
0902520,-0.2012
0902640,-1.6132
0902670,-2.2364
0902790,-1.6523
0902820,-1.6620
0902880,-0.1554
0903090,-1.2869
0903120,-2.1356
0904050,-0.4783
0904110,-0.4817
0904170,0.1428
0904320,-1.5378
0904440,-0.7572
0904590,-0.5899
0904620,0.6681
0904680,-1.4869
0904830,-1.8383
0904920,-0.5724
0904950,-1.2570
0905190,-1.3751
0905220,-0.8367
1000080,-0.0886
1000170,-0.6896
1000180,-0.3617
1000190,-1.0554
1000200,-1.3384
1000230,-0.9418
1000270,-1.4078
1000680,-0.3600
1000790,-0.6850
1000810,-1.6970
1001080,-0.7552
1001240,-1.3656
1001300,-1.8534
1001530,-1.6907
1001620,-0.5769
1001850,-1.3674
1100030,-1.9483
1200030,-1.8290
1200060,-1.3194
1200090,-1.3504
1200120,-1.8348
1200150,-0.9896
1200180,-0.7707
1200210,-1.0973
1200240,-1.0881
1200270,-0.8756
1200300,-0.3790
1200330,-1.1215
1200360,-1.3118
1200390,-1.0502
1200420,-1.9449
1200480,-1.0835
1200510,-1.6131
1200540,-0.8722
1200600,-0.9131
1200690,-1.2222
1200720,-2.0190
1200750,-1.1214
1200780,-1.4112
1200810,-1.0488
1200840,-1.5365
1200870,-1.3234
1200930,-1.4966
1200960,-0.9081
1200990,-1.7224
1201050,-1.2942
1201080,-1.1020
1201110,-0.9199
1201140,-1.5969
1201200,-2.2183
1201230,-1.7077
1201260,-1.4849
1201290,-1.1542
1201320,-0.8283
1201350,-0.6297
1201410,-1.7148
1201440,-0.9654
1201470,-0.8664
1201500,-1.0306
1201530,-1.0251
1201560,-2.0110
1201590,-1.4303
1201620,-1.5477
1201650,-0.3595
1201680,-1.0948
1201710,-0.7819
1201740,-0.9063
1201770,-1.2894
1201800,-0.9203
1201830,-1.7587
1201860,-1.3597
1201890,-0.8759
1201920,-1.3900
1201950,-0.6726
1201980,-1.3859
1202010,-1.2622
1202012,0.5038
1202014,-0.8868
1202015,-0.3967
1300001,-1.4540
1300060,-1.5633
1300090,-1.2771
1300120,-1.6107
1300150,-1.3304
1300180,-2.5068
1300210,-1.7077
1300290,-1.2835
1300330,-1.1506
1300360,-1.6415
1300390,-0.9707
1300420,-2.0606
1300440,-1.1161
1300540,-1.6474
1300570,-0.6588
1300600,-0.3213
1300630,-1.4624
1300660,-1.4737
1300690,-1.6628
1300720,-1.6916
1300750,-1.5199
1300780,-0.8407
1300810,-1.2758
1300840,-1.3238
1300870,-1.4419
1300900,-1.0697
1300930,-1.0693
1300990,-2.1558
1301020,-1.6972
1301050,-1.7072
1301080,-2.2087
1301110,-0.2378
1301170,-1.8606
1301200,-1.4092
1301230,-1.3669
1301260,-2.0795
1301290,-0.6319
1301350,-1.2437
1301380,-2.0224
1301410,-0.4260
1301470,-1.6543
1301500,-1.3505
1301530,-1.2962
1301560,-1.3208
1301620,-1.3745
1301680,-0.6410
1301710,-1.4868
1301740,-1.4776
1301770,-1.5412
1301800,-2.1302
1301830,-1.4943
1301860,-0.7965
1301870,-1.6000
1301890,-1.3903
1301920,-1.1832
1301980,-0.8076
1302010,-1.8938
1302040,-2.0440
1302070,-1.3129
1302130,0.2762
1302190,-1.5867
1302220,0.6845
1302250,-1.6369
1302280,-1.0202
1302310,-1.8065
1302400,-1.2617
1302460,-1.5361
1302490,-1.6005
1302520,-1.6907
1302550,-0.0245
1302610,-1.4999
1302640,-2.1326
1302700,-1.0298
1302730,-1.4887
1302790,-1.3612
1302820,-0.5820
1302880,-0.7940
1302910,-1.6748
1302940,-0.9824
1302970,-1.7882
1303000,-1.5004
1303030,-0.5397
1303060,-1.6239
1303090,-1.9666
1303120,-1.7460
1303150,-1.0833
1303210,-1.6539
1303240,-1.2871
1303270,-0.9070
1303300,-1.0379
1303330,-1.2226
1303360,-1.3000
1303390,-0.4694
1303450,-2.0492
1303480,-1.3443
1303510,-0.7398
1303540,-1.4112
1303570,-1.5833
1303600,-1.4828
1303630,-2.1621
1303660,-1.9128
1303690,-1.2330
1303720,-0.9714
1303750,-1.7521
1303780,-1.2683
1303870,-1.7606
1303930,-1.1822
1303960,-0.4299
1303990,-1.4505
1304020,-0.7464
1304050,-2.2559
1304080,-1.7403
1304140,-0.8148
1304170,-1.5999
1304200,-1.7727
1304220,-2.0318
1304260,-0.9923
1304290,-2.5076
1304350,-2.2082
1304380,-1.9428
1304410,-0.3413
1304440,-1.2127
1304470,-0.9758
1304500,-1.9948
1304530,-1.7164
1304540,-1.6069
1304560,-1.0071
1304590,-1.2851
1304620,-2.0090
1304650,-2.3529
1304770,-1.9318
1304800,-1.9929
1304830,-2.0572
1304860,-1.6446
1304890,-1.7611
1304950,-1.9832
1304980,-1.6624
1305040,-1.7477
1305100,-1.8211
1305190,-1.7122
1305220,-2.0204
1305280,-1.3605
1305310,-1.3951
1305340,-2.0037
1305370,-1.5469
1305390,-0.9548
1305430,-0.8169
1305460,-1.6080
1305490,-1.5175
1305550,-2.0620
1305580,-1.5032
1305640,-1.9151
1305700,-1.2352
1305730,-2.1036
1305760,-1.3095
1305790,-1.3338
1305850,-1.7569
1500030,-0.5948
1600360,-2.4217
1602100,-1.4435
1602340,-1.2185
1700010,-1.7907
1700110,-2.5473
1703480,-1.0820
1703600,-2.2307
1703930,-1.2071
1704560,-1.3857
1704680,-2.3282
1704710,-1.9779
1704920,-1.3516
1705220,-1.1870
1705580,-1.0012
1705610,-0.9070
1705760,-1.9993
1705790,-1.2336
1706000,-1.2671
1706060,-1.4382
1706480,-1.7577
1706510,-1.6314
1706750,-1.6170
1707170,-1.8281
1708040,-2.0258
1708070,-2.1083
1708100,-1.7585
1708130,-1.5315
1708340,-2.2189
1708550,-1.9977
1709170,-1.4495
1709270,-1.3995
1709420,-2.0174
1709930,-1.5024
1709960,-1.9005
1710200,-2.8524
1710470,-1.2658
1710650,-1.6014
1710950,-1.4731
1711010,-1.3355
1711250,-1.1356
1711790,-2.2410
1711850,-2.1676
1712000,-1.8270
1712120,-0.8708
1712420,-2.0583
1712450,-1.6675
1712540,-1.1445
1712700,-0.1982
1713140,-0.7594
1713170,-2.4049
1713320,-2.3673
1713440,-0.9009
1713530,-0.5814
1713710,-1.7904
1713770,-0.8839
1713970,-0.9635
1714220,-1.3441
1714460,-0.6778
1714550,-1.0410
1715420,-0.1686
1715450,-1.4159
1715900,-2.3252
1716080,-1.7361
1716800,-1.4060
1716950,-1.0282
1717040,-1.0916
1717280,-2.3189
1717310,-1.3779
1717520,-1.0677
1717800,-1.4042
1718240,-1.7003
1718450,-1.7099
1718480,-2.0597
1718600,-1.6771
1718960,-1.0474
1719230,-0.6213
1719530,-0.5020
1719680,-1.6970
1719830,0.1788
1720280,-2.4869
1720580,-1.6480
1720760,-1.9091
1720880,-1.6847
1721450,-0.9946
1721600,-1.1906
1722020,-1.4041
1722050,-1.7642
1723460,-1.1038
1723970,-2.0931
1724000,-1.2896
1724600,-1.5480
1724720,-1.4853
1724780,-1.8512
1724940,0.1969
1725020,-0.4357
1725110,-2.0296
1725920,-2.0009
1726310,-0.5603
1726400,-1.8970
1726970,-2.5808
1727340,-2.6064
1727610,-2.0385
1727710,-1.0198
1728620,-1.4124
1728890,0.0850
1729190,-1.0028
1729250,-0.6589
1729760,-0.9607
1730220,-0.5039
1730270,-0.4710
1730420,-0.8829
1730510,-1.2951
1730810,-1.0788
1730900,-2.2835
1731140,-1.8264
1731230,-2.2758
1731740,-0.4950
1731770,-0.8602
1731950,-1.5741
1732190,-0.4977
1732370,-1.7260
1733000,-2.0725
1733210,-2.2074
1733450,-1.3185
1734410,-2.4676
1734510,-2.5320
1734740,-0.2208
1734990,-2.3318
1735340,-1.5859
1735460,-2.2892
1736300,-0.5661
1736330,-0.9196
1736450,-1.2253
1736480,-1.6185
1736720,-0.3988
1736750,-1.6407
1736900,-2.2728
1737080,-2.0962
1737170,-0.5912
1737680,-1.7056
1738220,0.5352
1738370,-1.1942
1739510,-1.0926
1739960,-2.3130
1740070,-1.0190
1740350,-1.3892
1740500,-1.8260
1741250,-2.2194
1741520,-2.1619
1741690,-0.5953
1741790,-1.0703
1742180,-1.1042
1742300,-1.2998
1742960,-1.0762
1743110,-1.2897
1743860,-2.0281
1743960,-1.1741
1800030,-0.4960
1800150,-1.5728
1800270,-0.0946
1800360,-0.9530
1800450,-1.2439
1800630,-1.0238
1801020,0.4705
1801200,1.0221
1802400,-1.6261
1802640,-1.1460
1802850,-1.9145
1802880,-1.6671
1803270,-1.8766
1803450,-2.2720
1803630,-1.3173
1803750,-0.6675
1803870,-1.5043
1803940,-0.9205
1804170,-0.9804
1804320,-1.4955
1804590,-0.8473
1804770,-1.5257
1805370,-1.3515
1805400,-1.1703
1805450,-0.5156
1805460,-1.0443
1805670,-1.0991
1806390,-1.5816
1806570,-1.4468
1806840,-0.7400
1807260,-0.8083
1807320,-1.4029
1807350,-0.0570
1807410,-0.7725
1807650,-0.4342
1808760,0.2593
1808820,-0.7693
1808910,-0.8085
1809150,-0.4689
1809510,-1.0729
1809690,-0.6139
1810290,-1.7427
1810650,0.1175
1810920,-0.4431
1811340,-1.1857
1811970,-1.0935
1812090,-1.0315
1812360,-0.8591
1812720,-0.6612
1812810,-1.1528
1903540,-1.1993
1904860,-1.2076
1905790,-2.1239
1906510,-1.0453
1906540,-2.1334
1907710,-1.3212
1907860,-1.9850
1908220,-1.2941
1908580,-2.2637
1908970,-2.3955
1909480,-2.5768
1911820,-2.1099
1914700,-2.3823
1915450,-0.3530
1917220,-1.1589
1918780,-1.4055
1926400,-1.6557
1928680,-1.5635
1930480,-2.4527
1930510,-0.3654
1930930,-0.9201
2003200,-0.5193
2003540,-1.2377
2004050,-0.9094
2005460,-0.4873
2006330,0.2175
2007620,-1.1722
2007890,-0.5971
2007950,-2.1752
2008400,-0.8162
2008430,-2.3569
2009180,-0.4772
2010140,-0.1585
2010680,0.5155
2011370,-1.1043
2011640,-0.9252
2012000,0.3404
2012180,-1.5000
2012260,-1.9182
2012360,-1.5821
2012990,-2.0556
2100270,-1.7639
2100510,-0.6331
2100570,-1.1902
2101150,-1.2805
2101200,-1.0066
2101350,-1.8090
2101440,-1.2297
2101470,-0.8007
2101650,-1.3562
2101740,-1.5921
2101860,-0.9945
2102010,-1.0207
2102220,-0.9620
2102490,-1.1686
2102710,-0.5322
2102860,-0.9897
2102990,-1.8098
2103030,-1.2669
2103090,-0.8261
2103720,-1.0622
2103780,-0.5089
2103870,-1.1817
2103900,-1.0251
2103960,-1.1464
2104440,-2.3189
2104530,-0.9848
2104590,-0.8470
2104650,-1.5833
2105190,-1.7033
2105260,-1.1500
2105320,-1.3966
2105400,-1.0935
2105550,-1.7428
2105640,-0.8402
2105730,-1.3265
2200023,-0.9685
2200030,-2.1270
2200039,0.0957
2200040,-2.5597
2200055,-1.9041
2200057,-4.3439
2200060,-1.1034
2200090,-1.3533
2200120,-1.7618
2200125,-0.8205
2200150,-2.3944
2200180,-1.5519
2200210,-1.8323
2200240,-2.1901
2200270,-1.6805
2200300,-2.1182
2200330,-1.5574
2200360,-1.9959
2200420,-1.6940
2200450,-2.2665
2200480,-2.3566
2200510,-1.9614
2200540,-1.7359
2200570,-1.4959
2200600,-2.1270
2200630,-1.4202
2200660,-2.0771
2200690,-2.5826
2200720,-1.4183
2200750,-1.6586
2200780,-2.1084
2200810,-1.4260
2200840,-1.6929
2200870,-1.6457
2200900,-1.8711
2200960,-2.1835
2200990,-1.7253
2201020,-1.2192
2201050,-2.5539
2201080,-1.4355
2201110,-2.2235
2201140,-2.1737
2201170,-1.5750
2201200,-1.5264
2201230,-0.6193
2201260,-2.1429
2201290,-1.8438
2201320,-2.2167
2201350,-2.3281
2201380,-1.9480
2201410,-1.0921
2201440,-0.9360
2201470,-3.2373
2201500,-1.3266
2201530,-1.2558
2201560,-1.7742
2201590,-1.6646
2201620,-1.3866
2201650,-1.2381
2201680,-2.3407
2201710,-1.9390
2201740,-1.6412
2201770,-2.4257
2201800,-1.8610
2201830,-0.5176
2201860,-2.0745
2201890,-2.3848
2201920,-1.4773
2201950,-2.1151
2201980,-0.7345
2202010,-1.9756
2302610,-1.5028
