id,b_coh
0100007,0.0891
0100008,0.1878
0100011,0.0499
0100013,0.1232
0100030,-0.0253
0100060,-0.0577
0100090,0.0542
0100120,0.0565
0100180,0.0378
0100185,0.1704
0100210,0.1205
0100240,-0.0431
0100270,-0.0142
0100300,0.0737
0100330,-0.1750
0100360,0.0999
0100390,-0.0571
0100450,0.0698
0100480,-0.0382
0100510,-0.0324
0100540,0.0336
0100600,0.1066
0100660,0.0410
0100690,-0.0877
0100720,0.0518
0100750,0.1293
0100840,-0.0282
0100870,-0.0253
0100900,0.1164
0100960,0.0901
0101050,0.1109
0101080,0.0795
0101110,0.0665
0101170,0.0679
0101200,0.1334
0101230,-0.0093
0101260,0.1044
0101290,0.0952
0101320,0.0544
0101350,-0.0701
0101380,0.0339
0101410,0.1311
0101440,-0.0091
0101470,-0.0559
0101530,0.0184
0101620,0.0907
0101660,0.1822
0101680,-0.0375
0101710,0.0548
0101740,0.1712
0101760,0.0952
0101770,0.1102
0101800,0.0495
0101860,0.1166
0101890,0.0033
0101920,-0.0030
0101950,0.0845
0101980,0.1131
0102040,-0.0582
0102070,0.0978
0102100,0.0903
0102130,-0.0098
0102160,0.0314
0102190,-0.0130
0102220,0.0543
0102250,0.1410
0102350,-0.0755
0102370,-0.0392
0102400,-0.0436
0102430,-0.0601
0102520,0.0012
0102580,0.1429
0102610,0.1750
0102635,0.0967
0102640,0.0161
0102650,0.0971
0102670,-0.1628
0102700,0.0618
0102730,0.0589
0102790,0.1134
0102820,0.1281
0102850,0.0807
0102880,0.1192
0102970,-0.0850
0103000,0.1110
0103030,0.0963
0103062,0.0479
0103090,0.0624
0103120,0.0275
0103150,0.0397
0103180,-0.0295
0103210,0.0547
0103240,0.1227
0103270,0.0579
0103300,0.0787
0103330,-0.0201
0103360,0.0968
0103390,0.0958
0103420,-0.0140
0103430,0.1072
0103450,-0.0240
0103480,0.0404
0103510,-0.0794
0200180,0.0841
0200600,-0.0136
0400600,0.0008
0400680,0.0197
0400960,0.0929
0401050,0.2558
0401380,0.1207
0401680,0.0623
0401710,-0.0442
0401870,0.0954
0402320,0.0738
0402430,-0.0220
0402690,0.0606
0402920,0.0955
0403060,0.0364
0403400,0.0502
0403420,0.0353
0403780,0.1679
0404230,0.0240
0404290,0.1144
0404320,0.0678
0404380,0.2088
0404440,0.1512
0404500,0.1034
0404630,-0.0183
0404720,0.1904
0404970,0.0220
0405670,0.1078
0405930,0.0048
0406210,0.0727
0406250,0.0309
0406300,0.1158
0407080,0.0676
0407570,0.0985
0407750,0.0776
0408170,0.0204
0408310,0.0540
0408490,0.0780
0408800,0.1055
0408820,0.1289
0408850,-0.0475
0409060,0.0500
0409600,0.1085
0500006,-0.1353
0500023,0.0254
0500026,0.0482
0500028,-0.1937
0500029,-0.0742
0500042,-0.0251
0500044,0.1027
0500045,0.0322
0500065,0.0405
0502430,-0.0530
0502580,0.0339
0502730,0.0459
0502960,0.0014
0503060,-0.0337
0503320,0.0151
0503630,0.0508
0503690,0.0377
0504350,0.0877
0504590,-0.0724
0504800,0.0908
0505170,-0.0028
0505410,-0.0436
0505500,-0.0284
0505550,0.0778
0505680,-0.0966
0505850,0.0609
0506060,-0.0047
0506120,-0.0416
0506210,0.0796
0506270,0.0189
0506330,0.0378
0507680,-0.0292
0507840,-0.0485
0507890,0.0470
0508040,-0.0907
0508280,-0.0158
0508340,-0.0568
0508640,0.0077
0508670,-0.0515
0509000,0.0766
0509060,-0.1760
0509240,-0.1528
0509360,0.0333
0509390,-0.0826
0509510,0.0413
0509630,0.0463
0509780,-0.0720
0509840,-0.0495
0510380,0.0240
0510440,-0.0427
0510680,-0.0318
0510950,0.0896
0511820,0.0225
0511850,0.0285
0512060,-0.0876
0512210,-0.1013
0512520,-0.0865
0512660,0.0547
0512960,0.0570
0513110,0.0332
0513930,-0.0316
0514140,0.0948
0514430,-0.0301
0600014,-0.0295
0600016,0.0351
0600017,0.0007
0600027,-0.1321
0600028,-0.0245
0600029,0.0517
0600032,0.0825
0600036,-0.0973
0600047,-0.0090
0601332,-0.0592
0601620,0.0809
0601710,-0.1408
0601770,-0.0189
0602160,0.0041
0602430,0.0155
0602610,-0.0748
0602850,-0.0722
0603630,-0.0405
0603840,0.0323
0604020,-0.0484
0604290,-0.0363
0604440,-0.0124
0604740,-0.0174
0605610,-0.0830
0605910,0.0571
0606390,-0.0276
0606450,0.0289
0606810,-0.0204
0607200,-0.0280
0607440,0.1190
0607800,0.0228
0607900,-0.1096
0607950,-0.0124
0607970,-0.0088
0608130,0.0524
0608370,0.0844
0608460,-0.0138
0608610,0.0606
0608760,-0.0135
0609030,0.0037
0609390,-0.0250
0609620,-0.0044
0609640,-0.0575
0609850,0.0226
0610050,0.0350
0610260,0.0430
0611110,-0.0176
0611460,0.1048
0611490,0.0175
0611910,0.0257
0612330,0.0145
0612630,-0.0280
0612690,-0.0256
0612880,-0.0102
0612960,-0.0071
0613360,-0.1377
0613890,-0.0131
0613920,-0.0895
0614400,0.0553
0614550,-0.0794
0614730,-0.0406
0614880,0.0091
0616050,-0.0078
0616300,0.0328
0616470,-0.0183
0616680,-0.0014
0616740,0.0692
0616920,-0.1323
0618390,-0.0415
0619260,0.0089
0620250,0.0309
0620880,0.0283
0621210,0.0531
0621330,0.0779
0621690,-0.0468
0622230,-0.0418
0622410,0.0055
0622500,-0.0752
0622710,-0.0113
0623160,0.0505
0623340,-0.0901
0623430,0.0305
0623610,-0.0402
0624090,-0.0825
0624540,-0.0826
0624600,-0.0404
0625130,-0.1492
0625230,0.0202
0625320,0.0515
0625800,-0.0538
0625860,0.0020
0626220,-0.0331
0626370,-0.1035
0627180,0.0533
0627690,0.0735
0627810,0.0131
0628050,-0.0623
0628080,0.0002
0628250,-0.0092
0628470,-0.0688
0628650,0.0751
0629220,-0.0672
0629550,-0.1009
0629580,-0.0285
0629850,0.0278
0629940,-0.0578
0630030,0.0707
0630180,0.0509
0630600,-0.0132
0630660,0.1061
0631320,-0.0165
0631530,0.1076
0631860,-0.0689
0632070,0.0376
0632370,-0.0482
0632550,-0.0422
0633150,-0.0089
0633240,0.0316
0633600,0.0344
0633840,-0.0598
0633860,-0.0061
0634170,-0.0122
0634320,-0.0458
0634410,-0.0865
0634440,0.0702
0634590,0.1002
0634620,-0.0704
0634710,-0.0762
0634880,0.0167
0635130,0.1696
0635700,0.1024
0635970,0.0526
0636800,0.0671
0636970,-0.0466
0637380,-0.0016
0637950,0.0479
0638010,-0.0611
0638220,0.1575
0638670,-0.1200
0639420,0.0354
0639870,-0.0496
0640150,0.0690
0640590,0.0320
0640740,-0.0685
0641040,-0.1698
0641160,0.0555
0641190,-0.0607
0641580,-0.0011
0642000,0.0537
0642120,-0.0119
0642510,0.1318
0684500,-0.0236
0691078,0.2154
0691135,-0.0915
0802340,-0.1074
0803360,0.0004
0900060,-0.1733
0900070,-0.0277
0900330,0.0502
0900450,-0.0539
0900510,-0.0834
0900700,-0.1221
0901020,-0.0129
0901260,0.0076
0901470,-0.1238
0901710,0.0410
0901770,0.0139
0901860,-0.0204
0901920,0.0033
0902310,-0.0715
0902400,-0.0100
0902490,-0.0417
0902520,0.0080
0902640,-0.0066
0902670,0.0231
0902790,-0.0004
0902820,0.0299
0902880,0.0394
0903090,0.0367
0903120,-0.0749
0904110,0.0000
0904170,-0.0154
0904320,0.0459
0904440,-0.0909
0904620,0.1301
0904680,-0.0103
0904830,-0.1013
0904920,0.0580
0904950,0.0131
0905220,-0.0245
1000080,0.0158
1000170,0.0265
1000180,0.0059
1000190,0.0504
1000200,-0.0677
1000230,0.0301
1000270,0.0007
1000680,-0.0869
1000790,0.0127
1000810,-0.0660
1001080,-0.1173
1001240,-0.0559
1001300,-0.0634
1001530,-0.0392
1001620,0.1051
1001850,-0.1035
1100030,0.1312
1200060,0.0064
1200090,-0.0121
1200120,-0.0093
1200180,0.0051
1200240,-0.0318
1200270,0.0757
1200300,0.0370
1200330,0.1471
1200360,0.0763
1200390,0.0694
1200420,-0.1102
1200480,0.0664
1200510,0.0143
1200540,0.1270
1200600,0.0920
1200690,-0.0057
1200720,0.1252
1200750,0.0524
1200780,0.0422
1200810,0.0624
1200840,0.0335
1200870,0.0635
1200930,0.0052
1200960,0.0464
1200990,0.0862
1201050,0.0273
1201080,0.0599
1201110,0.0594
1201140,0.0252
1201200,0.0867
1201230,0.0711
1201260,-0.0150
1201290,0.0382
1201320,0.0980
1201350,0.0638
1201410,0.0261
1201440,0.0681
1201470,0.0728
1201500,0.0689
1201530,0.0649
1201560,0.0949
1201590,0.0338
1201620,-0.0104
1201650,-0.0012
1201680,0.1402
1201710,0.0070
1201740,0.0972
1201770,0.0378
1201800,0.0426
1201830,0.0497
1201860,0.0510
1201890,0.1518
1201920,0.0725
1201950,0.0067
1201980,0.0324
1202010,0.1214
1202012,0.1105
1202014,0.2052
1300001,0.0074
1300060,-0.1161
1300090,0.0778
1300120,-0.0875
1300150,0.0137
1300210,-0.0922
1300290,0.0438
1300330,0.0263
1300360,0.0945
1300390,0.0788
1300420,-0.0297
1300440,0.0172
1300540,0.0097
1300570,0.0116
1300600,0.1230
1300630,-0.0120
1300660,-0.0120
1300690,-0.0394
1300720,0.0584
1300750,-0.1015
1300780,0.0190
1300810,-0.0230
1300840,0.0757
1300870,-0.0103
1300900,0.0369
1300930,0.0581
1300990,0.0849
1301020,-0.0194
1301080,0.0832
1301110,0.0065
1301170,-0.0036
1301200,-0.1175
1301230,-0.0541
1301260,-0.0290
1301290,0.0348
1301350,0.0268
1301380,-0.0814
1301410,0.0445
1301470,-0.0394
1301500,0.0359
1301530,-0.0781
1301560,-0.0840
1301620,-0.1134
1301680,0.1641
1301710,-0.0406
1301740,-0.0256
1301770,-0.0271
1301800,-0.0140
1301830,-0.0263
1301860,0.0567
1301870,-0.0190
1301890,-0.0125
1301920,0.0127
1301980,0.0580
1302010,0.0194
1302040,-0.0258
1302070,-0.0883
1302130,0.0264
1302190,-0.0830
1302220,0.0967
1302250,0.0021
1302280,-0.0182
1302310,-0.0280
1302400,-0.0069
1302460,-0.0161
1302490,-0.0139
1302520,0.0061
1302550,0.0400
1302610,0.0365
1302640,-0.0746
1302700,0.0592
1302730,-0.0147
1302820,0.0095
1302880,-0.0369
1302910,-0.0167
1302940,-0.0021
1302970,-0.0464
1303000,-0.1001
1303030,0.0262
1303060,-0.0899
1303090,-0.0387
1303120,-0.0318
1303150,0.0418
1303210,-0.0285
1303240,-0.0715
1303270,0.0800
1303300,-0.0276
1303330,-0.0637
1303360,0.0200
1303390,0.0458
1303450,-0.0543
1303480,0.1220
1303510,0.0698
