id,b_grd
0100007,1.1456
0100008,1.1362
0100011,1.0090
0100013,0.8872
0100030,0.8087
0100060,0.8459
0100090,0.7686
0100120,0.8842
0100180,0.8057
0100185,0.9906
0100210,0.9225
0100240,0.9412
0100270,0.7905
0100300,0.7855
0100330,0.6641
0100360,1.0016
0100390,0.7859
0100450,0.8894
0100480,0.6795
0100510,0.8103
0100540,0.7998
0100600,0.9004
0100630,0.9496
0100660,0.7973
0100690,0.6259
0100720,0.7508
0100750,0.8358
0100840,0.9385
0100870,0.7843
0100900,0.9085
0100960,0.9513
0101050,0.9962
0101080,0.7932
0101110,0.7651
0101170,0.8972
0101200,1.0359
0101230,0.7668
0101260,0.8007
0101290,0.8282
0101320,0.9209
0101350,0.7403
0101380,0.6926
0101410,0.9261
0101440,0.6555
0101470,0.8547
0101530,0.7633
0101620,0.8234
0101660,0.9452
0101680,0.6246
0101710,0.8146
0101740,0.9213
0101760,1.0121
0101770,0.9053
0101800,0.8151
0101860,1.0119
0101890,0.8049
0101920,0.7826
0101950,0.7577
0101980,0.9296
0102040,0.7903
0102070,0.9130
0102100,0.8902
0102130,0.8688
0102160,0.8383
0102190,0.6469
0102220,0.8980
0102250,0.8646
0102350,0.9280
0102370,0.6871
0102400,0.7115
0102430,0.5907
0102520,1.0233
0102580,0.8667
0102610,0.9266
0102635,0.9666
0102640,0.8758
0102650,0.8878
0102670,0.4625
0102700,0.8659
0102730,0.9100
0102790,0.8695
0102820,0.8874
0102850,0.8177
0102880,0.8000
0102970,0.5249
0103000,0.8463
0103030,0.9983
0103062,1.0287
0103090,0.8453
0103120,0.9281
0103150,0.7883
0103180,0.8257
0103210,0.9169
0103240,0.9211
0103270,0.6779
0103300,0.8225
0103330,0.8793
0103360,0.8864
0103390,0.8815
0103420,0.6942
0103430,1.0146
0103450,0.8411
0103480,0.7498
0103510,0.5918
0200180,0.9638
0200510,1.1009
0200600,0.9587
0400600,0.8424
0400680,0.9550
0400960,1.1507
0401050,1.1508
0401380,1.0375
0401460,0.9803
0401680,1.0024
0401710,1.0107
0401870,1.0826
0402320,0.8689
0402430,0.9160
0402690,1.0145
0402920,1.1501
0403060,1.0449
0403400,1.0202
0403420,1.0336
0403780,1.1219
0404230,0.9943
0404290,1.1055
0404320,1.0680
0404380,1.1625
0404440,1.1635
0404500,1.0891
0404630,0.9136
0404720,0.9698
0404970,0.9986
0405670,1.1386
0405930,0.9669
0406210,1.1554
0406250,1.0492
0406300,1.2143
0407080,1.0357
0407570,1.0253
0407750,1.0020
0408170,0.7943
0408310,0.9320
0408490,1.0134
0408800,0.9713
0408820,1.0142
0408850,1.0524
0409060,1.0119
0409600,0.9291
0500006,0.8796
0500023,0.9129
0500026,0.8997
0500028,0.8242
0500029,0.8810
0500042,0.5823
0500044,0.9749
0500045,0.7566
0500065,0.8439
0502430,0.8804
0502580,0.7956
0502670,0.7688
0502730,0.7308
0502960,0.9291
0503060,1.0160
0503320,0.8392
0503630,0.6992
0503690,0.8588
0504350,0.8793
0504590,0.8324
0504800,0.8299
0505170,0.7817
0505410,0.8104
0505500,0.8127
0505550,0.8885
0505680,0.8613
0505850,0.6360
0506060,0.8031
0506120,0.9692
0506210,0.7291
0506270,0.7446
0506330,0.9083
0507680,0.8488
0507840,0.8316
0507890,0.7671
0508040,0.6989
0508280,0.8060
0508340,0.6584
0508640,0.8575
0509000,0.9141
0509060,0.9311
0509240,0.7759
0509360,1.0027
0509390,0.7784
0509510,0.6250
0509630,0.7515
0509780,0.8589
0509840,0.9352
0510380,0.7859
0510440,0.7732
0510680,0.7447
0510950,0.9155
0511820,0.6389
0511850,0.7610
0511970,0.8821
0512060,0.8013
0512210,0.9427
0512520,0.6873
0512660,0.8832
0512960,0.8757
0513110,0.6607
0513930,0.7560
0514140,0.9950
0514430,0.8375
0600014,0.9254
0600016,0.9181
0600017,0.9169
0600019,0.8072
0600027,0.7157
0600028,0.9763
0600029,1.0211
0600032,0.8575
0600036,0.8466
0600047,0.9592
0600158,0.9450
0601332,0.7896
0601620,0.9861
0601710,0.7834
0601770,0.8275
0602160,0.9520
0602430,0.9462
0602610,0.7727
0602850,0.8122
0603630,0.8892
0603840,0.7443
0604020,0.8823
0604290,0.8664
0604440,0.8966
0604740,0.9453
0605610,0.7557
0605910,1.0367
0606360,0.8581
0606390,0.9310
0606450,0.9578
0606810,0.9610
0607200,0.8857
0607440,1.1502
0607800,0.8642
0607900,0.7928
0607950,0.9076
0607970,0.8471
0608130,0.8937
0608370,1.1041
0608460,0.8979
0608610,1.0307
0608760,0.9589
0609030,0.9591
0609390,0.9240
0609620,0.6318
0609640,0.9863
0609850,0.9190
0610050,0.8473
0610260,0.9727
0611110,0.9157
0611460,0.9485
0611490,0.8748
0611910,0.8730
0612330,0.9210
0612630,0.6893
0612880,0.9423
0612960,0.9601
0613140,0.9423
0613360,0.7255
0613890,0.9337
0613920,0.8132
0614400,0.9577
0614550,0.8148
0614730,0.9041
0614880,1.0286
0616050,0.8594
0616300,1.0368
0616470,1.0243
0616680,0.8443
0616740,1.0021
0616920,0.7880
0618390,0.7224
0619260,0.8711
0620250,1.0062
0620880,0.9984
0621210,0.9328
0621330,0.9862
0621690,1.0116
0622230,0.9396
0622410,1.0050
0622500,0.8965
0622710,0.7731
0623160,0.7753
0623340,0.8575
0623430,0.7865
0623610,0.9864
0624090,0.7644
0624540,0.9117
0624600,0.8441
0625130,0.8357
0625230,0.9394
0625320,1.0355
0625530,0.9821
0625800,0.8633
0625830,1.0216
0625860,0.9563
0626220,0.8166
0626370,0.7962
0626640,0.8664
0627240,1.0405
0627690,0.8906
0627810,0.9638
0628050,0.7880
0628080,0.8283
0628250,1.0134
0628470,0.8398
0628650,1.0389
0629220,0.8352
0629550,0.6955
0629580,0.9226
0629850,0.9556
0629940,0.7301
0630030,0.7954
0630180,1.0176
0630600,0.7364
0630660,1.0871
0630990,0.9666
0631320,0.8830
0631530,1.0123
0631860,0.7716
0632070,0.9140
0632370,0.7827
0632550,0.8258
