id,b_ses
0100001,-0.6474
0100003,0.6551
0100005,-4.0370
0100006,2.5314
0100007,0.0351
0100008,0.0328
0100011,-1.4305
0100012,0.6055
0100013,0.7962
0100030,-3.2077
0100060,-4.0978
0100090,-3.1904
0100120,-1.0081
0100185,-3.4174
0100210,-1.9515
0100240,-1.0479
0100270,-1.2782
0100300,-1.6546
0100330,-3.0862
0100360,-2.7242
0100390,-2.4143
0100450,-2.6329
0100480,-2.5490
0100510,-3.0766
0100540,-2.5554
0100600,-1.9673
0100630,-2.0145
0100660,-2.0345
0100690,-3.0557
0100720,-2.7411
0100750,-1.3994
0100780,-1.7604
0100810,-1.5146
0100840,-2.5858
0100870,-3.9516
0100900,-1.0740
0100930,-1.2496
0100960,-2.9608
0101020,-2.5415
0101050,-4.1272
0101080,-1.1777
0101110,-2.9395
0101140,-2.5058
0101170,-2.9132
0101200,-2.2932
0101230,-2.3943
0101260,-2.5292
0101290,-1.6397
0101320,-2.8514
0101350,-2.2051
0101380,-1.3916
0101410,-3.6018
0101440,-2.0860
0101470,-0.8372
0101530,-3.1795
0101560,0.1248
0101590,-3.8595
0101620,-2.9009
0101640,-3.2394
0101660,-3.4732
0101680,-2.5872
0101690,-3.0211
0101710,-2.4704
0101730,1.2280
0101740,-2.4483
0101760,-0.9347
0101770,-2.0767
0101800,-2.4976
0101830,-0.6140
0101860,-3.1871
0101890,-2.0543
0101920,-0.5027
0101950,-2.1295
0101980,-3.7077
0102010,0.1679
0102040,-0.6198
0102070,-0.8079
0102100,-0.4660
0102130,-3.2471
0102160,-2.4631
0102190,-2.5138
0102220,0.5582
0102250,-1.5196
0102310,-0.1843
0102350,-0.8381
0102370,-2.2804
0102400,-3.3002
0102430,-1.8506
0102480,-2.5338
0102520,-0.6670
0102550,-4.3160
0102580,-1.7086
0102610,-6.8894
0102635,-3.1788
0102640,-1.5619
0102650,-1.0816
0102670,-2.8929
0102700,-2.4606
0102730,-3.8938
0102790,-2.7927
0102820,-0.2795
0102850,-3.2324
0102880,-2.5541
0102910,-2.6399
0102940,-0.7356
0102970,-3.3792
0103000,-4.9975
0103030,-0.7162
0103062,-1.6576
0103090,-3.3671
0103120,-3.6921
0103150,-2.9225
0103180,-1.2853
0103210,-3.1016
0103240,-1.8124
0103270,-3.5103
0103300,-2.6651
0103330,-3.0132
0103360,-1.9147
0103390,-1.5077
0103420,0.1462
0103430,-0.2862
0103450,-2.5594
0103480,-3.0075
0103510,-3.2290
0200001,-5.5131
0200070,-0.7118
0200100,1.5808
0200180,-0.3805
0200210,-1.9619
0200390,-1.5127
0200510,0.2004
0200600,-0.1212
0200625,0.5854
0200760,3.0866
0200780,0.9555
0400001,2.6358
0400082,-2.7315
0400295,0.3207
0400450,-0.6733
0400600,-2.3008
0400680,0.4005
0400790,-2.0124
0400960,-1.1901
0401000,2.6306
0401050,-2.3807
0401380,0.6420
0401410,0.7059
0401460,0.0841
0401500,-3.3897
0401680,-2.1601
0401710,-0.7632
0401740,-0.6419
0401760,2.3988
0401870,-0.1596
0402320,-0.7842
0402400,-1.1329
0402430,-5.4641
0402530,2.1602
0402690,-0.1132
0402860,1.1163
0402920,-0.8656
0403010,0.4089
0403060,-2.7537
0403150,1.2023
0403400,0.1107
0403420,-2.6473
0403450,-2.2063
0403780,1.0799
0403870,-0.8973
0403960,-4.2623
0403990,-1.3078
0404230,0.0184
0404280,0.0129
0404290,-1.0553
0404320,0.0244
0404380,-1.3056
0404440,-2.0369
0404500,-0.2578
0404630,-0.0783
0404720,-0.5024
0404970,-1.3165
0405190,-2.6511
0405400,-2.8502
0405430,1.5808
0405670,-2.9176
0405880,1.3360
0405930,-0.1587
0405980,0.4542
0406210,-0.2285
0406250,0.1311
0406300,-0.9006
0406330,-1.3841
0406730,2.6306
0406810,1.8701
0407020,-1.7174
0407080,-2.1142
0407170,0.2996
0407300,0.7277
0407530,-2.6582
0407570,0.3701
0407750,0.3340
0408170,0.2920
0408280,2.7656
0408310,-2.9776
0408340,-0.8684
0408490,-2.0487
0408520,-1.2582
0408600,-0.1201
0408800,-1.2229
0408820,-2.5804
0408850,0.9277
0409060,-2.2847
0409310,0.8055
0409390,-0.5626
0409460,-2.7511
0409600,-1.5412
0409630,0.9190
0500001,-0.5251
0500006,-2.5876
0500015,-2.6745
0500019,0.1517
0500023,-2.4352
0500026,-2.2881
0500028,-4.9245
0500029,-1.5309
0500030,0.0034
0500032,-2.3877
0500042,-3.3522
0500044,-3.8957
0500045,-3.3041
0500047,-8.0686
0500048,-0.6159
0500049,0.9555
0500051,-2.1967
0500065,-2.5940
0500067,-4.2672
0500068,-0.7246
0502330,-2.9329
0502430,-2.3779
0502550,0.7054
0502580,-0.8151
0502670,-1.9638
0502700,1.1970
0502730,-1.1335
0502790,0.4542
0502820,0.4196
0502880,-1.5041
0502960,-3.2216
0503060,-0.3070
0503300,-2.8933
0503320,-4.2016
0503630,-1.8834
0503690,-1.0192
0503750,1.1197
0503960,-3.3715
0504050,-5.4044
0504350,-1.6582
0504380,-0.8618
0504590,-1.1861
0504800,-1.3011
0505310,-0.9272
0505410,-4.6005
0505430,1.0895
0505470,-8.1205
0505500,-3.2581
0505550,-3.7367
0505580,1.0056
0505680,-3.4822
0505850,-4.9614
0506060,-1.9994
0506090,1.0377
0506120,-0.8116
0506210,-1.2737
0506240,-2.7497
0506270,-2.6176
0506330,-2.5984
0506420,1.1970
0506840,2.6306
0506900,-1.0227
0506990,1.3318
0507110,-1.9288
0507140,-3.0256
