id,f_avg
0100005,-0.6855
0100006,-0.2255
0100007,0.8533
0100008,1.6515
0100011,-0.9009
0100012,-0.3164
0100013,0.7659
0100030,-0.2290
0100060,-0.1298
0100090,-1.8511
0100100,1.2968
0100120,0.0860
0100180,-0.7722
0100185,0.4282
0100188,-1.3757
0100189,0.0002
0100190,-0.1787
0100194,-0.0505
0100210,1.1843
0100240,0.3288
0100270,0.1704
0100300,-2.4458
0100330,-1.5680
0100360,-0.8789
0100390,-1.4971
0100420,-0.6820
0100450,0.1226
0100480,-2.0757
0100510,-1.0588
0100540,-0.2758
0100600,-1.2729
0100630,-0.4267
0100660,-0.6504
0100690,-1.4160
0100720,-1.1177
0100750,-0.8380
0100780,-0.0614
0100810,-0.3428
0100840,-0.7397
0100870,-0.9172
0100900,-1.0655
0100930,-0.0961
0100960,-0.5719
0100990,1.4269
0101020,-0.2009
0101050,-0.2832
0101080,-1.0245
0101110,-1.5833
0101140,-1.0012
0101170,-0.4047
0101200,-0.2933
0101230,-0.1994
0101260,-1.2515
0101290,-0.4186
0101320,0.5019
0101350,-0.5858
0101380,-0.1527
0101410,-1.0240
0101440,-1.8351
0101470,-0.4229
0101530,-0.1153
0101560,-0.7096
0101590,-0.3709
0101620,-0.9510
0101640,-0.1405
0101660,-0.8773
0101680,-2.0108
0101690,0.6128
0101710,-0.8564
0101720,-0.4611
0101730,0.7307
0101740,-1.0146
0101760,1.6979
0101770,-0.0318
0101800,-0.2120
0101830,-0.1526
0101860,-0.0983
0101890,0.3186
0101920,-0.5683
0101950,-0.9269
0101980,-1.9411
0102010,0.1123
0102040,-0.4361
0102070,-0.5006
0102100,-0.6276
0102130,-2.7217
0102160,-1.8567
0102190,-1.9247
0102220,0.5093
0102250,-0.7949
0102310,-0.0539
0102350,-2.0278
0102370,-0.4405
0102400,-1.1783
0102430,-1.3360
0102480,-0.4042
0102490,2.6886
0102520,1.0947
0102550,0.4171
0102580,-0.5450
0102610,-0.2877
0102635,0.2289
0102640,-0.4903
0102650,-0.3295
0102670,-1.7734
0102700,-0.9018
0102730,-0.9994
0102760,-0.1790
0102790,-0.4960
0102820,-1.3326
0102850,-0.9964
0102880,-1.0189
0102910,-0.5476
0102940,-0.3342
0102970,-1.7015
0103000,-0.9398
0103030,0.3078
0103062,-0.2703
0103090,-2.1226
0103120,-0.2678
0103150,-1.5140
0103180,-0.6126
0103210,-1.1022
0103240,-0.8125
0103270,-1.9361
0103300,-0.6172
0103330,-0.5261
0103360,-0.7796
0103390,-0.4708
0103420,-0.5504
0103430,2.0840
0103450,-0.5052
0103480,-1.0488
0103510,-1.8940
0103540,0.7675
0103580,-0.5161
0200001,-3.4332
0200003,-3.6973
0200004,-5.0494
0200020,-2.5937
0200070,0.7217
0200090,0.3125
0200100,0.0707
0200120,-0.6893
0200150,0.1057
0200180,0.1487
0200210,0.1878
0200240,0.5735
0200390,0.6798
0200480,0.2574
0200510,0.3857
0200570,-0.9775
0200600,0.2435
0200610,-2.0955
0200625,-2.5496
0200660,1.4876
0200710,-3.1582
0200720,1.1767
0200770,0.2819
0200780,0.8939
0200862,-0.7436
0400001,1.6335
0400003,-0.1492
0400004,0.5560
0400021,0.7457
0400023,-2.0066
0400026,0.1595
0400212,0.2353
0400295,-0.4829
0400520,-1.5760
0400600,-1.0124
0400680,0.4499
0400790,-0.4124
0400960,-0.7256
0401000,-0.2216
0401050,-1.4559
0401080,-0.9281
0401180,-0.6097
0401380,-0.7793
0401460,0.0795
0401500,-0.5268
0401600,-0.9682
0401680,-1.1278
0401710,-0.4076
0401760,1.8918
0401870,1.1564
0401940,-2.0770
0402250,0.0675
0402320,-0.7739
0402370,-0.4709
0402400,-0.1480
0402430,-1.3801
0402530,-1.3886
0402690,0.1999
0402790,-1.7780
0402860,-0.1863
0402920,-0.6255
0403010,-0.0866
0403040,0.7856
0403060,-0.9253
0403150,0.3249
0403200,-1.9206
0403240,-1.5150
0403290,-1.6684
0403400,1.0050
0403420,-1.3531
0403500,-1.1610
0403780,1.1828
0403820,-0.6644
0403870,0.2059
0403950,-2.7576
0403960,-1.7100
0403990,-0.2078
0404010,-0.2187
0404060,-1.6173
0404230,1.3002
0404280,0.6755
0404290,-0.5917
0404320,-0.1436
0404380,0.6611
0404410,-1.5226
0404440,-0.8847
0404500,0.8001
0404570,-0.4422
0404630,0.3920
0404720,-0.3012
0404770,-1.1553
0404820,-1.2971
0404970,0.0715
0405030,-1.1070
0405190,-0.2888
0405320,0.3872
0405400,-1.5948
0405430,-2.9415
0405460,-0.7922
0405530,-0.2906
0405640,-0.7455
0405670,-0.8492
0405820,-1.3567
0405850,-0.5727
0405880,0.4527
0405930,0.7042
0405980,-1.1321
0406070,-0.2813
0406210,-0.4765
0406250,0.4745
0406300,-0.9896
0406440,0.0726
0406580,0.0925
0406730,0.8400
0406740,-2.2529
0406810,1.0094
0406850,-1.1854
0406870,-2.1465
0406900,-0.1532
0406960,-3.8057
0407020,-1.5892
0407080,-1.5125
0407130,-0.2746
0407170,-0.9342
0407200,-2.3763
0407240,0.0993
0407300,0.3164
0407520,-0.3419
0407570,1.3187
0407700,-0.3990
0407750,0.9136
0407820,0.3181
0407890,-1.0613
0408020,0.2109
0408080,0.0667
0408130,-1.4009
0408170,-1.3414
0408230,-1.9292
0408280,1.5571
0408310,-0.5323
0408410,0.6272
0408490,-0.8869
0408550,-1.3931
0408600,-0.5289
0408680,-1.7946
0408800,-0.8276
0408820,-1.0385
0408850,1.6807
0409060,-0.6771
0409090,-1.3151
0409160,-2.2306
0409190,-0.1173
0409250,-1.2055
0409310,-1.1028
0409390,-0.9811
0409430,-2.0601
0409460,-0.8881
0409600,-0.7146
0409733,0.0109
0500001,-0.1139
0500006,-0.5317
0500009,0.0339
0500012,-0.0495
0500015,0.5464
0500016,-0.4540
0500017,-0.2693
0500019,0.4150
0500020,-0.2732
0500021,-0.3043
0500023,-0.0522
0500026,-1.7751
0500028,-0.4600
0500029,0.0973
0500032,-0.7966
0500041,-0.0843
0500042,-0.1290
0500043,0.7459
0500044,-0.5685
0500045,-0.7671
0500046,-0.1050
0500047,-0.3517
0500048,-0.3657
0500049,0.4270
0500051,-0.6888
0500065,-0.5781
0500067,0.1484
0500068,0.7994
0500070,-0.2405
0500071,0.1174
0500073,0.4652
0500076,-0.4849
0500079,0.0065
0500082,-0.1342
0500405,0.2606
0502250,-0.1834
0502280,0.1243
0502430,0.1230
0502550,0.5472
0502580,-0.5460
0502610,0.6709
0502670,-1.7278
0502700,-0.0665
0502730,-0.5436
0502790,-0.0355
0502820,0.1519
0502880,0.1435
0502960,1.0229
0503030,0.6627
0503060,1.4631
0503090,1.1210
0503150,0.2739
0503240,0.7188
0503300,-0.7195
0503320,-1.6651
0503450,-0.1605
0503480,0.1710
0503630,-0.1607
0503640,0.4864
0503690,0.9623
0503710,0.4371
0503750,0.7203
0503770,-0.0525
0503840,0.2824
0503960,0.1642
0504020,0.1597
0504050,0.1654
0504080,-0.2906
0504110,0.9379
0504170,-0.1534
0504200,1.0545
0504350,-1.4342
0504370,-0.4319
0504380,0.2060
0504410,0.7169
0504560,0.6945
0504590,0.9278
0504680,0.9413
0504740,0.2891
0504800,-0.3977
0504860,0.2140
0504890,0.3338
0504930,0.1152
0504980,-1.3606
0505190,1.1424
0505340,0.1128
0505410,-1.8392
0505430,0.8784
0505470,-0.2602
0505500,-1.0493
0505550,-1.2332
0505580,0.1027
0505680,0.0954
0505760,0.1966
0505850,-0.6864
0505970,0.1584
0506060,-0.8738
0506090,0.8278
0506120,1.1288
0506150,0.1460
0506210,-1.0188
0506240,-0.1107
0506270,-1.8169
0506330,-0.1692
0506360,0.0673
0506420,0.5221
0506540,0.4999
0506630,0.5987
0506690,0.0263
0506840,0.4829
0506870,-0.0722
0506900,0.9268
0506930,-0.5075
