id,f_coh
0100005,-0.0171
0100006,-0.0602
0100007,0.0730
0100008,0.1436
0100011,0.0548
0100012,-0.0288
0100013,0.0744
0100030,-0.0686
0100060,-0.0396
0100090,0.0716
0100100,-0.0736
0100120,0.0070
0100180,0.0707
0100185,0.1227
0100210,0.0909
0100240,-0.0812
0100270,-0.0243
0100300,0.0236
0100330,-0.1751
0100360,0.0137
0100390,-0.0597
0100420,0.0894
0100450,0.0924
0100480,-0.0221
0100510,-0.0774
0100540,0.0377
0100600,0.1021
0100630,0.0596
0100660,0.0222
0100690,-0.1506
0100720,0.0353
0100750,0.1050
0100780,0.0338
0100810,0.0254
0100840,-0.0529
0100870,-0.0393
0100900,0.0826
0100930,-0.0684
0100960,0.0677
0100990,-0.0016
0101020,-0.0027
0101050,0.1187
0101080,0.0468
0101110,0.0589
0101140,0.0358
0101170,-0.0243
0101200,0.1046
0101230,0.0043
0101260,0.1331
0101290,0.0608
0101320,0.0381
0101350,-0.0386
0101380,0.0071
0101410,0.1282
0101440,0.0028
0101470,-0.0208
0101530,0.0858
0101560,0.0722
0101590,-0.1290
0101620,0.0664
0101640,0.0761
0101660,0.1013
0101680,-0.0497
0101690,-0.0974
0101710,0.0527
0101720,-0.0011
0101730,0.0849
0101740,0.0869
0101760,0.0696
0101770,0.0689
0101800,0.0404
0101830,-0.0302
0101860,0.0776
0101890,-0.0845
0101920,-0.0224
0101950,0.0692
0101980,0.1177
0102010,0.0362
0102040,-0.0025
0102070,0.1143
0102100,0.0588
0102160,0.0165
0102190,-0.0096
0102220,0.0117
0102250,0.1493
0102310,0.0510
0102350,-0.0856
0102370,-0.0443
0102400,-0.0387
0102430,-0.0380
0102480,0.0029
0102490,-0.0465
0102520,0.0300
0102550,0.0222
0102580,0.1260
0102610,0.1826
0102635,0.1025
0102640,0.0039
0102650,0.0315
0102670,-0.1297
0102700,0.0932
0102730,0.0751
0102760,-0.0473
0102790,0.1048
0102820,0.0646
0102850,0.0598
0102880,0.0998
0102910,-0.0949
0102940,0.0127
0102970,-0.0867
0103000,0.1017
0103030,0.0675
0103062,0.0257
0103090,0.0303
0103120,0.0312
0103150,0.0042
0103180,-0.0245
0103210,-0.0020
0103240,0.0832
0103270,0.0354
0103300,0.0055
0103330,-0.0154
0103360,0.1182
0103390,0.0948
0103420,0.0066
0103430,0.1038
0103450,0.0183
0103480,0.0125
0103510,-0.0900
0103540,-0.0345
0103580,0.0272
0200001,-0.0389
0200003,-0.1510
0200020,-0.1006
0200100,0.1475
0200150,0.0082
0200180,0.0413
0200210,0.0601
0200240,0.0987
0200390,0.0406
0200480,-0.0633
0200510,-0.0311
0200570,0.0358
0200600,0.0080
0200610,-0.1249
0200625,-0.1395
0200710,-0.0561
0200780,0.0238
0200862,0.0126
0400001,0.0941
0400003,0.0714
0400004,-0.0625
0400021,0.1001
0400023,0.2693
0400026,0.0656
0400212,0.1853
0400295,0.0990
0400600,-0.0262
