id,f_grd
0100005,0.8508
0100006,0.8609
0100007,1.1972
0100008,1.1255
0100011,1.0334
0100012,1.0259
0100013,0.9023
0100030,0.9057
0100060,0.9505
0100090,0.8210
0100100,0.8036
0100120,0.9733
0100180,0.7957
0100185,0.9409
0100189,0.8740
0100210,0.9721
0100240,1.0222
0100270,0.8276
0100300,0.7269
0100330,0.6976
0100360,1.0094
0100390,0.8058
0100420,0.8775
0100450,0.9895
0100480,0.7363
0100510,0.7796
0100540,0.7922
0100600,0.8973
0100630,0.9838
0100660,0.7857
0100690,0.5919
0100720,0.8334
0100750,0.9497
0100780,0.8319
0100810,0.8652
0100840,0.8633
0100870,0.7769
0100900,0.9765
0100930,0.8535
0100960,0.9104
0100990,1.0652
0101020,0.8551
0101050,1.1198
0101080,0.8369
0101110,0.8283
0101140,0.9169
0101170,0.8734
0101200,1.0363
0101230,0.8343
0101260,0.9304
0101290,0.8803
0101320,0.9451
0101350,0.8255
0101380,0.8264
0101410,0.9932
0101440,0.7111
0101470,0.8677
0101530,0.9400
0101560,1.0577
0101590,0.6742
0101620,0.8425
0101640,0.9883
0101660,0.9840
0101680,0.5648
0101690,0.9898
0101710,0.8172
0101720,0.8188
0101730,1.1072
0101740,0.9420
0101760,1.0696
0101770,0.9288
0101800,0.9610
0101830,0.8281
0101860,1.0356
0101890,0.7347
0101920,0.8265
0101950,0.7877
0101980,0.9231
0102010,0.9408
0102040,0.8313
0102070,0.9415
0102100,0.8454
0102160,0.8661
0102190,0.7011
0102220,0.9354
0102250,1.0036
0102310,0.8686
0102350,0.8976
0102370,0.7621
0102400,0.8093
0102430,0.6529
0102480,0.8718
0102490,1.0909
0102520,1.0738
0102550,0.8513
0102580,0.9257
0102610,0.9660
0102635,1.0435
0102640,0.9669
0102650,0.8364
0102670,0.5098
0102700,0.8831
0102730,0.9555
0102760,0.9005
0102790,0.8945
0102820,0.8991
0102850,0.9194
0102880,0.8178
0102910,0.7550
0102940,0.9998
0102970,0.5593
0103000,0.8994
0103030,0.9974
0103062,1.0040
0103090,0.8234
0103120,0.9295
0103150,0.7506
0103180,0.8372
0103210,0.9655
0103240,0.9123
0103270,0.6840
0103300,0.8539
0103330,0.9301
0103360,0.9155
0103390,0.9035
0103420,0.7819
0103430,1.0510
0103450,0.9535
0103480,0.7762
0103510,0.6310
0103540,0.7911
0103580,0.8448
0200001,1.1627
0200003,0.8628
0200020,0.9451
0200090,0.9908
0200100,1.0788
0200150,1.0514
0200180,1.0370
0200210,1.2010
0200240,1.0037
0200390,1.0478
0200480,0.9690
0200510,1.0359
0200570,1.0602
0200600,0.9964
0200610,1.0082
0200625,0.9670
0200710,1.0428
0200780,0.9932
0200862,1.1024
0400001,1.0394
0400003,1.1105
0400004,1.0395
0400021,1.1823
0400023,1.1465
0400026,1.3003
0400212,1.1359
0400295,0.9018
0400600,0.8972
0400680,1.0425
0400790,1.0229
0400960,1.1593
0401050,1.1002
0401180,1.0875
0401380,1.0862
0401460,1.0723
0401500,1.1733
0401600,1.0099
0401680,1.0330
0401710,1.0624
0401760,1.0128
0401870,1.1555
0401940,1.0745
0402250,1.0033
0402320,0.8848
0402370,1.1075
0402400,1.1807
0402430,1.0435
0402530,1.0628
0402690,1.0281
0402790,1.1808
0402860,1.0774
0402920,1.1607
0403010,1.0932
0403040,1.0259
0403060,1.0362
0403150,1.1877
0403200,0.9977
0403240,1.2021
0403290,0.8575
0403400,1.0786
0403420,1.0909
0403500,0.9799
0403780,1.1664
0403820,0.9103
0403870,0.8769
0403950,1.0293
0403960,1.0113
0403990,1.0398
0404060,1.1140
0404230,1.0450
0404280,1.0093
0404290,1.1409
0404320,1.0771
0404380,1.1884
0404440,1.2038
0404500,1.0311
0404570,0.8416
0404630,1.0042
0404720,0.9180
0404770,1.2136
0404970,1.0320
0405030,1.0789
0405190,1.1178
0405320,0.8541
0405400,1.1225
0405460,0.9268
0405530,1.0876
0405640,1.0599
0405670,1.2203
0405820,1.0372
0405850,1.0876
0405880,1.1062
0405930,1.0600
0405980,0.9861
0406070,0.9044
0406210,1.1984
0406250,1.1309
0406300,1.2749
0406440,1.0875
0406580,1.1328
0406730,1.1074
0406740,1.0374
0406810,1.0657
0406850,0.8645
0406870,1.0198
0406960,1.0347
