id,h_avg
0100005,-1.6755
0100006,-1.1717
0100007,-1.1179
0100008,0.1790
0100011,-1.5523
0100012,-1.6334
0100120,-1.4063
0100190,-1.6866
0100194,-1.3692
0100210,-0.1276
0100240,-0.0492
0100270,-1.1899
0100390,-1.8874
0100420,-1.7994
0100540,-0.8020
0100660,-1.4287
0100990,-0.5246
0101020,-1.1385
0101140,-2.3497
0101170,-1.6084
0101230,-0.1986
0101290,-1.0675
0101320,-0.3777
0101380,-1.3135
0101530,-1.0803
0101560,-1.9798
0101590,-1.5293
0101620,-2.1484
0101660,-1.3685
0101760,-0.8534
0101800,-1.6453
0101830,-0.9747
0101920,-1.6217
0102070,-0.7838
0102100,-1.6156
0102220,-0.2919
0102370,-0.5628
0102430,-2.0597
0102480,-1.9818
0102550,-0.8556
0102580,-0.9321
0102635,-1.0601
0102700,-0.3894
0102910,-1.2882
0103030,-1.3198
0103062,-0.9126
0103360,-1.3434
0103390,-1.5753
0200180,-0.7896
0200210,-0.4572
0200390,0.1236
0200510,-0.2825
0200600,-0.4512
0400001,-0.2001
0400003,-1.1323
0400212,-0.4701
0400295,-1.2620
0400520,-2.2399
0400600,-1.2462
0400680,-0.7693
0400790,-1.2611
0400840,-1.2496
0400960,-1.4061
0401050,-1.5516
0401180,-1.6534
0401380,-1.4603
0401460,-0.9338
0401500,-1.3486
0401600,-1.7583
0401680,-1.3769
0401710,-0.9936
0401760,0.7452
0401870,-0.6888
0402250,-1.0844
0402320,-1.6603
0402370,-1.5042
0402400,-0.7608
0402430,-1.6282
0402530,-1.6935
0402690,-0.8687
0402790,-1.9279
0402860,-1.5237
0402920,-1.4682
0403010,-0.7267
0403060,-1.2547
0403150,-0.2136
0403240,-1.7909
0403310,-3.0060
0403400,-0.1992
0403420,-1.7150
0403500,-1.7401
0403730,-2.2099
0403780,0.1919
0403820,-1.0096
0403870,-0.7431
0403960,-1.9690
0403990,-1.2694
0404230,0.0250
0404280,-0.1982
0404290,-0.9636
0404320,-1.1785
0404380,-0.3430
0404410,-1.9364
0404440,-1.3398
0404500,-0.6653
0404570,-0.9550
0404630,-0.3861
0404720,-1.2217
0404770,-1.7752
0404970,-1.1582
0405030,-1.5483
0405190,-1.0655
0405320,-0.0613
0405400,-1.7354
0405430,-2.7954
0405460,-1.6033
0405530,-0.4327
0405640,-1.6047
0405670,-1.3173
0405850,-1.0225
0405880,-0.4702
0405930,-1.1230
0405980,-1.4936
0406070,-1.1499
0406210,-1.0538
0406250,-0.6951
0406300,-1.6397
0406360,-2.0013
0406440,-1.6886
0406580,-1.3797
0406730,-0.7554
0406810,-0.1678
0406850,-1.2928
0407020,-1.6949
0407080,-1.7667
0407130,-1.3287
0407170,-1.4749
0407240,-0.8198
0407300,-0.5154
0407500,-0.2301
0407520,-0.7230
0407570,-0.7930
0407700,-1.4617
0407750,-0.3612
0407820,-0.9995
0407890,-1.3142
0408080,-1.1370
0408130,-1.8057
0408170,-1.6178
0408230,-2.1238
0408280,0.4640
0408310,-1.2072
0408410,-0.6900
0408490,-1.2718
0408550,-1.8828
0408600,-1.0539
0408800,-1.4969
0408820,-1.3286
0408850,0.7616
0409060,-1.4241
0409090,-1.6871
0409190,-1.5923
0409250,-1.8629
0409310,-1.9921
0409390,-1.0174
0409460,-1.0169
0409600,-1.4155
0409733,-1.8988
0500006,-1.2997
0500019,-1.2986
0500042,-0.3678
0500049,-0.0403
0500405,-0.6403
0502960,-0.2786
0503060,0.1257
0503150,-0.3701
0503690,-0.5333
0503750,-0.2280
0504380,-0.6313
0504590,-0.4359
0504890,-0.3638
0504930,-0.8110
0505680,-0.9711
0506120,-0.7226
0506330,-1.2810
0506870,-0.7135
0507840,-1.8942
0507860,-1.2909
0507890,-0.9336
0508130,-1.0022
0508280,-1.3503
0508610,-0.5492
0508670,-0.2354
0509000,-1.5519
0510380,-0.6068
0510440,-0.7922
0510680,-1.4692
0511850,-0.9849
0511970,-0.1470
0512060,-0.5983
0512210,0.2211
0512450,-0.9725
0512660,-0.8646
0513410,-1.1669
0513680,-0.8436
0600001,-1.6140
0600006,-0.6972
0600013,0.1669
0600014,-1.6050
0600015,-2.1448
0600016,-0.7746
0600017,-1.3778
0600019,-0.1496
0600020,-0.3124
0600022,-1.5846
0600025,1.2886
0600026,-2.1369
0600027,-1.2910
0600028,-0.2713
0600029,-0.5154
