id,h_coh
0100005,0.0171
0100006,-0.0411
0100007,0.1252
0100008,0.1863
0100012,0.0364
0100120,0.0462
0100270,-0.0710
0100390,-0.1073
0100420,0.1356
0100540,-0.0343
0100660,0.0319
0101020,0.0032
0101140,0.0213
0101170,-0.0098
0101230,-0.0492
0101290,0.0398
0101320,-0.0183
0101530,0.0492
0101560,0.0704
0101590,-0.0376
0101620,0.0160
0101760,0.0871
0101800,0.0074
0101920,0.0104
0102070,0.0404
0102100,0.0760
0102220,0.0613
0102370,-0.0343
0102430,-0.0542
0102480,0.0998
0102550,0.0335
0102635,0.1222
0102910,-0.1179
0103030,0.1219
0103360,-0.0213
0103390,0.0002
0200180,0.0695
0200390,0.0689
0200510,0.0237
0200600,-0.0019
0400001,0.1723
0400003,0.1291
0400212,0.1396
0400295,0.1324
0400520,0.0524
0400600,-0.0353
0400680,0.0911
0400790,0.0552
0400960,0.0818
0401050,0.0587
0401180,0.1477
0401380,0.1368
0401460,0.0711
0401500,0.2151
0401600,0.0714
0401680,0.0553
0401710,0.0271
0401760,0.0355
0401870,0.1534
0402250,0.0010
0402320,0.0383
0402370,0.0751
0402400,0.1144
0402430,0.0320
0402530,0.1092
0402690,0.1064
0402790,0.1130
0402860,0.0827
0402920,0.1691
0403010,0.0799
0403060,0.0835
0403150,0.1136
0403240,0.1682
0403400,0.0777
0403420,0.0624
0403500,-0.0094
0403730,-0.0216
0403780,0.2199
0403820,0.0700
0403870,0.0139
0403960,-0.0172
0403990,0.1391
0404230,0.0550
0404280,0.0164
0404290,0.0992
0404320,0.0877
0404380,0.1736
0404410,0.1138
0404440,0.1355
0404500,0.0857
0404570,0.0238
0404630,0.0688
0404720,0.1520
0404770,0.1055
0404970,0.0333
0405030,0.0491
0405190,0.1999
0405320,0.0682
0405400,-0.0126
0405430,0.0440
0405460,0.0904
0405530,-0.0020
0405640,-0.0552
0405670,0.0762
0405850,0.0389
0405880,0.1316
0405930,0.1162
0405980,0.0536
0406070,0.0137
0406210,0.0540
0406250,0.0967
0406300,0.1004
0406580,0.1380
