id,h_grd
0100005,0.7749
0100006,0.8679
0100007,1.3126
0100008,1.1500
0100012,0.9545
0100120,0.9682
0100270,0.7822
0100390,0.7637
0100420,0.9234
0100540,0.8732
0100660,0.6940
0101020,0.8593
0101140,0.9218
0101170,0.8147
0101230,0.8245
0101290,0.8890
0101320,0.9025
0101560,1.0602
0101590,0.7458
0101620,0.8313
0101760,1.1152
0101800,0.9053
0101920,0.8225
0102070,0.9762
0102100,0.9059
0102220,0.9909
0102370,0.8064
0102430,0.7205
0102480,0.8429
0102550,0.8284
0102635,1.0545
0102910,0.7183
0103030,1.0592
0103062,0.9645
0103360,0.9410
0103390,0.8225
0200180,1.0157
0200210,1.2946
0200390,1.0217
0200510,0.9824
0200600,1.0051
0400001,1.0302
0400003,1.1123
0400212,1.0473
0400295,0.9748
0400520,1.1901
0400600,0.8797
0400680,1.0628
0400790,1.0730
0400960,1.1470
0401050,1.0752
0401180,1.1330
0401380,1.0806
0401460,1.0411
0401500,1.1492
0401600,0.8683
0401680,1.0086
0401710,1.0715
0401760,1.0358
0401870,1.1729
0402250,0.9634
0402320,0.9330
0402370,1.0907
0402400,1.1695
0402430,1.0574
0402530,1.0630
0402690,1.0456
0402790,1.2518
0402860,1.0151
0402920,1.1938
0403010,1.0718
0403060,1.0319
0403150,1.1742
0403240,1.2083
0403400,1.0613
0403420,1.1029
0403500,1.0076
0403730,0.9453
0403780,1.1897
0403820,0.8287
0403870,0.8819
0403960,0.9987
0403990,1.0465
0404230,1.0480
0404280,1.0009
0404290,1.1473
0404320,1.1260
0404380,1.2060
0404410,1.0155
0404440,1.2051
0404500,1.0815
0404570,0.8055
0404630,1.0197
0404720,0.9861
0404770,1.2051
0404970,1.0037
0405030,1.0885
0405190,1.1620
0405320,0.8355
0405400,1.1396
0405430,1.0956
0405460,0.9876
0405530,1.0651
0405640,0.9734
0405670,1.2074
0405850,1.0342
0405880,1.0569
0405930,1.0727
0405980,1.0299
0406070,0.9307
0406210,1.1691
0406250,1.1119
0406300,1.1472
0406580,1.2256
0406730,1.1293
0406810,1.0550
0406850,0.7956
0407020,1.2641
0407080,1.1173
0407130,1.1108
0407170,1.3032
0407240,1.1681
0407300,1.0680
0407500,1.1814
0407520,1.1948
0407570,1.0369
0407700,0.9061
0407750,1.1704
0407820,1.0672
0407890,0.9978
0408130,1.0743
0408170,0.8792
0408230,0.7818
0408280,1.0613
0408310,0.9911
0408410,0.8536
0408490,1.1157
0408550,0.9147
0408800,0.9991
0408820,1.0728
0408850,1.0758
0409060,1.1107
0409090,0.9538
0409190,0.9786
0409250,1.1812
0409310,1.0135
0409390,1.2041
0409460,0.9546
0409600,0.9809
0409733,1.0136
0500006,0.8945
0500019,0.9911
0500042,0.7978
0500049,0.8617
0500405,0.7121
0502960,0.9833
0503060,1.0965
0503150,0.9191
0503690,0.8873
0503750,0.8831
0504380,0.9908
0504590,0.8103
0504890,0.6759
0504930,0.8447
0505680,0.9186
0506120,1.0819
0506330,0.9710
0506870,0.8872
0507840,0.9182
0507890,0.8549
0508280,0.9179
0508610,0.7639
0508670,0.8724
0509000,0.9357
0510380,0.7837
0510680,0.8333
0511850,0.8005
0511970,0.9062
0512060,0.8357
0512210,1.1699
0512450,0.9893
0512660,0.9939
0513410,1.0482
0600001,0.8818
0600006,1.1842
0600013,1.1352
0600014,0.8626
0600015,1.1527
0600016,0.9259
0600017,0.8763
0600019,1.0179
0600020,1.2082
0600022,0.7509
0600025,0.8732
0600027,0.8561
0600028,1.0542
0600029,1.0007
0600032,0.9848
0600033,0.8494
0600034,0.9783
0600035,0.9440
0600036,1.0945
0600039,1.0890
0600040,0.7363
0600043,1.0395
0600044,1.0420
0600045,0.9493
0600046,1.0125
0600047,0.9822
0600048,1.0134
0600049,1.1679
0600051,0.9136
0600052,1.0299
0600060,1.0164
0600061,1.0388
0600062,0.8833
0600063,1.0562
0600064,0.8526
0600065,0.8434
0600067,1.0595
0600068,1.0291
0600069,1.0451
0600153,1.0762
0600158,1.0696
0601332,0.8972
0601339,1.2014
0601409,1.1840
0601410,0.9779
0601415,0.7979
0601418,1.1148
0601620,1.0829
0601710,0.7653
0601770,1.0541
0601860,1.1156
0601950,1.0646
0602010,0.9477
0602100,0.9049
0602160,0.9824
0602220,0.9494
0602310,0.9139
0602360,0.9495
0602430,0.9830
0602450,1.0344
0602610,0.9130
0602730,1.1863
0602850,0.9239
0602970,1.0412
0603180,0.9287
0603270,1.0108
0603300,1.0902
0603420,0.9137
0603480,1.1512
0603600,0.9355
0603630,0.9447
0603690,0.9466
0603750,1.1228
0603840,0.7070
0603870,1.1660
0604020,0.9246
0604110,1.0558
0604230,1.0287
0604260,1.1454
0604290,0.9141
0604380,1.1200
0604440,0.9520
0604530,1.0865
0604620,0.9930
0604740,1.0355
0604800,0.8771
0605580,1.0922
0605610,0.8649
0605670,1.1618
0605700,1.0739
0605790,0.9458
0605880,1.0291
0605910,1.1337
0606030,1.0170
0606270,1.0629
0606330,1.2095
0606360,0.9552
0606390,0.9882
0606450,0.9104
0606480,1.1528
0606570,0.7794
0606720,0.9532
0606750,1.0347
0606780,1.0498
0606810,1.0129
0606870,1.1154
0606900,1.0679
0606990,0.8769
0607020,1.0140
0607140,1.0535
0607200,0.8841
0607440,1.1782
0607500,1.0762
0607530,1.0960
0607560,0.8987
0607680,0.9673
0607740,1.0495
0607800,0.8787
0607900,0.8014
0607950,0.9560
0607970,0.8539
0607980,0.9774
0608070,0.7307
0608130,0.8861
0608190,0.9435
0608250,1.0773
0608370,1.1775
0608460,0.9857
0608520,0.9155
0608580,1.3094
0608610,1.1336
0608760,0.9806
0608970,1.0262
0609030,0.9374
0609070,0.9209
0609120,0.8878
0609390,0.9309
0609570,1.0888
0609620,0.6993
0609640,1.0685
0609690,0.7803
0609780,0.8871
0609850,0.9797
0609870,1.1791
0609940,0.9436
0610050,0.9917
0610260,0.9800
0610290,1.0730
0610350,0.7737
0610440,1.2452
0610620,1.2221
0610710,1.1546
0610740,1.1419
0610770,0.9823
0610890,0.9400
0611040,0.8772
0611110,0.9208
0611130,1.1019
0611220,1.0697
0611280,1.1136
0611460,0.9934
0611490,0.9519
0611520,0.9168
0611760,0.9943
0611820,1.0163
0611850,0.9304
0611910,1.0406
0611940,1.1817
0612030,0.9974
0612090,1.1601
0612180,1.0669
0612210,1.1194
0612330,1.0232
0612690,1.0671
0612750,1.2212
0612810,1.0347
0612840,1.0808
0612880,1.0507
0612930,0.9744
0612960,1.0382
0613080,1.2512
0613140,0.9417
0613200,0.9322
0613290,0.9732
0613360,0.7901
